,16231,3125,,,
406488,16231,3124,,,
406490,16231,5035,,,
406491,16231,26791,,,
406492,16231,26914,,,
406493,16231,31647,,,
406495,16231,23703,,,
406496,16231,33546,,,
406497,16231,3977,,,
406499,16231,20484,,,
406500,16188,23543,,,
406501,16188,33318,,,
406502,16188,22907,,,
406503,16188,23449,,,
406504,16203,84981,,,
406506,16203,84590,,,
406507,16203,80734,,,
406508,16203,80728,,,
406509,16203,84054,,,
406510,16203,82125,,,
406511,16203,87371,,,
406513,16203,78792,,,
406514,16203,90940,,,
406515,16203,90933,,,
406516,16203,89007,,,
406517,16203,81070,,,
406518,16203,80557,,,
406520,16203,91807,,,
406521,16203,91801,,,
406522,16203,92441,,,
406523,16203,91153,,,
406524,16203,81031,,,
406525,16203,91270,,,
406527,16203,81026,,,
406528,16206,91578,,,
406529,16206,79960,,,
406530,16206,79954,,,
406531,16206,91523,,,
406532,16206,80994,,,
406534,16206,78464,,,
406535,73749,44221,,,
406536,73749,44220,,,
406537,73749,47669,,,
406538,73502,79807,,,
406539,73502,80253,,,
406541,73502,92681,,,
406542,73502,79802,,,
406543,16222,86007,,,
406544,16222,84981,,,
406545,16222,87538,,,
406546,16222,79848,,,
406548,16222,86492,,,
406549,16222,78794,,,
406550,16222,86985,,,
406551,16222,78792,,,
406552,16222,84422,,,
406553,16222,81861,,,
406555,16222,82361,,,
406556,16222,81849,,,
406557,16222,86463,,,
406558,16222,81854,,,
406559,16222,81853,,,
406560,16222,81852,,,
406562,16222,81850,,,
406563,16222,90553,,,
406564,16222,90550,,,
406565,16222,86451,,,
406566,16222,81329,,,
406567,16222,81840,,,
406569,16222,92055,,,
406570,16222,92053,,,
406571,16222,90514,,,
406572,16222,88459,,,
406573,16222,86387,,,
406574,16222,86381,,,
406576,16222,78174,,,
406577,16222,78173,,,
406578,16222,78170,,,
406579,16222,78669,,,
406580,16222,88395,,,
406581,16222,86850,,,
406583,16222,82233,,,
406584,16222,82736,,,
406585,16222,83244,,,
406586,16222,90404,,,
406587,16222,90403,,,
406588,16222,90402,,,
406590,16222,89375,,,
406591,16222,82714,,,
406592,16222,83737,,,
406593,16222,83736,,,
406594,16222,79127,,,
406595,16222,83734,,,
406597,16222,91403,,,
406598,16222,84228,,,
406599,16222,81152,,,
406600,16222,81143,,,
406602,16222,90840,,,
406603,16222,80081,,,
406604,16222,90798,,,
406606,16222,81070,,,
406607,16222,88749,,,
406608,16222,89258,,,
406609,16222,88234,,,
406610,16222,85158,,,
406611,16222,85156,,,
406613,16222,88224,,,
406614,16222,88727,,,
406615,16222,88724,,,
406616,16222,85135,,,
406617,16222,90767,,,
406618,16222,81031,,,
406620,16222,83077,,,
406621,16222,86149,,,
406622,16222,83076,,,
406623,16222,81027,,,
406624,16222,81026,,,
406625,16222,81025,,,
406627,16222,82555,,,
406628,16222,82554,,,
406629,16222,82553,,,
406630,16222,82552,,,
406631,16222,88156,,,
406632,16222,85595,,,
406634,16222,92246,,,
406635,16222,90708,,,
406636,16222,85581,,,
406637,16222,85580,,,
406638,16222,90187,,,
406639,16222,79946,,,
406641,16222,90674,,,
406642,16222,87089,,,
406643,16222,79919,,,
406644,16222,92201,,,
406645,16222,92197,,,
406646,16222,92184,,,
406648,16222,80913,,,
406649,16222,91667,,,
406650,16222,80914,,,
406651,16222,91153,,,
406652,16222,80912,,,
406653,16222,80911,,,
406655,16222,80909,,,
406656,16222,80908,,,
406657,16222,80907,,,
406658,16222,80906,,,
406659,16222,83465,,,
406660,73670,80882,,,
406662,73670,80876,,,
406663,73670,80875,,,
406664,73670,80874,,,
406665,73670,80873,,,
406666,73670,80872,,,
406667,73670,80871,,,
406669,73670,80869,,,
406670,73670,82906,,,
406671,73670,90069,,,
406672,73670,82373,,,
406673,73670,86462,,,
406674,73670,89010,,,
406676,73670,84384,,,
406677,73670,84378,,,
406678,73670,84376,,,
406679,73670,84364,,,
406680,73670,84363,,,
406681,73670,84362,,,
406683,73670,84360,,,
406684,73670,84359,,,
406685,73670,84358,,,
406686,73670,84357,,,
406687,73670,84356,,,
406688,73670,84355,,,
406690,73670,84353,,,
406691,73670,84352,,,
406692,73670,84351,,,
406693,73670,84350,,,
406694,73670,90486,,,
406695,73670,81258,,,
406697,73670,91435,,,
406698,73670,82728,,,
406699,73670,91429,,,
406700,73670,81700,,,
406701,73670,90399,,,
406702,73670,90398,,,
406704,73670,84754,,,
406705,73670,88338,,,
406706,73670,88333,,,
406707,73670,86775,,,
406709,73670,86220,,,
406710,73670,86219,,,
406711,73670,86218,,,
406713,73670,83652,,,
406714,73670,81090,,,
406715,73670,81087,,,
406716,73670,87227,,,
406717,73670,89274,,,
406718,73670,87225,,,
