0515,δειπνοθήρας,n,n-s---mn1a,δειπνοθήρου,,,,,0
50419,κ01321,κάμμα,n,n-s---nn3t,κάμματος,,,,,0
50420,κ01322,κάμμαρος,n,n-s---cn2-,καμμάρου,,,/kám.ma.ros/,,0
50421,κ01323,καμματίδες,n,n-s---fn3d,καμματίδων,,,,,0
50422,κ01324,καμμονίη,n,n-s---fn1e,καμμονίης,,,,,0
50423,κ01325,κάμμορον,n,n-s---nn2-,καμμόρου,,,,,0
50425,κ01327,κάμμυσις,n,n-s---fn3v,καμμυσέως,,,,,0
50426,κ01328,καμμύω,v,----------,,,,/kam.my̌ː.ɔː/,,0
50427,κ01329,κάμνω,v,----------,,,,/kám.nɔː/,,0
50428,κ01330,καμπαγών,n,n-s---mn3n,καμπαγῶνος,,,,,0
50429,κ01331,καμπαλέος,a,aps---mn1-,καμπαλέος καμπαλέα καμπαλέον,,,,,0
50430,κ01332,καμπανίζω,v,----------,,,,,,0
50431,κ01333,κάμπανος,n,n-s---mn2-,καμπάνου,,,,,0
50434,κ01337,καμπή,n,n-s---fn1e,καμπῆς,,,,,0
50435,κ01336,κάμπη,n,n-s---fn1e,κάμπης,,,,,0
50436,κ01338,κάμπιμος,a,aps---mn1-,κάμπιμος καμπίμη κάμπιμον,,,,,0
50437,κ01339,κάμπος,n,n-s---nn3v,κάμπεος,,,,,0
50438,κ01340,καμπτήρ,n,n-s---mn3r,καμπτῆρος,,,,,0
50439,κ01341,καμπτηρία,n,n-s---fn1l,καμπτηρίας,,,,,0
50440,κ01342,καμπτικός,a,aps---mn1-,καμπτικός καμπτική καμπτικόν,,,,,0
50441,κ01343,καμπτός,a,aps---mn1-,καμπτός καμπτή καμπτόν,,,,,0
50442,κ01344,κάμπτρα,n,n-s---fn1l,κάμπτρας,,,,,0
57515,κ08258,κυαθιαῖος,a,aps---mn1-,κυαθιαῖος κυαθιαῖα κυαθιαῖον,,,,,0
50444,κ01346,καμπτροποιός,n,----------,,,,,,0
50445,κ01347,καμπτροφόρος,n,n-s---mn2-,καμπτροφόρου,,,,,0
50446,κ01348,κάμπτω,v,----------,,,,/kámp.tɔː/,,0
50447,κ01350,καμπύλη,n,n-s---fn1e,καμπύλης,,,,,0
50448,κ01351,καμπυλιάζω,v,----------,,,,,,0
50449,κ01352,καμπύλλω,v,----------,,,,,,0
50452,κ01354,καμπυλόεις,a,aps---mn4i,καμπυλόεις καμπυλόεσσα καμπυλόεν,,,,,0
50453,κ01355,καμπυλόομαι,v,----------,,,,,,0
50455,κ01357,καμπυλόρριν,n,n-s---mn3n,καμπυλόρρινος,,,,,0
50456,κ01358,καμπύλος,a,aps---mn1-,καμπύλος καμπύλη καμπύλον,,,,,0
50514,κ01414,κάνθαρος,n,n-s---mn2-,κανθάρου,,,,,0
50461,κ01363,καμψάνεμα,n,----------,,,,,,0
50462,κ01364,καμψάριος,n,n-s---mn2-,καμψαρίου,,,,,0
50463,κ01365,κάμψη,n,n-s---fn1e,κάμψης,,,,,0
50464,κ01366,καμψιδίαυλος,a,aps---cn2-,καμψιδίαυλος καμψιδίαυλος καμψιδίαυλον,,,,,0
50465,κ01367,καμψικίζω,v,----------,,,,,,0
50466,κ01368,καμψίουρος,a,aps---cn2-,καμψίουρος καμψίουρος καμψίουρον,,,,,0
50467,κ01369,καμψίπους,n,----------,,,,,,0
50468,κ01370,κάμψις,n,n-s---fn3v,κάμψεως,,,,,0
50469,κ01371,καμψός,a,aps---mn1-,καμψός καμψή καμψόν,,,/kamp.sós/,,0
50470,κ01372,κάμων,n,----------,,,,,,0
50471,κ01373,κάν,n,----------,,,,,,0
50472,κ06142,κἄν,a,----------,,,,,,0
50473,κ01374,κανάβευμα,n,----------,,,,,,0
50475,κ01376,καναβιουργός,n,----------,,,,,,0
50476,κ01377,κάναβος,n,n-s---mn2-,κανάβου,,,,,0
50477,κ01378,κάναθρον,n,n-s---nn2-,κανάθρου,,,,,0
50478,κ01379,κάνασθον,n,n-s---nn2-,κανάσθου,,,,,0
50479,κ01380,κανάσσω,v,----------,,,,,,0
50480,κ01381,κάναστρον,n,n-s---nn2-,κανάστρου,,,/ká.nas.tron/,,0
50481,κ01383,καναχέω,v,----------,,,,/ka.na.kʰé.ɔː/,,0
50482,κ01384,καναχή,n,n-s---fn1e,καναχῆς,,,,,0
50483,κ01385,καναχηδά,r,----------,,,,,,0
50486,κ01388,καναχήπους,n,----------,,,,,,0
50487,κ01382,καναχάποδα,n,----------,,,,,,0
50488,κ01389,καναχής,a,aps---cn5s,καναχής καναχής καναχές,,,,,0
50489,κ01390,καναχίζω,v,----------,,,,,,0
50491,κ01393,κανδαλιστής,n,n-s---mn1e,κανδαλιστού,,,,,0
50492,,Κανδαύλης,n,n-s---mn1e,Κανδαύλου,,,,,0
50493,κ01394,κάνδαυλος,n,n-s---mn2-,κανδαύλου,,,,,0
50494,κ01395,κανδήλη,n,----------,,,,,,0
50495,κ01396,κάνδυς,n,n-s---mn3v,κάνδυος,,,,,0
50496,κ01397,κανδύταλις,n,----------,,,,,,0
50497,κ01398,κάνδυτος,n,----------,,,,,,0
50498,κ01399,κάνειον,n,n-s---nn2-,κανείου,,,,,0
50500,κ01428,κανῆν,n,----------,,,,,,0
50501,κ01401,κάνης,n,n-s---mn3d,κάνητος,,,,,0
21200,γ01081,γογγυλόρυγχος,a,aps---cn2-,γογγυλόρυγχος γογγυλόρυγχος γογγυλόρυγχον,,,,,0
50503,κ01403,κανητοποιός,n,----------,,,,,,0
50504,κ01404,κανηφορέω,v,----------,,,,,,0
50505,κ01405,κανηφορία,n,n-s---fn1l,κανηφορίας,,,,,0
50507,κ01407,κανήφορος,a,aps---cn2-,κανήφορος κανήφορος κανήφορον,,,,,0
50508,κ01408,κανθάρεως,n,----------,,,,,,0
50509,κ01410,κανθάριος,n,----------,,,,,,0
50511,κ01411,κανθαρίς,n,n-s---fn3d,κανθαρίδος,,,,,0
50512,κ01412,κανθαρίτης,n,n-s---mn1e,κανθαρίτου,,,,,0
50513,κ01413,κανθαροποιός,n,----------,,,,,,0
50517,κ01417,κανθήλη,n,n-s---fn1e,κανθήλης,,,,,0
50518,κ01418,κανθήλια,n,n-p---nn2-,κανθήλων,,,,,0
50520,κ01420,κανθήλιος,n,n-s---mn2-,κανθηλίου,,,,,0
50521,κ01421,κανθός,n,n-s---mn2-,κανθοῦ,,,/kan.tʰós/,,0
50522,κ01422,κανθύλη,n,n-s---fn1e,κανθύλης,,,,,0
50523,κ01423,κανθώδης,a,aps---cn3s,κανθώδης κανθώδης κανθώ͂δες,,,,,0
50524,κ01424,κάνθων,n,n-s---mn3n,κάνθωνος,,,,,0
50525,κ01425,κανίας,n,----------,,,,,,0
50526,κ06227,κἄνις,n,----------,,,,,,0
50527,κ01426,κανίσκιον,n,----------,,,,,,0
50528,κ01427,κάνιστρον,n,n-s---nn2-,κανίστρου,,,,,0
50529,κ01429,κάννα,n,n-s---fn1l,,,,,,0
50530,κ01430,κανναβάριος,n,n-s---mn2-,κανναβαρίου,,,,,0
50532,κ01432,καννάβιον,n,n-s---nn2-,κανναβίου,,,,,0
50534,κ01434,κανναβίσκα,n,n-p---nn2-,κανναβίσκων,,,,,0
50535,κ01435,κάνναβος,n,----------,,,,,,0
50536,κ01436,κάνναθρον,n,n-s---nn2-,καννάθρου,,,,,0
50537,κ01437,καννοχερσαία,n,n-s---fn1l,καννοχερσαίας,,,,,0
50538,,Κάννωκος,n,n-s---mn2-,Καννώκου,,,,,0
50539,κ01438,κανονίας,n,n-s---mn1a,κανονίου,,,,,0
50540,κ01439,κανονίζω,v,----------,,,,/ka.no.níz.dɔː/,,0
50541,κ01440,κανονικάριος,n,n-s---mn2-,κανονικαρίου,,,,,0
50542,κ01441,κανονικός,a,aps---mn1-,κανονικός κανονική κανονικόν,,,,,0
50543,κ01442,κανόνιον,n,n-s---nn2-,κανονίου,,,,,0
50544,κ01443,κανονίς,n,n-s---fn3d,κανονίδος,,,,,0
50546,κ01445,κανονισμός,n,----------,,,,,,0
50547,κ01446,κανονιστέον,a,----------,,,,,,0
50549,κ01448,κανονογραφία,n,n-s---fn1l,κανονογραφίας,,,,,0
50550,κ01449,κανονωτός,n,----------,,,,,,0
50551,κ01450,κανυσῖνος,n,n-s---mn2-,κανυσίνου,,,,,0
50552,κ01451,κάνυστρον,n,n-s---nn2-,κανύστρου,,,,,0
50553,,Κάνωβος,n,n-s---mn2-,,,,/ká.nɔː.bos/,,0
50555,,Κανωπικόν,n,----------,,,,,,0
50556,κ01453,κάνωπον,n,n-s---nn2-,κανώπου,,,,,0
50557,,Κάνωπος,n,n-s---mn2-,Κανώπου,,,,,0
50558,κ01454,κάος,n,n-s---nn3v,κάεος,,,,,0
50559,κ01455,κάπ,n,----------,,,,,,0
21205,γ01086,γογγυλωπός,a,aps---cn2-,γογγυλωπός γογγυλωπός γογγυλωπόν,,,,,0
50562,κ01457,καπάνη,n,n-s---fn1e,καπάνης,,,,,0
50563,κ01459,καπανῆται,n,----------,,,,,,0
50564,κ01458,καπανικός,a,aps---mn1-,καπανικός καπανική καπανικόν,,,,,0
50565,κ01461,καπάριον,n,----------,,,,,,0
50566,κ07470,κὰπατᾶ,n,----------,,,,,,0
50567,κ01462,καπέτις,n,n-s---fn3v,καπέτιος,,,,,0
50568,κ01463,κάπετον,n,----------,,,,,,0
50569,κ01464,κάπετος,n,----------,,,,,,0
50573,κ01467,καπηλεῖον,n,n-s---nn2-,καπηλείου,,,,,0
50575,κ01469,καπηλεύω,v,----------,,,,,,0
50576,κ01470,καπήλη,n,n-s---fn1e,καπήλης,,,,,0
50577,κ01471,καπηλικός,a,aps---mn1-,καπηλικός καπηλική καπηλικόν,,,,,0
50578,κ01472,καπήλιον,n,n-s---nn2-,καπηλίου,,,,,0
50579,κ01473,καπηλίς,n,n-s---fn3d,καπηλίδος,,,,,0
50580,κ01474,καπηλογείτων,n,n-s---mn3n,καπηλογείτονος,,,,,0
50582,κ01476,κάπηλος,n,n-s---cn2-,καπήλου,,,,,0
50583,κ01477,κάπια,n,n-p---nn2-,καπίων,,,,,0
50584,κ01478,καπίθη,n,n-s---fn1e,καπίθης,,,,,0
50585,κ01479,καπίστριον,n,n-s---nn2-,καπιστρίου,,,,,0
50586,κ01480,καπναύγης,n,n-s---mn1e,καπναύγου,,,,,0
50587,κ01481,κάπνειος,n,----------,,,,,,0
50588,κ01482,καπνείω,v,----------,,,,,,0
50589,κ01483,καπνέλαιον,n,n-s---nn2-,καπνελαίου,,,,,0
50590,κ01484,κάπνεος,n,----------,,,,,,0
50591,κ01485,κάπνη,n,n-s---fn1e,κάπνης,,,,,0
50593,κ01487,καπνία,n,n-s---fn1l,καπνίας,,,,,0
50594,κ01488,καπνιαῖος,a,----------,,,,,,0
50595,κ01489,καπνίας,n,----------,,,,,,0
50596,κ01490,καπνιάω,v,----------,,,,,,0
50597,κ01491,καπνίζω,v,----------,,,,,,0
50598,κ01492,κάπνιος,n,----------,,,,,,0
50599,κ01493,κάπνισις,n,n-s---fn3v,καπνισέως,,,,,0
50600,κ01494,κάπνισμα,n,n-s---nn3t,καπνίσματος,,,,,0
50601,κ01495,καπνιστέον,n,----------,,,,,,0
50603,κ01497,καπνιστός,a,aps---mn1-,καπνιστός καπνιστή καπνιστόν,,,,,0
50604,κ01498,καπνίτης,a,----------,,,,,,0
50605,κ01499,καπνοβάτης,n,n-s---mn1e,καπνοβάτου,,,,,0
50607,κ01501,καπνοδόκη,n,n-s---fn1e,καπνοδόκης,,,,,0
50608,κ01502,καπνοδοχεῖον,n,n-s---nn2-,καπνοδοχείου,,,,,0
50610,κ01504,καπνοειδής,a,aps---cn5s,καπνοειδής καπνοειδής καπνοειδές,,,,,0
50611,κ01505,καπνοκορτυάζομαι,v,----------,,,,,,0
50612,κ01506,καπνόμαντις,n,n-s---mn3c,καπνομάντεως,,,,,0
50613,κ01507,καπνόομαι,v,----------,,,,,,0
50614,κ01508,καπνοποιός,a,aps---cn2-,καπνοποιός καπνοποιός καπνοποιόν,,,,,0
50615,κ01509,καπνός,n,n-s---mn2-,καπνοῦ,,,/ka.pnós/,,0
50617,κ01511,καπνοῦχος,n,n-s---mn2-,καπνούχου,,,,,0
21221,γ01103,γοητευτικός,a,aps---mn1-,γοητευτικός γοητευτική γοητευτικόν,,,,,0
50619,κ01513,καπνωτήριον,n,n-s---nn2-,καπνωτηρίου,,,,,0
50620,κ07471,κᾶπος,n,----------,,,,,,0
50621,κ01514,κάπος,n,n-s---mn2-,κάπου,,,,,0
50622,κ01515,κάππα,n,n-s---nn--,,,,,,0
50624,κ01516,καππάριον,n,n-s---nn2-,καππαρίου,,,,,0
50629,κ01521,καππυρίζω,v,----------,,,,,,0
50630,,Καππώτας,n,n-s---mn1a,Καππώτου,,,,,0
50631,κ01522,κάπραινα,n,n-s---fn1s,κάπραινας,,,,,0
50632,κ01523,καπράω,v,----------,,,,,,0
50634,κ01526,καπρία,n,n-s---fn1l,καπρίας,,,,,0
50635,κ01527,καπριάω,v,----------,,,,,,0
50636,κ01528,καπρίδιον,n,n-s---nn2-,καπριδίου,,,,,0
50637,κ01529,καπρίζω,v,----------,,,,,,0
50638,κ01530,καπρίολος,n,----------,,,,,,0
50639,κ01531,κάπριος,n,n-s---mn2-,καπρίου,,,,,0
50640,κ01532,καπρίσκος,n,n-s---mn2-,καπρίσκου,,,,,0
50641,κ01533,καπροβόλιον,n,----------,,,,,,0
50642,κ01534,κάπρος,n,n-s---mn2-,κάπρου,,,/ká.pros/,,0
50645,κ01525,καπρῴζομαι,v,----------,,,,,,0
50646,κ01537,καπρών,n,n-s---mn3n,καπρῶνος,,,,,0
50647,κ01538,καπτρίον,n,n-s---nn2-,καπτρίου,,,,,0
50648,κ01539,κάπτρον,n,----------,,,,,,0
50649,κ01540,κάπτω,v,----------,,,,/káp.tɔː/,,0
50650,κ01541,καπυρίδια,n,n-p---nn2-,καπυριδίων,,,,,0
50651,κ01542,καπυρίζω,v,----------,,,,,,0
50652,κ01543,κάπυρις,n,----------,,,,,,0
50653,κ01544,καπυριστής,n,n-s---mn1e,καπυριστού,,,,,0
50654,κ01545,καπυρόομαι,v,----------,,,,,,0
50656,κ01547,καπυρώδης,a,aps---cn3s,καπυρώδης καπυρώδης καπυρώ͂δες,,,,,0
50657,κ01548,κάπυς,n,----------,,,,,,0
50658,κ01549,καπύω,v,----------,,,,,,0
50659,κ01550,κάπων,n,----------,,,,,,0
50661,κ01552,κάρ,n,----------,,,,,,0
50662,κ07473,κᾶρ,n,----------,,,,,,0
50663,,Κάρ,n,n-s---mn3-,,,,/kǎːr/,,0
50664,κ01554,κάρα,n,----------,,,,,,0
50665,κ01553,κάρα,n,n-s---fn1l,κάρας,,,,,0
50667,κ01556,καραβίς,n,n-s---fn3d,καραβίδος,,,,,0
50669,κ01558,καραβοπρόσωπος,a,aps---cn2-,καραβοπρόσωπος καραβοπρόσωπος καραβοπρόσωπον,,,,,0
50670,κ01559,κάραβος,n,n-s---mn2-,καράβου,,,/kǎː.ra.bos/,,0
50671,κ01560,καραβώδης,a,aps---cn3s,καραβώδης καραβώδης καραβώ͂δες,,,,,0
50672,κ01561,καραδοκέω,v,----------,,,,,,0
50673,κ01562,καραδοκητής,n,----------,,,,,,0
50675,κ01564,καραιβαράω,v,----------,,,,,,0
50676,,Καραιός,n,----------,,,,,,0
50677,κ01565,καράκαλλον,n,n-s---nn2-,καρακάλλου,,,,,0
50678,κ01566,καράμβιος,n,----------,,,,,,0
50679,κ01567,καρανιστήρ,n,----------,,,,,,0
50680,κ01568,κάρανον,n,n-s---nn2-,καράνου,,,,,0
57516,κ08259,κυαθίζω,v,----------,,,,,,0
50683,κ01571,καρανώ,n,----------,,,,,,0
50684,κ01572,καρατομέω,v,----------,,,,,,0
50688,,Κάρβας,n,----------,,,,,,0
50690,κ01576,καρβατιών,n,----------,,,,,,0
50691,κ01578,κάρβων,n,----------,,,,,,0
50692,κ01579,κάρδακες,n,----------,,,,,,0
50693,κ01580,καρδαμάλη,n,n-s---fn1e,καρδαμάλης,,,,,0
50694,κ01581,καρδαμίζω,v,----------,,,,,,0
50695,κ01582,καρδαμίνη,n,n-s---fn1e,καρδαμίνης,,,,,0
50696,κ01583,καρδαμίς,n,n-s---fn3d,καρδαμίδος,,,,,0
50697,κ01584,κάρδαμον,n,n-s---nn2-,καρδάμου,,,,,0
50698,κ01585,καρδαμύσσω,v,----------,,,,,,0
50700,κ01587,καρδάνη,n,----------,,,,,,0
50701,κ01588,καρδία,n,n-s---fn1l,καρδίας,,,/kar.dí.aː/,,0
50703,κ01590,καρδιαλγέω,v,----------,,,,,,0
50704,κ01591,καρδιαλγής,a,aps---cn5s,καρδιαλγής καρδιαλγής καρδιαλγές,,,,,0
50705,κ01592,καρδιαλγία,n,n-s---fn1l,καρδιαλγίας,,,,,0
50707,κ01612,καρδιᾶτις,n,n-s---fn3d,καρδιάτιδος,,,,,0
50708,κ01594,καρδιάω,v,----------,,,,,,0
50709,κ01595,καρδιηβολέω,v,----------,,,,,,0
50710,κ01596,καρδικός,a,aps---mn1-,καρδικός καρδική καρδικόν,,,,,0
50711,κ01597,καρδιοβολέομαι,v,----------,,,,,,0
50712,κ01598,καρδιοβόλος,a,aps---cn2-,καρδιοβόλος καρδιοβόλος καρδιοβόλον,,,,,0
50713,κ01599,καρδιογνώστης,n,n-s---mn1e,καρδιογνώστου,,,,,0
50714,κ01600,καρδιόδαιτος,a,aps---cn2-,καρδιόδαιτος καρδιόδαιτος καρδιόδαιτον,,,,,0
50716,κ01602,καρδιοειδής,a,aps---cn5s,καρδιοειδής καρδιοειδής καρδιοειδές,,,,,0
50717,κ01603,κάρδιον,n,n-s---nn2-,καρδίου,,,,,0
50718,κ01604,καρδιόπληκτος,a,aps---cn2-,καρδιόπληκτος καρδιόπληκτος καρδιόπληκτον,,,,,0
50719,κ01605,καρδιότης,n,----------,,,,,,0
50720,κ01606,καρδιότρωτος,a,aps---cn2-,καρδιότρωτος καρδιότρωτος καρδιότρωτον,,,,,0
50721,κ01607,καρδιουλκέω,v,----------,,,,,,0
50722,κ01608,καρδιουλκία,n,n-s---fn1l,καρδιουλκίας,,,,,0
50723,κ01609,καρδιουργέω,v,----------,,,,,,0
50724,κ01610,καρδιοφύλαξ,n,n-s---mn3e,καρδιοφύλακος,,,,,0
50725,κ01611,καρδιόω,v,----------,,,,,,0
50727,κ01614,καρδιώσσω,v,----------,,,,,,0
50728,κ01615,καρδοπεῖον,n,n-s---nn2-,καρδοπείου,,,,,0
50730,κ01617,κάρδοπος,n,----------,,,,,,0
50731,κ01618,κάρδος,n,----------,,,,,,0
50732,κ01619,καρέα,n,n-s---fn1l,καρέας,,,,,0
50733,κ01620,κάρειον,n,n-s---nn2-,καρείου,,,,,0
50734,,Κάρειος,n,n-s---mn2-,Καρείου,,,,,0
50735,κ01621,κάρζα,n,----------,,,,,,0
50739,κ01625,καρηβαρία,n,n-s---fn1l,καρηβαρίας,,,,,0
50741,κ01627,καρηκομόωντες,n,----------,,,,,,0
50743,κ01628,κάρηνον,n,n-s---nn2-,καρήνου,,,,,0
50744,κ01629,κάρητος,n,n-s---an--,,,,,,0
50745,κ01630,καρθμός,n,----------,,,,,,0
50746,κ01631,κάρθρα,n,n-p---nn2-,κάρθρων,,,,,0
50747,κ01632,κάρι,n,n-s---nn--,,,,,,0
50749,κ01634,καριδόω,v,----------,,,,,,0
50750,κ01635,καρίεντο,n,----------,,,,,,0
50751,,Καρίζω,v,----------,,,,,,0
50752,,Καρικοεργής,a,aps---cn5s,Καρικοεργής Καρικοεργής Καρικοεργές,,,,,0
50753,,Καρικός,a,aps---mn1-,Καρικός Καρική Καρικόν,,,,,0
50754,,Καρίνη,n,n-s---fn1e,Καρίνης,,,,,0
50755,,Καρινός,n,----------,,,,,,0
50757,,Κάριος,a,aps---mn1-,Κάριος Κάρια Κάριον,,,,,0
50758,κ01637,καριόω,v,----------,,,,,,0
50759,κ01638,καρίς,n,n-s---fn3d,καρῖδος,,,/kaː.rǐːs/,,0
50760,κ01639,κάρισο,n,----------,,,,,,0
50761,,Καριστί,r,----------,,,,,,0
50762,,Καρίων,n,n-s---mn3n,Καρίωνος,,,,,0
50763,κ01640,καρκάδων,a,aps---cn3n,καρκάδων καρκάδων καρκάδον,,,,,0
50764,κ01641,καρκαίρω,v,----------,,,,,,0
50765,κ01642,κάρκαρα,n,n-p---nn2-,καρκάρων,,,,,0
50766,κ01643,καρκαρίς,n,----------,,,,,,0
50767,κ01644,κάρκαρον,n,n-s---nn2-,καρκάρου,,,,,0
50768,κ01645,καρκινάς,n,n-s---fn3d,καρκινάδος,,,,,0
50769,κ01646,καρκινευτής,n,n-s---mn1e,καρκινευτού,,,,,0
50771,κ01648,καρκινίας,n,n-s---mn1a,καρκινίου,,,,,0
50772,κ01649,καρκίνιον,n,n-s---nn2-,καρκινίου,,,,,0
50774,κ01651,καρκινοβήτης,n,----------,,,,,,0
50775,κ01652,καρκινοειδής,a,aps---cn5s,καρκινοειδής καρκινοειδής καρκινοειδές,,,,,0
50776,κ01653,καρκινόπους,a,----------,,,,,,0
50777,κ01654,καρκίνος,n,n-s---mn2-,καρκίνου,,,/kar.kí.nos/,,0
50779,κ01656,καρκινόω,v,----------,,,,,,0
50780,κ01657,καρκινώδης,a,aps---cn3s,καρκινώδης καρκινώδης καρκινώ͂δες,,,,,0
50781,κ01658,καρκίνωθρον,n,n-s---nn2-,καρκινώθρου,,,,,0
50782,κ01659,καρκίνωμα,n,n-s---nn3t,καρκινώματος,,,,,0
50783,κ01660,καρκίνωσις,n,n-s---fn3v,καρκινωσέως,,,,,0
50784,κ01661,κάρμα,n,n-s---nn3t,κάρματος,,,/kár.ma/,,0
50786,,Καρνεᾶται,n,----------,,,,,,0
50787,,Καρνειάσιον,n,n-s---nn2-,Καρνειασίου,,,,,0
50788,,Κάρνειος,n,n-s---mn2-,Καρνείου,,,,,0
50789,κ01664,κάρνειος,n,----------,,,,,,0
50790,,Καρνεονίκης,n,----------,,,,,,0
50791,κ01665,κάρνον,n,n-s---nn2-,κάρνου,,,,,0
50792,κ01666,κάρνος,n,n-s---mn2-,κάρνου,,,,,0
50797,κ01670,κάρον,n,n-s---nn2-,κάρου,,,,,0
50799,κ01675,καροῦχα,n,n-s---fn1s,καρούχας,,,,,0
50801,κ01676,καρόω,v,----------,,,,,,0
50802,κ01677,καρπαία,n,n-s---fn1l,καρπαίας,,,,,0
21232,γ01111,γομοφόρος,a,aps---cn2-,γομοφόρος γομοφόρος γομοφόρον,,,,,0
50804,κ01680,καρπάσινος,a,aps---mn1-,καρπάσινος καρπασίνη καρπάσινον,,,,,0
50805,κ01681,καρπάσιον,n,n-s---nn2-,καρπασίου,,,,,0
50806,,Καρπάσιον,n,----------,,,,,,0
50808,κ01683,καρπάτινον,n,----------,,,,,,0
50809,κ01684,καρπεία,n,n-s---fn1l,καρπείας,,,,,0
50810,κ01685,καρπεῖον,n,n-s---nn2-,καρπείου,,,,,0
50811,κ01686,κάρπευμα,n,n-s---nn3t,καρπεύματος,,,,,0
50812,κ01687,καρπεύω,v,----------,,,,,,0
50813,κ01688,καρπέω,n,n-s---nn3t,καρπέατος,,,,,0
50814,κ01689,καρπήσιον,n,n-s---nn2-,καρπησίου,,,,,0
50815,κ01691,καρπίζω,v,----------,,,,,,0
50816,κ01690,καρπίζω,n,----------,,,,,,0
50817,κ01692,κάρπιμος,a,aps---cn2-,κάρπιμος κάρπιμος κάρπιμον,,,,,0
50818,κ01694,καρπίον,n,n-s---nn2-,καρπίου,,,,,0
50819,κ01693,κάρπιον,n,n-s---nn2-,καρπίου,,,,,0
50820,,Κάρπιος,n,n-s---mn2-,Καρπίου,,,,,0
50822,κ01696,καρπισμός,n,----------,,,,,,0
50824,κ01698,καρπιστικός,a,aps---mn1-,καρπιστικός καρπιστική καρπιστικόν,,,,,0
50825,κ01699,καρποβάλσαμον,n,n-s---nn2-,καρποβαλσάμου,,,,,0
50827,κ01701,καρπογένεθλος,a,aps---cn2-,καρπογένεθλος καρπογένεθλος καρπογένεθλον,,,,,0
50828,κ01702,καρπογονέω,v,----------,,,,,,0
50829,κ01703,καρπογονία,n,n-s---fn1l,καρπογονίας,,,,,0
50830,κ01704,καρπόγονος,a,aps---cn2-,καρπόγονος καρπόγονος καρπόγονον,,,,,0
50831,κ01705,καρποδαιστάς,n,----------,,,,,,0
50832,κ01706,καρπόδεσμα,n,n-p---nn2-,καρποδέσμων,,,,,0
50833,κ01708,καρπόδεσμος,n,n-s---mn2-,καρποδέσμου,,,,,0
50835,κ01709,καρποδότειρα,n,n-s---fn1s,καρποδότειρας,,,,,0
50836,κ01710,καρποδόχος,a,aps---cn2-,καρποδόχος καρποδόχος καρποδόχον,,,,,0
50837,κ01711,καρπολογέω,v,----------,,,,,,0
50838,κ01712,καρπολογία,n,n-s---fn1l,καρπολογίας,,,,,0
50840,κ01714,καρπολόχος,a,aps---cn2-,καρπολόχος καρπολόχος καρπολόχον,,,,,0
50841,κ01715,καρπομανής,a,aps---cn5s,καρπομανής καρπομανής καρπομανές,,,,,0
50843,κ01717,καρπός,n,----------,,,,,,0
50844,κ01718,καρπός,n,n-s---mn2-,,,,,,0
50845,κ01719,καρποσπόρος,a,aps---cn2-,καρποσπόρος καρποσπόρος καρποσπόρον,,,,,0
50848,κ01722,καρποτοκέω,v,----------,,,,,,0
50849,κ01723,καρποτοκία,n,n-s---fn1l,καρποτοκίας,,,,,0
50850,κ01724,καρπότοκος,a,aps---cn2-,καρπότοκος καρπότοκος καρπότοκον,,,,,0
50851,κ01725,καρποτρόφος,a,aps---cn2-,καρποτρόφος καρποτρόφος καρποτρόφον,,,,,0
50852,κ01726,καρποφαγέω,v,----------,,,,,,0
50855,κ01729,καρποφορέω,v,----------,,,,,,0
50856,κ01730,καρποφόρημα,n,n-s---nn3t,καρποφορήματος,,,,,0
50858,κ01732,καρπόφορος,a,aps---cn2-,καρπόφορος καρπόφορος καρπόφορον,,,,,0
50859,κ01733,καρποφύλαξ,n,n-s---mn3e,καρποφύλακος,,,,,0
50860,κ01734,καρπόφυλλον,n,n-s---nn2-,καρποφύλλου,,,,,0
50861,κ01735,καρπόχειρ,n,----------,,,,,,0
50863,κ01737,καρπύλη,n,n-s---fn1e,καρπύλης,,,,,0
50865,κ01739,κάρπωμα,n,n-s---nn3t,καρπώματος,,,,,0
50866,κ01740,καρπώνης,n,n-s---mn1e,καρπώνου,,,,,0
50867,κ01741,καρπωνία,n,n-s---fn1l,καρπωνίας,,,,,0
50868,κ01742,καρπώσιμος,a,aps---cn2-,καρπώσιμος καρπώσιμος καρπώσιμον,,,,,0
50869,κ01743,κάρπωσις,n,n-s---fn3v,καρπωσέως,,,,,0
50870,κ01744,καρπωτός,a,aps---cn2-,καρπωτός καρπωτός καρπωτόν,,,,,0
50871,κ01745,καρρέζουσα,n,----------,,,,,,0
50873,κ01747,καρρίον,n,----------,,,,,,0
50874,κ01748,κάρρον,n,n-s---nn2-,,,,,,0
50875,κ01749,κάρρων,a,aps---cn3n,κάρρων κάρρων κάρρον,,,,,0
50876,κ01750,κάρσιος,a,aps---mn1-,κάρσιος κάρσια κάρσιον,,,,,0
50877,κ01751,κάρτα,r,----------,,,,,,0
50878,κ01752,καρτάζω,v,----------,,,,,,0
50879,κ01753,καρτάζωνος,n,n-s---mn2-,καρταζώνου,,,,,0
50880,κ01754,καρταίπους,n,----------,,,,,,0
50881,κ01755,καρτάλαμον,n,n-s---nn2-,καρταλάμου,,,,,0
50882,κ01756,κάρταλλος,n,n-s---mn2-,,,,,,0
50884,κ01758,καρτεραίχμης,n,----------,,,,,,0
50885,κ01759,καρτερέω,v,----------,,,,,,0
