ιπόπνοος λιπόπνοον,,λιπόπνους λιπόπνους λιπόπνουν,,,0
60432,λ01834,λιποπτόλεμος,a,aps---cn2-,λιποπτόλεμος λιποπτόλεμος λιποπτόλεμον,,,,,0
60433,λ01835,λιπόπτολις,n,----------,,,,,,0
60434,λ01836,λιποπωγωνία,n,n-s---fn1l,λιποπωγωνίας,,,,,0
60436,λ01838,λίπος,n,n-s---nn3-,,,,,,0
60437,λ01839,λιποσαρκέω,v,----------,,,,,,0
60438,λ01840,λιποσαρκής,a,aps---cn5s,λιποσαρκής λιποσαρκής λιποσαρκές,,,,,0
60439,λ01841,λιποσαρκία,n,n-s---fn1l,λιποσαρκίας,,,,,0
60440,λ01842,λιπόσαρκος,a,aps---cn2-,λιπόσαρκος λιπόσαρκος λιπόσαρκον,,,,,0
60441,λ01843,λιπόσαρξ,n,----------,,,,,,0
60443,λ01845,λιποσιτέω,v,----------,,,,,,0
60444,λ01846,λιπόσκιος,a,aps---cn2-,λιπόσκιος λιπόσκιος λιπόσκιον,,,,,0
60446,λ01848,λιποστρατέω,v,----------,,,,,,0
60447,λ01849,λιποστρατία,n,n-s---fn1l,λιποστρατίας,,,,,0
60448,λ01850,λιποστρατιώτης,n,n-s---mn1e,λιποστρατιώτου,,,,,0
60449,λ01851,λιποτακτέω,v,----------,,,,,,0
60450,λ01852,λιποτάκτης,n,n-s---mn1e,λιποτάκτου,,,,,0
60451,λ01853,λιπότακτος,n,n-s---mn2-,λιποτάκτου,,,,,0
60452,λ01854,λιποταξία,n,n-s---fn1l,λιποταξίας,,,,,0
60453,λ01855,λιποτάξιον,n,n-s---nn2-,λιποταξίου,,,,,0
60454,λ01856,λιποταξίου,n,----------,,,,,,0
60456,λ01858,λιποτελέω,v,----------,,,,,,0
60457,λ01859,λιπότης,n,n-s---fn3t,λιπότητος,,,,,0
60458,λ01860,λιποτονέω,v,----------,,,,,,0
60409,λ01811,λίποθριξ,n,----------,,,,,,0
60462,λ01864,λίπουρος,n,----------,,,,,,0
60463,λ01865,λιποφεγγής,a,aps---cn5s,λιποφεγγής λιποφεγγής λιποφεγγές,,,,,0
60464,λ01866,λιπόφθογγος,a,aps---cn2-,λιπόφθογγος λιπόφθογγος λιπόφθογγον,,,,,0
60465,λ01867,λιποψυχέω,v,----------,,,,,,0
60466,λ01868,λιποψυχία,n,n-s---fn1l,λιποψυχίας,,,,,0
60468,λ01870,λιπόω,v,----------,,,,,,0
60469,λ01871,λίπτομαι,v,----------,,,,,,0
60470,λ01872,λιπυρία,n,n-s---fn1l,λιπυρίας,,,,,0
60471,λ01873,λιπώδης,a,aps---cn3s,λιπώδης λιπώδης λιπώ͂δες,,,,,0
60472,λ01874,λιραίνω,v,----------,,,,,,0
60473,λ01875,λίρινος,n,----------,,,,,,0
60474,λ01876,λιρός,a,aps---mn1-,λιρός λιρά λιρόν,,,,,0
60475,λ01877,λιρόφθαλμος,a,aps---cn2-,λιρόφθαλμος λιρόφθαλμος λιρόφθαλμον,,,,,0
60476,λ01881,λίς,n,----------,,,,,,0
60477,λ01879,λίς,n,n-s---mn3l,,,,,,0
60478,λ01882,λίσαι,n,----------,,,,,,0
60479,λ01883,λισγάριον,n,n-s---nn2-,λισγαρίου,,,,,0
60480,λ01878,λίσῃ,n,----------,,,,,,0
60482,λ01885,λίσπος,a,aps---mn1-,λίσπος λίσπη λίσπον,,,/lís.pos/,,0
60483,λ01886,λισσάνιος,a,----------,,,,,,0
60484,λ01887,λισσάς,a,aps---an3d,λισσάς λισσάς λισσάς,,,,,0
60485,λ01888,λίσσομαι,v,----------,,,,,,0
60486,λ01889,λισσός,a,aps---mn1-,λισσός λισσή λισσόν,,,/lis.sós/,,0
60487,λ01890,λισσόω,v,----------,,,,,,0
60488,λ01891,λίσσωμα,n,n-s---nn3t,λισσώματος,,,,,0
60489,λ01892,λίσσωσις,n,n-s---fn3v,λισσωσέως,,,,,0
60490,λ01893,λιστός,a,aps---mn1-,λιστός λιστή λιστόν,,,,,0
60491,λ01894,λιστραίνω,v,----------,,,,,,0
60492,λ01895,λιστρεύω,v,----------,,,,,,0
60495,λ01898,λιστρόω,v,----------,,,,,,0
60496,λ01899,λιστρωτός,a,aps---mn1-,λιστρωτός λιστρωτή λιστρωτόν,,,,,0
60497,λ01900,λίσφος,a,aps---mn1-,λίσφος λίσφη λίσφον,,,,,0
60498,λ01901,λίσχροι,n,n-p---mn2-,λίσχρων,,,,,0
60499,λ02299,λῖτα,n,----------,,,,,,0
60500,λ01902,λιτάζομαι,v,----------,,,,,,0
60501,λ01903,λιταίνω,v,----------,,,,,,0
60502,λ01909,λιταῖος,n,----------,,,,,,0
60505,λ01906,λιτανευτός,a,aps---mn1-,λιτανευτός λιτανευτή λιτανευτόν,,,,,0
60506,λ01907,λιτανεύω,v,v1spia--1-,,,,,,0
60507,λ01908,λιτανός,a,aps---mn1-,λιτανός λιτανή λιτανόν,,,,,0
60508,λ01910,λιταργίζω,v,----------,,,,,,0
60509,λ01911,λιταργισμός,n,n-s---mn2-,λιταργισμού,,,,,0
60511,λ01913,λιτή,n,n-s---fn1e,λιτῆς,,,/li.tɛ̌ː/,,0
60512,λ01923,λιτῆρα,n,----------,,,,,,0
60513,λ01914,λιτί,r,----------,,,,,,0
60514,λ01915,λιτόβιος,a,aps---cn2-,λιτόβιος λιτόβιος λιτόβιον,,,,,0
60461,λ01863,λιπουργός,a,----------,,,,,,0
60517,λ01919,λιτός,a,----------,,,,,,0
60518,λ01918,λιτός,a,----------,,,,,,0
60519,λ01920,λιτός,a,aps---mn1-,λιτός λιτή λιτόν,,,,,0
60520,λ01921,λιτότης,n,n-s---fn3t,λιτότητος,,,/liː.tó.tɛːs/,,0
60521,λ01922,λιτουργέω,v,----------,,,,,,0
60522,λ01924,λίτρα,n,n-s---fn1l,λίτρας,,,/lǐː.traː/,,0
60524,λ01926,λιτρασμός,n,----------,,,,,,0
60525,λ01927,λιτριαῖος,a,aps---mn1-,λιτριαῖος λιτριαῖα λιτριαῖον,,,,,0
60526,λ01928,λιτρίζω,v,----------,,,,,,0
60527,λ01929,λιτρισμός,n,----------,,,,,,0
60528,λ01930,λιτροδόκη,n,n-s---fn1e,λιτροδόκης,,,,,0
60529,λ01931,λιτρόμηλον,n,n-s---nn2-,λιτρομήλου,,,,,0
60530,λ01932,λίτρον,n,n-s---nn2-,λίτρου,,,,,0
60531,λ01933,λιτροπώλης,n,n-s---mn1e,λιτροπώλου,,,,,0
60534,λ01936,λιττάς,n,----------,,,,,,0
60535,,Λιτυέρσης,n,n-s---mn1e,Λιτυέρσου,,,,,0
60536,λ01937,λίτυον,n,n-s---nn2-,λιτύου,,,,,0
60537,λ01938,λιφαιμέω,v,----------,,,,,,0
60538,λ01939,λιφαιμία,n,n-s---fn1l,λιφαιμίας,,,,,0
60539,λ01940,λίφαιμος,a,aps---cn2-,λίφαιμος λίφαιμος λίφαιμον,,,,,0
60540,λ01941,λιχανοειδὴς,n,----------,,,,,,0
60541,λ01942,λιχανός,a,----------,,,,,,0
60542,λ01943,λιχάς,n,n-s---fn3d,λιχάδος,,,,,0
60543,λ01944,λιχήν,n,n-s---mn3n,λιχῆνος,,,,,0
60544,λ01945,λιχμάζω,v,----------,,,,,,0
60545,λ01946,λιχμαίνω,v,----------,,,,,,0
60547,λ01948,λιχμήμων,a,aps---cn3n,λιχμήμων λιχμήμων λιχμήμον,,,,,0
60548,λ01949,λιχμήρης,a,aps---cn3s,λιχμήρης λιχμήρης λιχμή͂ρες,,,,,0
60549,λ01950,λιχνάομαι,v,----------,,,,,,0
60550,λ01951,λιχνεία,n,n-s---fn1l,λιχνείας,,,,,0
