5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
95917,σ06666,συνενεχυράζω,v,----------,,,,,,0
95976,σ06725,συνεξετάζω,v,----------,,,,,,0
95978,σ06727,συνεξευπορέω,v,----------,,,,,,0
95979,σ06728,συνεξευρίσκω,v,----------,,,,,,0
95980,σ06729,συνεξηγέομαι,v,----------,,,,,,0
95981,σ06730,συνεξημερόομαι,v,----------,,,,,,0
95982,σ06731,συνεξιάομαι,v,----------,,,,,,0
95984,σ06733,συνεξικμάζω,v,----------,,,,,,0
95985,σ06734,συνεξικνέομαι,v,----------,,,,,,0
95987,σ06736,συνεξισάζω,v,----------,,,,,,0
95988,σ06737,συνεξισόω,v,----------,,,,,,0
95989,σ06738,συνεξίσταμαι,v,----------,,,,,,0
95991,σ06740,συνεξιχνεύω,v,----------,,,,,,0
95992,σ06741,συνεξοδεύω,v,----------,,,,,,0
95993,σ06742,συνεξόζω,v,----------,,,,,,0
95994,σ06743,συνεξοιδέω,v,----------,,,,,,0
95995,σ06744,συνεξοικονομέω,v,----------,,,,,,0
95996,σ06745,συνεξοκέλλω,v,----------,,,,,,0
95998,σ06747,συνεξολισθάνω,v,----------,,,,,,0
95999,σ06748,συνεξόμνυμι,v,----------,,,,,,0
96000,σ06749,συνεξομοιόω,v,----------,,,,,,0
96001,σ06750,συνεξομοίωσις,n,n-s---fn3v,συνεξομοιωσέως,,,,,0
96002,σ06751,συνεξορθιάζω,v,----------,,,,,,0
96003,σ06752,συνεξορίζω,v,----------,,,,,,0
96005,σ06754,συνεξορούω,v,----------,,,,,,0
96006,σ06755,συνεξοτρύνω,v,----------,,,,,,0
96007,σ06756,συνεξουρέω,v,----------,,,,,,0
96009,σ06758,συνεξυγραίνω,v,----------,,,,,,0
96010,σ06759,συνεξυμνέω,v,----------,,,,,,0
96011,σ06760,συνεξωθέω,v,----------,,,,,,0
96013,σ06762,συνέορσις,n,----------,,,,,,0
96014,σ06763,συνεορτάζω,v,----------,,,,,,0
96015,σ06764,συνεορταστής,n,n-s---mn1e,συνεορταστού,,,,,0
96016,σ06765,συνεοχμός,n,----------,,,,,,0
96017,σ06766,συνεπάγω,v,----------,,,,,,0
96019,σ06789,συνεπᾴδω,v,----------,,,,,,0
96020,σ06769,συνεπαινέω,v,----------,,,,,,0
96021,σ06770,συνέπαινος,a,aps---cn2-,συνέπαινος συνέπαινος συνέπαινον,,,,,0
96022,σ06771,συνεπαίρω,v,----------,,,,,,0
96023,σ06772,συνεπαισθάνομαι,v,----------,,,,,,0
96025,σ06774,συνεπαιτιάομαι,v,----------,,,,,,0
96026,σ06775,συνεπαιωρέομαι,v,----------,,,,,,0
96027,σ06776,συνεπακολουθέω,v,----------,,,,,,0
96028,σ06777,συνεπακτήρ,n,n-s---mn3r,συνεπακτῆρος,,,,,0
96029,σ06778,συνεπαλαλάζω,v,----------,,,,,,0
95975,σ06724,συνεξέρχομαι,v,----------,,,,,,0
96032,σ06781,συνεπανίσταμαι,v,----------,,,,,,0
96033,σ06782,συνεπανορθόω,v,----------,,,,,,0
96034,σ06783,συνεπάπτομαι,v,----------,,,,,,0
96035,σ06784,συνεπαρήγω,v,----------,,,,,,0
96037,σ06786,συνεπασκέω,v,----------,,,,,,0
96038,σ06787,συνεπαύξω,v,----------,,,,,,0
96040,σ06790,συνέπεια,n,n-s---fn1s,συνέπειας,,,,,0
96041,σ06791,συνεπείγω,v,----------,,,,,,0
96042,σ06792,συνέπειμι,v,----------,,,,,,0
96043,σ06793,συνέπειξις,n,n-s---fn3v,συνεπειξέως,,,,,0
96044,σ06794,συνεπείσειμι,v,----------,,,,,,0
96046,σ06796,συνεπεισπίπτω,v,----------,,,,,,0
96047,σ06797,συνεπεισρέω,v,----------,,,,,,0
96048,σ06798,συνεπεισφέρω,v,----------,,,,,,0
96049,σ06799,συνεπεκπίνω,v,----------,,,,,,0
96050,σ06800,συνεπεκτείνω,v,----------,,,,,,0
96052,σ06802,συνεπελαφρύνω,v,----------,,,,,,0
96055,σ06805,συνεπερείδω,v,----------,,,,,,0
96056,σ06806,συνεπερίζω,v,----------,,,,,,0
96057,σ06807,συνεπέρχομαι,v,----------,,,,,,0
96058,σ06808,συνεπεσπόμην,n,----------,,,,,,0
96059,σ06809,συνεπευδοκέω,v,----------,,,,,,0
96060,σ06810,συνεπευθύνω,v,----------,,,,,,0
96062,σ06812,συνεπεύχομαι,v,----------,,,,,,0
96063,σ06813,συνεπέχω,v,----------,,,,,,0
96064,σ06814,συνεπηχέω,v,----------,,,,,,0
96065,σ06815,συνεπιβαίνω,v,----------,,,,,,0
96066,σ06816,συνεπιβάλλω,v,----------,,,,,,0
96068,σ06818,συνεπιβλέπω,v,----------,,,,,,0
96069,σ06819,συνεπιβοηθέω,v,----------,,,,,,0
96071,σ06821,συνεπίβουλος,n,n-s---mn2-,συνεπιβούλου,,,,,0
96072,σ06822,συνεπιγαυρόω,v,----------,,,,,,0
96073,σ06823,συνεπιγελάω,v,----------,,,,,,0
96074,σ06824,συνεπιγίγνομαι,v,----------,,,,,,0
96076,σ06826,συνεπιγραφή,n,n-s---fn1e,συνεπιγραφῆς,,,,,0
96077,σ06827,συνεπιγράφω,v,----------,,,,,,0
96078,σ06828,συνεπιδείκνυμι,v,----------,,,,,,0
96079,σ06829,συνεπιδεσμέω,v,----------,,,,,,0
96080,σ06830,συνεπιδέω,v,----------,,,,,,0
96081,σ06831,συνεπιδημέω,v,----------,,,,,,0
96082,σ06832,συνεπιδίδωμι,v,----------,,,,,,0
96084,σ06834,συνεπιζητέω,v,----------,,,,,,0
96085,σ06835,συνεπιθειάζω,v,----------,,,,,,0
96086,σ06836,συνεπίθεσις,n,n-s---fn3v,συνεπιθεσέως,,,,,0
96031,σ06780,συνεπανήκω,v,----------,,,,,,0
96089,σ06839,συνεπιθήγω,v,----------,,,,,,0
96090,σ06840,συνεπιθλίβω,v,----------,,,,,,0
96091,σ06841,συνεπιθορυβέω,v,----------,,,,,,0
96092,σ06842,συνεπιθρηνέω,v,----------,,,,,,0
96095,σ06845,συνεπιθυμέω,v,----------,,,,,,0
96096,σ06846,συνεπιθυμητής,n,n-s---mn1e,συνεπιθυμητού,,,,,0
96097,σ06847,συνεπιθωύ̈σσω,v,----------,,,,,,0
96098,σ06848,συνεπικαίω,v,----------,,,,,,0
96099,σ06849,συνεπικαλέομαι,v,----------,,,,,,0
96100,σ06850,συνεπίκειμαι,v,----------,,,,,,0
96101,σ06851,συνεπικελεύω,v,----------,,,,,,0
96103,σ06853,συνεπικλίνω,v,----------,,,,,,0
96104,σ06854,συνεπικοσμέω,v,----------,,,,,,0
96105,σ06855,συνεπικούρειος,n,n-s---mn2-,συνεπικουρείου,,,,,0
96106,σ06856,συνεπικουρέω,v,----------,,,,,,0
96107,σ06857,συνεπικουφίζω,v,----------,,,,,,0
96109,σ06859,συνεπικρατέω,v,----------,,,,,,0
96110,σ06860,συνεπικρίνω,v,----------,,,,,,0
96111,σ06861,συνεπικροτέω,v,----------,,,,,,0
96112,σ06862,συνεπικρύπτω,v,----------,,,,,,0
96113,σ06863,συνεπικυρόω,v,----------,,,,,,0
96114,σ06864,συνεπικωμάζω,v,----------,,,,,,0
96117,σ06867,συνεπιλάμπω,v,----------,,,,,,0
96118,σ06868,συνεπιλέγω,v,----------,,,,,,0
96119,σ06869,συνεπιλείπω,v,----------,,,,,,0
96120,σ06870,συνεπιλεκτέον,n,----------,,,,,,0
96121,σ06871,συνεπιλογίζομαι,v,----------,,,,,,0
96123,σ06873,συνεπιλύομαι,v,----------,,,,,,0
96124,σ06874,συνεπιμαρτυρέω,v,----------,,,,,,0
96125,σ06875,συνεπιμαρτύρησις,n,n-s---fn3v,συνεπιμαρτυρησέως,,,,,0
96126,σ06876,συνεπιμείγνυμι,v,----------,,,,,,0
96127,σ06877,συνεπιμειδιάω,v,----------,,,,,,0
96129,σ06879,συνεπιμελητής,n,n-s---mn1e,συνεπιμελητού,,,,,0
96130,σ06880,συνεπιμερίζω,v,----------,,,,,,0
96131,σ06881,συνεπιμεριστέον,n,----------,,,,,,0
96132,σ06882,συνεπινεύω,v,----------,,,,,,0
96133,σ06883,συνεπινήχομαι,v,----------,,,,,,0
96134,σ06884,συνεπινοέω,v,----------,,,,,,0
96136,σ06886,συνεπιορκέω,v,----------,,,,,,0
96137,σ06887,συνεπιπάσχω,v,----------,,,,,,0
96138,σ06888,συνεπιπλέκω,v,----------,,,,,,0
96139,σ06889,συνεπιπλέω,v,----------,,,,,,0
96141,σ06891,συνεπιπονέω,v,----------,,,,,,0
96088,σ06838,συνεπιθεωρέω,v,----------,,,,,,0
96144,σ06894,συνεπιρρέω,v,----------,,,,,,0
96145,σ06895,συνεπιρρώννυμι,v,----------,,,,,,0
96146,σ06896,συνεπισημαίνω,v,----------,,,,,,0
96148,σ06898,συνεπισκέπω,v,----------,,,,,,0
96149,σ06899,συνεπισκευάζω,v,----------,,,,,,0
96150,σ06900,συνεπισκοπέω,v,----------,,,,,,0
96152,σ06902,συνεπισκυθρωπάζω,v,----------,,,,,,0
96153,σ06903,συνεπισπάω,v,----------,,,,,,0
96154,σ06904,συνεπίσταμαι,v,----------,,,,,,0
96156,σ06906,συνεπιστατέω,v,----------,,,,,,0
96157,σ06907,συνεπιστέλλω,v,----------,,,,,,0
96158,σ06908,συνεπιστενάζω,v,----------,,,,,,0
96159,σ06909,συνεπιστένω,v,----------,,,,,,0
96160,σ06910,συνεπιστήμων,n,----------,,,,,,0
96161,σ06911,συνεπιστρατεύω,v,----------,,,,,,0
96163,σ06913,συνεπισυκοφαντέω,v,----------,,,,,,0
96164,σ06914,συνεπισύρομαι,v,----------,,,,,,0
96165,σ06915,συνεπισφάζω,v,----------,,,,,,0
96166,σ06916,συνεπισφραγίζω,v,----------,,,,,,0
96167,σ06917,συνεπισχύω,v,----------,,,,,,0
96170,σ06920,συνεπιτείνω,v,----------,,,,,,0
96171,σ06921,συνεπιτελέω,v,----------,,,,,,0
96172,σ06922,συνεπιτέλλω,v,----------,,,,,,0
96173,σ06923,συνεπιτέμνω,v,----------,,,,,,0
96174,σ06924,συνεπιτίθημι,v,----------,,,,,,0
96175,σ06925,συνεπιτιμάω,v,----------,,,,,,0
96176,σ06926,συνεπιτρέπω,v,----------,,,,,,0
96178,σ06928,συνεπιτρίβω,v,----------,,,,,,0
96179,σ06929,συνεπιτροπεύω,v,----------,,,,,,0
96180,σ06930,συνεπίτροπος,n,n-s---mn2-,συνεπιτρόπου,,,,,0
96181,σ06931,συνεπιτροχάζομαι,v,----------,,,,,,0
96182,σ06932,συνεπιτυφόω,v,----------,,,,,,0
96184,σ06934,συνεπιφάσκω,v,----------,,,,,,0
96185,σ06935,συνεπιφέρω,v,----------,,,,,,0
96186,σ06936,συνεπίφημι,v,----------,,,,,,0
96187,σ06937,συνεπιφθέγγομαι,v,----------,,,,,,0
96189,σ06939,συνεπιφύομαι,v,----------,,,,,,0
96190,σ06940,συνεπιφωνέω,v,----------,,,,,,0
96191,σ06941,συνεπιχειρέω,v,----------,,,,,,0
96193,σ06943,συνεπιχωρέω,v,----------,,,,,,0
96194,σ06944,συνεπιψεύδομαι,v,----------,,,,,,0
96195,σ06945,συνεπιψηφίζω,v,----------,,,,,,0
96197,σ06947,συνεποκέλλω,v,----------,,,,,,0
96143,σ06893,συνεπιρρέπω,v,----------,,,,,,0
96200,σ06951,συνεποπτεύω,v,----------,,,,,,0
96201,σ06952,συνεποτρύνω,v,----------,,,,,,0
96202,σ06953,συνεπουλόομαι,v,----------,,,,,,0
96204,σ06955,συνεπουρίζω,v,----------,,,,,,0
96206,σ06768,συνεπῳάζω,v,----------,,,,,,0
96207,σ06957,συνεπωθέω,v,----------,,,,,,0
96208,σ06958,συνερανίζω,v,----------,,,,,,0
96209,σ06959,συνερανισμός,n,----------,,,,,,0
96210,σ06960,συνερανιστής,n,n-s---mn1e,συνερανιστού,,,,,0
96212,σ06962,συνεραστής,n,n-s---mn1e,συνεραστού,,,,,0
96213,σ06963,συνεράω,n,----------,,,,,,0
96214,σ06964,συνεράω,n,----------,,,,,,0
96215,σ06965,συνεργάζομαι,v,----------,,,,/sy.ner.ɡáz.do.mai̯/,,0
96216,σ06966,συνεργασία,n,n-s---fn1l,συνεργασίας,,,,,0
96217,σ06967,συνεργάτης,n,n-s---mn1e,συνεργάτου,,,,,0
96218,σ06968,συνεργατίνης,n,n-s---mn1e,συνεργατίνου,,,,,0
96219,σ06969,συνέργεια,n,----------,,,,,,0
96220,σ06970,συνέργειον,n,----------,,,,,,0
96222,σ06972,συνεργέω,v,----------,,,,,,0
96223,σ06973,συνέργημα,n,n-s---nn3t,συνεργήματος,,,,,0
96225,σ06975,συνεργητέον,n,----------,,,,,,0
96226,σ06976,συνεργήτης,n,n-s---mn1e,συνεργήτου,,,,,0
96227,σ06977,συνεργητικός,a,aps---mn1-,συνεργητικός συνεργητική συνεργητικόν,,,,,0
96228,σ06978,συνεργία,n,n-s---fn1l,συνεργίας,,,,,0
96229,σ06979,συνέργιον,n,n-s---nn2-,συνεργίου,,,,,0
96230,σ06980,συνεργολάβος,n,----------,,,,,,0
96232,σ06982,συνεργοπονέω,v,----------,,,,,,0
96233,σ06983,συνεργός,a,----------,,,,,,0
96234,σ06984,συνέργω,v,----------,,,,,,0
96235,σ06985,συνέρδω,v,----------,,,,,,0
96236,σ06986,συνερείδω,v,----------,,,,,,0
96237,σ06987,συνερείπω,v,----------,,,,,,0
96240,σ06990,συνερέω,v,----------,,,,,,0
96241,σ06991,συνέρημα,n,n-s---nn3t,συνερήματος,,,,,0
96242,σ06992,συνερίζω,v,----------,,,,,,0
96243,σ06993,συνέριθος,n,----------,,,,,,0
96244,σ06994,συνερκτικός,a,aps---mn1-,συνερκτικός συνερκτική συνερκτικόν,,,,,0
96245,σ06995,συνερμαϊσταί,n,n-p---mn2-,συνερμαϊστῶν,,,,,0
96246,σ06996,σύνερξις,n,n-s---fn3v,συνερξέως,,,,,0
96247,σ06997,συνέρομαι,v,----------,,,,,,0
96248,σ06998,συνερπύζω,v,----------,,,,,,0
96250,σ07000,συνέρρωγα,n,----------,,,,,,0
96251,σ07001,συνερτικός,n,----------,,,,,,0
96252,σ07002,συνερύω,v,----------,,,,,,0
96253,σ07003,συνέρχομαι,v,v1spid--1-,,,,/sy.nér.kʰo.mai̯/,,0
96199,σ06949,συνεπόμνυμι,v,----------,,,,,,0
96256,σ07006,συνερώτησις,n,n-s---fn3v,συνερωτησέως,,,,,0
96257,σ07007,συνερωτητέον,n,----------,,,,,,0
96258,σ07008,συνεσθίω,v,----------,,,,,,0
96259,σ07009,σύνεσις,n,n-s---fn3v,συνεσέως,,,/sý.ne.sis/,,0
96260,σ07010,συνεσκευασμένως,r,----------,,,,,,0
96262,σ07012,συνεσπουδασμένως,r,----------,,,,,,0
96263,σ07013,συνεσσάδδω,v,----------,,,,,,0
96264,σ07014,συνεσταλμένως,r,----------,,,,,,0
96265,σ07015,συνεστέον,n,----------,,,,,,0
96267,σ07017,συνεστιάζω,v,----------,,,,,,0
96268,σ07018,συνεστίασις,n,n-s---fn3v,συνεστιασέως,,,,,0
96269,σ07019,συνεστιάτωρ,n,----------,,,,,,0
96271,σ07021,συνέστιος,a,aps---cn2-,συνέστιος συνέστιος συνέστιον,,,,,0
96272,σ07022,συνεστραμμένως,r,----------,,,,,,0
96273,σ07023,συνεστώ,n,n-s---fn3c,συνεστοῦς,,,,,0
96274,σ07024,συνεταιρέω,v,----------,,,,,,0
96275,σ07025,συνεταιρίζω,v,----------,,,,,,0
96277,σ07027,συνετίζω,v,----------,,,,,,0
96278,σ07028,συνετόβουλος,n,----------,,,,,,0
96279,σ07029,συνετός,a,aps---mn1-,συνετός συνετή συνετόν,,,,,0
96280,σ07030,συνετυμολογέω,v,----------,,,,,,0
96281,σ07031,συνεύαδον,n,----------,,,,,,0
96282,σ07032,συνευαρεστέω,v,----------,,,,,,0
96285,σ07035,συνευδοκέω,v,----------,,,,,,0
96286,σ07036,συνευδόκησις,n,n-s---fn3v,συνευδοκησέως,,,,,0
96287,σ07037,συνεύδω,v,----------,,,,,,0
96288,σ07038,συνευεργετέω,v,----------,,,,,,0
96289,σ07039,συνευημερέω,v,----------,,,,,,0
96290,σ07040,συνευθυμέομαι,v,----------,,,,,,0
96291,σ07041,συνευθύνω,v,----------,,,,,,0
96293,σ07043,συνευκοσμέω,v,----------,,,,,,0
96294,σ07044,συνευνάζω,v,----------,,,,,,0
96295,σ07045,συνευνάομαι,v,----------,,,,,,0
96296,σ07046,συνευνετέω,v,----------,,,,,,0
96297,σ07047,συνευνέτης,n,n-s---cn1e,συνευνέτου,,,,,0
96299,σ07049,συνευνίς,n,n-s---fn3d,συνευνίδος,,,,,0
96300,σ07050,συνευνοέομαι,v,----------,,,,,,0
96301,σ07051,συνευνομιῶται,n,----------,,,,,,0
96302,σ07052,σύνευνος,n,n-s---cn2-,συνεύνου,,,,,0
96304,σ07054,συνευπάσχω,v,----------,,,,,,0
96305,σ07055,συνευπορέω,v,----------,,,,,,0
96306,σ07056,συνευρίσκω,v,----------,,,,,,0
96307,σ07057,συνευρύνω,v,----------,,,,,,0
96309,σ07059,συνευσχημονέω,v,----------,,,,,,0
96255,σ07005,συνερωτάω,v,----------,,,,,,0
96312,σ07062,συνευτυχέω,v,----------,,,,,,0
96313,σ07063,συνευφημέω,v,----------,,,,,,0
96314,σ07064,συνευφράζομαι,v,----------,,,,,,0
96316,σ07066,συνευχή,n,n-s---fn1e,συνευχῆς,,,,,0
96318,σ07068,συνευωχέομαι,v,----------,,,,,,0
96319,σ07069,συνευωχητής,n,n-s---mn1e,συνευωχητού,,,,,0
96320,σ07070,συνεφαιρέομαι,v,----------,,,,,,0
96321,σ07071,συνεφάπτομαι,v,----------,,,,,,0
96322,σ07072,συνεφαρμόζω,v,----------,,,,,,0
96324,σ07074,συνεφειάζω,v,----------,,,,,,0
96325,σ07075,συνεφέλκω,v,----------,,,,,,0
96326,σ07076,συνεφηβεύω,v,----------,,,,,,0
96327,σ07077,συνεφηβία,n,n-s---fn1l,συνεφηβίας,,,,,0
96328,σ07078,συνέφηβος,n,n-s---mn2-,συνεφήβου,,,,,0
96329,σ07079,συνεφίαζεν,n,----------,,,,,,0
96330,σ07080,συνεφίημι,v,----------,,,,,,0
96332,σ07082,συνεφοδιάζω,v,----------,,,,,,0
96333,σ07083,συνεφοράω,v,----------,,,,,,0
96334,σ07084,συνεφορεύω,v,----------,,,,,,0
96335,σ07085,συνεφορμάω,v,----------,,,,,,0
96336,σ07086,συνέφορος,n,n-s---mn2-,συνεφόρου,,,,,0
96339,σ07089,συνεχθαίρω,v,----------,,,,,,0
96340,σ07090,συνεχθραίνω,v,----------,,,,,,0
96341,σ07091,συνέχθω,v,----------,,,,,,0
96342,σ07092,συνεχίζω,v,----------,,,,,,0
96343,σ07093,συνεχισμός,n,----------,,,,,,0
96344,σ07094,συνεχόντως,r,----------,,,,,,0
96345,σ07095,συνέχω,v,----------,,,,,,0
96347,σ07097,συνεψητέον,n,----------,,,,,,0
96348,σ07098,συνεψιάω,v,----------,,,,,,0
96349,σ07099,συνέψω,v,----------,,,,,,0
96350,σ07100,συνηβάω,v,----------,,,,,,0
96351,σ07101,συνηβολέω,v,----------,,,,,,0
96352,σ07102,συνηβολίη,n,n-s---fn1e,συνηβολίης,,,,,0
96353,σ07103,σύνηβος,n,n-s---cn2-,συνήβου,,,,,0
96354,σ07104,συνηγέομαι,v,----------,,,,,,0
96356,σ07106,συνηγορέω,v,----------,,,,,,0
96357,σ07107,συνηγόρημα,n,n-s---nn3t,συνηγορήματος,,,,,0
96358,σ07108,συνηγορητέον,n,----------,,,,,,0
96359,σ07109,συνηγορία,n,n-s---fn1l,συνηγορίας,,,,,0
96361,σ07111,συνήγορος,n,n-s---cn--,,,,,,0
96362,σ06207,συνῃδέατε,n,----------,,,,,,0
96363,σ07112,συνήδομαι,v,----------,,,,,,0
96365,σ07114,συνήθεια,n,n-s---fn1s,συνήθειας,,,,,0
96366,σ07115,συνηθέομαι,v,----------,,,,,,0
96367,σ07116,συνήθης,a,aps---cn5s,συνήθης συνήθης σύνηθες,,,/sy.nɛ̌ː.tʰɛːs/,,0
96311,σ07061,συνευτροφέω,v,----------,,,,,,0
96371,σ07120,συνήκω,v,----------,,,,,,0
96372,σ07121,συνηλικία,n,n-s---fn1l,συνηλικίας,,,,,0
96373,σ07122,συνηλικιώτης,n,n-s---mn1e,συνηλικιώτου,,,,,0
96374,σ07289,συνῆλιξ,n,n-s---mn3v,συνήλικος,,,,,0
96375,σ07123,συνηλόω,v,----------,,,,,,0
96376,σ07124,σύνηλυς,n,----------,,,,,,0
96377,σ07125,συνηλυσίη,n,n-s---fn1e,συνηλυσίης,,,,,0
96379,σ07127,συνημέρευσις,n,n-s---fn3v,συνημερευσέως,,,,,0
96380,σ07128,συνημερευτής,n,n-s---mn1e,συνημερευτού,,,,,0
96381,σ07129,συνημερεύω,v,----------,,,,,,0
96383,σ07131,συνημμένως,r,----------,,,,,,0
96384,σ07132,συνημοσύνη,n,n-s---fn1e,συνημοσύνης,,,,,0
96385,σ07133,συνήμων,a,aps---cn3n,συνήμων συνήμων συνήμον,,,,,0
96386,σ07134,συνήνεμος,a,aps---cn2-,συνήνεμος συνήνεμος συνήνεμον,,,,,0
96387,σ07135,συνηνιοχέω,v,----------,,,,,,0
96388,σ07136,συνηνωμένως,r,----------,,,,,,0
96390,σ07138,συνηπειρώτης,n,n-s---mn1e,συνηπειρώτου,,,,,0
96391,σ07139,συνηπεροπεύω,v,----------,,,,,,0
96392,σ07140,συνηρεμέω,v,----------,,,,,,0
96393,σ07141,συνηρετέω,v,----------,,,,,,0
96394,σ07142,συνηρέτης,n,n-s---mn1e,συνηρέτου,,,,,0
96396,σ07144,συνηρεφής,a,aps---cn5s,συνηρεφής συνηρεφής συνηρεφές,,,,,0
96397,σ07145,συνηρημένως,r,----------,,,,,,0
96398,σ07146,συνήρης,a,aps---cn3s,συνήρης συνήρης συνή͂ρες,,,,,0
96399,σ07147,συνήριθμος,n,----------,,,,,,0
96401,σ07149,συνηρτημένως,r,----------,,,,,,0
96402,σ07150,συνήσθησις,n,n-s---fn3v,συνησθησέως,,,,,0
96403,σ07151,συνησκημένως,r,----------,,,,,,0
96404,σ07152,συνησσάομαι,v,----------,,,,,,0
96405,σ07153,συνησυχάζω,v,----------,,,,,,0
96406,σ07154,συνηχέω,v,----------,,,,,,0
96408,σ07156,συνήωρ,n,----------,,,,,,0
96409,σ07157,συνθακέω,v,----------,,,,,,0
96410,σ07158,σύνθακος,a,aps---cn2-,σύνθακος σύνθακος σύνθακον,,,,,0
96411,σ07159,συνθαλπτέον,n,----------,,,,,,0
96412,σ07160,συνθάλπω,v,----------,,,,,,0
96413,σ07161,συνθαμβέω,v,----------,,,,,,0
96414,σ07162,συνθάπτω,v,----------,,,,,,0
96415,σ07163,συνθαυμάζω,v,----------,,,,,,0
96416,σ07164,συνθεάζω,v,----------,,,,,,0
96419,σ07167,συνθέλω,v,----------,,,,,,0
96420,σ07168,σύνθεμα,n,n-s---nn3t,συνθέματος,,,,,0
96421,σ07169,συνθεραπεύω,v,----------,,,,,,0
96422,σ07170,συνθερίζω,v,----------,,,,,,0
96423,σ07171,συνθερμαίνω,v,----------,,,,,,0
96369,σ07118,συνηκολουθηκότως,r,----------,,,,,,0
96427,σ07175,συνθετέον,n,----------,,,,,,0
96428,σ07176,συνθέτης,n,n-s---mn1e,συνθέτου,,,,,0
96429,σ07177,συνθετίζομαι,v,----------,,,,,,0
96431,σ07179,συνθετισμός,n,----------,,,,,,0
96432,σ07180,σύνθετος,a,aps---cn2-,σύνθετος σύνθετος σύνθετον,,,,,0
96433,σ07181,συνθέω,v,----------,,,,,,0
96434,σ07182,συνθεωρέω,v,----------,,,,,,0
96435,σ07183,συνθεώρημα,n,n-s---nn3t,συνθεωρήματος,,,,,0
96436,σ07184,συνθεωρητέον,n,----------,,,,,,0
96438,σ07186,συνθέωρος,n,n-s---mn2-,συνθεώρου,,,,,0
96439,σ07187,συνθήγω,v,----------,,,,,,0
96440,σ07188,συνθήκη,n,n-s---fn1e,συνθήκης,,,/syn.tʰɛ̌ː.kɛː/,,0
96442,σ07190,συνθηκοποιέομαι,v,----------,,,,,,0
96443,σ07191,συνθηκοφύλαξ,n,----------,,,,,,0
96444,σ07192,σύνθημα,n,n-s---nn3t,συνθήματος,,,,,0
96445,σ07193,συνθηματιαῖος,a,aps---mn1-,συνθηματιαῖος συνθηματιαῖα συνθηματιαῖον,,,,,0
96446,σ07194,συνθηματίζω,v,----------,,,,,,0
96448,σ07196,συνθηματώδης,a,aps---cn3s,συνθηματώδης συνθηματώδης συνθηματώ͂δες,,,,,0
96449,σ07197,συνθηρατής,n,n-s---mn1e,συνθηρατού,,,,,0
96450,σ07198,συνθηράω,v,----------,,,,,,0
96451,σ07199,συνθηρευτής,n,n-s---mn1e,συνθηρευτού,,,,,0
96452,σ07200,συνθηρεύω,v,----------,,,,,,0
96453,σ07201,σύνθηρος,a,aps---cn2-,σύνθηρος σύνθηρος σύνθηρον,,,,,0
96454,σ07202,συνθητεύω,v,----------,,,,,,0
96455,σ07203,συνθιασεύω,v,----------,,,,,,0
96456,σ07204,συνθιασιτεύω,v,----------,,,,,,0
96457,σ07205,συνθιασίτης,n,----------,,,,,,0
96458,σ07206,συνθιασώτης,n,n-s---mn1e,συνθιασώτου,,,,,0
96459,σ07207,συνθιγγάνω,v,----------,,,,,,0
96460,σ07208,συνθλασμός,n,----------,,,,,,0
96462,σ07210,συνθλαστέον,n,----------,,,,,,0
96463,σ07211,συνθλάω,v,----------,,,,,,0
96464,σ07212,συνθλίβω,v,----------,,,,,,0
96465,σ07213,σύνθλιψις,n,n-s---fn3v,συνθλιψέως,,,,,0
96466,σ07214,συνθνῄσκω,v,----------,,,,,,0
96467,σ07215,συνθοινάτωρ,n,----------,,,,,,0
96469,σ07217,συνθολόω,v,----------,,,,,,0
96471,σ07219,συνθορυβέω,v,----------,,,,,,0
96472,σ07220,συνθρανόομαι,v,----------,,,,,,0
96473,σ07221,σύνθραυσις,n,n-s---fn3v,συνθραυσέως,,,,,0
96474,σ07222,συνθραύω,v,----------,,,,,,0
96476,σ07224,σύνθρηνος,a,aps---cn2-,σύνθρηνος σύνθρηνος σύνθρηνον,,,,,0
96477,σ07225,συνθρησκευτής,n,n-s---mn1e,συνθρησκευτού,,,,,0
96426,σ07174,σύνθεσις,n,n-s---fn3v,συνθεσέως,,,/sýn.tʰe.sis/,,0
96480,σ07228,συνθρίζω,v,----------,,,,,,0
96482,σ07230,συνθρονίζω,v,----------,,,,,,0
96484,σ07232,σύνθροος,a,aps---cn2-,σύνθροος σύνθροος σύνθροον,,,,,0
96485,σ07234,συνθρυλλέω,v,----------,,,,,,0
96486,σ07235,συνθρύπτω,v,----------,,,,,,0
96487,σ07233,συνθρῴσκω,v,----------,,,,,,0
96488,σ07236,συνθυμέω,v,----------,,,,,,0
96489,σ07237,συνθυμόομαι,v,----------,,,,,,0
96491,σ07239,συνθυσιάζω,v,----------,,,,,,0
96492,σ07240,συνθυσιαστής,n,n-s---mn1e,συνθυσιαστού,,,,,0
96493,σ07241,συνθύτης,n,n-s---mn1e,συνθύτου,,,,,0
96494,σ07242,συνθύω,v,----------,,,,,,0
96495,σ07243,συνθωκέω,v,----------,,,,,,0
96497,σ07245,συνιαίνω,v,----------,,,,,,0
96498,σ07246,συνιατρεύω,v,----------,,,,,,0
96500,σ07248,συνιδρόω,v,----------,,,,,,0
96501,σ07249,συνιδρύω,v,----------,,,,,,0
