5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
94379,σ05123,συμπαραλύομαι,v,----------,,,,,,0
94380,σ05124,συμπαραμείγνυμι,v,----------,,,,,,0
94381,σ05125,συμπαραμένω,v,----------,,,,,,0
94382,σ05126,συμπαραναλίσκω,v,----------,,,,,,0
94383,σ05127,συμπαρανεύω,v,----------,,,,,,0
94384,σ05128,συμπαρανέω,v,----------,,,,,,0
94385,σ05129,συμπαρανομέω,v,----------,,,,,,0
94386,σ05130,συμπαραπέμπω,v,----------,,,,,,0
94387,σ05131,συμπαραπίπτω,v,----------,,,,,,0
94388,σ05132,συμπαραπλέω,v,----------,,,,,,0
94391,σ05135,συμπαραπομπος,n,----------,,,,,,0
94392,σ05136,συμπαρασκευάζω,v,----------,,,,,,0
94393,σ05137,συμπαρασπίζω,v,----------,,,,,,0
94394,σ05138,συμπαρασπονδέω,v,----------,,,,,,0
94395,σ05139,συμπαραστατέω,v,----------,,,,,,0
94397,σ05141,συμπαρασύρω,v,----------,,,,,,0
94398,σ05142,συμπαράταξις,n,n-s---fn3v,συμπαραταξέως,,,/sym.pa.rá.tak.sis/,,0
94399,σ05143,συμπαρατάσσομαι,v,----------,,,,,,0
94400,σ05144,συμπαρατείνω,v,----------,,,,,,0
94401,σ05145,συμπαρατηρέω,v,----------,,,,,,0
94402,σ05146,συμπαρατήρησις,n,n-s---fn3v,συμπαρατηρησέως,,,,,0
94403,σ05147,συμπαρατίθημι,v,----------,,,,,,0
94405,σ05149,συμπαρατρέχω,v,----------,,,,,,0
94406,σ05150,συμπαρατροχάζω,v,----------,,,,,,0
94625,σ05369,σύμπονος,n,----------,,,,,,0
94356,σ05100,συμπαραβύω,v,----------,,,,,,0
94409,σ05153,συμπαραφύομαι,v,----------,,,,,,0
94410,σ05154,συμπαραχωρέω,v,----------,,,,,,0
94412,σ05156,συμπάρειμι,n,----------,,,,,,0
94413,σ05157,συμπάρειμι,n,----------,,,,,,0
94414,σ05158,συμπαρεισέρχομαι,v,----------,,,,,,0
94415,σ05159,συμπαρεκτείνω,v,----------,,,,,,0
94418,σ05162,συμπαρέπομαι,v,----------,,,,,,0
94419,σ05163,συμπαρέρχομαι,v,----------,,,,,,0
94420,σ05164,συμπαρέχω,v,----------,,,,,,0
94421,σ05165,συμπαρήκω,v,----------,,,,,,0
94422,σ05166,συμπάρθενος,n,----------,,,,,,0
94423,σ05167,συμπαριππεύω,v,----------,,,,,,0
94424,σ05168,συμπαρίπταμαι,v,----------,,,,,,0
94426,σ05170,συμπαροδεύω,v,----------,,,,,,0
94428,σ05172,συμπαροίχομαι,v,----------,,,,,,0
94429,σ05173,συμπαρολισθάνω,v,----------,,,,,,0
94430,σ05174,συμπαρομαρτέω,v,----------,,,,,,0
94431,σ05175,συμπαροξύνω,v,----------,,,,,,0
94433,σ05177,συμπαροτρύνω,v,----------,,,,,,0
94434,σ05178,συμπαρουσία,n,n-s---fn1l,συμπαρουσίας,,,,,0
94435,σ05179,σύμπας,n,----------,,,,,,0
94436,σ05180,σύμπασμα,n,n-s---nn3t,συμπάσματος,,,,,0
94437,σ05181,συμπάσσω,v,----------,,,,,,0
94438,σ05182,συμπάσχω,v,----------,,,,,,0
94439,σ05183,συμπαταγέω,v,----------,,,,,,0
94441,σ05185,συμπατέω,v,----------,,,,,,0
94442,σ05186,συμπατριώτης,n,n-s---mn1e,συμπατριώτου,,,,,0
94443,σ05187,συμπατρονόμος,n,n-s---mn2-,συμπατρονόμου,,,,,0
94444,σ05188,συμπαύομαι,v,----------,,,,,,0
94445,σ05189,συμπαχύνω,v,----------,,,,,,0
94446,σ05190,συμπεδάω,v,----------,,,,,,0
94448,σ05192,συμπειθήνιος,a,aps---cn2-,συμπειθήνιος συμπειθήνιος συμπειθήνιον,,,,,0
94449,σ05193,συμπείθω,v,----------,,,,,,0
94450,σ05194,σύμπειρος,a,aps---cn2-,σύμπειρος σύμπειρος σύμπειρον,,,,,0
94451,σ05195,συμπείρω,v,----------,,,,,,0
94452,σ05196,συμπέμπω,v,----------,,,,,,0
94453,σ05197,συμπενθέω,v,----------,,,,,,0
94454,σ05198,συμπένομαι,v,----------,,,,,,0
94455,σ05199,σύμπεντε,n,----------,,,,,,0
94458,σ05202,συμπεπτικός,a,aps---mn1-,συμπεπτικός συμπεπτική συμπεπτικόν,,,,,0
94459,σ05203,συμπέπτω,v,----------,,,,,,0
94460,σ05204,συμπεραίνω,v,----------,,,,,,0
94461,σ05205,συμπεραιόω,v,----------,,,,,,0
94462,σ05206,συμπεραίωσις,n,n-s---fn3v,συμπεραιωσέως,,,,,0
94408,σ05152,συμπαραφέρω,v,----------,,,,,,0
94467,σ05211,συμπερασμός,n,----------,,,,,,0
94468,σ05212,συμπερατόω,v,----------,,,,,,0
94469,σ05213,συμπεράω,v,----------,,,,,,0
94470,σ05214,συμπέρθω,v,----------,,,,,,0
94471,σ05215,συμπεριαγής,a,aps---cn5s,συμπεριαγής συμπεριαγής συμπεριαγές,,,,,0
94472,σ05216,συμπεριάγνυμαι,v,----------,,,,,,0
94473,σ05217,συμπεριάγω,v,----------,,,,,,0
94474,σ05218,συμπεριαγωγή,n,n-s---fn1e,συμπεριαγωγῆς,,,,,0
94475,σ05219,συμπεριαγωγός,n,----------,,,,,,0
94477,σ05221,συμπεριβάλλω,v,----------,,,,,,0
94478,σ05222,συμπεριβομβέω,v,----------,,,,,,0
94479,σ05223,συμπεριγίγνομαι,v,----------,,,,,,0
94480,σ05224,συμπεριγράφω,v,----------,,,,,,0
94481,σ05225,συμπεριδινέομαι,v,----------,,,,,,0
94483,σ05227,συμπερίειμι,v,----------,,,,,,0
94484,σ05228,συμπεριέλκω,v,----------,,,,,,0
94485,σ05229,συμπεριενεκτέον,n,----------,,,,,,0
94486,σ05230,συμπεριέρχομαι,v,----------,,,,,,0
94487,σ05231,συμπεριέχω,v,----------,,,,,,0
94489,σ05233,συμπεριθέω,v,----------,,,,,,0
94490,σ05234,συμπεριίπταμαι,v,----------,,,,,,0
94491,σ05235,συμπεριίσταμαι,v,----------,,,,,,0
94492,σ05236,συμπερικινέω,v,----------,,,,,,0
94493,σ05237,συμπερικλείω,v,----------,,,,,,0
94494,σ05238,συμπερικομίζω,v,----------,,,,,,0
94496,σ05240,συμπεριλύω,v,----------,,,,,,0
94497,σ05241,συμπερινοέω,v,----------,,,,,,0
94498,σ05242,συμπερινοστέω,v,----------,,,,,,0
94499,σ05243,συμπεριοδεύω,v,----------,,,,,,0
94500,σ05244,συμπεριπατέω,v,----------,,,,,,0
94502,σ05246,συμπεριπίπτω,v,----------,,,,,,0
94504,σ05248,συμπεριπλέκω,v,----------,,,,,,0
94505,σ05249,συμπεριπλέω,v,----------,,,,,,0
94506,σ05250,συμπεριπλοκή,n,n-s---fn1e,συμπεριπλοκῆς,,,,,0
94507,σ05251,συμπεριποιέω,v,----------,,,,,,0
94508,σ05252,συμπεριπολέω,v,----------,,,,,,0
94510,σ05254,συμπερισπάω,v,----------,,,,,,0
94511,σ05255,συμπερισπωμένως,r,----------,,,,,,0
94512,σ05256,συμπεριστέλλω,v,----------,,,,,,0
94513,σ05257,συμπεριστρέφομαι,v,----------,,,,,,0
94514,σ05258,συμπεριτειχίζω,v,----------,,,,,,0
94515,σ05259,συμπεριτίθημι,v,----------,,,,,,0
94465,σ05209,συμπέρασμα,n,n-s---nn3t,συμπεράσματος,,,,,0
94519,σ05263,συμπεριτυγχάνω,v,----------,,,,,,0
94522,σ05266,συμπεριφέρω,v,----------,,,,,,0
94523,σ05267,συμπεριφθείρομαι,v,----------,,,,,,0
94524,σ05268,συμπεριφορά,n,n-s---fn1l,συμπεριφορᾶς,,,,,0
94525,σ05269,συμπεριφορητός,a,aps---mn1-,συμπεριφορητός συμπεριφορητή συμπεριφορητόν,,,,,0
94526,σ05270,συμπεριφράσσω,v,----------,,,,,,0
94527,σ05271,συμπερονάω,v,----------,,,,,,0
94528,σ05272,συμπέσσω,v,----------,,,,,,0
94529,σ05273,συμπετάννυμι,v,----------,,,,,,0
94531,σ05275,συμπεφορημένος,n,----------,,,,,,0
94532,σ05276,σύμπεψις,n,n-s---fn3v,συμπεψέως,,,,,0
94533,σ05277,συμπηγία,n,n-s---fn1l,συμπηγίας,,,,,0
94534,σ05278,σύμπηγμα,n,n-s---nn3t,συμπήγματος,,,,,0
94535,σ05279,συμπήγνυμι,v,----------,,,,,,0
94537,σ05281,σύμπηκτος,a,aps---cn2-,σύμπηκτος σύμπηκτος σύμπηκτον,,,,,0
94538,σ05282,συμπηλόω,v,----------,,,,,,0
94539,σ05283,συμπήξ,n,n-s---cn3e,συμπῆγος,,,,,0
94540,σ05284,σύμπηξις,n,n-s---fn3v,συμπηξέως,,,,,0
94541,σ05285,συμπήσσω,v,----------,,,,,,0
94542,σ05286,συμπιαίνω,v,----------,,,,,,0
94543,σ05287,συμπιέζω,v,----------,,,,,,0
94544,σ05288,συμπίεσις,n,n-s---fn3v,συμπιεσέως,,,,,0
94546,σ05290,συμπιεσμός,n,----------,,,,,,0
94547,σ05291,συμπιλέω,v,----------,,,,,,0
94549,σ05293,συμπιλητικός,a,aps---mn1-,συμπιλητικός συμπιλητική συμπιλητικόν,,,,,0
94550,σ05294,συμπιλόω,v,----------,,,,,,0
94551,σ05295,συμπίνω,v,----------,,,,/sym.pǐː.nɔː/,,0
94552,σ05296,συμπιπίσκω,v,----------,,,,,,0
94553,σ05297,συμπιπράσκω,v,----------,,,,,,0
94554,σ05298,συμπίπρημι,v,----------,,,,,,0
94556,σ05300,συμπιστεύω,v,----------,,,,,,0
94557,σ05301,συμπιστόομαι,v,----------,,,,,,0
94558,σ05302,συμπίτνω,v,----------,,,,,,0
94559,σ05303,συμπλάζομαι,v,----------,,,,,,0
94560,σ05304,συμπλανάομαι,v,----------,,,,,,0
94562,σ05306,συμπλασις,n,n-s---fn3v,συμπλασέως,,,,,0
94563,σ05307,συμπλάσσω,v,----------,,,,,,0
94564,σ05308,συμπλαστεύω,v,----------,,,,,,0
94565,σ05309,συμπλαταγέω,v,----------,,,,,,0
94566,σ05310,συμπλέγδην,r,----------,,,,,,0
94568,σ05312,συμπλείονες,n,----------,,,,,,0
94569,σ05313,συμπλεκής,a,aps---cn5s,συμπλεκής συμπλεκής συμπλεκές,,,,,0
94570,σ05314,συμπλέκτειρα,n,n-s---fn1s,συμπλέκτειρας,,,,,0
94571,σ05315,συμπλεκτέον,n,----------,,,,,,0
94518,σ05262,συμπεριτρίβομαι,v,----------,,,,,,0
94574,σ05318,συμπλέκω,v,----------,,,,,,0
