43268,87287,,,
2023616,84184,73247,,,
2023618,84184,70557,,,
2023619,84184,66969,,,
2023620,84184,72596,,,
2023621,84184,66961,,,
2023622,84184,75792,,,
2023623,84184,66441,,,
2023625,84184,73856,,,
2023626,84185,75391,,,
2023627,84185,66237,,,
2023628,84185,73275,,,
2023629,84185,66295,,,
2023630,84185,73077,,,
2023632,84185,76081,,,
2023633,84185,68848,,,
2023634,84185,77039,,,
2023635,84185,66282,,,
2023636,84185,77796,,,
2023637,84185,77505,,,
2023639,84185,75393,,,
2023640,84185,76128,,,
2023641,84186,71167,,,
2023642,84187,71310,,,
2023643,84187,71325,,,
2023644,84178,23709,,,
2023646,84178,28054,,,
2023647,84178,34552,,,
2023648,84178,42199,,,
2023649,84178,33557,,,
2023650,84178,31029,,,
2023651,84178,34612,,,
2023653,84178,62406,,,
2023654,84178,27394,,,
2023655,84229,89725,,,
2023656,84229,78972,,,
2023657,84229,86267,,,
2023658,84229,86266,,,
2023660,84229,90486,,,
2023661,84229,89718,,,
2023662,84229,81645,,,
2023663,84229,86127,,,
2023664,84229,86126,,,
2023665,84229,86253,,,
2023667,84229,86265,,,
2023668,84229,78432,,,
2023669,84229,85981,,,
2023670,84229,90580,,,
2023671,84229,90581,,,
2023672,84229,91348,,,
2023674,84229,78418,,,
2023675,84229,78416,,,
2023676,84229,86991,,,
2023677,84229,86986,,,
2023678,84229,87625,,,
2023679,84229,86467,,,
2023681,84229,83129,,,
2023682,84229,88368,,,
2023683,84229,83113,,,
2023684,84229,88484,,,
2023685,84229,86177,,,
2023686,84229,85788,,,
2023688,84229,85783,,,
2023689,84229,86293,,,
2023690,84229,89749,,,
2023691,84229,81682,,,
2023693,84229,90503,,,
2023694,84229,81674,,,
2023695,84229,89737,,,
2023697,84229,89990,,,
2023698,84229,88838,,,
2023699,84229,90499,,,
2023700,84229,87940,,,
2023701,84229,86275,,,
2023702,84191,77340,,,
2023704,84191,76551,,,
2023705,84191,70630,,,
2023706,84191,70627,,,
2023707,84191,77761,,,
2023708,84207,2300,,,
2023709,84207,32634,,,
2023711,84207,57591,,,
2023712,84207,22772,,,
2023713,84207,27758,,,
2023714,84207,27757,,,
2023715,84207,16106,,,
2023716,84207,39134,,,
2023718,84207,57820,,,
2023719,84207,65881,,,
2023720,84207,32342,,,
2023721,84207,58964,,,
2023722,84207,62932,,,
2023723,84207,29131,,,
2023725,84207,33354,,,
2023726,84207,46790,,,
2023727,84207,46789,,,
2023728,84207,46276,,,
2023729,84207,27971,,,
2023730,84207,47554,,,
2023732,84207,25146,,,
2023733,84207,30898,,,
2023734,84207,24752,,,
2023735,84207,29231,,,
2023736,84207,33575,,,
2023737,84207,65691,,,
2023739,84207,39067,,,
2023740,84207,32793,,,
2023741,84207,4885,,,
2023742,84207,59923,,,
2023743,84207,26897,,,
2023744,84207,15372,,,
2023746,84207,57482,,,
2023747,84207,32777,,,
2023748,84207,898,,,
2023749,84207,32385,,,
2023750,84194,77340,,,
2023751,84194,70582,,,
2023753,84194,76551,,,
2023754,84194,70630,,,
2023755,84194,70627,,,
2023756,84194,77761,,,
2023757,84196,77340,,,
2023758,84196,77686,,,
2023760,84196,68810,,,
2023761,84196,76551,,,
2023762,84196,70630,,,
2023763,84196,70627,,,
2023764,84196,77761,,,
2023765,84196,68801,,,
2023767,84216,78944,,,
2023768,84200,71114,,,
2023769,84201,72436,,,
2023770,84201,66548,,,
2023771,84201,66547,,,
2023772,84201,66282,,,
2023774,84201,72281,,,
2023775,84201,77906,,,
2023776,84201,76370,,,
2023777,84201,77904,,,
2023778,84201,75727,,,
2023779,84201,75725,,,
2023781,84201,78025,,,
2023782,84201,77383,,,
2023783,84201,78020,,,
2023784,84201,75840,,,
2023785,84201,77504,,,
2023786,84201,70961,,,
2023788,84201,73638,,,
2023789,84201,69284,,,
2023790,84201,66326,,,
2023791,84201,66324,,,
2023792,84201,76435,,,
2023793,84202,68246,,,
2023795,84202,77490,,,
2023796,84202,67209,,,
2023797,84202,74987,,,
2023798,84202,74442,,,
2023800,84202,74983,,,
2023801,84202,75718,,,
2023802,84202,77478,,,
2023804,84203,68312,,,
2023805,84203,68598,,,
2023806,84203,66446,,,
2023807,84203,75749,,,
2023808,84203,66244,,,
2023809,84203,77249,,,
2023811,84204,36098,,,
2023812,84205,75957,,,
2023813,84205,75956,,,
2023814,84205,76229,,,
2023815,84206,68855,,,
2023816,84206,69236,,,
2023818,84206,69226,,,
2023819,84206,74086,,,
2023820,84206,77797,,,
2023821,84206,75745,,,
2023822,84206,75744,,,
2023823,84206,74719,,,
2023825,84206,75740,,,
2023826,84206,75737,,,
2023827,84206,72281,,,
2023828,84206,68312,,,
2023829,84206,77397,,,
2023830,84206,75733,,,
2023832,84206,75728,,,
2023833,84206,76497,,,
2023834,84206,68304,,,
2023835,84206,75983,,,
2023836,84206,78030,,,
2023837,84206,68677,,,
2023839,84206,75841,,,
2023840,84206,75713,,,
2023841,84206,75840,,,
2023842,84206,71226,,,
2023843,84206,77496,,,
2023844,84206,74804,,,
2023846,84206,70961,,,
2023847,84206,75309,,,
2023848,84206,75170,,,
2023849,84206,77342,,,
2023850,84206,75160,,,
2023851,84206,70934,,,
2023853,84206,68874,,,
2023854,84206,70664,,,
2023855,84206,68485,,,
2023856,84210,825,,,
2023857,84210,48761,,,
2023858,84210,60367,,,
2023860,84210,62733,,,
2023861,84210,42218,,,
2023862,84210,65283,,,
2023863,84210,65282,,,
2023864,84209,66558,,,
2023865,84209,66301,,,
2023867,84209,68847,,,
2023868,84209,71149,,,
2023869,84209,68451,,,
2023870,84209,68452,,,
2023871,84209,77283,,,
2023872,84209,66521,,,
2023874,84209,67922,,,
2023875,84209,77641,,,
2023876,84209,77640,,,
2023877,84209,66868,,,
2023878,84209,66863,,,
2023879,84209,66718,,,
2023881,84209,66686,,,
2023882,84209,69528,,,
2023883,84209,68744,,,
2023884,84209,66567,,,
2023885,84209,66692,,,
2023886,84235,38379,,,
2023888,84211,68904,,,
2023889,84211,68761,,,
2023890,84211,77816,,,
2023891,84241,20218,,,
2023892,84241,17394,,,
2023893,84241,83819,,,
2023895,84241,47206,,,
2023896,84241,47456,,,
2023897,84241,65743,,,
2023898,84241,33097,,,
2023899,84241,38086,,,
2023900,84241,59842,,,
2023902,84241,46012,,,
2023903,84241,65578,,,
2023904,84241,65577,,,
2023905,84241,65566,,,
2023907,84241,77199,,,
2023908,84241,65805,,,
2023909,84241,42887,,,
2023911,84241,65797,,,
2023912,84241,2947,,,
2023913,84241,90627,,,
2023914,84241,79360,,,
2023915,84237,45342,,,
2023916,84237,30812,,,
2023918,84237,16184,,,
2023919,84237,43765,,,
2023920,84237,46228,,,
2023921,84237,46227,,,
2023922,84237,58512,,,
2023923,84237,27629,,,
2023925,84237,2946,,,
2023926,84237,59840,,,
2023927,84233,23709,,,
2023928,84233,27387,,,
2023929,84233,34552,,,
2023930,84233,42199,,,
2023932,84233,31029,,,
2023933,84233,62406,,,
2023934,84233,27394,,,
2023935,84192,13999,,,
2023936,84192,13875,,,
2023937,84192,19662,,,
2023939,84192,13426,,,
2023940,84219,27477,,,
2023941,84219,1023,,,
2023942,84219,76670,,,
2023943,84219,27387,,,
2023944,84219,34552,,,
2023946,84219,57445,,,
2023947,84219,27486,,,
2023948,84219,42199,,,
2023949,84219,34519,,,
2023950,84219,31054,,,
2023951,84219,77262,,,
2023953,84219,5063,,,
2023954,84219,62406,,,
2023955,84219,22725,,,
2023956,84219,22724,,,
2023957,84219,34624,,,
2023958,84219,27583,,,
2023960,84219,31029,,,
2023961,84219,62519,,,
2023962,84219,60214,,,
2023963,84219,60213,,,
2023964,84219,22706,,,
2023965,84219,2735,,,
2023967,84219,47275,,,
2023968,84219,23465,,,
2023969,84219,27432,,,
2023970,84219,69668,,,
2023971,84219,74022,,,
2023972,84219,27429,,,
2023974,84219,3362,,,
2023975,84219,74015,,,
2023976,84219,23709,,,
2023977,84219,66204,,,
2023978,84219,28054,,,
2023979,84219,70293,,,
2023981,84219,31118,,,
2023982,84219,26759,,,
2023983,84219,33287,,,
2023984,84219,3334,,,
2023985,84219,60289,,,
2023986,84219,77184,,,
2023988,84221,68998,,,
2023989,84221,68485,,,
2023990,84221,77700,,,
2023991,84221,76674,,,
2023992,84221,76670,,,
2023993,84221,77171,,,
2023995,84221,77167,,,
2023996,84221,66415,,,
2023997,84221,73580,,,
2023998,84221,74086,,,
2023999,84221,69981,,,
2024000,84221,68957,,,
2024002,84221,77140,,,
2024003,84221,77137,,,
2024004,84221,77649,,,
2024005,84221,70993,,,
2024006,84221,68943,,,
2024007,84221,77134,,,
2024009,84221,70969,,,
2024010,84221,70968,,,
2024011,84221,75576,,,
2024012,84221,77623,,,
2024014,84221,70960,,,
2024015,84221,77612,,,
2024016,84221,74022,,,
2024018,84221,69921,,,
2024019,84221,75040,,,
2024020,84221,74015,,,
2024021,84221,77596,,,
2024022,84221,70934,,,
2024023,84221,76566,,,
2024025,84221,77070,,,
2024026,84221,68874,,,
2024027,84221,76554,,,
2024028,84221,69897,,,
2024029,84221,69894,,,
2024030,84221,76549,,,
2024032,84221,77050,,,
2024033,84221,69880,,,
2024034,84221,68855,,,
2024035,84221,67827,,,
2024036,84221,75499,,,
2024037,84221,78055,,,
2024039,84221,68833,,,
2024040,84221,75488,,,
2024041,84221,73439,,,
2024042,84221,76506,,,
2024043,84221,75479,,,
2024044,84221,70359,,,
2024046,84221,68823,,,
2024047,84221,77789,,,
2024048,84221,75476,,,
2024049,84221,77519,,,
2024050,84221,76497,,,
2024051,84221,75984,,,
2024053,84221,75983,,,
2024054,84221,78030,,,
2024055,84221,78023,,,
2024056,84221,75456,,,
2024057,84221,77502,,,
2024058,84221,77498,,,
2024060,84221,66738,,,
2024061,84221,75436,,,
2024062,84221,77483,,,
2024063,84221,74923,,,
2024064,84221,75428,,,
2024065,84221,77470,,,
2024067,84221,71325,,,
2024068,84221,77467,,,
2024069,84221,66201,,,
2024070,84221,75411,,,
2024071,84221,75409,,,
2024072,84221,77455,,,
2024074,84221,75912,,,
2024075,84221,75402,,,
2024076,84221,77448,,,
2024077,84221,70279,,,
2024078,84221,75399,,,
2024079,84221,77446,,,
2024081,84221,75393,,,
2024082,84221,75395,,,
2024083,84221,75394,,,
2024084,84221,76929,,,
2024085,84221,77436,,,
2024086,84221,77435,,,
2024088,84221,77426,,,
2024089,84221,77430,,,
2024090,84221,69236,,,
2024091,84221,66164,,,
2024092,84221,77938,,,
2024093,84221,67186,,,
2024095,84221,76909,,,
2024096,84221,73208,,,
2024097,84221,69111,,,
2024098,84221,73205,,,
2024099,84221,69103,,,
2024100,84221,77804,,,
2024102,84221,69086,,,
