,65203,47957,,,
1559952,65213,87914,,,
1559953,65213,96007,,,
1559955,65213,81152,,,
1559956,65222,89215,,,
1559957,65222,89758,,,
1559959,65222,89082,,,
1559960,65222,84917,,,
1559961,65222,90997,,,
1559962,65222,81076,,,
1559963,65222,89362,,,
1559964,65222,84753,,,
1559966,65222,90989,,,
1559967,65222,82348,,,
1559968,65222,92329,,,
1559969,65222,92327,,,
1559970,65226,84340,,,
1559971,65226,90344,,,
1559973,65226,83423,,,
1559974,65226,78170,,,
1559975,65226,90579,,,
1559976,65226,85581,,,
1559977,65226,85580,,,
1559978,65226,80970,,,
1559980,65226,81852,,,
1559981,65226,82108,,,
1559982,65226,90679,,,
1559983,65226,90676,,,
1559984,65226,87089,,,
1559985,65226,81840,,,
1559987,65226,92194,,,
1559988,65226,85664,,,
1559989,65226,87706,,,
1559990,65226,83734,,,
1559991,65226,92053,,,
1559992,65226,83722,,,
1559994,65229,87533,,,
1559995,65229,80869,,,
1559996,65229,82910,,,
1559997,65229,82906,,,
1559998,65229,82897,,,
1559999,65229,78796,,,
1560001,65229,82370,,,
1560002,65229,80825,,,
1560003,65229,89010,,,
1560004,65229,89007,,,
1560005,65229,90546,,,
1560006,65229,90545,,,
1560008,65229,90543,,,
1560009,65229,90542,,,
1560010,65229,90541,,,
1560011,65229,90540,,,
1560012,65229,89001,,,
1560013,65229,90507,,,
1560015,65229,90512,,,
1560016,65229,90511,,,
1560017,65229,90510,,,
1560018,65229,90509,,,
1560019,65229,90508,,,
1560020,65229,84363,,,
1560022,65229,90505,,,
1560023,65229,90504,,,
1560024,65229,90503,,,
1560025,65229,90502,,,
1560026,65229,90501,,,
1560027,65229,90500,,,
1560029,65229,90498,,,
1560030,65229,90497,,,
1560031,65229,90496,,,
1560032,65229,90495,,,
1560033,65229,90494,,,
1560034,65229,90493,,,
1560036,65229,90491,,,
1560037,65229,90490,,,
1560038,65229,90489,,,
1560039,65229,90488,,,
1560040,65229,90487,,,
1560041,65229,90486,,,
1560043,65229,86893,,,
1560044,65229,90987,,,
1560045,65229,86886,,,
1560046,65229,90982,,,
1560047,65229,90981,,,
1560048,65229,87902,,,
1560050,65229,87366,,,
1560051,65229,79170,,,
1560052,65229,86850,,,
1560053,65229,80704,,,
1560054,65229,90418,,,
1560055,65229,91435,,,
1560057,65229,90399,,,
1560058,65229,84249,,,
1560059,65229,88341,,,
1560060,65229,88338,,,
1560062,65229,88333,,,
1560063,65229,87819,,,
1560064,65229,91403,,,
1560066,65229,85698,,,
1560067,65229,78526,,,
1560068,65229,87227,,,
1560069,65229,85174,,,
1560070,65229,82091,,,
1560071,65229,82090,,,
1560073,65229,82088,,,
1560074,65229,89253,,,
1560075,65229,88722,,,
1560076,65229,87694,,,
1560077,65229,87690,,,
1560078,65229,88713,,,
1560080,65229,88679,,,
1560081,65229,83557,,,
1560082,65229,88677,,,
1560083,65229,89660,,,
1560084,65229,82478,,,
1560085,65229,88621,,,
1560087,65229,88617,,,
1560088,65229,84009,,,
1560089,65229,92705,,,
1560090,65229,82447,,,
1560091,65229,80903,,,
1560092,65234,92799,,,
1560094,65234,90874,,,
1560095,65234,83321,,,
1560096,65234,83320,,,
1560097,65234,90871,,,
1560098,65234,90870,,,
1560099,65234,90867,,,
1560101,65234,90866,,,
1560102,65234,89201,,,
1560103,65234,78182,,,
1560104,65234,80971,,,
1560105,65234,82116,,,
1560106,65234,78274,,,
1560108,65234,90678,,,
1560109,65234,90674,,,
1560110,65234,88750,,,
1560111,65234,78756,,,
1560112,65234,78755,,,
1560113,65234,90402,,,
1560115,65234,96023,,,
1560116,65234,78726,,,
1560117,65234,90883,,,
1560118,65234,90882,,,
1560119,65224,59236,,,
1560120,65224,59340,,,
1560122,65224,58913,,,
1560123,65227,23142,,,
1560124,65227,23045,,,
1560125,65227,23268,,,
1560126,65227,23121,,,
1560127,65221,77582,,,
1560129,65221,77512,,,
1560130,65239,82108,,,
1560131,65239,87706,,,
1560132,65239,90679,,,
1560133,65239,90678,,,
1560134,65239,84340,,,
1560136,65239,90579,,,
1560137,65239,88750,,,
1560138,65239,89901,,,
1560139,65239,80970,,,
1560140,65239,83782,,,
1560141,65239,92228,,,
1560143,65239,92194,,,
1560144,65239,85664,,,
1560145,65240,92799,,,
1560146,65240,78270,,,
1560147,65240,93468,,,
1560148,65240,90875,,,
1560150,65240,90678,,,
1560151,65240,90871,,,
1560152,65240,90870,,,
1560153,65240,90867,,,
1560154,65240,90674,,,
1560155,65240,90866,,,
1560157,65240,80971,,,
1560158,65240,82116,,,
1560159,65240,90402,,,
1560160,65240,78274,,,
1560161,65240,90883,,,
1560162,65240,90882,,,
1560164,65243,87706,,,
1560165,65243,90679,,,
1560166,65243,84340,,,
1560167,65243,90676,,,
1560169,65243,89901,,,
1560170,65243,80970,,,
1560171,65243,92194,,,
1560173,65232,67469,,,
1560174,65232,36233,,,
1560175,65232,67448,,,
1560176,65232,84340,,,
1560177,65232,96114,,,
1560178,65232,96113,,,
1560180,65232,76650,,,
1560181,65232,62311,,,
1560182,65232,96102,,,
1560183,65232,96081,,,
1560184,65232,82240,,,
1560185,65232,97086,,,
1560187,65232,89901,,,
1560188,65232,90404,,,
1560189,65232,90403,,,
1560190,65232,90402,,,
1560191,65232,90401,,,
1560192,65232,20256,,,
1560194,65232,79127,,,
1560195,65232,91410,,,
1560196,65232,89363,,,
1560197,65232,89362,,,
1560198,65232,77058,,,
1560199,65232,68355,,,
1560201,65232,90882,,,
1560202,65232,81152,,,
1560203,65232,90875,,,
1560204,65232,90874,,,
1560205,65232,90871,,,
1560206,65232,81143,,,
1560208,65232,90867,,,
1560209,65232,90866,,,
1560210,65232,99564,,,
1560211,65232,20715,,,
1560212,65232,72423,,,
1560213,65232,77014,,,
1560215,65232,82116,,,
1560216,65232,74945,,,
1560217,65232,82108,,,
1560218,65232,68788,,,
1560219,65232,88750,,,
1560220,65232,88749,,,
1560222,65232,23035,,,
1560223,65232,26601,,,
1560224,65232,90579,,,
1560225,65232,96206,,,
1560226,65232,59340,,,
1560227,65232,70603,,,
1560229,65232,12740,,,
1560230,65232,78274,,,
1560231,65232,78270,,,
1560232,65232,81329,,,
1560233,65232,70574,,,
1560234,65232,12688,,,
1560236,65232,72874,,,
1560237,65232,68774,,,
1560238,65232,88226,,,
1560239,65232,85664,,,
1560240,65232,77472,,,
1560241,65232,87706,,,
1560243,65232,85639,,,
1560244,65232,92799,,,
1560245,65232,27764,,,
1560246,65232,90708,,,
