,37454,68482,,,
990611,37454,76660,,,
990618,37454,70495,,,
990625,37454,76606,,,
990632,37454,76409,,,
990639,37454,72289,,,
990646,37454,66112,,,
990653,37454,70170,,,
990660,37454,76304,,,
990667,37454,68085,,,
990674,37454,74171,,,
990681,37454,76190,,,
990688,37454,74118,,,
990695,37454,76155,,,
990702,37454,76133,,,
990709,37454,74052,,,
990714,37454,76069,,,
990718,37454,76044,,,
990725,37454,71906,,,
990732,37454,75946,,,
990739,37454,69288,,,
990746,37454,69280,,,
990753,37454,67225,,,
990760,37454,77429,,,
990767,37454,71264,,,
990774,37454,69193,,,
990781,37454,69166,,,
990788,37454,73248,,,
990795,37454,75269,,,
990802,37454,67065,,,
990809,37454,73187,,,
990816,37454,72468,,,
990821,37454,76514,,,
990825,37454,74460,,,
990832,37454,72383,,,
990839,37454,68231,,,
990846,37454,77939,,,
990853,37454,77924,,,
990860,37454,69702,,,
990867,37454,75837,,,
990874,37454,75817,,,
990881,37454,73740,,,
990888,37458,32344,,,
990895,37458,69031,,,
990902,37463,75248,,,
990909,37463,72159,,,
990916,37463,73155,,,
990923,37463,67982,,,
990928,37463,67975,,,
990932,37463,71007,,,
990939,37463,66365,,,
990946,37463,74546,,,
990953,37463,68875,,,
990960,37463,78034,,,
990967,37463,72375,,,
990974,37463,68669,,,
990981,37463,73751,,,
990988,37463,68100,,,
990995,37445,2901,,,
991002,37445,15058,,,
991009,37445,20165,,,
991016,37469,66547,,,
991023,37469,74737,,,
991030,37469,71145,,,
991035,37469,76389,,,
991039,37469,75741,,,
991046,37469,68174,,,
991053,37469,77892,,,
991060,37469,77241,,,
991067,37469,67502,,,
991074,37469,74662,,,
991081,37469,77465,,,
991088,37469,68244,,,
991095,37469,70535,,,
991102,37472,68714,,,
991109,37472,74071,,,
991116,37472,73170,,,
991123,37472,73668,,,
991130,37472,78005,,,
991137,37472,67497,,,
991142,37472,75040,,,
991146,37472,72726,,,
991153,37472,76554,,,
991160,37472,73347,,,
991167,37473,74728,,,
991174,37473,67524,,,
991181,37473,76460,,,
991188,37473,68505,,,
991195,37475,71679,,,
991202,37475,73112,,,
991209,37475,69733,,,
991216,37475,71257,,,
991223,37475,73801,,,
991230,37475,76988,,,
991237,37475,71594,,,
991244,37475,70811,,,
991249,37475,72347,,,
991253,37475,77718,,,
991260,37475,71817,,,
991267,37476,74620,,,
991274,37476,66277,,,
991281,37476,67786,,,
991288,37476,66190,,,
991295,37478,70896,,,
991302,37478,70889,,,
991309,37478,74460,,,
991316,37478,73688,,,
991323,37478,70842,,,
991330,37478,68274,,,
991337,37478,76704,,,
991344,37478,70675,,,
991351,37478,67463,,,
991356,37479,75000,,,
991360,37479,70377,,,
991367,37479,75610,,,
991374,37479,73037,,,
991381,37479,68032,,,
991388,37479,72490,,,
991395,37479,74774,,,
991402,37479,72206,,,
991409,37479,74242,,,
991416,37482,68074,,,
991423,37483,74044,,,
991430,37483,75986,,,
991437,37484,72819,,,
991444,37484,71264,,,
991451,37484,74959,,,
991458,37484,76973,,,
991463,37484,73622,,,
991467,37484,74368,,,
991474,37485,67186,,,
991481,37485,69754,,,
991488,37485,75097,,,
991495,37485,74959,,,
991502,37485,73148,,,
991509,37485,69802,,,
991516,37485,69537,,,
991523,37485,74903,,,
991530,37485,73232,,,
991537,37486,75144,,,
991544,37490,77167,,,
991551,37490,77159,,,
991558,37490,77917,,,
991565,37490,73681,,,
991570,37490,69697,,,
991574,37490,75576,,,
991581,37490,77483,,,
991588,37490,76319,,,
991595,37490,74765,,,
991602,37491,69095,,,
991609,37491,70593,,,
991616,37491,68531,,,
991623,37491,77220,,,
991630,37491,69994,,,
991637,37491,68408,,,
991644,37491,75039,,,
991651,37491,77061,,,
991658,37491,77050,,,
991665,37491,71874,,,
991672,37491,69753,,,
991677,37491,69731,,,
991681,37491,77917,,,
991688,37491,71232,,,
991695,37491,75823,,,
991702,37491,67113,,,
991709,37491,71698,,,
991716,37495,67037,,,
991723,37495,67027,,,
991730,37495,76522,,,
991737,37498,71037,,,
991744,37498,71402,,,
991751,37498,75351,,,
991758,37498,73668,,,
991765,37498,71349,,,
991772,37498,72478,,,
991779,37498,73872,,,
991784,37498,77953,,,
991788,37499,72040,,,
991795,37499,74947,,,
991802,37499,73140,,,
991809,37499,68226,,,
991816,37500,68074,,,
991823,37501,69994,,,
991830,37501,71390,,,
991837,37501,73552,,,
991844,37501,70831,,,
991851,37501,68867,,,
991858,37502,72807,,,
991865,37502,66623,,,
991872,37502,76460,,,
991879,37502,68505,,,
991886,37503,71966,,,
991891,37503,70137,,,
991895,37503,73141,,,
991902,37504,74462,,,
991909,37504,73077,,,
991916,37504,66282,,,
991923,37505,66046,,,
