32,38681,,,
1672752,72732,24332,,,
1672753,72732,18188,,,
1672754,72732,3845,,,
1672755,72732,30445,,,
1672756,72732,16106,,,
1672758,72732,34539,,,
1672759,72732,46741,,,
1672760,72732,32399,,,
1672761,72732,16003,,,
1672762,72732,16002,,,
1672763,72732,16001,,,
1672765,72732,15994,,,
1672766,72732,32378,,,
1672767,72732,15993,,,
1672768,72732,15992,,,
1672769,72732,15981,,,
1672770,72732,38508,,,
1672772,72732,22118,,,
1672773,72732,34404,,,
1672774,72732,30307,,,
1672775,72732,38497,,,
1672776,72732,24158,,,
1672777,72732,24157,,,
1672779,72732,32342,,,
1672780,72732,32341,,,
1672781,72732,65108,,,
1672782,72732,26193,,,
1672783,72732,65093,,,
1672784,72732,36410,,,
1672786,72732,26155,,,
1672787,72732,13860,,,
1672788,72732,13858,,,
1672789,72732,13859,,,
1672790,72732,42531,,,
1672791,72732,42530,,,
1672793,72732,28189,,,
1672794,72732,28184,,,
1672795,72732,3587,,,
1672796,72732,3580,,,
1672797,72732,15868,,,
1672798,72732,3556,,,
1672800,72732,40416,,,
1672801,72732,30162,,,
1672802,72732,24002,,,
1672803,72732,30136,,,
1672804,72732,34227,,,
1672805,72732,34220,,,
1672807,72732,28064,,,
1672808,72732,60830,,,
1672809,72732,23954,,,
1672810,72732,28045,,,
1672811,72732,28044,,,
1672812,72732,3464,,,
1672814,72732,28030,,,
1672815,72732,38269,,,
1672816,72732,30075,,,
1672817,72732,28020,,,
1672818,72732,28015,,,
1672819,72732,28007,,,
1672821,72732,27981,,,
1672822,72732,27980,,,
1672823,72732,27971,,,
1672824,72732,27962,,,
1672825,72732,27954,,,
1672826,72732,25889,,,
1672828,72732,27928,,,
1672829,72732,3350,,,
1672830,72732,27924,,,
1672831,72732,27921,,,
1672832,72732,15626,,,
1672833,72732,27913,,,
1672835,72732,58631,,,
1672836,72732,58622,,,
1672837,72732,44285,,,
1672838,72732,23798,,,
1672840,72732,13537,,,
1672841,72732,38098,,,
1672842,72732,27847,,,
1672844,72732,46276,,,
1672845,72732,29887,,,
1672846,72732,62648,,,
1672847,72732,3253,,,
1672848,72732,44211,,,
1672849,72732,44210,,,
1672851,72732,19630,,,
1672852,72732,21666,,,
1672853,72732,29846,,,
1672854,72732,13460,,,
1672855,72732,101519,,,
1672856,72732,23686,,,
1672858,72732,23680,,,
1672859,72732,62577,,,
1672860,72732,27758,,,
1672861,72732,29800,,,
1672862,72732,29796,,,
1672863,72732,27725,,,
1672865,72732,33855,,,
1672866,72732,62527,,,
1672867,72732,27707,,,
1672868,72732,27698,,,
1672869,72732,60465,,,
1672870,72732,27692,,,
1672872,72732,21548,,,
1672873,72732,21547,,,
1672874,72732,60459,,,
1672875,72732,33834,,,
1672876,72732,3094,,,
1672877,72732,27668,,,
1672879,72732,15372,,,
1672880,72732,62476,,,
1672881,72732,23543,,,
1672882,72732,13300,,,
1672883,72732,23536,,,
1672884,72732,27625,,,
1672886,72732,17381,,,
1672887,72732,37854,,,
1672888,72732,5081,,,
1672889,72732,5080,,,
1672890,72732,25543,,,
1672891,72732,25542,,,
1672893,72732,60345,,,
1672894,72732,62388,,,
1672895,72732,31661,,,
1672896,72732,33703,,,
1672897,72732,25510,,,
1672898,72732,33698,,,
1672900,72732,29602,,,
1672901,72732,31647,,,
1672902,72732,101280,,,
1672903,72732,19359,,,
1672904,72732,19356,,,
1672905,72732,19355,,,
1672907,72732,2968,,,
1672908,72732,27541,,,
1672909,72732,2962,,,
1672910,72732,60301,,,
1672911,72732,60305,,,
1672912,72732,60304,,,
1672914,72732,19342,,,
1672915,72732,62348,,,
1672916,72732,29580,,,
1672917,72732,60299,,,
1672918,72732,2954,,,
1672919,72732,60294,,,
1672921,72732,31617,,,
1672922,72732,4993,,,
1672923,72732,27520,,,
1672924,72732,2943,,,
1672925,72732,31610,,,
1672926,72732,31609,,,
1672928,72732,29561,,,
1672929,72732,2936,,,
1672930,72732,29560,,,
1672931,72732,17268,,,
1672932,72732,31598,,,
1672933,72732,31595,,,
1672935,72732,29539,,,
1672936,72732,31584,,,
1672937,72732,43870,,,
1672938,72732,60226,,,
1672939,72732,60223,,,
1672940,72732,60221,,,
1672942,72732,60214,,,
1672943,72732,33581,,,
1672944,72732,31530,,,
1672945,72732,33570,,,
1672947,72732,4892,,,
1672948,72732,19229,,,
1672949,72732,33564,,,
1672951,72732,60169,,,
1672952,72732,31491,,,
1672953,72732,39683,,,
1672954,72732,31472,,,
1672955,72732,27374,,,
1672956,72732,39661,,,
1672958,72732,27360,,,
1672959,72732,27358,,,
1672960,72732,62169,,,
1672961,72732,33496,,,
1672962,72732,27351,,,
1672963,72732,39634,,,
1672965,72732,60086,,,
1672966,72732,39597,,,
1672967,72732,39596,,,
1672968,72732,19114,,,
1672969,72732,39588,,,
1672970,72732,101023,,,
1672972,72732,39578,,,
1672973,72732,33433,,,
1672974,72732,19088,,,
1672975,72732,19087,,,
1672976,72732,39557,,,
1672977,72732,31364,,,
1672979,72732,2687,,,
1672980,72732,62077,,,
1672981,72732,39548,,,
1672982,72732,17016,,,
1672983,72732,19057,,,
1672984,72732,33391,,,
1672986,72732,33378,,,
1672987,72732,47714,,,
1672988,72732,29278,,,
1672989,72732,39506,,,
1672990,72732,39498,,,
1672991,72732,39492,,,
1672993,72732,4678,,,
1672994,72732,39493,,,
1672995,72732,31300,,,
1672996,72732,39491,,,
1672997,72732,576,,,
1672998,72732,27197,,,
1673000,72732,39484,,,
1673001,72732,25147,,,
1673002,72732,25146,,,
1673003,72732,25142,,,
1673004,72732,562,,,
1673005,72732,27185,,,
1673007,72732,553,,,
1673008,72732,27170,,,
1673009,72732,29217,,,
1673010,72732,59933,,,
1673011,72732,35352,,,
1673012,72732,41498,,,
1673014,72732,27161,,,
1673015,72732,39448,,,
1673016,72732,39447,,,
1673017,72732,35350,,,
1673018,72732,59923,,,
1673019,72732,47632,,,
1673021,72732,27148,,,
1673022,72732,4619,,,
1673023,72732,501,,,
1673024,72732,25063,,,
1673025,72732,27109,,,
1673026,72732,37347,,,
1673028,72732,37345,,,
1673029,72732,27100,,,
1673030,72732,22993,,,
1673031,72732,4560,,,
1673032,72732,22990,,,
1673033,72732,457,,,
1673035,72732,31165,,,
1673036,72732,31163,,,
1673037,72732,39352,,,
1673038,72732,39351,,,
1673039,72732,29105,,,
1673040,72732,33189,,,
