86,75753,,,
1123231,42686,75749,,,
1123232,42686,75751,,,
1123233,42686,77797,,,
1123234,42686,75745,,,
1123235,42686,77793,,,
1123236,42686,77795,,,
43444,2635,59667,,,
1123237,42686,77794,,,
1123238,42686,69601,,,
1123239,42686,75744,,,
1123240,42686,68942,,,
1123241,42686,68941,,,
1123242,42686,68940,,,
1123243,42686,68939,,,
1123244,42686,66883,,,
1123245,42686,75073,,,
1123246,42686,75074,,,
1123247,42686,66881,,,
1123248,42686,75072,,,
1123249,42686,68924,,,
1123250,42686,77111,,,
1123251,42686,66872,,,
1123252,42686,66871,,,
1123253,42686,75061,,,
1123254,42686,70962,,,
1123255,42686,70961,,,
1123256,42686,70960,,,
1123257,42686,68910,,,
1123258,42686,75054,,,
1123259,42686,70953,,,
1123260,42686,77097,,,
1123261,42686,70947,,,
1123262,42686,66847,,,
1123263,42686,70938,,,
1123264,42686,70935,,,
1123265,42686,70930,,,
1123266,42686,70934,,,
1123267,42686,72981,,,
1123268,42686,66836,,,
1123269,42686,66837,,,
1123270,42686,70932,,,
1123271,42686,77075,,,
1123272,42686,77074,,,
1123273,42686,77073,,,
1123274,42686,68877,,,
1123275,42686,68875,,,
1123276,42686,68874,,,
1123277,42686,77061,,,
1123278,42686,68868,,,
1123279,42686,77050,,,
1123280,42686,70905,,,
1123281,42686,72952,,,
1123282,42686,68855,,,
1123283,42686,68848,,,
1123284,42686,72942,,,
1123285,42686,68840,,,
1123286,42686,68836,,,
1123287,42686,70885,,,
1123288,42686,70884,,,
1123289,42686,68833,,,
1123290,42686,72926,,,
1123291,42686,72925,,,
1123292,42686,74975,,,
1123293,42686,74974,,,
1123294,42686,66781,,,
1123295,42686,66779,,,
1123296,42686,68825,,,
1123297,42686,68823,,,
1123298,42686,68821,,,
1123299,42686,70869,,,
1123300,42686,68820,,,
1123301,42686,72915,,,
1123302,42686,66770,,,
1123303,42686,77007,,,
1123304,42686,77006,,,
1123305,42686,72905,,,
1123306,42686,68809,,,
1123307,42686,70852,,,
1123308,42686,74948,,,
1123309,42686,74940,,,
1123310,42686,66745,,,
1123311,42686,76982,,,
1123312,42686,66738,,,
1123313,42686,74923,,,
1123314,42686,68780,,,
1123315,42686,72876,,,
1123316,42686,68779,,,
1123317,42686,66730,,,
1123318,42686,68774,,,
1123319,42686,76965,,,
1123320,42686,70818,,,
1123321,42686,74910,,,
1123322,42686,70811,,,
1123323,42686,76952,,,
1123324,42686,74905,,,
1123325,42686,74904,,,
1123326,42686,74903,,,
1123327,42686,74900,,,
43551,2635,28219,,,
1123328,42686,76340,,,
1123329,42686,72242,,,
1123330,42686,76336,,,
1123331,42686,66095,,,
1123332,42686,66094,,,
1123333,42686,76331,,,
1123334,42686,76323,,,
1123335,42686,76321,,,
1123336,42686,68129,,,
1123337,42686,76319,,,
1123338,42686,76318,,,
1123339,42686,66063,,,
1123340,42686,76309,,,
1123341,42686,68116,,,
1123342,42686,70162,,,
1123343,42686,68112,,,
1123344,42686,74256,,,
1123345,42686,76304,,,
1123346,42686,74255,,,
1123347,42686,72206,,,
1123348,42686,72204,,,
1123349,42686,70149,,,
1123350,42686,74243,,,
1123351,42686,74241,,,
1123352,42686,76288,,,
1123353,42686,72191,,,
1123354,42686,72190,,,
1123355,42686,72186,,,
1123356,42686,76282,,,
1123357,42686,68086,,,
1123358,42686,70134,,,
1123359,42686,66035,,,
1123360,42686,72163,,,
1123361,42686,72162,,,
1123362,42686,72159,,,
1123363,42686,72158,,,
1123364,42686,70101,,,
1123365,42686,72149,,,
1123366,42686,68040,,,
1123367,42686,76229,,,
1123368,42686,70085,,,
1123369,42686,76220,,,
1123370,42686,74172,,,
1123371,42686,70076,,,
1123372,42686,70072,,,
1123373,42686,68023,,,
1123374,42686,74160,,,
1123375,42686,74159,,,
1123376,42686,74158,,,
1123377,42686,74150,,,
1123378,42686,76198,,,
1123379,42686,72099,,,
1123380,42686,74142,,,
1123381,42686,76192,,,
1123382,42686,76191,,,
1123383,42686,76190,,,
1123384,42686,74130,,,
1123385,42686,72081,,,
1123386,42686,72078,,,
1123387,42686,74129,,,
1123388,42686,72079,,,
1123389,42686,70028,,,
1123390,42686,70029,,,
1123391,42686,67981,,,
1123392,42686,67980,,,
1123393,42686,67979,,,
1123394,42686,70025,,,
1123395,42686,76168,,,
1123396,42686,74114,,,
1123397,42686,72062,,,
1123398,42686,74112,,,
1123399,42686,74111,,,
1123400,42686,76158,,,
1123401,42686,76157,,,
1123402,42686,72060,,,
1123403,42686,76155,,,
1123404,42686,72058,,,
1123405,42686,76143,,,
1123406,42686,69994,,,
1123407,42686,69995,,,
1123408,42686,76138,,,
1123409,42686,76135,,,
1123410,42686,74086,,,
1123411,42686,67938,,,
1123412,42686,76129,,,
1123413,42686,76128,,,
1123414,42686,69982,,,
1123415,42686,74071,,,
1123416,42686,74066,,,
1123417,42686,76102,,,
1123418,42686,72008,,,
43658,2660,48689,,,
1123419,42686,67912,,,
1123420,42686,72007,,,
1123421,42686,67910,,,
1123422,42686,78147,,,
1123423,42686,69949,,,
1123424,42686,76091,,,
1123425,42686,76087,,,
1123426,42686,69942,,,
1123427,42686,67890,,,
1123428,42686,76083,,,
1123429,42686,76082,,,
1123430,42686,76081,,,
1123431,42686,76080,,,
1123432,42686,71982,,,
1123433,42686,76078,,,
1123434,42686,69933,,,
1123435,42686,76076,,,
1123436,42686,76074,,,
1123437,42686,78121,,,
1123438,42686,76072,,,
1123439,42686,76069,,,
1123440,42686,71973,,,
1123441,42686,76068,,,
1123442,42686,76065,,,
1123443,42686,69918,,,
1123444,42686,76058,,,
1123445,42686,76057,,,
1123446,42686,76054,,,
1123447,42686,76053,,,
1123448,42686,69906,,,
1123449,42686,76049,,,
1123450,42686,78096,,,
1123451,42686,76044,,,
1123452,42686,73995,,,
1123453,42686,76042,,,
1123454,42686,76040,,,
1123455,42686,69896,,,
1123456,42686,69889,,,
1123457,42686,77796,,,
1123458,42686,69880,,,
1123459,42686,69879,,,
1123460,42686,73726,,,
1123461,42686,78069,,,
1123462,42686,76021,,,
1123463,42686,78068,,,
1123464,42686,73967,,,
1123465,42686,78059,,,
1123466,42686,78058,,,
1123467,42686,78057,,,
1123468,42686,78056,,,
1123469,42686,76003,,,
1123470,42686,67810,,,
1123471,42686,78050,,,
1123472,42686,73952,,,
1123473,42686,73951,,,
1123474,42686,73950,,,
1123475,42686,78044,,,
1123476,42686,67801,,,
1123477,42686,78042,,,
1123478,42686,73944,,,
1123479,42686,78040,,,
1123480,42686,78036,,,
1123481,42686,78035,,,
1123482,42686,78034,,,
1123483,42686,75983,,,
1123484,42686,78030,,,
1123485,42686,67786,,,
1123486,42686,67785,,,
1123487,42686,78025,,,
1123488,42686,67783,,,
1123489,42686,67781,,,
1123490,42686,78017,,,
1123491,42686,67775,,,
1123492,42686,78008,,,
1123493,42686,78005,,,
1123494,42686,69813,,,
1123495,42686,67764,,,
1123496,42686,67762,,,
1123497,42686,75954,,,
1123498,42686,71855,,,
1123499,42686,71849,,,
1123500,42686,69799,,,
1123501,42686,73892,,,
1123502,42686,77982,,,
1123503,42686,77981,,,
1123504,42686,75929,,,
1123505,42686,71830,,,
1123506,42686,69782,,,
1123507,42686,73878,,,
1123508,42686,77968,,,
1123509,42686,77967,,,
43765,2695,86380,,,
1123510,42686,73869,,,
1123511,42686,77965,,,
1123512,42686,77964,,,
1123513,42686,71817,,,
1123514,42686,75912,,,
1123515,42686,73858,,,
1123516,42686,67709,,,
1123517,42686,77365,,,
1123518,42686,75897,,,
1123519,42686,69754,,,
1123520,42686,69753,,,
1123521,42686,75893,,,
1123522,42686,77364,,,
1123523,42686,75891,,,
1123524,42686,77941,,,
1123525,42686,75892,,,
1123526,42686,69747,,,
1123527,42686,75888,,,
1123528,42686,69744,,,
1123529,42686,69743,,,
1123530,42686,71789,,,
1123531,42686,71788,,,
1123532,42686,77926,,,
1123533,42686,77924,,,
1123534,42686,75876,,,
1123535,42686,69731,,,
1123536,42686,77922,,,
1123537,42686,77910,,,
1123538,42686,69718,,,
1123539,42686,69717,,,
1123540,42686,77907,,,
1123541,42686,77906,,,
1123542,42686,77904,,,
1123543,42686,77903,,,
1123544,42686,76508,,,
1123545,42686,76506,,,
1123546,42686,68312,,,
1123547,42686,76497,,,
1123548,42686,77902,,,
1123549,42686,73801,,,
1123550,42686,75850,,,
1123551,42686,75849,,,
1123552,42686,73794,,,
1123553,42686,73792,,,
1123554,42686,73791,,,
1123555,42686,71749,,,
1123556,42686,77888,,,
1123557,42686,69699,,,
1123558,42686,75841,,,
1123559,42686,77889,,,
1123560,42686,75840,,,
1123561,42686,75839,,,
1123562,42686,75837,,,
1123563,42686,67582,,,
1123564,42686,73780,,,
1123565,42686,69683,,,
1123566,42686,75315,,,
1123567,42686,75824,,,
1123568,42686,75821,,,
1123569,42686,71719,,,
1123570,42686,75814,,,
1123571,42686,67613,,,
1123572,42686,73756,,,
1123573,42686,75803,,,
1123574,42686,67608,,,
1123575,42686,73751,,,
1123576,42686,75308,,,
1123577,42686,71698,,,
1123578,42686,67600,,,
1123579,42686,67599,,,
1123580,42686,73743,,,
1123581,42686,73742,,,
1123582,42686,73740,,,
1123583,42686,77833,,,
1123584,42686,71690,,,
1123585,42686,75307,,,
1123586,42686,75306,,,
1123587,42686,73732,,,
1123588,42686,73728,,,
1123589,42686,67584,,,
1123590,42693,3391,,,
1123591,42693,1373,,,
1123592,42693,32922,,,
1123593,42693,22360,,,
1123594,42693,30591,,,
1123595,42693,3402,,,
1123596,42693,49127,,,
1123597,42693,48641,,,
1123598,42698,31510,,,
1123599,42698,38886,,,
1123600,42698,38325,,,
43872,2676,85070,,,
1123601,42698,33481,,,
1123602,42698,20917,,,
1123603,42694,82417,,,
1123604,42694,91115,,,
1123605,42694,81896,,,
1123606,42694,79837,,,
1123607,42694,89560,,,
1123608,42694,80341,,,
1123609,42694,79822,,,
1123610,42694,83917,,,
1123611,42694,90058,,,
1123612,42694,82377,,,
1123613,42694,90055,,,
1123614,42694,82370,,,
1123615,42694,80833,,,
1123616,42694,80824,,,
1123617,42694,86454,,,
1123618,42694,80822,,,
1123619,42694,90025,,,
1123620,42694,92583,,,
1123621,42694,78750,,,
1123622,42694,79257,,,
1123623,42694,78229,,,
1123624,42694,80275,,,
1123625,42694,79250,,,
1123626,42694,82831,,,
1123627,42694,84875,,,
1123628,42694,84869,,,
1123629,42694,80249,,,
1123630,42694,80760,,,
1123631,42694,86388,,,
1123632,42694,79213,,,
1123633,42694,79212,,,
1123634,42694,91498,,,
1123635,42694,79207,,,
1123636,42694,79206,,,
1123637,42694,88421,,,
1123638,42694,86370,,,
1123639,42694,87387,,,
1123640,42694,85325,,,
1123641,42694,86346,,,
1123642,42694,88380,,,
1123643,42694,88378,,,
1123644,42694,82744,,,
1123645,42694,92463,,,
1123646,42694,90928,,,
1123647,42694,90927,,,
1123648,42694,86830,,,
1123649,42694,88877,,,
1123650,42694,86828,,,
1123651,42694,87848,,,
1123652,42694,84258,,,
1123653,42694,80160,,,
1123654,42694,80159,,,
1123655,42694,78613,,,
1123656,42694,84752,,,
1123657,42694,83699,,,
1123658,42694,83695,,,
1123659,42694,91374,,,
1123660,42694,88812,,,
1123661,42694,88811,,,
1123662,42694,82154,,,
1123663,42694,88808,,,
1123664,42694,78566,,,
1123665,42694,79064,,,
1123666,42694,79062,,,
1123667,42694,84186,,,
1123668,42694,91355,,,
1123669,42694,91354,,,
1123670,42694,91353,,,
1123671,42694,91352,,,
1123672,42694,91351,,,
1123673,42694,91350,,,
1123674,42694,91349,,,
1123675,42694,91348,,,
1123676,42694,91347,,,
1123677,42694,91346,,,
1123678,42694,91345,,,
1123679,42694,90834,,,
1123680,42694,90833,,,
1123681,42694,91344,,,
1123682,42694,79051,,,
1123683,42694,90310,,,
1123684,42694,84674,,,
1123685,42694,84671,,,
1123686,42694,88240,,,
1123687,42694,80559,,,
1123688,42694,88237,,,
1123689,42694,86699,,,
1123690,42694,85162,,,
1123691,42694,88744,,,
43979,2683,87902,,,
1123692,42694,90792,,,
1123693,42694,86693,,,
1123694,42694,90788,,,
1123695,42694,90778,,,
1123696,42694,84619,,,
1123697,42694,84618,,,
1123698,42694,90761,,,
1123699,42694,84613,,,
1123700,42694,81536,,,
1123701,42694,78971,,,
1123702,42694,84586,,,
1123703,42694,89683,,,
1123704,42694,84561,,,
1123705,42694,89681,,,
1123706,42694,84560,,,
1123707,42694,82510,,,
1123708,42694,84557,,,
1123709,42694,85058,,,
1123710,42694,87617,,,
1123711,42694,84033,,,
1123712,42694,84032,,,
1123713,42694,84030,,,
1123714,42694,87611,,,
1123715,42694,87608,,,
1123716,42694,79927,,,
1123717,42694,82986,,,
1123718,42694,92703,,,
1123719,42694,85531,,,
1123720,42694,78362,,,
1123721,42694,87574,,,
1123722,42694,86034,,,
1123723,42694,88082,,,
1123724,42694,92176,,,
1123725,42694,87565,,,
1123726,42694,87050,,,
1123727,42694,87561,,,
1123728,42694,92165,,,
1123729,42702,47295,,,
1123730,42702,47294,,,
1123731,42702,11258,,,
1123732,42702,78225,,,
1123733,42706,92702,,,
1123734,42706,84380,,,
1123735,42706,87577,,,
1123736,42706,78292,,,
1123737,42706,85971,,,
1123738,42706,92680,,,
1123739,42706,81645,,,
1123740,42706,78794,,,
1123741,42706,88743,,,
1123742,42706,88745,,,
1123743,42706,88748,,,
1123744,42706,88747,,,
1123745,42706,88746,,,
1123746,42706,80905,,,
1123747,42706,88744,,,
1123748,42706,80903,,,
1123749,42706,88742,,,
1123750,42706,88741,,,
1123751,42706,81088,,,
1123752,42663,22663,,,
1123753,42663,26854,,,
1123754,42663,32623,,,
1123755,42680,59432,,,
1123756,42723,68987,,,
1123757,42723,68985,,,
1123758,42723,69880,,,
1123759,42723,69879,,,
1123760,42723,68982,,,
1123761,42723,73198,,,
1123762,42723,68973,,,
1123763,42723,67308,,,
1123764,42723,69994,,,
1123765,42723,73321,,,
1123766,42723,76648,,,
1123767,42723,73306,,,
1123768,42723,66902,,,
1123769,42723,73300,,,
1123770,42723,77011,,,
1123771,42723,73285,,,
1123772,42723,67012,,,
1123773,42723,69308,,,
1123774,42723,77114,,,
1123775,42723,76726,,,
1123776,42723,66601,,,
1123777,42723,73385,,,
1123778,42723,77479,,,
1123779,42723,72994,,,
1123780,42723,77470,,,
1123781,42723,74256,,,
1123782,42723,74255,,,
44086,2743,81026,,,
1123783,42723,73486,,,
1123784,42723,69256,,,
1123785,42726,79709,,,
1123786,42726,79708,,,
1123787,42741,77794,,,
1123788,42741,77793,,,
1123789,42741,71136,,,
1123790,42741,73688,,,
1123791,42741,71126,,,
1123792,42741,67030,,,
1123793,42741,71125,,,
1123794,42741,67028,,,
1123795,42741,73171,,,
1123796,42741,73170,,,
1123797,42741,66512,,,
1123798,42741,70607,,,
1123799,42741,73157,,,
1123800,42741,76108,,,
1123801,42741,70084,,,
1123802,42741,70085,,,
1123803,42741,67013,,,
1123804,42741,70596,,,
1123805,42741,70083,,,
1123806,42741,73663,,,
1123807,42741,73148,,,
1123808,42741,74172,,,
1123809,42741,74171,,,
1123810,42741,73143,,,
1123811,42741,77748,,,
1123812,42741,66483,,,
1123813,42741,77736,,,
1123814,42741,77743,,,
1123815,42741,77226,,,
1123816,42741,75180,,,
1123817,42741,77740,,,
1123818,42741,67499,,,
1123819,42741,70569,,,
1123820,42741,77735,,,
1123821,42741,74661,,,
1123822,42741,77734,,,
1123823,42741,67494,,,
1123824,42741,73637,,,
1123825,42741,77215,,,
1123826,42741,77218,,,
1123827,42741,69537,,,
1123828,42741,76704,,,
1123829,42741,75167,,,
1123830,42741,68510,,,
1123831,42741,68509,,,
1123832,42741,75160,,,
1123833,42741,70552,,,
1123834,42741,77719,,,
1123835,42741,75157,,,
1123836,42741,69011,,,
1123837,42741,67470,,,
1123838,42741,70030,,,
1123839,42741,77711,,,
1123840,42741,76687,,,
1123841,42741,77197,,,
1123842,42741,77196,,,
1123843,42741,75148,,,
1123844,42741,77194,,,
1123845,42741,77192,,,
1123846,42741,67463,,,
1123847,42741,76165,,,
1123848,42741,68482,,,
1123849,42741,77696,,,
1123850,42741,74112,,,
1123851,42741,77691,,,
1123852,42741,74611,,,
1123853,42741,73077,,,
1123854,42741,77683,,,
1123855,42741,67955,,,
1123856,42741,68975,,,
1123857,42741,74609,,,
1123858,42741,74608,,,
1123859,42741,68974,,,
1123860,42741,75118,,,
1123861,42741,77820,,,
1123862,42741,76136,,,
1123863,42741,77669,,,
1123864,42741,73571,,,
1123865,42741,70499,,,
1123866,42741,70498,,,
1123867,42741,68444,,,
1123868,42741,76113,,,
1123869,42741,75089,,,
1123870,42741,75602,,,
1123871,42741,77651,,,
1123872,42741,70995,,,
1123873,42741,67923,,,
44193,2712,91268,,,
1123874,42741,74066,,,
1123875,42741,67921,,,
1123876,42741,67920,,,
1123877,42741,76110,,,
1123878,42741,76109,,,
1123879,42741,69453,,,
1123880,42741,76107,,,
1123881,42741,76105,,,
1123882,42741,67910,,,
1123883,42741,76102,,,
1123884,42741,67400,,,
1123885,42741,67396,,,
1123886,42741,67397,,,
1123887,42741,76613,,,
1123888,42741,72004,,,
1123889,42741,67394,,,
1123890,42741,67393,,,
1123891,42741,77632,,,
1123892,42741,76606,,,
1123893,42741,73638,,,
1123894,42741,66361,,,
1123895,42741,75063,,,
1123896,42741,69942,,,
1123897,42741,66358,,,
1123898,42741,66355,,,
1123899,42741,68402,,,
1123900,42741,68401,,,
1123901,42741,68400,,,
1123902,42741,68399,,,
1123903,42741,70948,,,
1123904,42741,68393,,,
1123905,42741,77607,,,
1123906,42741,75048,,,
1123907,42741,69415,,,
1123908,42741,76069,,,
1123909,42741,70437,,,
1123910,42741,75044,,,
1123911,42741,72483,,,
1123912,42741,75039,,,
1123913,42741,75037,,,
1123914,42741,67355,,,
1123915,42741,72979,,,
1123916,42741,76052,,,
1123917,42741,70928,,,
1123918,42741,78094,,,
1123919,42741,77584,,,
1123920,42741,77069,,,
1123921,42741,77583,,,
1123922,42741,68877,,,
1123923,42741,67853,,,
1123924,42741,77068,,,
1123925,42741,70923,,,
1123926,42741,70922,,,
1123927,42741,67335,,,
1123928,42741,77064,,,
1123929,42741,72967,,,
1123930,42741,77061,,,
1123931,42741,77056,,,
1123932,42741,67327,,,
1123933,42741,66300,,,
1123934,42741,67325,,,
1123935,42741,67324,,,
1123936,42741,70905,,,
1123937,42741,77559,,,
1123938,42741,66295,,,
1123939,42741,78068,,,
1123940,42741,78069,,,
1123941,42741,75508,,,
1123942,42741,70896,,,
1123943,42741,77039,,,
1123944,42741,78060,,,
1123945,42741,71917,,,
1123946,42741,72428,,,
1123947,42741,72940,,,
1123948,42741,71403,,,
1123949,42741,72422,,,
1123950,42741,68836,,,
1123951,42741,71907,,,
1123952,42741,78050,,,
1123953,42741,76508,,,
1123954,42741,77536,,,
1123955,42741,72923,,,
1123956,42741,74460,,,
1123957,42741,74461,,,
1123958,42741,77532,,,
1123959,42741,77531,,,
1123960,42741,74458,,,
1123961,42741,70359,,,
1123962,42741,74455,,,
1123963,42741,76501,,,
1123964,42741,76500,,,
44300,2713,22705,,,
