@,24976,24968
39005,@,25206,41193
39006,@,25207,25205
39007,@,25208,25205
39008,@,25209,25205
39009,@,25210,25203
39010,%p,25210,25220
39011,@,25211,25203
39012,@,25212,39631
39013,%p,25212,25216
39014,%p,25212,25223
39015,%p,25212,25224
39016,%p,25212,25226
39017,%p,25212,26623
39018,@,25213,25210
39019,@,25214,25210
39020,@,25215,26036
39021,@,25216,25215
39022,@,25217,25216
39023,@,25218,25216
39024,@,25219,25215
39025,@,25220,26036
39026,@,25221,25220
39027,@,25222,25220
39028,@,25223,39631
39029,@,25224,39631
39030,@,25225,39631
39031,@,25226,39631
39032,@,25227,39631
39033,@,25228,25212
39034,@,25230,25229
39035,@,25231,22802
39036,@,25232,25231
39037,@,25233,25231
39038,@,25234,25231
39039,@,25235,22843
39040,@,25236,22843
39041,@,25237,25257
39042,@,25238,25253
39043,@,25239,25176
39044,@,25240,25239
39045,@,25241,25240
39046,@,25242,25239
39047,@,25243,25240
39048,%p,25243,25244
39049,@,25244,25534
39050,%p,25244,25245
39051,@,25245,26017
39052,@,25247,25176
39053,@,25248,25247
39054,@,25249,25248
39055,@,25250,25248
39056,@,25251,25257
39057,@,25252,62124
39058,@,25253,25247
39059,@,25254,25253
39060,@,25255,25254
39061,@,25256,25254
39062,@,25257,25247
39063,%p,25257,25272
39064,@,25258,25257
39065,@,25259,25257
39066,@,25260,25257
39067,@,25261,25260
39068,@,25262,25260
39069,@,25263,25260
39070,@,25265,25260
39071,@,25266,25476
39072,@,25267,25266
39073,@,25268,25266
39074,@,25269,25266
39075,@,25270,25266
39076,@,25271,25247
39077,@,25272,25162
39078,@,25273,25203
39079,%p,25273,25276
39080,%p,25273,25277
39081,%s,25273,63370
39082,@,25274,25203
39083,@,25275,25273
39084,@,25276,39088
39085,%p,25276,25278
39086,@,25277,39394
39087,@,25278,60116
39088,@,25280,25273
39089,@,25204,41193
39090,@,25282,25280
39091,@,25283,25273
39092,@,25284,25283
39093,@,25285,25283
39094,@,25286,25285
39095,@,25287,25283
39096,@,25288,25287
39097,@,25289,25287
39098,@,25291,25280
39099,@,25292,25280
39100,@,25293,25280
39101,@,25294,25293
39102,@,25295,25280
39103,@,25296,25280
39104,@,25297,25295
39105,@,25298,25295
39106,@,25299,25280
39107,@,25300,25280
39108,@,25301,25280
39109,@,25302,25293
39110,@,25303,25282
39111,@,25304,25282
39112,@,25305,25280
39113,@,25306,25280
39114,@,25307,25273
39115,%p,25307,25311
39116,@,25309,25307
39117,@,25310,25307
39118,@,25311,25273
39119,@,25312,25311
39120,@,25313,25311
39121,@,25314,25307
39122,@,25315,25307
39123,@,25316,25273
39124,@,25317,12
39125,@,25318,25317
39126,@,25319,25318
39127,@,25320,25319
39128,@,25321,25318
39129,@,25322,25321
39130,@,25323,41186
39131,@,25324,25323
39132,@,25325,41186
39133,@,25326,25162
39134,@,25328,25327
39135,@,25329,25406
39136,@,25330,25327
39137,@,25331,25327
39138,@,25332,25327
39139,@,25332,56362
39140,@,25333,25327
39141,@,25334,25333
39142,@,25335,25333
39143,@,25336,25333
39144,@,25337,25406
39145,%p,25337,25382
39146,%p,25337,25402
39147,%s,25337,25407
39148,%p,25337,25568
39149,%p,25337,26084
39150,%p,25337,26186
39151,%p,25337,26626
39152,@,25338,25337
39153,@,25339,25337
39154,@,25340,25337
39155,@,25341,25340
39156,@,25342,25340
39157,@,25343,25340
39158,@,25344,25340
39159,@,25345,25340
39160,@,25346,25340
39161,@,25347,25340
39162,@,25348,25340
39163,@,25349,25337
39164,@,25350,25337
