12,n,9,milk from which some of the cream has been removed,
36702,05892342,n,9,chicken fried than oven-baked and served with milk gravy,
36703,05892461,n,9,chicken simmered in broth with onions and paprika then mixed with sour cream,
36704,05892619,n,9,prepared with mushrooms in a cream sauce served over pasta and topped with cheese,
36706,05892943,n,9,(Mexican) ground beef and chili peppers or chili powder often with tomatoes and kidney beans,
36707,05893105,n,9,a hotdog with chili con carne on it,
100296,N0002424,n,10,,
36709,05893419,n,9,chop suey served with fried noodles,
36710,05893510,n,9,usually made of flaked salt cod and mashed potatoes,
36711,05893635,n,9,seafood served in a scallop shell,
36712,05893723,n,9,scallops in white wine sauce served in scallop shells,
36713,05893846,n,9,meat pie with filling of meat and vegetables,
36714,05893950,n,9,minced cooked meats (or vegetables) in thick white sauce; breaded and deep-fried,
36715,05894086,n,9,minced cooked meat or fish coated in egg and breadcrumbs and fried in deep fat,
36716,05894218,n,9,well-seasoned rice (with nuts or currants of minced lamb) simmered or braised in stock,
36717,05894380,n,9,Chinese omelet containing onions and celery and chopped meat or fish,
36718,05894521,n,9,(Chinese) minced vegetables and meat wrapped in a pancake and fried,
36719,05894657,n,9,toasted English muffin topped with ham and a poached egg (or an oyster) and hollandaise sauce,
36720,05894810,n,9,(Mexican) tortilla with meat filling baked in chili-seasoned tomato sauce,
36721,05894939,n,9,(Middle Eastern) small croquette of mashed chick peas or fava beans seasoned with sesame seeds,
36722,05895097,n,9,fried fish and french-fried potatoes,
36723,05895194,n,9,hot sauce-like melted cheese or chocolate in which bread or fruits are dipped,
36724,05895368,n,9,fondue made of cheese melted in wine for dipping bread and sometimes fruits,
36725,05895503,n,9,fondue made of chocolate melted with milk or cream for dipping fruits,
36726,05895635,n,9,cubes of meat or seafood cooked in hot oil and then dipped in any of various sauces,
36727,05895797,n,9,cubes of beef cooked in hot oil and then dipped in various tasty sauces,
36728,05895952,n,9,bread slice dipped in egg and milk and fried; topped with sugar or fruit or syrup,
36729,05896092,n,9,boiled rice mixed with scallions and minced pork or shrimp and quickly scrambled with eggs,
36730,05896260,n,9,Italian omelet with diced vegetables and meats; cooked until bottom is set then inverted into another pan to cook the top,
36731,05896436,n,9,hind legs of frogs used as food; resemble chicken and cooked as chicken,
36732,05896582,n,9,boned poultry stuffed then cooked and covered with aspic; served cold,
36733,05896707,n,9,well-seasoned balls of ground fish and eggs and crushed crumbs simmered in fish stock,
36734,05896863,n,9,(Scotland) made of sheep's or calf's viscera minced with oatmeal and suet and onions and boiled in the animal's stomach,
36735,05897035,n,9,eggs (scrambled or fried) served with ham,
36736,05897135,n,9,chopped meat mixed with potatoes and browned,
36737,05897248,n,9,hash made with corned beef,
36738,05897337,n,9,"spicy Creole dish of rice and ham, sausage, chicken, or shellfish with tomatoes, peppers, onions, and celery",
36739,05897501,n,9,cubes of meat marinated and cooked on a skewer usually with vegetables,
36740,05897663,n,9,(British) a dish of rice and hard-boiled eggs and cooked flaked fish,
36741,05897786,n,9,(Greek) made of lamb,
36742,05897873,n,9,(Russian Jewish) baked or fried turnover filled with potato or meat or cheese; often eaten as a snack,
36743,05898026,n,9,baked dish of layers of lasagna pasta with sauce and cheese and meat or vegetables,
36744,05898172,n,9,seafood in Newburg sauce served on toast or rice,
36745,05898337,n,9,lobster in Newburg sauce served on buttered toast or rice,
36746,05898479,n,9,shrimp in Newburg sauce usually served in a rice ring,
36748,05898753,n,9,diced lobster mixed with Mornay sauce placed back in the shell and sprinkled with grated cheese and browned,
36749,05898924,n,9,(Scandinavian) dried cod soaked in a lye solution before boiling to give it a gelatinous consistency,
36750,05899089,n,9,macaroni in a cheese sauce,
36751,05899181,n,9,mixed diced fruits or vegetables; hot or cold,
36752,05899282,n,9,ground meat formed into a ball and fried or simmered in broth,
36753,05899434,n,9,meat patties rolled in rice and simmered in a tomato sauce,
36754,05899566,n,9,meatballs simmered in stock,
36755,05899656,n,9,a baked loaf of ground meat,
36756,05899768,n,9,pie made with meat or fowl enclosed in pastry or covered with pastry or biscuit dough,
36757,05899980,n,9,small meat pie or turnover,
36758,05900094,n,9,small pie filled with minced seasoned pork,
36759,05900191,n,9,pasta somewhat resembling little moustaches,
36762,05900614,n,9,a bone containing edible marrow; used especially in flavoring soup,
36763,05900756,n,9,very tender and very nutritious tissue from marrowbones,
36764,05900897,n,9,a dish of roast pheasant served in a manner characteristic of expensive restaurants,
36765,05901047,n,9,small frankfurters wrapped in biscuit dough and baked,
36767,05901378,n,9,pilaf made with bulgur wheat instead of rice and usually without meat,
36768,05901506,n,9,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,
36769,05901762,n,9,tomato and cheese pizza with sausage,
36770,05901858,n,9,tomato and cheese pizza with pepperoni,
36771,05901958,n,9,pizza with lots of cheese,
36772,05902042,n,9,tomato and cheese pizza with anchovies,
36773,05902140,n,9,pizza made with a thick crust,
36774,05902230,n,9,Hawaiian dish of taro root pounded to a paste and often allowed to ferment,
36775,05902373,n,9,dried beans cooked with pork and tomato sauce,
36776,05902479,n,9,soft food made by boiling oatmeal or other meal or legumes in water or milk until thick,
36777,05902694,n,9,porridge made of rolled oats,
36778,05902785,n,9,thick gruel,
36779,05902851,n,9,deep-dish meat and vegetable pie or a meat stew with dumplings,
36780,05902966,n,9,rice cooked with broth and sprinkled with grated cheese,
36781,05903091,n,9,flaked fish baked in a loaf with bread crumbs and various seasonings,
36782,05903233,n,9,fish loaf made with flaked salmon,
36783,05903324,n,9,ground beef patty usually with a sauce,
36784,05903424,n,9,pot roast marinated several days in seasoned vinegar before cooking; usually served with potato dumplings,
36785,05903587,n,9,shredded cabbage fermented in brine,
36786,05903679,n,9,sauteed cutlets (usually veal or poultry) that have been pounded thin and coated with flour,
36787,05903858,n,9,thin sauteed cutlets of veal,
36788,05903948,n,9,large shrimp sauteed in oil or butter and garlic,
36789,05904049,n,9,hard-cooked egg encased in sausage meat then breaded and deep-fried,
36790,05904173,n,9,creamy scrambled eggs on toast spread with anchovy paste,
36791,05904291,n,9,pie of hash covered with mashed potatoes and browned in the oven,
36792,05904416,n,9,spaghetti with meatballs in a tomato sauce,
36793,05904528,n,9,spicy rice with tomatoes and onions and green peppers,
36794,05904640,n,9,steak with sauteed kidneys and onions cooked in wine and stock then covered with pastry and baked,
36795,05904804,n,9,like steak and kidney pie but without steak,
36796,05904904,n,9,ground beef mixed with raw egg and e.g. onions and capers and anchovies; eaten raw,
36797,05905078,n,9,strips of steak sauteed with green peppers and onions,
36798,05905190,n,9,steak covered with crushed peppercorns pan-broiled and served with brandy-and-butter sauce,
36799,05905374,n,9,sauteed strips of beef and mushrooms in sour cream sauce served with noodles,
36800,05905512,n,9,parboiled head of cabbage scooped out and filled with a hash of chopped e.g. beef or ham and baked; served with tomato or cheese sauce,
36801,05905708,n,9,(Jewish) roasted fowl intestines with a seasoned filling of matzo meal and suet,
36802,05905856,n,9,parboiled green peppers stuffed usually with rice and meat and baked briefly,
36803,05905994,n,9,tomato cases filled with various mixtures and baked briefly,
