36255,66307,,,
943097,36255,68867,,,
943098,36255,72444,,,
943100,36255,73465,,,
943101,36255,69880,,,
943102,36255,78069,,,
943104,36255,67312,,,
943105,36255,67310,,,
943106,36255,75502,,,
943107,36255,67309,,,
943108,36255,67306,,,
943109,36255,67304,,,
943111,36255,66277,,,
943112,36255,68836,,,
943113,36255,78050,,,
943114,36255,70367,,,
943115,36255,72926,,,
943116,36255,67294,,,
943118,36255,72925,,,
943119,36255,76508,,,
943120,36255,68825,,,
943121,36255,67801,,,
943122,36255,68823,,,
943123,36255,68821,,,
943125,36255,68820,,,
943126,36255,72915,,,
943127,36255,77520,,,
943128,36255,78032,,,
943129,36255,77006,,,
943130,36255,77001,,,
943132,36255,67785,,,
943133,36255,67783,,,
943134,36255,73314,,,
943135,36255,72289,,,
943136,36255,76370,,,
943137,36255,70738,,,
943139,36255,77390,,,
943140,36255,73294,,,
943141,36255,66633,,,
943142,36255,66631,,,
943143,36255,73286,,,
943144,36255,71749,,,
943146,36255,77378,,,
943147,36255,70720,,,
943148,36255,73273,,,
943149,36255,77368,,,
943150,36255,75313,,,
943151,36255,66095,,,
943153,36255,72749,,,
943154,36255,67113,,,
943155,36255,73255,,,
943156,36255,77861,,,
943157,36255,76323,,,
943158,36255,76321,,,
943160,36255,73248,,,
943161,36255,73247,,,
943162,36255,71190,,,
943163,36255,69143,,,
943164,36255,72726,,,
943165,36255,73235,,,
943167,36255,66063,,,
943168,36255,73742,,,
943169,36255,67084,,,
943170,36255,73740,,,
943171,36255,67079,,,
943172,36255,73223,,,
943174,36255,76289,,,
943175,36255,67584,,,
943176,36276,23886,,,
943177,36276,4820,,,
943178,36276,26931,,,
943179,36258,69119,,,
943181,36258,66045,,,
943182,36258,77307,,,
943183,36258,77306,,,
943184,36258,70137,,,
943185,36258,75768,,,
943186,36258,66039,,,
943188,36258,66545,,,
943189,36258,66547,,,
943190,36258,71155,,,
943191,36258,77810,,,
943192,36258,71153,,,
943193,36258,73199,,,
943195,36258,72677,,,
943196,36258,68584,,,
943197,36258,68583,,,
943198,36258,68582,,,
943199,36258,75749,,,
943200,36258,72163,,,
943202,36258,69601,,,
943203,36258,74207,,,
943204,36258,74719,,,
943205,36258,68574,,,
943207,36258,75224,,,
943208,36258,72662,,,
943209,36258,67542,,,
943211,36258,66512,,,
943212,36258,67535,,,
943213,36258,72654,,,
943214,36258,73157,,,
943215,36258,67523,,,
943216,36258,67007,,,
943218,36258,73148,,,
943219,36258,73143,,,
943220,36258,72630,,,
943221,36258,72633,,,
943222,36258,70072,,,
943223,36258,72631,,,
943225,36258,71093,,,
943226,36258,68531,,,
943227,36258,70576,,,
943228,36258,67500,,,
943229,36258,71594,,,
943230,36258,68520,,,
943232,36258,73124,,,
943233,36258,69537,,,
943234,36258,72097,,,
943235,36258,68509,,,
943236,36258,77215,,,
943237,36258,68510,,,
943239,36258,66460,,,
943240,36258,71578,,,
943241,36258,75160,,,
943242,36258,69013,,,
943243,36258,74129,,,
943244,36258,74130,,,
943246,36258,66955,,,
943247,36258,72079,,,
943248,36258,66446,,,
943249,36258,75661,,,
943250,36258,75660,,,
943251,36258,76171,,,
943253,36258,71561,,,
943254,36258,71560,,,
943255,36258,71559,,,
943256,36258,77702,,,
943257,36258,68482,,,
943258,36258,68481,,,
943260,36258,71549,,,
943261,36258,77691,,,
943262,36258,70523,,,
943263,36258,67443,,,
943264,36258,68975,,,
943265,36258,66415,,,
943267,36258,71014,,,
943268,36258,71013,,,
943269,36258,76638,,,
943270,36258,71516,,,
943271,36258,72534,,,
943272,36258,77651,,,
943274,36258,75080,,,
943275,36258,68423,,,
943276,36258,66370,,,
943277,36258,77121,,,
943278,36258,75074,,,
943279,36258,69442,,,
943281,36258,69949,,,
943282,36258,66361,,,
943283,36258,76087,,,
943284,36258,66355,,,
943285,36258,75061,,,
943286,36258,66354,,,
943288,36258,67890,,,
943289,36258,70961,,,
943290,36258,73002,,,
943291,36258,78122,,,
943292,36258,78121,,,
943293,36258,76069,,,
943295,36258,73506,,,
943296,36258,66847,,,
943297,36258,77593,,,
943298,36258,69401,,,
943299,36258,69399,,,
943300,36258,66326,,,
943302,36258,68880,,,
943303,36258,73488,,,
943304,36258,72464,,,
943305,36258,69391,,,
943306,36258,68875,,,
943307,36258,76545,,,
943309,36258,71929,,,
943310,36258,75000,,,
943311,36258,71927,,,
943312,36258,78069,,,
943314,36258,73458,,,
943315,36258,73457,,,
943316,36258,73968,,,
943318,36258,74990,,,
943319,36258,73451,,,
943320,36258,71912,,,
943321,36258,71907,,,
943322,36258,73447,,,
943323,36258,78050,,,
943325,36258,73951,,,
943326,36258,73442,,,
943327,36258,67810,,,
943328,36258,71905,,,
943329,36258,75488,,,
943330,36258,66271,,,
943332,36258,76508,,,
943333,36258,69335,,,
943334,36258,72404,,,
943335,36258,78034,,,
943336,36258,68303,,,
943337,36258,71375,,,
943339,36258,72397,,,
943340,36258,72905,,,
943341,36258,71366,,,
943342,36258,71365,,,
943343,36258,66753,,,
943344,36258,72379,,,
943346,36258,70328,,,
943347,36258,72375,,,
943348,36258,76981,,,
943349,36258,78003,,,
943350,36258,76463,,,
943351,36258,68780,,,
943353,36258,69284,,,
943354,36258,77470,,,
943355,36258,76447,,,
943356,36258,76446,,,
943357,36258,77468,,,
943358,36258,69276,,,
943360,36258,76442,,,
943361,36258,76440,,,
943362,36258,73368,,,
943363,36258,67735,,,
943364,36258,75412,,,
943365,36258,74899,,,
943367,36258,74898,,,
943368,36258,68231,,,
943369,36258,76927,,,
943370,36258,69754,,,
943371,36258,71804,,,
943372,36258,68731,,,
943374,36258,74873,,,
943375,36258,74872,,,
943376,36258,74871,,,
943377,36258,76914,,,
943378,36258,70260,,,
943379,36258,73328,,,
943381,36258,77424,,,
943382,36258,75888,,,
943383,36258,73321,,,
943384,36258,76393,,,
943385,36258,76900,,,
943386,36258,70244,,,
943388,36258,72800,,,
943389,36258,74848,,,
943390,36258,72799,,,
943391,36258,72798,,,
943392,36258,72796,,,
943393,36258,72795,,,
943395,36258,77910,,,
943396,36258,73301,,,
943397,36258,70739,,,
943398,36258,76370,,,
943399,36258,75852,,,
943400,36258,77390,,,
943402,36258,71758,,,
943403,36258,74829,,,
943404,36258,74828,,,
943405,36258,68171,,,
943406,36258,73283,,,
943407,36258,66631,,,
943409,36258,69187,,,
943410,36258,74820,,,
943411,36258,69111,,,
943412,36258,74817,,,
943413,36258,73792,,,
943414,36258,71232,,,
943416,36258,75838,,,
943417,36258,68669,,,
943418,36258,71228,,,
943419,36258,71227,,,
943421,36258,73269,,,
943422,36258,71727,,,
943423,36258,75311,,,
943425,36258,66604,,,
943426,36258,75307,,,
943427,36258,75306,,,
943428,36258,66597,,,
943429,36258,68642,,,
943430,36258,74783,,,
943432,36258,75298,,,
943433,36258,73247,,,
943434,36258,73248,,,
943435,36258,72734,,,
943436,36258,76318,,,
943437,36258,74779,,,
943439,36258,75287,,,
943440,36258,73751,,,
943441,36258,73237,,,
943442,36258,73236,,,
943443,36258,70162,,,
943444,36258,66063,,,
943446,36258,73740,,,
943447,36258,75274,,,
943448,36258,73223,,,
943449,36258,74246,,,
943450,36263,25086,,,
943451,36263,25082,,,
943453,36263,28670,,,
943454,36263,33014,,,
