,110839,82906,,,
1994550,110839,80090,,,
1994551,110839,85091,,,
1994552,110839,85588,,,
1994553,110839,83667,,,
1994554,110839,86865,,,
1994555,110839,78799,,,
1994556,110839,78796,,,
1994557,110839,80717,,,
1994558,110839,78795,,,
1994559,110839,81611,,,
1994560,110839,82373,,,
1994561,110839,89283,,,
1994562,110839,80705,,,
1994563,110839,80704,,,
1994564,110839,80703,,,
1994565,110839,85174,,,
1994566,110839,85173,,,
1994567,110839,84022,,,
1994568,110839,90418,,,
1994569,110839,87166,,,
1994570,110839,83762,,,
1994571,110839,88621,,,
1994572,110839,89010,,,
1994573,110839,89270,,,
1994574,110839,83379,,,
1994575,110839,84787,,,
1994576,110839,83763,,,
1994577,110839,79022,,,
1994578,110839,92465,,,
1994579,110839,90540,,,
1994580,110839,83503,,,
1994581,110839,88878,,,
1994582,110839,79404,,,
1994583,110839,88876,,,
1994584,110839,79403,,,
1994585,110839,87850,,,
1994586,110839,82088,,,
1994587,110839,87848,,,
1994588,110839,78759,,,
1994589,110839,79408,,,
1994590,110839,83745,,,
1994591,110839,87841,,,
1994592,110839,92705,,,
1994593,110839,92704,,,
1994594,110839,87839,,,
1994595,110839,79407,,,
1994596,110839,84249,,,
1994597,110839,84248,,,
1994598,110839,88341,,,
1994599,110839,88338,,,
1994600,110839,87819,,,
1994601,110839,88332,,,
1994602,110839,87694,,,
1994603,110839,88333,,,
1994604,110839,88331,,,
1994605,110839,87818,,,
1994606,110839,88458,,,
1994607,110839,87849,,,
1994608,110839,83753,,,
1994609,110839,84225,,,
1994610,110839,84226,,,
1994611,110839,87169,,,
1994612,69392,2300,,,
1994613,69392,25146,,,
1994614,69392,32342,,,
1994615,69392,22772,,,
1994616,69392,59923,,,
1994617,69392,64858,,,
1994618,69392,24752,,,
1994619,69392,59913,,,
1994620,69392,62380,,,
1994621,69392,16106,,,
1994622,69392,15372,,,
1994623,69392,59338,,,
1994624,69392,57482,,,
1994625,69392,32777,,,
1994626,69392,46276,,,
1994627,69392,27971,,,
1994628,67747,83824,,,
1994629,67747,83843,,,
1994630,67747,88721,,,
1994631,67747,89161,,,
1994632,54787,38143,,,
1994633,54787,37883,,,
1994634,54787,38265,,,
1994635,54787,17143,,,
1994636,54787,17142,,,
1994637,54787,37364,,,
1994638,54787,38124,,,
1994639,54787,29033,,,
1994640,54787,37222,,,
1994641,54787,24165,,,
1994642,54787,38113,,,
1994643,54787,13282,,,
1994644,54787,13281,,,
1994645,54787,13280,,,
1994646,54787,38105,,,
1994647,54787,38099,,,
1994648,54787,38098,,,
1994649,54787,34000,,,
1994650,54787,41296,,,
1994651,54787,18761,,,
1994652,54787,18762,,,
1994653,54787,59977,,,
1994654,54787,18760,,,
1994655,54787,18759,,,
1994656,54787,35270,,,
1994657,54787,22338,,,
1994658,54787,24126,,,
1994659,54787,48956,,,
1994660,54787,13372,,,
1994661,54787,59515,,,
