9827,79257,,,
1860560,79827,87449,,,
1860561,79827,87447,,,
1860562,79827,58773,,,
1860564,79827,79250,,,
1860565,79827,9616,,,
1860566,79827,77199,,,
1860567,79827,71037,,,
1860568,79827,3453,,,
1860569,79827,1398,,,
1860571,79827,87406,,,
1860572,79827,30061,,,
1860573,79827,75118,,,
1860574,79827,17773,,,
1860575,79827,75114,,,
1860576,79827,81256,,,
1860578,79827,87395,,,
1860579,79827,87394,,,
1860580,79827,81247,,,
1860581,79827,81246,,,
1860582,79827,75101,,,
1860583,79827,87387,,,
1860585,79827,3409,,,
1860586,79827,75089,,,
1860587,79827,81232,,,
1860588,79827,17741,,,
1860589,79827,1358,,,
1860590,79827,85325,,,
1860592,79827,77120,,,
1860593,79827,27962,,,
1860594,79827,19761,,,
1860595,79827,83245,,,
1860596,79827,15659,,,
1860597,79827,83243,,,
1860599,79827,99621,,,
1860600,79827,87329,,,
1860601,79827,27936,,,
1860602,79827,34080,,,
1860603,79827,27935,,,
1860604,79827,70942,,,
1860606,79827,70937,,,
1860607,79827,70932,,,
1860608,79827,83214,,,
1860609,79827,68886,,,
1860610,79827,77077,,,
1860611,79827,83217,,,
1860613,79827,83218,,,
1860614,79827,77073,,,
1860615,79827,62735,,,
1860616,79827,79119,,,
1860617,79827,83213,,,
1860618,79827,77069,,,
1860620,79827,72967,,,
1860621,79827,97543,,,
1860622,79827,97542,,,
1860623,79827,68867,,,
1860625,79827,81148,,,
1860626,79827,72954,,,
1860627,79827,72953,,,
1860629,79827,91380,,,
1860630,79827,70896,,,
1860631,79827,99558,,,
1860632,79827,38106,,,
1860633,79827,3286,,,
1860634,79827,19668,,,
1860636,79827,68815,,,
1860637,79827,68810,,,
1860638,79827,58561,,,
1860639,79827,68808,,,
1860640,79827,38085,,,
1860641,79827,58566,,,
1860643,79827,1220,,,
1860644,79827,38081,,,
1860645,79827,68801,,,
1860646,79827,74945,,,
1860647,79827,68800,,,
1860648,79827,68799,,,
1860650,79827,91310,,,
1860651,79827,72877,,,
1860652,79827,72874,,,
1860653,79827,81060,,,
1860654,79827,85153,,,
1860655,79827,72855,,,
1860657,79827,38034,,,
1860658,79827,29846,,,
1860659,79827,76945,,,
1860660,79827,76946,,,
1860661,79827,74903,,,
1860662,79827,101521,,,
1860664,79827,85139,,,
1860665,79827,91283,,,
1860666,79827,74898,,,
1860667,79827,3217,,,
1860668,79827,81040,,,
1860669,79827,101519,,,
1860671,79827,91268,,,
1860672,79827,1154,,,
1860673,79827,91265,,,
1860674,79827,81023,,,
1860675,79827,3195,,,
1860676,79827,85114,,,
1860678,79827,85111,,,
1860679,79827,78962,,,
1860680,79827,74866,,,
1860681,79827,87151,,,
1860682,79827,27756,,,
1860683,79827,5227,,,
1860685,79827,77921,,,
1860686,79827,14432,,,
1860687,79827,75869,,,
1860688,79827,77915,,,
1860689,79827,20570,,,
1860690,79827,71763,,,
1860692,79827,38988,,,
1860693,79827,24645,,,
1860694,79827,24644,,,
1860695,79827,75838,,,
1860696,79827,96320,,,
1860697,79827,30783,,,
1860699,79827,24637,,,
1860700,79827,71740,,,
1860701,79827,57400,,,
1860702,79827,98357,,,
1860703,79827,98356,,,
1860704,79827,98355,,,
1860706,79827,4144,,,
1860707,79827,86061,,,
1860708,79827,75821,,,
1860709,79827,86060,,,
1860710,79827,86057,,,
1860711,79827,75816,,,
1860713,79827,84000,,,
1860714,79827,77849,,,
1860715,79827,71704,,,
1860716,79827,71703,,,
1860717,79827,96276,,,
1860718,79827,86034,,,
1860720,79827,79889,,,
1860721,79827,92176,,,
1860722,79827,4102,,,
1860723,79827,77827,,,
1860724,79827,77826,,,
1860725,79827,38912,,,
1860727,79829,81115,,,
1860728,79829,78266,,,
1860729,79829,78265,,,
1860730,79829,78964,,,
1860732,79829,79247,,,
1860733,79861,59070,,,
1860734,79861,58749,,,
1860736,79861,59224,,,
1860737,79861,59063,,,
1860738,79861,19509,,,
1860739,79861,13684,,,
1860740,79861,16730,,,
1860741,79861,19371,,,
1860743,79861,4836,,,
1860744,79861,59076,,,
1860745,79861,482,,,
1860746,79861,59008,,,
1860747,79861,59072,,,
1860748,79849,6571,,,
1860750,79822,39744,,,
1860751,79822,44285,,,
1860752,79822,22773,,,
1860753,79822,35061,,,
1860754,79822,27250,,,
1860755,79822,31217,,,
1860757,79822,101867,,,
1860758,79822,30569,,,
1860759,79822,31327,,,
1860760,79822,33497,,,
1860761,79822,26711,,,
1860762,79822,59474,,,
1860764,79822,5960,,,
1860765,79822,36164,,,
1860766,79822,22850,,,
1860767,79822,11841,,,
1860768,79822,1983,,,
1860769,79822,11583,,,
1860771,79822,36141,,,
1860772,79822,29741,,,
1860773,79822,33447,,,
1860774,79822,47650,,,
1860775,79822,45710,,,
1860776,79822,22798,,,
1860778,79822,59018,,,
1860779,79822,31236,,,
1860780,79803,35910,,,
1860781,79803,54130,,,
1860782,79905,24639,,,
1860783,79905,638,,,
1860785,79905,18132,,,
1860786,79905,24783,,,
1860787,79905,24782,,,
1860788,79905,30090,,,
1860789,79905,24454,,,
1860790,79905,24804,,,
1860792,79905,31525,,,
1860793,79905,32708,,,
1860794,79905,33444,,,
1860795,79905,34,,,
1860796,79891,27674,,,
1860797,79891,65365,,,
1860799,79891,23794,,,
1860800,79891,2094,,,
1860801,79891,23502,,,
1860802,79891,23591,,,
1860803,79891,30791,,,
1860804,79891,23877,,,
1860806,79877,26621,,,
1860807,79877,20348,,,
1860808,79877,19194,,,
1860809,79877,31477,,,
1860810,79877,49651,,,
1860811,79877,16232,,,
1860813,79877,20349,,,
1860814,79877,64622,,,
1860815,79877,64621,,,
1860816,79877,35436,,,
1860817,79877,16233,,,
1860818,79877,16231,,,
1860820,79877,41192,,,
1860821,79877,41191,,,
1860822,79877,21606,,,
1860823,79877,59874,,,
1860824,79877,41826,,,
1860825,79877,17120,,,
1860827,79877,20569,,,
1860828,79877,59478,,,
1860829,79877,38998,,,
1860830,79877,38997,,,
1860831,79877,64971,,,
1860832,79877,34888,,,
1860834,79877,41283,,,
1860835,79877,8382,,,
1860836,79877,8383,,,
1860837,79877,35390,,,
1860839,79877,12985,,,
1860840,79877,37561,,,
1860841,79877,8376,,,
1860843,79877,59699,,,
1860844,79877,59696,,,
1860845,79877,31534,,,
1860846,79877,19370,,,
1860847,79877,41513,,,
1860848,79877,44192,,,
1860850,79877,101525,,,
1860851,79877,29199,,,
1860852,79877,27538,,,
1860853,79877,20113,,,
1860854,79877,20112,,,
1860855,79877,15759,,,
1860857,79877,10,,,
1860858,79877,19202,,,
1860859,79877,56584,,,
1860860,79877,19207,,,
1860861,79877,19203,,,
1860862,79877,19206,,,
1860864,79877,19204,,,
1860865,79877,2945,,,
1860866,79877,35202,,,
1860867,79877,19201,,,
1860868,79874,81643,,,
1860869,79874,80609,,,
1860871,79874,82650,,,
1860872,79874,82646,,,
1860873,79874,86740,,,
1860874,79874,84178,,,
1860875,79874,84690,,,
1860876,79874,84177,,,
1860878,79874,84175,,,
1860879,79874,84169,,,
1860880,79874,81094,,,
1860881,79874,81093,,,
1860882,79874,83651,,,
1860883,79874,86722,,,
1860885,79874,81087,,,
1860886,79874,84156,,,
1860887,79874,78292,,,
1860888,79874,79537,,,
1860889,79874,91823,,,
1860890,79874,81070,,,
1860892,79874,80545,,,
1860893,79874,87206,,,
1860894,79874,89766,,,
1860895,79874,86177,,,
1860896,79874,84132,,,
1860897,79874,78288,,,
1860899,79874,85153,,,
1860900,79874,80544,,,
1860901,79874,83096,,,
1860902,79874,84632,,,
1860903,79874,91804,,,
1860904,79874,85148,,,
1860906,79874,91287,,,
1860907,79874,84121,,,
1860908,79874,84120,,,
1860909,79874,84119,,,
1860910,79874,91796,,,
1860911,79874,85140,,,
1860913,79874,91276,,,
