,39262,66545,,,
1058502,39262,73328,,,
1058503,39262,68975,,,
1058504,39262,68974,,,
1058506,39262,68836,,,
1058507,39262,77691,,,
1058508,39262,72289,,,
1058509,39262,78049,,,
1058510,39262,76508,,,
1058511,39262,70361,,,
1058513,39262,69845,,,
1058514,39262,67028,,,
1058515,39262,77651,,,
1058516,39262,76370,,,
1058517,39262,66512,,,
1058518,39262,77390,,,
1058520,39262,73546,,,
1058521,39262,68423,,,
1058522,39262,73157,,,
1058523,39262,67909,,,
1058524,39262,73925,,,
1058525,39262,76229,,,
1058527,39262,77251,,,
1058528,39262,73148,,,
1058529,39262,66361,,,
1058530,39262,67130,,,
1058531,39262,70329,,,
1058532,39262,67127,,,
1058534,39262,66355,,,
1058535,39262,70442,,,
1058536,39262,73638,,,
1058537,39262,69542,,,
1058538,39262,76069,,,
1058539,39262,69284,,,
1058541,39262,73248,,,
1058542,39262,69537,,,
1058543,39262,77470,,,
1058544,39262,77215,,,
1058545,39262,68510,,,
1058546,39262,68509,,,
1058548,39262,75160,,,
1058549,39262,74903,,,
1058550,39262,75412,,,
1058551,39262,74899,,,
1058553,39262,66063,,,
1058554,39262,73742,,,
1058555,39262,73740,,,
1058557,39262,73223,,,
1058558,39262,68482,,,
1058559,39262,68736,,,
1058560,39224,91526,,,
1058561,39224,89516,,,
1058562,39224,91553,,,
1058564,39268,77306,,,
1058565,39268,27764,,,
1058566,39268,84340,,,
1058567,39268,66547,,,
1058568,39268,69743,,,
1058569,39268,101356,,,
1058571,39268,77925,,,
1058572,39268,78051,,,
1058573,39268,69090,,,
1058574,39268,69087,,,
1058575,39268,75996,,,
1058576,39268,75741,,,
1058578,39268,60505,,,
1058579,39268,26711,,,
1058580,39268,77908,,,
1058581,39268,90579,,,
1058582,39268,77906,,,
1058583,39268,77904,,,
1058585,39268,59340,,,
1058586,39268,80970,,,
1058587,39268,4679,,,
1058588,39268,30150,,,
1058589,39268,76614,,,
1058590,39268,76612,,,
1058592,39268,90679,,,
1058593,39268,90676,,,
1058594,39268,2354,,,
1058595,39268,89901,,,
1058596,39268,76204,,,
1058597,39268,76329,,,
1058599,39268,30757,,,
1058600,39268,12197,,,
1058601,39268,69414,,,
1058602,39268,69286,,,
1058603,39268,69413,,,
1058604,39268,76708,,,
1058606,39268,85664,,,
1058607,39268,30748,,,
1058608,39268,87706,,,
1058609,39268,75922,,,
1058610,39268,22789,,,
1058611,39270,73726,,,
1058613,39270,77819,,,
1058614,39270,77808,,,
1058615,39270,77807,,,
1058616,39270,67566,,,
1058617,39270,77803,,,
1058618,39270,71659,,,
1058620,39270,77794,,,
1058621,39270,77795,,,
1058622,39270,75749,,,
1058623,39270,77796,,,
1058624,39270,67555,,,
1058625,39270,75746,,,
1058627,39270,75741,,,
1058628,39270,67547,,,
1058629,39270,75738,,,
1058630,39270,67542,,,
1058631,39270,67535,,,
1058632,39270,75727,,,
1058634,39270,77773,,,
1058635,39270,77772,,,
1058636,39270,75722,,,
1058637,39270,73670,,,
1058638,39270,75716,,,
1058639,39270,67523,,,
1058641,39270,75711,,,
1058642,39270,75709,,,
1058643,39270,73256,,,
1058644,39270,69558,,,
1058645,39270,73654,,,
1058646,39270,69556,,,
1058648,39270,77740,,,
1058649,39270,67499,,,
1058650,39270,67496,,,
1058651,39270,77736,,,
1058652,39270,77735,,,
1058653,39270,73637,,,
1058655,39270,77733,,,
1058656,39270,67492,,,
1058657,39270,77730,,,
1058658,39270,73634,,,
1058660,39270,77716,,,
1058661,39270,67477,,,
1058662,39270,77717,,,
1058664,39270,75667,,,
1058665,39270,67471,,,
1058666,39270,77712,,,
1058667,39270,77711,,,
1058668,39270,67469,,,
1058669,39270,75661,,,
1058671,39270,73602,,,
1058672,39270,77697,,,
1058673,39270,77681,,,
1058674,39270,77667,,,
1058675,39270,77665,,,
1058676,39270,73567,,,
1058678,39270,73566,,,
1058679,39270,69469,,,
1058680,39270,69468,,,
1058681,39270,69461,,,
1058682,39270,75602,,,
1058683,39270,73552,,,
1058685,39270,69453,,,
1058686,39270,77640,,,
1058687,39270,69442,,,
1058688,39270,77632,,,
1058689,39270,73531,,,
1058690,39270,73529,,,
1058692,39270,73525,,,
1058693,39270,69426,,,
1058694,39270,69425,,,
1058695,39270,69419,,,
1058696,39270,69414,,,
1058697,39270,77607,,,
1058699,39270,69413,,,
1058700,39270,75555,,,
1058701,39270,75554,,,
1058702,39270,67218,,,
1058703,39270,69264,,,
1058704,39270,77455,,,
1058706,39270,77453,,,
1058707,39270,75386,,,
1058708,39270,71290,,,
1058709,39270,71289,,,
1058710,39270,71288,,,
1058711,39270,77430,,,
1058713,39270,77423,,,
1058714,39270,71276,,,
1058715,39270,77418,,,
1058716,39270,69225,,,
1058717,39270,73314,,,
1058718,39270,75361,,,
1058720,39270,77400,,,
1058721,39270,69209,,,
1058722,39270,69208,,,
1058723,39270,69207,,,
1058724,39270,67155,,,
1058725,39270,77396,,,
1058727,39270,69202,,,
1058728,39270,69201,,,
1058729,39270,69200,,,
1058730,39270,69194,,,
1058731,39270,69193,,,
1058732,39270,71239,,,
1058734,39270,71232,,,
1058735,39270,69183,,,
1058736,39270,69180,,,
1058737,39270,71227,,,
1058738,39270,73275,,,
1058739,39270,77368,,,
1058741,39270,69172,,,
1058742,39270,69166,,,
1058743,39270,75313,,,
1058744,39270,75312,,,
1058745,39270,75311,,,
1058746,39270,75310,,,
1058748,39270,67113,,,
1058749,39270,75307,,,
1058750,39270,75306,,,
1058751,39270,73257,,,
1058752,39270,67112,,,
1058753,39270,77346,,,
1058755,39270,67107,,,
1058756,39270,69154,,,
1058757,39270,69153,,,
1058758,39270,67105,,,
1058759,39270,75295,,,
1058760,39270,71196,,,
1058762,39270,77337,,,
1058763,39270,71192,,,
1058764,39270,71191,,,
1058765,39270,71190,,,
