,87031,76704,,,
2123754,87031,76696,,,
2123756,87031,76694,,,
2123757,87031,76693,,,
2123758,87031,76686,,,
2123759,87031,66446,,,
2123760,87031,72584,,,
2123761,87031,72582,,,
2123763,87031,70521,,,
2123764,87031,66415,,,
2123765,87031,66399,,,
2123766,87031,66388,,,
2123767,87031,70482,,,
2123768,87031,66380,,,
2123770,87031,76577,,,
2123771,87031,76566,,,
2123772,87031,66326,,,
2123773,87031,66323,,,
2123774,87031,72465,,,
2123775,87031,72464,,,
2123777,87031,76549,,,
2123778,87031,66271,,,
2123779,87031,76506,,,
2123780,87031,70359,,,
2123781,87031,68303,,,
2123782,87031,70328,,,
2123784,87031,66201,,,
2123785,87031,70295,,,
2123786,87031,70289,,,
2123787,87031,76410,,,
2123788,87031,72311,,,
2123789,87031,76393,,,
2123791,87031,76341,,,
2123792,87031,70183,,,
2123793,87031,76323,,,
2123794,87031,76321,,,
2123795,87031,76319,,,
2123796,87031,74260,,,
2123798,87031,70142,,,
2123799,87031,70137,,,
2123800,87031,74232,,,
2123801,87031,74230,,,
2123802,87031,66035,,,
2123803,87031,74224,,,
2123805,87031,70115,,,
2123806,87031,70110,,,
2123807,87031,70109,,,
2123808,87031,70101,,,
2123809,87031,68032,,,
2123810,87031,70076,,,
2123812,87031,74159,,,
2123813,87031,74158,,,
2123814,87031,74150,,,
2123815,87031,70025,,,
2123816,87031,74119,,,
2123817,87031,69994,,,
2123819,87031,76129,,,
2123820,87031,69941,,,
2123821,87031,76053,,,
2123822,87031,69902,,,
2123823,87031,76042,,,
2123824,87031,76040,,,
2123826,87031,69880,,,
2123827,87031,69879,,,
2123828,87031,67827,,,
2123829,87031,69875,,,
2123830,87031,78061,,,
2123831,87031,78057,,,
2123833,87031,78040,,,
2123834,87031,75984,,,
2123835,87031,73931,,,
2123836,87031,78023,,,
2123837,87031,78017,,,
2123838,87031,69799,,,
2123840,87031,69797,,,
2123841,87031,73892,,,
2123842,87031,77982,,,
2123843,87031,71817,,,
2123845,87031,75904,,,
2123846,87031,69755,,,
2123847,87031,69753,,,
2123849,87031,75891,,,
2123850,87031,77938,,,
2123851,87031,69731,,,
2123852,87031,77922,,,
2123853,87031,77920,,,
2123854,87031,77919,,,
2123856,87031,77917,,,
2123857,87031,69724,,,
2123858,87031,67675,,,
2123859,87031,77910,,,
2123860,87031,73801,,,
2123861,87031,75849,,,
2123863,87031,73791,,,
2123864,87031,77870,,,
2123865,87031,73771,,,
2123866,87031,69672,,,
2123867,87031,77864,,,
2123868,87031,69654,,,
2123870,87031,73728,,,
2123871,87031,69633,,,
2123872,87031,69632,,,
2123873,87034,46783,,,
2123874,87034,45448,,,
2123875,87034,46073,,,
2123877,87034,46074,,,
2123878,87034,47993,,,
2123879,87034,46072,,,
2123880,87034,46071,,,
2123881,87034,47087,,,
2123882,87034,90738,,,
2123884,87034,85360,,,
2123885,87034,73455,,,
2123886,87034,85356,,,
2123887,87034,14443,,,
2123888,87034,76518,,,
2123889,87034,76642,,,
2123891,87034,45148,,,
2123892,87034,31192,,,
2123893,87034,85078,,,
2123894,87034,70101,,,
2123895,87034,26961,,,
2123896,87034,37843,,,
2123898,87034,68561,,,
2123899,87034,69453,,,
2123900,87034,2508,,,
2123901,87034,37834,,,
2123902,87034,77126,,,
2123903,87034,2502,,,
2123905,87034,89155,,,
2123906,87034,58689,,,
2123907,87034,77888,,,
2123908,87034,58686,,,
2123909,87034,15806,,,
2123910,87034,69052,,,
2123912,87034,46776,,,
2123913,87034,46775,,,
2123914,87034,18097,,,
2123915,87034,70703,,,
2123916,87034,58803,,,
2123917,87034,87215,,,
2123919,87034,46768,,,
2123920,87034,46767,,,
2123921,87034,46766,,,
2123922,87034,46765,,,
2123923,87034,46764,,,
2123924,87034,45990,,,
2123926,87034,37669,,,
2123927,87034,33442,,,
2123928,87034,87203,,,
2123929,87034,27679,,,
2123930,87034,37279,,,
2123931,87034,46111,,,
2123933,87034,27677,,,
2123934,87034,63256,,,
2123935,87034,59671,,,
2123936,87034,65044,,,
2123937,87034,62227,,,
2123938,87034,19982,,,
2123940,87034,76686,,,
2123941,87034,30594,,,
2123942,87034,45449,,,
2123943,87034,26377,,,
2123944,87034,91399,,,
2123945,87034,85383,,,
2123947,87034,27780,,,
2123948,87034,46456,,,
2123949,87034,30595,,,
2123950,87034,45442,,,
2123952,87036,25275,,,
2123953,87036,8354,,,
2123954,87037,96509,,,
2123956,87037,96507,,,
2123957,87037,86265,,,
2123958,87037,97144,,,
2123959,87037,97143,,,
2123960,87037,96699,,,
2123961,87037,90995,,,
2123963,87037,89578,,,
2123964,87037,78185,,,
2123965,87037,65381,,,
2123966,87037,96740,,,
2123967,87037,96225,,,
2123968,87037,88925,,,
2123970,87037,98135,,,
2123971,87037,98134,,,
2123972,87037,96469,,,
2123973,87037,73939,,,
2123974,87037,96081,,,
2123975,87037,65870,,,
2123977,87037,96069,,,
2123978,87037,96325,,,
2123979,87037,96324,,,
2123980,87037,96322,,,
2123981,87037,96321,,,
2123982,87037,96323,,,
2123984,87037,96320,,,
2123985,87037,65601,,,
2123986,87037,65600,,,
2123987,87037,89920,,,
2123988,87037,96319,,,
2123989,87037,65342,,,
2123991,87037,87994,,,
2123992,87037,62395,,,
2123993,87037,65338,,,
2123994,87037,78904,,,
2123995,87037,78903,,,
2123996,87037,74038,,,
2123998,87037,87986,,,
2123999,87037,82737,,,
2124000,87037,83504,,,
2124001,87037,86318,,,
2124002,87037,96430,,,
2124003,87037,82732,,,
2124005,87037,96171,,,
2124006,87037,83496,,,
2124007,87037,88610,,,
