,51067,82150,,,
2501771,51067,88410,,,
2501773,51067,84694,,,
2501774,51067,89682,,,
2501775,51067,92625,,,
2501776,51067,90448,,,
2501777,51067,92622,,,
2501778,51067,92616,,,
2501780,51067,82622,,,
2501781,51067,86206,,,
2501782,51067,80576,,,
2501783,51067,86334,,,
2501784,51067,80958,,,
2501785,51067,92478,,,
2501787,51067,84666,,,
2501788,51067,82360,,,
2501789,51067,89134,,,
2501790,51067,88109,,,
2501791,51067,83117,,,
2501792,51067,91300,,,
2501794,51067,87581,,,
2501795,51067,83998,,,
2501796,51067,86045,,,
2501797,51067,86811,,,
2501798,51067,83863,,,
2501799,51067,83862,,,
2501801,51067,87570,,,
2501802,51067,84240,,,
2501803,51067,92427,,,
2501804,51067,90251,,,
2501805,51067,90763,,,
2501806,51067,85378,,,
2501808,51207,44189,,,
2501809,51254,89466,,,
2501810,51254,80121,,,
2501811,51254,91382,,,
2501812,51254,79727,,,
2501813,51254,86511,,,
2501815,51254,90091,,,
2501816,51254,79721,,,
2501817,51254,82533,,,
2501818,51254,82532,,,
2501819,51254,92602,,,
2501820,51254,88114,,,
2501822,51254,79139,,,
2501823,51254,79648,,,
2501824,51254,79647,,,
2501825,51254,79646,,,
2501826,51254,79645,,,
2501827,51254,79644,,,
2501829,51254,79642,,,
2501830,51254,80134,,,
2501831,51254,80133,,,
2501832,51343,84287,,,
2501833,51343,92284,,,
2501834,51343,82811,,,
2501836,51343,92242,,,
2501837,51343,86864,,,
2501838,51343,81036,,,
2501839,51343,91464,,,
2501840,51343,83749,,,
2501841,51343,84960,,,
2501843,51343,82114,,,
2501844,51343,88130,,,
2501845,51343,84993,,,
2501846,51343,92256,,,
2501847,51486,92639,,,
2501848,51486,84156,,,
2501850,51486,84775,,,
2501851,51486,84163,,,
2501852,51486,92644,,,
2501853,51486,92643,,,
2501854,51560,82108,,,
2501855,51560,87706,,,
2501857,51560,84340,,,
2501858,51560,90676,,,
2501859,51560,90579,,,
2501860,51560,89901,,,
2501861,51560,80970,,,
2501862,51560,92194,,,
2501864,51712,58767,,,
2501865,51712,18446,,,
2501866,51712,45526,,,
2501867,51712,17107,,,
2501868,51712,26623,,,
2501869,51813,84636,,,
2501871,51813,92762,,,
2501872,51813,84629,,,
2501873,51813,92788,,,
2501874,51813,92787,,,
2501876,51813,92785,,,
2501877,51813,92784,,,
2501878,51813,92783,,,
2501880,51813,92781,,,
2501881,51813,92780,,,
2501882,51813,92779,,,
2501883,51813,92778,,,
2501884,51813,92777,,,
2501885,51813,81576,,,
2501887,51813,79011,,,
2501888,52116,87333,,,
2501889,52116,87332,,,
2501890,52116,87331,,,
2501891,52116,87330,,,
2501892,52186,78649,,,
2501894,52186,78633,,,
2501895,52236,87487,,,
2501896,52236,80350,,,
2501897,52236,80732,,,
2501898,52236,79417,,,
2501899,52236,87510,,,
2501901,52236,83475,,,
2501902,52236,86415,,,
2501903,52236,83812,,,
2501904,52236,93731,,,
2501905,52236,87297,,,
2501906,52236,87520,,,
2501908,52277,91197,,,
2501909,52277,85148,,,
2501910,52277,89051,,,
2501911,52277,85113,,,
2501912,52277,79797,,,
2501913,52277,91733,,,
2501915,52277,79825,,,
2501916,52277,83214,,,
2501917,52277,87151,,,
2501918,52277,86061,,,
2501919,52277,81837,,,
2501920,52277,83916,,,
2501922,52277,81830,,,
2501923,52277,91804,,,
2501924,52277,91008,,,
2501925,52363,91371,,,
2501926,52487,84287,,,
2501927,52487,92284,,,
2501929,52487,83734,,,
2501930,52487,92242,,,
2501931,52487,81036,,,
2501932,52487,84960,,,
2501933,52487,89889,,,
2501934,52487,82114,,,
2501936,52487,84993,,,
2501937,52487,92256,,,
2501938,52632,81808,,,
2501939,52632,81807,,,
2501940,52632,85960,,,
2501941,52632,81804,,,
2501943,52632,81802,,,
2501944,52632,81801,,,
2501945,52632,81800,,,
2501946,53292,87807,,,
2501947,53292,87806,,,
2501948,53292,87805,,,
2501950,53292,87803,,,
2501951,53292,87802,,,
2501952,53292,87801,,,
2501953,53292,87800,,,
2501954,53292,87799,,,
2501955,53292,87798,,,
2501957,53292,87796,,,
2501958,53292,86387,,,
2501959,53292,87794,,,
2501960,53292,87793,,,
2501961,53292,87792,,,
2501962,53292,87797,,,
2501964,53292,92373,,,
2501965,53292,86864,,,
2501966,53292,78794,,,
2501967,53292,78792,,,
2501968,53292,89797,,,
2501969,53292,87810,,,
2501971,53292,88885,,,
2501972,53292,79794,,,
2501973,53292,87598,,,
2501974,53292,81070,,,
2501975,53292,79789,,,
2501976,53292,87795,,,
2501978,53292,88721,,,
2501979,53292,91153,,,
2501980,53292,92686,,,
2501981,53292,92680,,,
2501983,53292,87815,,,
2501984,53292,87817,,,
2501985,53292,87816,,,
2501987,53292,87814,,,
2501988,53292,87813,,,
2501989,53292,84228,,,
2501990,53292,87811,,,
2501991,53292,81026,,,
2501992,53292,87809,,,
2501994,53379,78846,,,
2501995,53379,83831,,,
2501996,53379,91242,,,
2501997,53379,91751,,,
2501998,53379,80994,,,
2501999,53379,81504,,,
2502001,53379,89950,,,
2502002,53379,89948,,,
2502003,53379,81498,,,
2502004,53379,89947,,,
2502005,53379,91226,,,
2502006,53379,79960,,,
2502008,53379,79954,,,
2502009,53379,78676,,,
2502010,53379,78675,,,
2502011,53379,78674,,,
2502012,53379,92752,,,
2502013,53379,84301,,,
2502015,53379,88636,,,
2502016,53379,83263,,,
2502017,53379,85437,,,
2502018,53379,89149,,,
2502019,53379,85436,,,
2502020,53379,85435,,,
2502022,53379,85433,,,
2502023,53379,85432,,,
2502024,53379,92598,,,
2502025,53379,92716,,,
2502026,53379,91695,,,
2502027,53379,91694,,,
2502029,53379,80428,,,
2502030,53379,92714,,,
2502031,53379,81962,,,
2502032,53379,81184,,,
2502033,53379,85143,,,
2502034,53379,85142,,,
2502036,53379,85140,,,
2502037,53379,96005,,,
2502038,53379,82572,,,
2502039,53379,91523,,,
2502040,53379,89480,,,
2502041,53379,85129,,,
2502043,53379,85127,,,
2502044,53379,85126,,,
2502045,53379,85125,,,
2502046,53379,85124,,,
2502047,53379,85123,,,
2502048,53379,85122,,,
2502050,53379,85120,,,
2502051,53532,85371,,,
2502052,53532,92308,,,
2502053,53532,84276,,,
2502054,53532,88594,,,
2502055,53532,78411,,,
2502057,53532,88610,,,
2502058,53532,89920,,,
2502059,53559,86119,,,
2502060,53559,86126,,,
2502061,53559,86124,,,
2502062,53559,89898,,,
2502064,53570,80627,,,
2502065,53570,90737,,,
2502066,53570,92400,,,
2502067,53570,78185,,,
2502068,53570,80228,,,
2502069,53570,92514,,,
2502071,53570,88397,,,
2502072,53570,90317,,,
2502073,53570,78411,,,
2502074,53570,87498,,,
2502075,53570,92484,,,
2502076,53570,86083,,,
2502078,53570,86455,,,
2502079,53570,88610,,,
2502080,53570,84130,,,
2502081,53570,88479,,,
2502082,53570,80536,,,
2502083,53570,88971,,,
2502085,53570,84489,,,
2502086,53570,83593,,,
2502087,53570,83587,,,
2502088,53570,78339,,,
2502090,53716,91348,,,
2502091,53716,86467,,,
2502092,53716,81913,,,
2502094,53787,80728,,,
2502095,53787,80564,,,
2502096,53787,80563,,,
2502097,53787,79790,,,
2502098,53787,79789,,,
2502099,53787,92619,,,
2502101,53787,82531,,,
2502102,53829,24029,,,
2502103,53829,14397,,,
2502104,53829,13363,,,
2502105,53829,13362,,,
2502106,53829,19919,,,
2502108,53921,84981,,,
2502109,53921,86387,,,
2502110,53921,91153,,,
2502111,53921,81070,,,
2502112,53921,78794,,,
2502113,53921,78792,,,
2502115,53921,84228,,,
2502116,53921,81026,,,
2502117,53955,88429,,,
2502118,53955,78842,,,
2502119,53955,88721,,,
2502120,53969,15678,,,
2502122,53969,44812,,,
2502123,53969,44811,,,
2502124,53969,44813,,,
2502125,53982,88721,,,
2502126,54079,83964,,,
2502127,54079,79195,,,
2502129,54079,83030,,,
2502130,54079,83439,,,
2502131,54079,86126,,,
2502132,54079,88813,,,
2502133,54079,86124,,,
2502134,54079,89898,,,
2502136,54079,85765,,,
2502137,54079,83459,,,
2502138,54157,89488,,,
2502139,54157,83653,,,
2502140,54157,89768,,,
2502141,54307,90470,,,
2502143,54307,85356,,,
2502144,54617,88380,,,
2502145,54617,92123,,,
2502146,54617,90778,,,
2502147,54617,79159,,,
2502148,54617,89878,,,
2502150,54617,79051,,,
2502151,54617,79048,,,
2502152,54617,90792,,,
2502153,54617,78532,,,
2502154,54745,80337,,,
2502155,54745,80272,,,
2502157,54745,86124,,,
2502158,54745,89898,,,
2502159,54745,86119,,,
2502160,54795,85085,,,
