5,n,9,Ethiopia is a republic in northeastern Africa formerly called Abyssinia,
40081,06465038,n,9,a city in Tuscany; site of the famous Leaning Tower,
40082,06465159,n,9,a city in southeastern Sicily that was founded by Corinthians in the 8th century BC,
40083,06465327,n,9,capital city of the Piemonte region of northwestern Italy,
40084,06465464,n,9,a region in southeastern Italy on the Adriatic,
40085,06465610,n,9,capital city of the Apulia region on the Adriatic coast,
40086,06465735,n,9,an island in the Mediterranean west of Italy,
40087,06465864,n,9,the Italian region on the island of Sardinia; the kingdom of Sardinia was the nucleus for uniting Italy during the 19th century,
40088,06466076,n,9,the largest island in the Mediterranean,
40089,06466253,n,9,the Italian region on the island of Sicily,
40090,06466472,n,9,the capital of Sicily; located in northwestern Sicily; an important port for 3000 years,
40091,06466632,n,9,a region in central Italy,
40092,06466797,n,9,a city in central Italy on the Arno River; provincial capital of Tuscany; center of the Italian renaissance from 14th to 16th centuries,
40093,06467016,n,9,a region of northeastern Italy,
40094,06467131,n,9,a mountainous region in central Italy,
40095,06467240,n,9,a region in northwestern Italy,
40096,06467349,n,9,a region of northeastern Italy on the Adriatic,
40097,06467552,n,9,a city in Veneto,
40099,06467975,n,9,a city in Veneto on the River Adige,
40100,06468082,n,9,a Balkan republic in southeastern Europe,
40101,06468254,n,9,capital and largest city of Romania,
40102,06468397,n,9,a republic in central Africa; formerly a German colony,
40103,06468570,n,9,the capital and largest city of Rwanda; located in central Rwanda,
40104,06468727,n,9,a Balkan socialist republic,
40105,06468938,n,9,a Balkan republic; formerly part of Yugoslavia,
40106,06469114,n,9,a former Balkan country bordering on the Adriatic Sea,
40107,06469243,n,9,a Balkan republic; formerly part of Yugoslavia,
40108,06469429,n,9,capital of Bosnia,
40109,06469501,n,9,a Balkan republic; formerly part of Yugoslavia,
40111,06469757,n,9,capital and largest city of Yugoslavia,
40113,06470074,n,9,the capital of Croatia,
40114,06470168,n,9,a historical region of Croatia on the Adriatic Sea; mountainous with many islands,
