5,90679,,,
2161474,89015,27764,,,
2161476,89015,90676,,,
2161477,89015,90579,,,
2161478,89015,89901,,,
2161479,89015,59340,,,
2161480,89015,38379,,,
2161481,89015,80970,,,
2161483,89015,42823,,,
2161484,89015,47011,,,
2161485,89015,92194,,,
2161486,89015,85664,,,
2161487,89030,18559,,,
2161488,89030,26706,,,
2161490,89030,18574,,,
2161491,89030,26827,,,
2161492,89030,26696,,,
2161493,89030,26695,,,
2161494,89030,59430,,,
2161495,89030,18560,,,
2161497,89063,90093,,,
2161498,89063,90081,,,
2161499,89063,90077,,,
2161500,89063,88540,,,
2161501,89063,88538,,,
2161502,89063,91098,,,
2161504,89063,88534,,,
2161505,89063,88532,,,
2161506,89063,88528,,,
2161507,89063,88527,,,
2161509,89063,80832,,,
2161510,89063,91577,,,
2161511,89063,81337,,,
2161513,89063,82350,,,
2161514,89063,82850,,,
2161515,89063,86432,,,
2161516,89063,81822,,,
2161517,89063,82845,,,
2161518,89063,84882,,,
2161520,89063,82827,,,
2161521,89063,89483,,,
2161522,89063,84872,,,
2161523,89063,82823,,,
2161524,89063,84870,,,
2161525,89063,78723,,,
2161527,89063,86393,,,
2161528,89063,84857,,,
2161529,89063,84855,,,
2161530,89063,90998,,,
2161531,89063,90997,,,
2161532,89063,85364,,,
2161534,89063,92513,,,
2161535,89063,84830,,,
2161536,89063,80733,,,
2161537,89063,92508,,,
2161538,89063,79190,,,
2161539,89063,84633,,,
2161541,89063,92496,,,
2161542,89063,90941,,,
2161543,89063,92477,,,
2161544,89063,83259,,,
2161545,89063,92472,,,
2161546,89063,90919,,,
2161548,89063,89873,,,
2161549,89063,84751,,,
2161550,89063,84238,,,
2161551,89063,92414,,,
2161552,89063,89852,,,
2161553,89063,89336,,,
2161555,89063,81651,,,
2161556,89063,80627,,,
2161557,89063,84207,,,
2161558,89063,89329,,,
2161559,89063,81648,,,
2161560,89063,82671,,,
2161562,89063,92395,,,
2161563,89063,82666,,,
2161564,89063,83176,,,
2161565,89063,86740,,,
2161566,89063,84690,,,
2161567,89063,84688,,,
2161569,89063,83651,,,
2161570,89063,90306,,,
2161571,89063,86720,,,
2161572,89063,80569,,,
2161573,89063,84661,,,
2161574,89063,91823,,,
2161576,89063,84138,,,
2161577,89063,91296,,,
2161578,89063,91300,,,
2161579,89063,91303,,,
2161580,89063,91302,,,
2161581,89063,91301,,,
2161583,89063,91299,,,
2161584,89063,91298,,,
2161585,89063,91297,,,
2161586,89063,91295,,,
2161587,89063,84127,,,
2161588,89063,91294,,,
2161590,89063,91292,,,
2161591,89063,91291,,,
2161592,89063,91290,,,
2161593,89063,91289,,,
2161594,89063,91288,,,
2161595,89063,83095,,,
2161597,89063,91285,,,
2161598,89063,91796,,,
2161599,89063,91276,,,
2161600,89063,91275,,,
2161601,89063,82043,,,
2161602,89063,82544,,,
2161604,89063,84074,,,
2161605,89063,91750,,,
2161606,89063,91749,,,
2161607,89063,85078,,,
2161608,89063,80952,,,
2161609,89063,91293,,,
2161611,89063,83508,,,
2161612,89063,91168,,,
2161613,89063,91287,,,
2161614,89063,84502,,,
2161616,89063,84492,,,
2161617,89063,92673,,,
2161618,89063,79873,,,
2161620,89021,46012,,,
2161621,89021,58458,,,
2161622,89021,27764,,,
2161623,89021,65171,,,
2161624,89021,59340,,,
2161625,89021,65578,,,
