,73143,,,
1635343,70628,33048,,,
1635344,70628,33295,,,
1635345,70628,30987,,,
1635346,70628,901,,,
1635347,70628,899,,,
1635348,70628,17282,,,
1635350,70592,85356,,,
1635351,70619,74111,,,
1635352,70619,76158,,,
1635353,70619,76157,,,
1635354,70619,76155,,,
1635355,70619,69744,,,
1635357,70619,69995,,,
1635358,70619,76394,,,
1635359,70619,73567,,,
1635360,70619,69982,,,
1635361,70619,73188,,,
1635362,70619,73187,,,
1635364,70619,76385,,,
1635365,70619,70496,,,
1635366,70619,70494,,,
1635367,70619,73566,,,
1635368,70619,76508,,,
1635369,70619,76506,,,
1635371,70619,66519,,,
1635372,70619,69194,,,
1635373,70619,69193,,,
1635374,70619,76102,,,
1635375,70619,69699,,,
1635376,70619,75712,,,
1635378,70619,70337,,,
1635379,70619,75839,,,
1635380,70619,75711,,,
1635381,70619,75837,,,
1635382,70619,75709,,,
1635383,70619,70325,,,
1635385,70619,75821,,,
1635386,70619,70316,,,
1635387,70619,68780,,,
1635388,70619,69288,,,
1635390,70619,67496,,,
1635391,70619,77223,,,
1635392,70619,73638,,,
1635394,70619,76191,,,
1635395,70619,68635,,,
1635396,70619,70547,,,
1635397,70619,71056,,,
1635398,70619,68753,,,
1635399,70619,76304,,,
1635401,70619,68868,,,
1635402,70619,71042,,,
1635403,70619,76288,,,
1635404,70619,74752,,,
1635405,93345,47691,,,
1635406,70620,62206,,,
1635408,70620,27764,,,
1635409,70620,30927,,,
1635410,70620,59340,,,
1635411,70620,38379,,,
1635412,70620,4681,,,
1635413,70620,37287,,,
1635415,70626,73490,,,
1635416,70626,73217,,,
1635417,70574,19261,,,
1635418,70574,36219,,,
1635419,70574,56506,,,
1635420,70574,11892,,,
1635422,70574,8855,,,
1635423,70574,37366,,,
1635424,70574,56501,,,
1635425,70574,22356,,,
1635426,70574,8979,,,
1635427,70574,15078,,,
1635429,70629,30926,,,
1635430,70596,9210,,,
1635431,70570,7730,,,
1635432,70567,31613,,,
1635433,70567,11131,,,
1635434,70567,11130,,,
1635436,70567,3434,,,
1635437,70567,43761,,,
1635438,70567,59432,,,
1635439,70557,84732,,,
1635440,70557,82807,,,
1635441,70557,84214,,,
1635443,70557,90990,,,
1635444,70557,90730,,,
1635445,70557,88423,,,
1635446,70557,89442,,,
1635447,70557,88798,,,
1635448,70557,88797,,,
1635450,70557,88795,,,
1635451,70557,88794,,,
1635452,70557,88793,,,
1635453,70557,78551,,,
1635454,70557,78549,,,
1635455,70557,78548,,,
1635457,70557,87625,,,
1635458,70557,78792,,,
1635459,70557,88767,,,
1635460,70557,82494,,,
1635461,70557,84030,,,
1635462,70557,88761,,,
1635464,70557,85679,,,
1635465,70557,89643,,,
1635466,70557,92587,,,
1635467,70557,89640,,,
1635468,70557,84518,,,
1635469,70557,84129,,,
1635471,70557,89757,,,
1635472,70557,91418,,,
1635473,70557,87194,,,
1635474,70557,84753,,,
1635475,70557,79503,,,
1635476,70557,79479,,,
1635478,81528,45760,,,
1635479,42563,80319,,,
1635480,42563,80381,,,
1635481,42563,85690,,,
1635482,42563,84473,,,
1635483,42563,89653,,,
1635485,42563,80724,,,
1635486,42563,87219,,,
1635487,42563,80369,,,
1635488,42563,79759,,,
1635489,42563,80409,,,
1635490,42563,79208,,,
1635492,42563,88455,,,
1635493,42563,89604,,,
1635494,42563,79802,,,
1635495,70662,27647,,,
1635497,70662,27645,,,
1635498,70662,26602,,,
1635499,70662,59873,,,
1635501,70662,62932,,,
1635502,70662,40401,,,
1635503,70662,33744,,,
1635504,70662,24008,,,
1635505,70662,27073,,,
1635506,70662,18877,,,
1635508,70662,26551,,,
1635509,70662,26545,,,
1635510,70662,16289,,,
1635511,70662,16288,,,
1635512,70662,57245,,,
1635513,70662,16284,,,
1635515,70662,58777,,,
1635516,70662,2965,,,
1635517,70662,58767,,,
1635518,70662,62349,,,
1635519,70662,42893,,,
1635520,70662,33670,,,
1635522,70662,2936,,,
1635523,70662,44917,,,
1635524,70662,45929,,,
1635525,70662,356,,,
1635526,70662,39269,,,
1635527,70662,39270,,,
1635529,70662,868,,,
1635530,70662,26979,,,
1635531,70662,39266,,,
1635532,70662,22880,,,
1635533,70662,65887,,,
1635534,70662,65886,,,
1635536,70662,1367,,,
1635537,70662,65360,,,
1635538,70662,59212,,,
1635539,70662,2374,,,
1635540,70662,31042,,,
1635541,70662,33086,,,
1635543,70662,27962,,,
1635544,70662,8496,,,
1635545,70662,22321,,,
1635546,70662,41264,,,
1635547,70662,33578,,,
1635548,70662,33577,,,
1635550,70662,27924,,,
1635551,70662,27928,,,
1635552,70662,59672,,,
1635553,70662,791,,,
1635554,70662,789,,,
1635555,70662,788,,,
1635557,70662,25875,,,
1635558,70662,27409,,,
1635559,70662,62733,,,
1635560,70662,17671,,,
1635561,70662,65282,,,
1635562,70662,32504,,,
1635564,70662,17136,,,
1635565,70662,17134,,,
1635566,70662,44270,,,
1635567,70662,57582,,,
1635568,70662,58606,,,
1635569,70662,63213,,,
1635571,70662,16605,,,
1635572,70662,48849,,,
1635573,70662,32463,,,
1635574,70662,25277,,,
1635575,70662,8373,,,
1635576,70662,19119,,,
1635578,70662,45712,,,
1635579,70662,30346,,,
1635580,70662,29834,,,
1635581,70662,43130,,,
1635582,70662,3196,,,
