1,στεφανοποιός,n,----------,,,,,,0
92554,σ03322,στεφανοπώλης,n,n-s---cn1e,στεφανοπώλου,,,,,0
92555,σ03323,στέφανος,n,n-s---mn2-,στεφάνου,,,/sté.pʰa.nos/,,0
92557,σ03326,στεφανοῦχος,a,aps---cn2-,στεφανοῦχος στεφανοῦχος στεφανοῦχον,,,,,0
92558,σ03325,στεφανοφορέω,v,----------,,,,,,0
92559,σ03327,στεφανόω,v,----------,,,,,,0
92560,σ03328,στεφανώδης,a,aps---cn3s,στεφανώδης στεφανώδης στεφανώ͂δες,,,,,0
92561,σ03329,στεφάνωμα,n,n-s---nn3t,στεφανώματος,,,,,0
92562,σ03330,στεφανωματικός,a,aps---mn1-,στεφανωματικός στεφανωματική στεφανωματικόν,,,,,0
92563,σ03331,στεφάνωσις,n,n-s---fn3v,στεφανωσέως,,,,,0
92564,σ03332,στεφανωτής,n,n-s---mn1e,στεφανωτού,,,,,0
92565,σ03333,στεφανωτικός,a,aps---mn1-,στεφανωτικός στεφανωτική στεφανωτικόν,,,,,0
92566,σ03334,στεφανωτρίς,n,n-s---fn3d,στεφανωτρίδος,,,,,0
92567,σ03335,στεφηπλόκος,a,aps---cn2-,στεφηπλόκος στεφηπλόκος στεφηπλόκον,,,,,0
92568,σ03336,στεφηφορέω,v,----------,,,,,,0
92569,σ03337,στεφηφόρος,a,aps---cn2-,στεφηφόρος στεφηφόρος στεφηφόρον,,,,,0
92570,σ03338,στέφος,n,n-s---nn3v,στέφεος,,,,,0
92571,σ03339,στέφω,v,----------,,,,/sté.pʰɔː/,,0
92572,σ03340,στέψις,n,n-s---fn3v,στέψεως,,,,,0
92573,σ03341,στέωμεν,n,----------,,,,,,0
92574,σ03342,στήγω,v,----------,,,,,,0
92575,σ03344,στήδην,r,----------,,,,,,0
92577,σ03346,στηθάριον,n,n-s---nn2-,στηθαρίου,,,,,0
92578,σ03347,στήθειος,a,aps---cn2-,στήθειος στήθειος στήθειον,,,,,0
92579,σ03348,στηθιαῖος,a,aps---mn1-,στηθιαῖος στηθιαῖα στηθιαῖον,,,,,0
92580,σ03349,στηθίας,n,n-s---mn1a,στηθίου,,,,,0
92581,σ03350,στηθίδιον,n,n-s---nn2-,στηθιδίου,,,,,0
92582,σ03351,στηθικός,a,aps---mn1-,στηθικός στηθική στηθικόν,,,,,0
92583,σ03352,στηθίν,n,----------,,,,,,0
92584,σ03353,στηθίον,n,n-s---nn2-,στηθίου,,,,,0
92585,σ03354,στηθιστήρ,n,n-s---mn3r,στηθιστῆρος,,,,,0
92586,σ03355,στηθοδέσμη,n,----------,,,,,,0
92588,σ03407,στῆθος,n,n-s---nn3v,στῆθεος,,,/stɛ̂ː.tʰos/,,0
92589,σ03357,στηθύνιον,n,n-s---nn2-,στηθυνίου,,,,,0
92590,σ03358,στήκω,v,----------,,,,,,0
92591,σ03343,στήγων,n,----------,,,,,,0
92592,σ03359,στήλη,n,n-s---fn1e,στήλης,,,/stɛ̌ː.lɛː/,,0
92593,σ03360,στηλίδιον,n,n-s---nn2-,στηλιδίου,,,,,0
92594,σ03361,στηλίον,n,n-s---nn2-,στηλίου,,,,,0
92595,σ03362,στηλίς,n,n-s---fn3d,στηλῖδος,,,,,0
92596,σ03363,στηλίτευμα,n,----------,,,,,,0
92597,σ03364,στηλιτεύω,v,----------,,,,,,0
92598,σ03365,στηλίτης,n,n-s---mn1e,στηλίτου,,,,,0
92599,σ03366,στηλοβάτης,n,n-s---mn1e,στηλοβάτου,,,,,0
92600,σ03367,στηλογραφέω,v,----------,,,,,,0
92601,σ03368,στηλογραφία,n,n-s---fn1l,στηλογραφίας,,,,,0
92602,σ03369,στηλοειδής,a,aps---cn5s,στηλοειδής στηλοειδής στηλοειδές,,,,,0
92603,σ03370,στηλοκόπας,n,n-s---mn1a,στηλοκόπου,,,,,0
92604,σ03371,στηλοκοπέω,v,----------,,,,,,0
92605,σ03372,στηλοῦχος,n,----------,,,,,,0
92606,σ03373,στηλόω,v,----------,,,,,,0
92607,σ03374,στηλύδριον,n,n-s---nn2-,στηλυδρίου,,,,,0
92608,σ03375,στήλωμα,n,n-s---nn3t,στηλώματος,,,,,0
92609,σ03376,στήλωσις,n,n-s---fn3v,στηλωσέως,,,,,0
92610,σ03547,στῆμα,n,n-s---nn3t,στήματος,,,,,0
92611,σ03377,στημαγορίς,n,----------,,,,,,0
92612,σ03378,στημάτιον,n,n-s---nn2-,στηματίου,,,,,0
92613,σ03379,στήμεναι,n,----------,,,,,,0
92614,σ03380,στημίον,n,n-s---nn2-,στημίου,,,,,0
92615,σ03381,στημνίον,n,n-s---nn2-,στημνίου,,,,,0
92616,σ03382,στημονίας,n,n-s---mn1a,στημονίου,,,,,0
92617,σ03383,στημονίζομαι,v,----------,,,,,,0
92619,σ03385,στημόνιον,n,n-s---nn2-,στημονίου,,,,,0
92620,σ03386,στημόνιος,a,aps---cn2-,στημόνιος στημόνιος στημόνιον,,,,,0
92621,σ03387,στημονονητικός,a,aps---mn1-,στημονονητικός στημονονητική στημονονητικόν,,,,,0
92622,σ03388,στημονοφυής,a,aps---cn5s,στημονοφυής στημονοφυής στημονοφυές,,,,,0
92623,σ03389,στημονώδης,a,aps---cn3s,στημονώδης στημονώδης στημονώ͂δες,,,,,0
92624,σ03390,στημορραγέω,v,----------,,,,,,0
92625,σ03391,στήμων,n,n-s---mn3n,,,,,,0
92626,,Στήνια,n,n-p---nn2-,Στηνίων,,,,,0
92627,σ03551,στῆνος,n,----------,,,,,,0
92628,σ03706,στῆρ,n,----------,,,,,,0
92629,σ03392,στήριγμα,n,n-s---nn3t,στηρίγματος,,,,,0
92631,σ03394,στηριγμός,n,----------,,,,,,0
92632,σ03844,στῆριγξ,n,n-s---fn3e,στήριγγος,,,,,0
92633,σ03395,στηρίζω,v,----------,,,,,,0
92634,σ03396,στηρικτέον,n,----------,,,,,,0
92635,σ03397,στηρικτής,n,n-s---mn1e,στηρικτού,,,,,0
92637,σ03399,στηρικτός,a,aps---mn1-,στηρικτός στηρικτή στηρικτόν,,,,,0
92638,σ03400,στήριξις,n,n-s---fn3v,στηριξέως,,,,,0
92640,σ03401,στήσιος,n,n-s---mn2-,στησίου,,,,,0
92641,σ03402,στησίφυλλον,n,n-s---nn2-,στησιφύλλου,,,,,0
92642,σ03403,στησίχορος,a,aps---cn2-,στησίχορος στησίχορος στησίχορον,,,,,0
92643,σ03404,στήτα,n,----------,,,,,,0
92644,σ03405,στητώδης,a,aps---cn3s,στητώδης στητώδης στητώ͂δες,,,,,0
92645,σ03408,στία,n,n-s---fn1s,,,,/stí.a/,,0
92646,σ03409,στιάζω,v,----------,,,,,,0
92647,σ03410,στιβάδειον,n,n-s---nn2-,στιβαδείου,,,,,0
92648,σ03411,στιβαδεύω,v,----------,,,,,,0
92649,σ03412,στιβάδιον,n,n-s---nn2-,στιβαδίου,,,,,0
92650,σ03413,στιβαδοκοιτέω,v,----------,,,,,,0
92651,σ03414,στιβαδοποιέομαι,v,----------,,,,,,0
92652,σ03415,στιβάζω,v,----------,,,,,,0
92653,σ03416,στιβαρηδόν,n,----------,,,,,,0
92654,σ03417,στιβαρός,a,aps---mn1-,στιβαρός στιβαρά στιβαρόν,,,,,0
92655,σ03418,στιβάς,n,n-s---fn3d,στιβάδος,,,,,0
92656,σ03419,στίβασις,n,n-s---fn3v,στιβασέως,,,,,0
92657,σ03420,στιβεία,n,n-s---fn1l,στιβείας,,,,,0
92658,σ03421,στιβεῖον,n,n-s---nn2-,στιβείου,,,,,0
92659,σ03422,στιβεύς,n,n-s---mn3v,στιβέως,,,,,0
92660,σ03423,στιβευτής,n,n-s---mn1e,στιβευτού,,,,,0
92661,σ03424,στιβεύω,v,----------,,,,,,0
92662,σ03425,στιβέω,v,----------,,,,,,0
92663,σ03426,στίβη,n,----------,,,,,,0
92664,σ03427,στίβη,n,n-s---fn1e,στίβης,,,,,0
92666,σ03429,στίβι,n,----------,,,,,,0
92667,σ03430,στιβιάω,v,----------,,,,,,0
92668,σ03431,στιβίζομαι,v,----------,,,,,,0
92669,σ03432,στιβίη,n,n-s---fn1e,στιβίης,,,,,0
92670,σ03433,στιβική,n,n-s---fn1e,στιβικῆς,,,,,0
92671,σ03434,στιβιλίς,n,n-s---fn3d,στιβιλίδος,,,,,0
92672,σ03435,στίβος,n,n-s---mn2-,στίβου,,,,,0
92673,σ03436,στιγεύς,n,n-s---mn3v,στιγέως,,,,,0
92674,σ03437,στίγμα,n,n-s---nn3t,στίγματος,,,/stíŋ.ma/,,0
92675,σ03438,στιγματηφορέω,v,----------,,,,,,0
92676,σ03439,στιγματίας,n,n-s---mn1a,στιγματίου,,,,,0
92677,σ03440,στιγματοφόρος,a,aps---cn2-,στιγματοφόρος στιγματοφόρος στιγματοφόρον,,,,,0
92678,σ03441,στιγμή,n,n-s---fn1e,στιγμῆς,,,/stiŋ.mɛ̌ː/,,0
92679,σ03442,στιγμιαῖος,a,aps---mn1-,στιγμιαῖος στιγμιαῖα στιγμιαῖον,,,,,0
92680,σ03443,στιγμικός,a,aps---mn1-,στιγμικός στιγμική στιγμικόν,,,,,0
92681,σ03444,στιγμός,n,----------,,,,,,0
92682,σ03445,στίγος,n,n-s---mn2-,στίγου,,,,,0
92683,σ03446,στίγων,n,n-s---mn3n,στίγωνος,,,,,0
92684,σ03447,στίζω,v,----------,,,,,,0
92686,σ03449,στίκτης,n,n-s---mn1e,στίκτου,,,,,0
92687,σ03450,στικτόπους,n,----------,,,,,,0
92689,σ03534,στῖλα,n,n-s---fn1s,στῖλης,,,,,0
92690,σ03452,στιλβαῖος,n,----------,,,,,,0
92691,σ03453,στιλβάς,n,n-s---fn3d,στιλβάδος,,,,,0
92692,σ03454,στίλβη,n,n-s---fn1e,στίλβης,,,,,0
92693,σ03455,στιλβηδόν,r,----------,,,,,,0
92694,σ03456,στιλβηδών,n,n-s---fn3n,στιλβηδόνος,,,,,0
92695,σ03457,στιλβόντως,r,----------,,,,,,0
92696,σ03458,στιλβοποιέω,v,----------,,,,,,0
92698,σ03460,στιλβότης,n,n-s---fn3t,στιλβότητος,,,,,0
92699,σ03461,στιλβόω,v,----------,,,,,,0
92700,σ03462,στίλβω,v,----------,,,,/stíl.bɔː/,,0
92701,σ03463,στίλβωθρον,n,n-s---nn2-,στιλβώθρου,,,,,0
92702,σ03464,στίλβωμα,n,n-s---nn3t,στιλβώματος,,,,,0
92703,σ03465,στίλβων,n,n-s---mn3t,στίλβοντος,,,,,0
92704,σ03466,στίλβωσις,n,n-s---fn3v,στιλβωσέως,,,,,0
92705,σ03467,στιλβωτής,n,n-s---mn1e,στιλβωτού,,,,,0
92706,σ03468,στίλη,n,n-s---fn1e,στίλης,,,,,0
92707,σ03469,στιλπνός,a,aps---mn1-,στιλπνός στιλπνή στιλπνόν,,,,,0
92708,σ03470,στιλπνότης,n,n-s---fn3t,στιλπνότητος,,,,,0
92709,σ03471,στιλπνόω,v,----------,,,,,,0
92710,σ03472,στιλπνωτής,n,n-s---mn1e,στιλπνωτού,,,,,0
92711,σ03473,στίλπων,n,n-s---mn3n,στίλπωνος,,,,,0
92712,σ03474,στίλψις,n,n-s---fn3v,στίλψεως,,,,,0
92713,σ03475,στίμμι,n,n-s---nn3v,,,,,,0
92714,σ03476,στιμμίζω,v,----------,,,,,,0
92715,σ03477,στίμμις,n,----------,,,,,,0
92716,σ03478,στίμμισμα,n,n-s---nn3t,στιμμίσματος,,,,,0
92717,σ03479,στίξ,n,n-s---fn3v,στιχός,,,/stíks/,,0
92719,σ03673,στῖον,n,----------,,,,,,0
92720,σ03481,στιπεουργός,n,----------,,,,,,0
92721,σ03482,στιπουργός,n,----------,,,,,,0
92722,σ03483,στιππεῖον,n,n-s---nn2-,στιππείου,,,,,0
92723,σ03484,στιππόϊνος,a,aps---mn1-,στιππόϊνος στιπποΐνη στιππόϊνον,,,,,0
92724,σ03485,στιπποκογχιστής,n,n-s---mn1e,στιπποκογχιστού,,,,,0
92725,σ03486,στίππον,n,n-s---nn2-,στίππου,,,,,0
92726,σ03487,στιπποπραγματευτής,n,n-s---mn1e,στιπποπραγματευτού,,,,,0
92727,σ03488,στιπποτιμητής,n,n-s---mn1e,στιπποτιμητού,,,,,0
92728,σ03489,στιππουργός,n,----------,,,,,,0
92729,σ03490,στιπποχειριστής,n,n-s---mn1e,στιπποχειριστού,,,,,0
92730,σ03491,στιππύϊνος,a,aps---mn1-,στιππύϊνος στιππυΐνη στιππύϊνον,,,,,0
92731,σ03492,στιππύον,n,n-s---nn2-,στιππύου,,,,,0
92732,σ03493,στιππυουργός,n,----------,,,,,,0
92733,σ03494,στιπτός,a,aps---mn1-,στιπτός στιπτή στιπτόν,,,,,0
92734,σ03495,στιπύϊνος,a,aps---mn1-,στιπύϊνος στιπυΐνη στιπύϊνον,,,,,0
92735,σ04060,στῖφος,n,n-s---nn3v,στῖφεος,,,,,0
92736,σ03496,στιφράω,v,----------,,,,,,0
92737,σ03497,στιφρός,a,aps---mn1-,στιφρός στιφρά στιφρόν,,,,,0
92738,σ03498,στιφρότης,n,n-s---fn3t,στιφρότητος,,,,,0
92739,σ03499,στιχαοιδός,n,----------,,,,,,0
92741,σ03501,στιχάριον,n,n-s---nn2-,στιχαρίου,,,,,0
92742,σ03502,στιχάς,n,n-s---fn3d,στιχάδος,,,,,0
92743,σ03503,στιχάω,v,----------,,,,,,0
92745,σ03506,στίχες,n,n-p---fn1l,στιχῶν,,,,,0
92746,σ03507,στίχη,n,n-s---fn1e,στίχης,,,,,0
92747,σ03508,στιχηδόν,r,----------,,,,,,0
92748,σ03509,στιχήρης,a,aps---cn3s,στιχήρης στιχήρης στιχή͂ρες,,,,,0
92749,σ03510,στιχηρός,a,aps---mn1-,στιχηρός στιχηρά στιχηρόν,,,,,0
92750,σ03511,στιχίαμβος,n,n-s---mn2-,στιχιάμβου,,,,,0
92751,σ03512,στιχίδιον,n,n-s---nn2-,στιχιδίου,,,,,0
92752,σ03513,στιχίζω,v,----------,,,,,,0
92753,σ03514,στιχικός,a,aps---mn1-,στιχικός στιχική στιχικόν,,,,,0
92754,σ03515,στίχινος,a,aps---mn1-,στίχινος στιχίνη στίχινον,,,,,0
92755,σ03516,στίχιον,n,----------,,,,,,0
92756,σ03517,στιχισμός,n,----------,,,,,,0
92757,σ03518,στιχιστής,n,n-s---mn1e,στιχιστού,,,,,0
92758,σ03519,στιχογράφος,n,n-s---mn2-,στιχογράφου,,,,,0
92759,σ03520,στιχολογέω,v,----------,,,,,,0
92760,σ03521,στιχολογία,n,n-s---fn1l,στιχολογίας,,,,,0
92761,σ03522,στιχολόγος,n,n-s---mn2-,στιχολόγου,,,,,0
92762,σ03523,στιχομυθέω,v,----------,,,,,,0
92763,σ03524,στιχομυθία,n,n-s---fn1l,στιχομυθίας,,,,,0
92765,σ03526,στιχοπλόκος,n,n-s---mn2-,στιχοπλόκου,,,,,0
92766,σ03527,στιχοποιέω,v,----------,,,,,,0
92767,σ03528,στιχοποιία,n,n-s---fn1l,στιχοποιίας,,,,,0
92768,σ03529,στίχος,n,n-s---mn2-,στίχου,,,/stí.kʰos/,,0
92769,σ03530,στιχουργέω,v,----------,,,,,,0
92770,σ03531,στιχούργημα,n,n-s---nn3d,στιχουργήματος,,,,,0
92771,σ03532,στιχουργός,n,----------,,,,,,0
92772,σ03504,στιχῳδός,n,----------,,,,,,0
92773,σ03533,στιώδης,a,aps---cn3s,στιώδης στιώδης στιώ͂δες,,,,,0
92774,σ03535,στλεγγίδιον,n,n-s---nn2-,στλεγγιδίου,,,,,0
92775,σ03536,στλεγγιδολήκυθος,n,n-s---mn2-,στλεγγιδοληκύθου,,,,,0
92777,σ03538,στλεγγίζω,v,----------,,,,,,0
92778,σ03539,στλεγγίον,n,----------,,,,,,0
92779,σ03540,στλεγγίς,n,n-s---fn3d,,,,,,0
92780,σ03541,στλέγγισμα,n,n-s---nn3t,στλεγγίσματος,,,,,0
92781,σ03542,στλέγγιστρον,n,n-s---nn2-,στλεγγίστρου,,,,,0
92782,σ03543,στλέγγος,n,----------,,,,,,0
92783,σ03544,στλεγγύς,n,----------,,,,,,0
92784,σ03545,στλίξ,n,----------,,,,,,0
92785,σ03552,στοά,n,n-s---fn1d,στοᾶς,,,/sto.ǎː/,,0
92786,σ03553,στοαοροφή,n,n-s---fn1e,στοαοροφῆς,,,,,0
92787,σ03554,στοβάζω,v,----------,,,,,,0
92788,σ03555,στοβέω,v,----------,,,,,,0
92789,σ03556,στόβος,n,n-s---mn2-,στόβου,,,,,0
92790,,Στοδμηνός,n,----------,,,,,,0
92791,σ03557,στοιά,n,----------,,,,,,0
92793,σ03559,στοιβάς,n,n-s---fn3d,στοιβάδος,,,,,0
92794,σ03560,στοιβασία,n,n-s---fn1l,στοιβασίας,,,,,0
92846,σ03610,στολιδόομαι,v,----------,,,,,,0
92796,σ03562,στοίβασις,n,n-s---fn3v,στοιβασέως,,,,,0
92797,σ03563,στοιβαστής,n,n-s---mn1e,στοιβαστού,,,,,0
92798,σ03564,στοιβαστός,a,aps---mn1-,στοιβαστός στοιβαστή στοιβαστόν,,,,,0
92799,σ03565,στοιβή,n,n-s---fn1e,στοιβῆς,,,,,0
92800,σ03566,στοιβηδόν,r,----------,,,,,,0
92801,σ03567,στοιβίον,n,n-s---nn2-,στοιβίου,,,,,0
92803,σ03569,στοί̈διον,n,n-s---nn2-,στοϊδίου,,,,,0
92804,,Στοϊκός,n,----------,,,,,,0
92805,,Στοιχαδεύς,n,n-s---mn3v,Στοιχαδέως,,,,,0
92806,σ03570,στοιχαδίτης,a,aps---fn1-,στοιχαδίτης,,,/stoi̯.kʰa.dǐː.tɛːs/,,0
92807,,Στοιχαῖος,n,----------,,,,,,0
92808,σ03572,στοιχάς,a,aps---fn1-,στοιχάς,,,/stoi̯.kʰás/,,0
92809,,Στοιχεία,n,n-s---fn1l,Στοιχείας,,,,,0
92810,σ03573,στοιχειακός,a,aps---mn1-,στοιχειακός στοιχειακή στοιχειακόν,,,/stoi̯.kʰeː.a.kós/,,0
92811,σ03575,στοιχειογραφέω,v,----------,,,,,,0
92812,σ03576,στοιχειοκράτωρ,n,----------,,,,,,0
92813,σ03586,στοιχεῖον,n,n-s---nn2-,στοιχείου,,,/stoi̯.kʰêː.on/,,0
92814,σ03578,στοιχειόω,v,----------,,,,/stoi̯.kʰeː.ó.ɔː/,,0
92815,σ03579,στοιχειώδης,a,aps---cn3s,στοιχειώδης στοιχειώδης στοιχειώ͂δες,,,/stoi̯.kʰeː.ɔ̌ː.dɛːs/,,0
92816,σ03580,στοιχείωμα,n,n-s---nn3t,στοιχειώματος,,,/stoi̯.kʰěː.ɔː.ma/,,0
92817,σ03581,στοιχειωματικοί,n,n-p---mn2-,στοιχειωματικῶν,,,/stoi̯.kʰeː.ɔː.ma.ti.koí̯/,,0
92818,σ03582,στοιχείωσις,n,n-s---fn3v,στοιχειωσέως,,,/stoi̯.kʰěː.ɔː.sis/,,0
92819,σ03583,στοιχειωτής,n,n-s---mn1e,στοιχειωτού,,,/stoi̯.kʰeː.ɔː.tɛ̌ːs/,,0
92820,σ03584,στοιχειωτικός,a,aps---mn1-,στοιχειωτικός στοιχειωτική στοιχειωτικόν,,,/stoi̯.kʰeː.ɔː.ti.kós/,,0
92821,σ03585,στοιχειωτός,a,aps---mn1-,στοιχειωτός στοιχειωτή στοιχειωτόν,,,,,0
92822,σ03587,στοιχευτής,n,n-s---mn1e,στοιχευτού,,,,,0
92823,σ03588,στοιχέω,v,----------,,,,,,0
92824,σ03589,στοιχηγορέω,v,----------,,,,,,0
92825,σ03590,στοιχηδίς,r,----------,,,,,,0
92826,σ03591,στοιχηδόν,r,----------,,,,,,0
92827,σ03592,στοίχημα,n,n-s---nn3t,στοιχήματος,,,,,0
92828,σ03593,στοιχητέον,n,----------,,,,,,0
92829,σ03594,στοιχητής,n,n-s---mn1e,στοιχητοῦ,,,,,0
92831,σ03596,στοιχίζω,v,v1spia--1-,,,,,,0
92832,σ03597,στοιχικός,a,aps---mn1-,στοιχικός στοιχική στοιχικόν,,,,,0
92833,σ03598,στοιχισμός,n,----------,,,,,,0
92834,σ03599,στοιχομυθέω,v,----------,,,,,,0
92835,σ03704,στοῖχος,n,n-s---mn2-,στοίχου,,,/stói̯.kʰos/,,0
92836,σ03600,στοιχούντως,r,----------,,,,,,0
92837,σ03601,στοιχώδης,a,aps---cn3s,στοιχώδης στοιχώδης στοιχώ͂δες,,,,,0
92838,σ03602,στολαγωγέω,v,----------,,,,,,0
92839,σ03603,στολαγωγός,n,----------,,,,,,0
92840,σ03604,στολάζομαι,v,----------,,,,,,0
92841,σ03605,στολάρχης,n,n-s---cn1e,στολάρχου,,,,,0
92842,σ03606,στόλαρχος,n,n-s---mn2-,στολάρχου,,,,,0
92843,σ03607,στολάς,n,n-s---fn3d,στολάδος,,,,,0
92844,σ03608,στολή,n,n-s---fn1e,στολῆς,,,/sto.lɛ̌ː/,,0
92845,σ03609,στολίδιον,n,n-s---nn2-,στολιδίου,,,,,0
92848,σ03612,στολίδωμα,n,n-s---nn3t,στολιδώματος,,,,,0
92850,σ03614,στολίζω,v,----------,,,,,,0
92851,σ03615,στόλιον,n,n-s---nn2-,στολίου,,,,,0
92852,σ03616,στολίς,n,n-s---fn3d,στολίδος,,,,,0
92853,σ03617,στόλισις,n,n-s---fn3v,στολισέως,,,,,0
92854,σ03618,στόλισμα,n,n-s---nn3t,στολίσματος,,,,,0
92855,σ03619,στολισμός,n,----------,,,,,,0
92856,σ03620,στολιστεία,n,n-s---fn1l,στολιστείας,,,,,0
92857,σ03621,στολιστήριον,n,n-s---nn2-,στολιστηρίου,,,,,0
92858,σ03622,στολιστής,n,n-s---mn1e,στολιστού,,,,,0
92859,σ03623,στολμός,n,----------,,,,,,0
92860,σ03624,στολοδρομέω,v,----------,,,,,,0
92861,σ03625,στόλοκρος,a,aps---cn2-,στόλοκρος στόλοκρος στόλοκρον,,,,,0
92862,σ03626,στόλος,n,n-s---mn2-,στόλου,,,,,0
92863,σ03627,στόμα,n,n-s---nn3d,στόματος,,,/stó.ma/,,0
92864,σ03628,στομακάκη,n,n-s---fn1e,στομακάκης,,,,,0
92865,σ03629,στομαλγέω,v,----------,,,,,,0
92866,σ03630,στομαλγία,n,n-s---fn1l,στομαλγίας,,,,,0
92867,σ03631,στομαλίμνη,n,n-s---fn1e,στομαλίμνης,,,,,0
92868,σ03632,στομάλιμνον,n,n-s---nn2-,στομαλίμνου,,,,,0
92869,σ03633,στομαργία,n,n-s---fn1l,στομαργίας,,,,,0
92870,σ03634,στόμαργος,a,aps---cn2-,στόμαργος στόμαργος στόμαργον,,,,,0
92871,σ03635,στοματεύω,v,----------,,,,,,0
92873,σ03637,στομάτιον,n,n-s---nn2-,στοματίου,,,,,0
92874,σ03638,στοματοδιαστολεύς,n,n-s---mn3v,στοματοδιαστολέως,,,,,0
92875,σ03639,στοματουργός,a,aps---cn2-,στοματουργός στοματουργός στοματουργόν,,,,,0
92876,σ03640,στομαυλέω,v,----------,,,,,,0
92877,σ03641,στομαχέω,v,----------,,,,,,0
92878,σ03642,στομαχικεύομαι,v,----------,,,,,,0
92879,σ03643,στομαχικός,a,aps---mn1-,στομαχικός στομαχική στομαχικόν,,,,,0
92880,σ03644,στομάχιον,n,n-s---nn2-,στομαχίου,,,,,0
92881,σ03645,στόμαχος,n,n-s---mn2-,στομάχου,,,/stó.ma.kʰos/,,0
92882,σ03646,στόμβος,a,aps---mn1-,στόμβος στόμβη στόμβον,,,,,0
92883,σ03647,στομήρης,a,aps---cn3s,στομήρης στομήρης στομή͂ρες,,,,,0
92884,σ03648,στομίας,n,----------,,,,,,0
92885,σ03649,στομίζομαι,v,----------,,,,,,0
92886,σ03650,στόμιον,n,n-s---nn2-,στομίου,,,,,0
92887,σ03651,στόμις,n,----------,,,,,,0
92888,σ03652,στομίς,n,n-s---fn3d,στομίδος,,,,,0
92889,σ03653,στομοδόκος,a,aps---cn2-,στομοδόκος στομοδόκος στομοδόκον,,,,,0
92890,σ03654,στομοκοπέω,v,----------,,,,,,0
92891,σ03655,στομοποιέω,v,----------,,,,,,0
92892,σ03656,στομόω,v,----------,,,,,,0
92893,σ03657,στομφάζω,v,----------,,,,,,0
92894,σ03658,στόμφαξ,n,----------,,,,,,0
92895,σ03659,στομφασμός,n,----------,,,,,,0
92897,σ03661,στομφολογέω,v,----------,,,,,,0
92898,σ03662,στόμφος,n,n-s---mn2-,στόμφου,,,,,0
92899,σ03663,στομφός,a,aps---cn2-,στομφός στομφός στομφόν,,,,,0
92900,σ03664,στομφόω,v,----------,,,,,,0
92902,σ03666,στομώδης,a,aps---cn3s,στομώδης στομώδης στομώ͂δες,,,,,0
92903,σ03667,στόμωμα,n,n-s---nn3t,στομώματος,,,,,0
92904,σ03668,στομωμάτιον,n,n-s---nn2-,στομωματίου,,,,,0
92905,σ03669,στόμωσις,n,n-s---fn3v,στομωσέως,,,,,0
92906,σ03670,στομωτής,n,n-s---mn1e,στομωτού,,,,,0
92908,σ03674,στοναχέω,v,----------,,,,,,0
92909,σ03675,στοναχή,n,n-s---fn1e,στοναχῆς,,,,,0
92910,σ03676,στοναχίζω,v,----------,,,,,,0
92911,σ03677,στόναχος,n,n-s---mn2-,στονάχου,,,,,0
92912,σ03678,στονόεις,a,aps---mn4i,στονόεις στονόεσσα στονόεν,,,,,0
92913,σ03679,στόνος,n,n-s---mn2-,στόνου,,,,,0
92914,σ03680,στόνυξ,n,----------,,,,,,0
92915,σ03681,στόποδες,n,----------,,,,,,0
92916,σ03682,στοργέω,v,----------,,,,,,0
92917,σ03683,στοργή,n,n-s---fn1e,στοργῆς,,,/stor.ɡɛ̌ː/,,0
92918,σ03684,στοργικός,a,aps---mn1-,στοργικός στοργική στοργικόν,,,,,0
92919,σ03685,στορέννυμι,v,----------,,,,,,0
92920,σ03686,στορεύς,n,n-s---mn3v,στορέως,,,,,0
92921,σ03687,στόρθυγξ,n,n-s---mn3v,,,,,,0
92922,σ03688,στόρνη,n,n-s---fn1e,στόρνης,,,,,0
92923,σ03689,στόρνυμι,v,----------,,,,,,0
92925,σ03691,στορπάν,n,----------,,,,,,0
92926,σ03692,στορύνη,n,n-s---fn1e,στορύνης,,,,,0
92927,σ03693,στορχάζω,v,----------,,,,,,0
92928,σ03695,στοχάζομαι,v,----------,,,,/sto.kʰáz.do.mai̯/,,0
92929,σ03696,στοχανδόν,r,----------,,,,,,0
92930,σ03697,στοχάς,n,n-s---fn3d,στοχάδος,,,,,0
92931,σ03698,στόχασις,n,n-s---fn3v,στοχασέως,,,,,0
92932,σ03699,στόχασμα,n,n-s---nn3t,στοχάσματος,,,,,0
92933,σ03700,στοχασμός,n,----------,,,,,,0
92934,σ03701,στοχαστέον,n,----------,,,,,,0
92935,σ03702,στοχαστής,n,n-s---mn1e,στοχαστού,,,,,0
92936,σ03703,στοχαστικός,a,aps---mn1-,στοχαστικός στοχαστική στοχαστικόν,,,/sto.kʰas.ti.kós/,,0
92937,σ03705,στόχος,n,n-s---mn2-,στόχου,,,/stó.kʰos/,,0
92938,σ03707,στραβαλοκόμας,n,n-s---mn1a,στραβαλοκόμου,,,,,0
92939,σ03708,στραβέλαφος,n,----------,,,,,,0
92940,σ03709,στράβηλος,n,----------,,,,,,0
92941,σ03710,στραβίζω,v,----------,,,,/stra.bíz.dɔː/,,0
92942,σ03711,στραβισμός,n,n-s---mn2-,στραβισμοῦ,,,/stra.biz.mós/,,0
92943,σ03712,στραβοπόδης,n,n-s---mn1e,στραβοπόδου,,,,,0
92944,σ03713,στραβός,a,aps---mn1-,στραβός στραβή στραβόν,,,/stra.bós/,,0
92945,σ03714,στραβότης,n,n-s---mn3d,στραβότητος,,,,,0
