,61601,84667,,,
1496809,61601,84695,,,
1496810,61601,92015,,,
1496811,61601,84875,,,
1496813,61601,88200,,,
1496814,61601,84679,,,
1496815,61601,84645,,,
1496816,61601,82372,,,
1496817,61561,15759,,,
1496818,61561,24806,,,
1496820,61561,4144,,,
1496821,61600,69119,,,
1496822,61600,73980,,,
1496823,61600,77307,,,
1496825,61600,78069,,,
1496826,61600,78068,,,
1496827,61600,67186,,,
1496829,61600,73328,,,
1496830,61600,68975,,,
1496831,61600,68974,,,
1496832,61600,68836,,,
1496833,61600,77691,,,
1496834,61600,78050,,,
1496836,61600,76508,,,
1496837,61600,66392,,,
1496838,61600,77651,,,
1496839,61600,76370,,,
1496840,61600,66512,,,
1496841,61600,77390,,,
1496843,61600,73286,,,
1496844,61600,73157,,,
1496845,61600,73283,,,
1496846,61600,73148,,,
1496847,61600,66361,,,
1496848,61600,73143,,,
1496850,61600,73638,,,
1496851,61600,76069,,,
1496852,61600,69284,,,
1496853,61600,73247,,,
1496854,61600,73248,,,
1496855,61600,69537,,,
1496857,61600,77215,,,
1496858,61600,68510,,,
1496859,61600,68509,,,
1496860,61600,77468,,,
1496861,61600,75160,,,
1496862,61600,74903,,,
1496864,61600,74899,,,
1496865,61600,74898,,,
1496866,61600,73742,,,
1496867,61600,66063,,,
1496868,61600,66318,,,
1496869,61600,73740,,,
1496871,61600,68482,,,
1496872,61604,86397,,,
1496873,61604,84667,,,
1496874,61604,27928,,,
1496875,61604,84695,,,
1496876,61604,97013,,,
1496878,61604,56492,,,
1496879,61604,84875,,,
1496880,61604,51914,,,
1496881,61604,86377,,,
1496882,61604,88200,,,
1496883,61604,84679,,,
1496885,61604,82372,,,
1496886,61582,84645,,,
1496887,61582,84651,,,
1496888,61564,13,,,
1496889,61574,29014,,,
1496890,61574,56571,,,
1496892,61565,59340,,,
1496893,61565,38379,,,
1496894,61565,27764,,,
1496895,42330,81534,,,
1496896,42330,84732,,,
1496897,42330,80249,,,
1496899,42330,79479,,,
