,κωμογραμματεία,n,n-s---fn1l,κωμογραμματείας,,,,,0
59629,λ01099,λευκομήλινος,a,aps---cn2-,λευκομήλινος λευκομήλινος λευκομήλινον,,,,,0
59630,λ01100,λευκομυόχρους,a,aps---cn5d,λευκομυόχρους λευκομυόχρους λευκομυόχρουν,,,,,0
59631,λ01101,λευκομφάλιος,n,----------,,,,,,0
59632,λ01102,λευκόν,n,----------,,,,,,0
59633,λ01103,λευκόνοτος,n,n-s---mn2-,λευκονότου,,,,,0
59634,λ01104,λευκοοινάριον,n,n-s---nn2-,λευκοοιναρίου,,,,,0
59635,λ01105,λευκοόπωρος,a,aps---cn2-,λευκοόπωρος λευκοόπωρος λευκοόπωρον,,,,,0
59636,λ01106,λευκοπάρειος,n,----------,,,,,,0
59637,λ01107,λευκοπάρυφος,a,aps---cn2-,λευκοπάρυφος λευκοπάρυφος λευκοπάρυφον,,,,,0
59638,λ01108,λευκοπέλιος,a,aps---cn2-,λευκοπέλιος λευκοπέλιος λευκοπέλιον,,,,,0
59639,λ01109,λευκόπεπλος,a,aps---cn2-,λευκόπεπλος λευκόπεπλος λευκόπεπλον,,,,,0
59640,λ01110,λευκοπέτηλος,a,aps---cn2-,λευκοπέτηλος λευκοπέτηλος λευκοπέτηλον,,,,,0
59641,λ01111,λευκόπετρον,n,n-s---nn2-,λευκοπέτρου,,,,,0
59642,λ01112,λευκόπηχυς,n,----------,,,,,,0
59643,λ01113,λευκόπλευρος,a,aps---cn2-,λευκόπλευρος λευκόπλευρος λευκόπλευρον,,,,,0
59644,λ01114,λευκοπληθής,a,aps---cn5s,λευκοπληθής λευκοπληθής λευκοπληθές,,,,,0
59645,λ01115,λευκοποδήρης,a,aps---cn3s,λευκοποδήρης λευκοποδήρης λευκοποδή͂ρες,,,,,0
59646,λ01116,λευκοποίκιλος,a,aps---cn2-,λευκοποίκιλος λευκοποίκιλος λευκοποίκιλον,,,,,0
59647,λ01117,λευκοποιός,a,aps---cn2-,λευκοποιός λευκοποιός λευκοποιόν,,,,,0
59648,λ01118,λευκόπους,n,----------,,,,,,0
59650,λ01120,λευκόπτερος,a,aps---cn2-,λευκόπτερος λευκόπτερος λευκόπτερον,,,,,0
59651,λ01121,λευκοπτέρυξ,n,----------,,,,,,0
59652,λ01122,λευκόπυγος,a,aps---cn2-,λευκόπυγος λευκόπυγος λευκόπυγον,,,,,0
59653,λ01123,λευκόπυρος,n,n-s---mn2-,λευκοπύρου,,,,,0
59654,λ01124,λευκόπυρρος,a,aps---cn2-,λευκόπυρρος λευκόπυρρος λευκόπυρρον,,,,,0
59655,λ01125,λευκόπωλος,a,aps---cn2-,λευκόπωλος λευκόπωλος λευκόπωλον,,,,,0
59656,λ01126,λευκορόδιος,a,aps---cn2-,λευκορόδιος λευκορόδιος λευκορόδιον,,,,,0
59657,λ01127,λευκόροδον,n,n-s---nn2-,λευκορόδου,,,,,0
59658,λ01128,λευκόρυγχος,a,aps---cn2-,λευκόρυγχος λευκόρυγχος λευκόρυγχον,,,,,0
59659,λ00769,λεῦκος,n,n-s---mn2-,λεύκου,,,,,0
59660,,Λεῦκος,n,n-s---mn2-,Λεύκου,,,,,0
59661,λ01129,λευκός,a,aps---mn1-,λευκός λευκή λευκόν,,,,,0
59662,λ01130,λευκόσαρκος,a,aps---cn2-,λευκόσαρκος λευκόσαρκος λευκόσαρκον,,,,,0
59663,λ01131,λευκόσπανος,a,aps---cn2-,λευκόσπανος λευκόσπανος λευκόσπανον,,,,,0
59664,λ01132,λευκόστερνος,a,aps---cn2-,λευκόστερνος λευκόστερνος λευκόστερνον,,,,,0
59665,λ01133,λευκοστεφής,a,aps---cn5s,λευκοστεφής λευκοστεφής λευκοστεφές,,,,,0
59666,λ01134,λευκόστικτος,a,aps---cn2-,λευκόστικτος λευκόστικτος λευκόστικτον,,,,,0
59667,λ01135,λευκόστολος,a,aps---cn2-,λευκόστολος λευκόστολος λευκόστολον,,,,,0
59714,λ01181,λευρός,a,----------,,,,,,0
59669,λ01137,λευκοσώματος,a,aps---cn2-,λευκοσώματος λευκοσώματος λευκοσώματον,,,,,0
59670,λ01139,λευκότης,n,n-s---fn3t,λευκότητος,,,,,0
59671,λ01140,λευκοτράχηλος,n,----------,,,,,,0
59672,λ01141,λευκότριχα,n,----------,,,,,,0
59673,λ01142,λευκοτριχέω,v,----------,,,,,,0
59674,λ01143,λευκότροφος,a,aps---cn2-,λευκότροφος λευκότροφος λευκότροφον,,,,,0
59675,λ01144,λευκουργέω,v,----------,,,,,,0
59676,λ01145,λευκουργός,n,----------,,,,,,0
59677,λ01146,λεύκουρος,a,aps---cn2-,λεύκουρος λεύκουρος λεύκουρον,,,,,0
59678,λ01147,λευκοϋφής,a,----------,,,,,,0
59679,λ01148,λευκοφαής,a,aps---cn5s,λευκοφαής λευκοφαής λευκοφαές,,,,,0
59681,λ01150,λευκόφθαλμος,n,----------,,,,,,0
59682,λ01151,λευκοφλεγματέω,v,----------,,,,,,0
59683,λ01152,λευκοφλεγματία,n,n-s---fn1l,λευκοφλεγματίας,,,,,0
59684,λ01153,λευκοφλεγματίας,n,n-s---mn1a,λευκοφλεγματίου,,,,,0
59685,λ01154,λευκοφλέγματος,a,aps---cn2-,λευκοφλέγματος λευκοφλέγματος λευκοφλέγματον,,,,,0
59686,λ01155,λευκοφλεγματώδης,a,aps---cn3s,λευκοφλεγματώδης λευκοφλεγματώδης λευκοφλεγματώ͂δες,,,,,0
59687,λ01156,λευκόφλοιος,a,aps---cn2-,λευκόφλοιος λευκόφλοιος λευκόφλοιον,,,,,0
59688,λ01157,λευκοφόντης,n,----------,,,,,,0
59689,λ01158,λευκοφορέω,v,----------,,,,,,0
59690,λ01159,λευκοφορινόχροος,a,aps---cn2-,λευκοφορινόχροος λευκοφορινόχροος λευκοφορινόχροον,,,,,0
59691,λ01160,λευκοφόρος,a,aps---cn2-,λευκοφόρος λευκοφόρος λευκοφόρον,,,,,0
59692,,Λευκοφρυηνά,n,n-p---nn2-,Λευκοφρυηνῶν,,,,,0
59693,,Λευκοφρυηνή,n,n-s---fn1e,Λευκοφρυηνῆς,,,,,0
59694,λ01161,λεύκοφρυς,n,----------,,,,,,0
59695,λ01162,λευκοφυής,n,----------,,,,,,0
59696,λ01163,λευκόφυλλος,a,aps---cn2-,λευκόφυλλος λευκόφυλλος λευκόφυλλον,,,,,0
59697,λ01164,λευκοχίτωνος,n,----------,,,,,,0
59698,λ01165,λευκόχλωρος,a,aps---cn2-,λευκόχλωρος λευκόχλωρος λευκόχλωρον,,,,,0
59699,λ01166,λευκόχριστος,a,aps---cn2-,λευκόχριστος λευκόχριστος λευκόχριστον,,,,,0
59700,λ01167,λευκόχροια,n,n-s---fn1s,λευκόχροιας,,,,,0
59702,λ01169,λευκόχρυσος,n,----------,,,,,,0
59703,λ01170,λευκοχρώματος,a,aps---cn2-,λευκοχρώματος λευκοχρώματος λευκοχρώματον,,,,,0
59704,λ01171,λευκόχρωμος,a,aps---cn2-,λευκόχρωμος λευκόχρωμος λευκόχρωμον,,,,,0
59705,λ01172,λευκόχρως,n,n-s---cn3d,λευκόχρωτος,,,,,0
59706,λ01173,λευκόψαρος,a,aps---cn2-,λευκόψαρος λευκόψαρος λευκόψαρον,,,,,0
59707,λ01174,λευκόω,v,----------,,,,,,0
59708,λ01175,λευκώλενος,a,aps---cn2-,λευκώλενος λευκώλενος λευκώλενον,,,/leu̯.kɔ̌ː.le.nos/,,0
59709,λ01176,λεύκωμα,n,n-s---nn3t,λευκώματος,,,,,0
59710,λ01177,λευκωματίζομαι,v,----------,,,,,,0
59711,λ01178,λευκωματικός,a,aps---mn1-,λευκωματικός λευκωματική λευκωματικόν,,,,,0
59712,λ01179,λευκωματώδης,a,aps---cn3s,λευκωματώδης λευκωματώδης λευκωματώ͂δες,,,,,0
59713,λ01180,λευκωτής,n,n-s---mn1e,λευκωτού,,,,,0
59716,λ01183,λευσμός,n,----------,,,,,,0
59717,λ01184,λεύσσω,v,----------,,,,,,0
59718,λ01185,λευστήρ,n,n-s---mn3r,λευστῆρος,,,,,0
59719,λ01186,λευστός,a,aps---mn1-,λευστός λευστή λευστόν,,,,,0
59720,λ01187,λευτον,n,----------,,,,,,0
59721,λ01188,λευχειμονέω,v,----------,,,,,,0
59722,λ01189,λευχείμων,n,----------,,,,,,0
59723,λ01190,λευχηπατίας,n,n-s---mn1a,λευχηπατίου,,,,,0
59724,λ01191,λεύω,v,----------,,,,,,0
59725,λ01192,λεχαῖος,a,aps---mn1-,λεχαῖος λεχαῖα λεχαῖον,,,,,0
59726,λ01193,λεχεποίη,n,n-s---fn1e,λεχεποίης,,,,,0
59727,λ01194,λεχήρης,a,aps---cn3s,λεχήρης λεχήρης λεχή͂ρες,,,,,0
59728,λ01195,λέχομαι,v,----------,,,,/lé.kʰo.mai̯/,,0
59729,λ01196,λέχος,n,n-s---nn3v,λέχεος,,,/lé.kʰos/,,0
59730,λ01197,λέχοσδε,r,----------,,,,,,0
59732,λ01199,λέχρις,r,----------,,,,,,0
59733,λ01200,λεχώ,n,n-s---fn3c,λεχόος,,n-s---fn3c=λεοῦς,/le.kʰɔ̌ː/,,0
59734,λ01201,λεχωϊάς,n,n-s---fn3d,λεχωϊάδος,,,,,0
59735,λ01202,λεχώϊος,a,aps---cn2-,λεχώϊος λεχώϊος λεχώϊον,,,,,0
59736,λ01203,λεχωί̈ς,n,----------,,,,,,0
59737,λ01204,λεχώς,n,----------,,,,,,0
59738,λ01207,λεώδης,a,aps---cn3s,λεώδης λεώδης λεώ͂δες,,,,,0
59739,λ01206,λεώδης,n,----------,,,,,,0
59740,,Λεωκόρειον,n,n-s---nn2-,Λεωκορείου,,,,,0
59741,λ01208,λεωκόρητος,n,----------,,,,,,0
59742,λ01209,λεωλογέω,v,----------,,,,,,0
59743,λ00797,λέῳμι,v,----------,,,,,,0
59744,λ01210,λέων,n,n-s---mn3t,λέοντος,,,/lé.ɔːn/,,0
59745,λ01211,λεωπάτητος,n,----------,,,,,,0
59746,λ01212,λεωπετρία,n,n-s---fn1l,λεωπετρίας,,,,,0
59747,λ01213,λεωργός,r,----------,,,,,,0
59748,λ01215,λεώς,n,n-s---mn2a,,,,,,0
59749,λ01214,λέως,r,----------,,,,,,0
59750,λ01216,λεωσφέτερος,a,aps---cn2-,λεωσφέτερος λεωσφέτερος λεωσφέτερον,,,,,0
59751,λ01217,λεωφόρος,a,aps---cn2-,λεωφόρος λεωφόρος λεωφόρον,,,,,0
59752,λ01219,λήγω,v,----------,,,,/lɛ̌ː.ɡɔː/,,0
59753,,Λήδα,n,n-s---fn1-,Λήδας,,,/lɛ̌ː.daː/,,0
59754,λ01220,λήδανον,n,n-s---nn2-,ληδάνου,,,,,0
59755,λ01221,ληδάριον,n,n-s---nn2-,ληδαρίου,,,,,0
59756,λ01222,λήδιον,n,n-s---nn2-,ληδίου,,,,,0
59757,λ00617,λῆδον,n,n-s---nn2-,λήδου,,,,,0
59758,λ00618,λῆδος,n,----------,,,,,,0
59759,λ01218,λῄζομαι,v,----------,,,,,,0
59760,λ01223,λήθαιος,a,aps---mn1-,λήθαιος λήθαια λήθαιον,,,,,0
59761,λ01224,ληθάνεμος,n,----------,,,,,,0
59762,λ01225,ληθαργέω,v,----------,,,,,,0
59764,λ01227,ληθαργικός,a,aps---mn1-,ληθαργικός ληθαργική ληθαργικόν,,,,,0
59765,λ01228,λήθαργος,a,aps---cn2-,λήθαργος λήθαργος λήθαργον,,,/lɛ̌ː.tʰar.ɡos/,,0
59766,λ01229,ληθαργώδης,a,aps---cn3s,ληθαργώδης ληθαργώδης ληθαργώ͂δες,,,,,0
59767,λ01230,ληθεδανός,a,aps---mn1-,ληθεδανός ληθεδανή ληθεδανόν,,,,,0
59768,λ01231,ληθεδών,n,n-s---fn3n,ληθεδόνος,,,,,0
59769,λ01232,λήθη,n,n-s---fn1e,λήθης,,,/lɛ̌ː.tʰɛː/,,0
59770,λ01233,ληθήμων,a,aps---cn2-,ληθήμων ληθήμων λεωφόρον,,,,,0
59773,λ01336,λῆθος,n,n-s---nn3v,λῆθεος,,,,,0
59774,λ01236,ληθότης,n,n-s---fn3t,ληθότητος,,,,,0
59775,λ01237,λήθω,v,----------,,,,/lɛ̌ː.tʰɔː/,,0
59776,,Ληθώ,n,----------,,,,,,0
59777,λ01238,ληθώδης,a,aps---cn3s,ληθώδης ληθώδης ληθώ͂δες,,,,,0
59778,λ01239,ληϊάνειρα,n,----------,,,,,,0
59779,λ01240,ληϊάς,n,n-s---fn3d,ληϊάδος,,,,,0
59780,λ01241,ληϊβοτήρ,n,n-s---mn3r,ληϊβοτῆρος,,,,,0
59781,λ01242,ληί̈διος,a,aps---mn1-,ληί̈διος ληί̈δια ληί̈διον,,,,,0
59782,λ01243,ληί̈ζομαι,v,----------,,,,,,0
59783,λ01244,ληί̈η,n,n-s---fn1e,ληί̈ης,,,,,0
59784,λ01245,ληί̈νη,n,n-s---fn1e,ληί̈νης,,,,,0
59785,λ01246,ληϊνόμος,n,----------,,,,,,0
59786,λ01248,λήϊον,n,----------,,,,,,0
59787,λ01247,λήϊον,n,n-s---nn2-,ληΐου,,,,,0
59788,λ01249,ληί̈ς,n,----------,,,,,,0
59789,λ01250,ληϊστήρ,n,n-s---mn3r,ληϊστῆρος,,,,,0
59790,λ01251,ληϊστής,n,n-s---mn1e,ληϊστού,,,,,0
59791,λ01252,ληϊστός,a,aps---mn1-,ληϊστός ληϊστή ληϊστόν,,,,,0
59792,λ01253,ληϊστύς,n,n-s---fn3v,ληϊστύος,,,,,0
59793,λ01254,ληί̈στωρ,n,n-s---mn3r,ληί̈στορος,,,,,0
59794,λ01331,ληῖτις,n,n-s---fn3d,ληίτιδος,,,,,0
59795,λ01255,λήϊτον,n,n-s---nn2-,ληΐτου,,,,,0
59796,λ01256,ληϊτουργέω,v,----------,,,,,,0
59797,λ01257,ληκάω,v,----------,,,,,,0
59798,λ01258,ληκέω,v,----------,,,,,,0
59799,λ01259,λήκημα,n,n-s---nn3t,ληκήματος,,,,,0
59800,λ01260,ληκητής,n,n-s---mn1e,ληκητού,,,,,0
59801,λ01261,ληκίνδα,v,----------,,,,,,0
59802,λ01262,ληκτέον,v,----------,,,,,,0
59804,λ01264,ληκτικός,a,aps---mn1-,ληκτικός ληκτική ληκτικόν,,,,,0
59805,λ01265,ληκυθίζω,v,----------,,,,,,0
59806,λ01266,ληκύθιον,n,n-s---nn2-,ληκυθίου,,,,,0
59807,λ01267,ληκυθισμός,n,----------,,,,,,0
59808,λ01268,ληκυθιστής,n,n-s---mn1e,ληκυθιστού,,,,,0
59809,λ01269,ληκυθοποιός,n,----------,,,,,,0
59810,λ01270,ληκυθοπώλης,n,n-s---mn1e,ληκυθοπώλου,,,,,0
59811,λ01271,λήκυθος,n,n-s---fn2-,ληκύθου,,,/lɛ̌ː.ky.tʰos/,,0
59812,λ01272,ληκυθοφόρος,a,aps---cn2-,ληκυθοφόρος ληκυθοφόρος ληκυθοφόρον,,,,,0
59813,λ01273,ληκυτία,n,n-s---fn1l,ληκυτίας,,,,,0
59814,λ01274,ληκώ,n,n-s---fn3c,ληκοῦς,,,,,0
59815,λ01965,λῆμα,n,n-s---nn3t,λήματος,,,,,0
59816,λ01275,λημαλέος,a,aps---mn1-,λημαλέος λημαλέα λημαλέον,,,,,0
59817,λ01276,ληματίας,n,n-s---mn1a,ληματίου,,,,,0
59818,λ01277,ληματιάω,v,----------,,,,,,0
59819,λ01278,λημάτιον,n,n-s---nn2-,ληματίου,,,,,0
59820,λ01279,ληματόομαι,v,----------,,,,,,0
59821,λ01280,λημάω,v,----------,,,,,,0
59822,λ01281,λήμη,n,n-s---fn1e,λήμης,,,,,0
59823,λ01282,λημηρός,a,aps---mn1-,λημηρός λημηρή λημηρόν,,,,,0
59824,λ01283,λημίον,n,n-s---nn2-,λημίου,,,,,0
59825,λ01972,λῆμμα,n,n-s---nn3t,λήμματος,,,/lɛ̂ːm.ma/,,0
59826,λ01284,λημματίζω,v,----------,,,,,,0
59828,λ01286,λημμάτιον,n,n-s---nn2-,λημματίου,,,,,0
59830,,Λημνιακός,n,----------,,,,,,0
59831,,Λημνιασταί,n,n-p---mn2-,Λημνιαστῶν,,,,,0
59832,λ01288,λημνίσκος,n,n-s---mn2-,λημνίσκου,,,,,0
59833,,Λῆμνος,n,n-s---fn2-,Λήμνου,,,/lɛ̂ːm.nos/,,0
59834,λ01289,λημότης,n,n-s---fn3t,λημότητος,,,,,0
59835,λ01290,λημύδριον,n,n-s---nn2-,λημυδρίου,,,,,0
59837,λ01974,λῆμψις,n,----------,,,,,,0
59838,λ01292,λημώδης,a,aps---cn3s,λημώδης λημώδης λημώ͂δες,,,,,0
59839,λ01293,λήμωσις,n,n-s---fn3v,λημωσέως,,,,,0
59840,λ01975,λῆν,n,----------,,,,,,0
59841,,Ληναγέτας,n,n-s---mn1a,Ληναγέτου,,,,,0
59842,,Λῆναι,n,n-p---fn1l,Ληνῶν,,,,,0
59843,,Ληναί̈ζω,v,----------,,,,,,0
59844,,Ληναϊκός,a,aps---mn1-,Ληναϊκός Ληναϊκή Ληναϊκόν,,,,,0
59846,,Ληναί̈της,n,n-s---mn1e,Ληναΐτου,,,,,0
59847,,Ληναιών,n,n-s---mn3n,Ληναιῶνος,,,,,0
59848,,Ληνεύς,n,n-s---mn3v,Ληνέως,,,,,0
59849,λ01295,ληνεύω,v,----------,,,,,,0
59850,λ01296,ληνεών,n,n-s---mn3n,ληνεῶνος,,,,,0
59851,λ01297,ληνίδιον,n,n-s---nn2-,ληνιδίου,,,,,0
59852,λ01298,ληνίς,n,n-s---fn3d,ληνίδος,,,,,0
59853,λ01299,ληνοβάτης,a,----------,,,,,,0
59854,λ01300,ληνοπατέω,v,----------,,,,,,0
59855,λ01301,ληνόπιθος,n,n-s---mn2-,ληνοπίθου,,,,,0
59856,λ01302,ληνοποιός,n,----------,,,,,,0
59857,λ01303,ληνός,n,----------,,,,,,0
59858,λ01976,λῆνος,n,n-s---nn3v,λῆνεος,,,,,0
59859,λ01304,ληνών,n,n-s---mn3n,ληνῶνος,,,,,0
59860,λ01305,ληξιαρχικός,a,aps---mn1-,ληξιαρχικός ληξιαρχική ληξιαρχικόν,,,,,0
59861,λ01306,ληξίαρχος,n,n-s---mn2-,ληξιάρχου,,,,,0
59862,λ01307,ληξιπύρετος,n,----------,,,,,,0
59863,λ01978,λῆξις,n,----------,,,,,,0
59864,λ01979,λῆξις,n,n-s---fn3v,λήξεως,,,,,0
59865,λ01308,ληξιφάρμακον,n,n-s---nn2-,ληξιφαρμάκου,,,,,0
59866,λ01309,ληξίφωτος,a,aps---cn2-,ληξίφωτος ληξίφωτος ληξίφωτον,,,,,0
59867,λ01310,ληός,n,----------,,,,,,0
59868,λ01311,ληπτέος,a,aps---mn1-,ληπτέος ληπτέα ληπτέον,,,,,0
59869,λ01312,λήπτης,n,n-s---mn1e,λήπτου,,,,,0
59870,λ01313,ληπτικός,a,aps---mn1-,ληπτικός ληπτική ληπτικόν,,,,,0
59871,λ01314,ληπτός,a,aps---mn1-,ληπτός ληπτή ληπτόν,,,/lɛːp.tós/,,0
59872,λ01315,ληραίνω,v,----------,,,,,,0
59873,λ01316,ληρεία,n,n-s---fn1l,ληρείας,,,,,0
59874,λ01317,ληρέω,v,----------,,,,,,0
59875,λ01318,λήρημα,n,n-s---nn3t,ληρήματος,,,,,0
59876,λ01319,λήρησις,n,n-s---fn3v,ληρησέως,,,,,0
59877,λ01321,ληρίας,n,----------,,,,,,0
59878,,Ληρόκριτος,n,----------,,,,,,0
59879,λ02277,λῆρος,n,----------,,,,,,0
59880,λ02276,λῆρος,n,n-s---mn2-,λήρου,,,,,0
59881,λ01322,ληρωδέω,v,----------,,,,,,0
59882,λ01323,ληρώδημα,n,n-s---nn3t,ληρωδήματος,,,,,0
59883,λ01324,ληρώδης,a,aps---cn3s,ληρώδης ληρώδης ληρώ͂δες,,,,,0
59884,λ01325,ληρωδία,n,n-s---fn1l,ληρωδίας,,,,,0
59886,λ02280,λῆσις,n,----------,,,,,,0
59888,λ01327,λησμονηθέντες,n,----------,,,,,,0
59889,λ01328,λησμοσύνη,n,n-s---fn1e,λησμοσύνης,,,,,0
59890,λ01329,λήσμων,a,aps---cn3n,λήσμων λήσμων λήσμον,,,,,0
59891,λ02281,λῃστάρχης,n,n-s---cn1e,λῃστάρχου,,,,,0
59892,λ02282,λῄσταρχος,n,n-s---mn2-,λῃστάρχου,,,,,0
59893,λ02283,λῃστεία,n,n-s---fn1l,λῃστείας,,,,,0
59894,λ02284,λῃστεύω,v,----------,,,,,,0
59895,λ02285,λῃστήρ,n,n-s---mn3r,λῃστῆρος,,,,,0
59896,λ02287,λῃστήριον,n,n-s---nn2-,λῃστηρίου,,,,,0
59897,λ02288,λῃστής,n,n-s---mn1e,λῃστού,,,/lɛːi̯s.tɛ̌ːs/,,0
59899,λ02290,λῆστις,n,n-s---fn3v,λήστεως,,,,,0
59900,λ02291,λῃστοδιώκτης,n,n-s---mn1e,λῃστοδιώκτου,,,,,0
59901,λ02292,λῃστοκτόνος,a,aps---cn2-,λῃστοκτόνος λῃστοκτόνος λῃστοκτόνον,,,,,0
59902,λ02293,λῃστοπιαστής,n,n-s---mn1e,λῃστοπιαστού,,,,,0
59903,λ02294,λῃστοσαλπιγκτής,n,n-s---mn1e,λῃστοσαλπιγκτού,,,,,0
59904,λ02295,λῃστρικός,a,aps---mn1-,λῃστρικός λῃστρική λῃστρικόν,,,,,0
59905,λ02296,λῃστρίς,n,n-s---fn3d,λῃστρίδος,,,,,0
59906,λ02297,λῃστρών,n,----------,,,,,,0
59907,λ02298,λῄστωρ,n,----------,,,,,,0
59908,λ01330,λήσω,v,----------,,,,,,0
59909,λ02301,λῄταρχος,n,n-s---mn2-,λῃτάρχου,,,,,0
59910,λ02302,λῄτειρα,n,n-s---fn1s,λῄτειρας,,,,,0
59911,λ02303,λῄτη,n,n-s---fn1e,λῄτης,,,,,0
59912,,Λητογενής,a,aps---cn5s,Λητογενής Λητογενής Λητογενές,,,,,0
59913,,Λητοί̈δης,n,----------,,,,,,0
59914,λ02305,λῃτουργέω,v,----------,,,,,,0
59915,,Λητώ,n,,,,,/lɛː.tɔ̌ː/,,0
59916,λ01332,λήτωρ,n,n-s---mn3r,λήτορος,,,,,0
59917,λ01333,ληχμός,n,----------,,,,,,0
59918,λ02571,λῆψις,n,----------,,,,,,0
59919,λ01334,ληψολιγόμισθος,n,----------,,,,,,0
59920,λ00002,λῖ,r,----------,,,,,,0
59921,λ01337,λιάζομαι,v,v1spid--1-,,,,,,0
59922,λ01338,λιάζω,n,----------,,,,,,0
59923,λ01339,λιάζω,n,----------,,,,,,0
59925,λ01341,λίαν,r,rp--------,,,,/lǐː.aːn/,,0
59926,λ01342,λιαντήρ,n,n-s---mn3r,λιαντῆρος,,,,,0
59927,λ01343,λίαξ,n,----------,,,,,,0
59928,λ01344,λιαρός,a,aps---mn1-,λιαρός λιαρά λιαρόν,,,,,0
59929,λ01345,λίβα,n,----------,,,,,,0
59930,λ01346,λιβάδιον,n,n-s---nn2-,λιβαδίου,,,,,0
59931,λ01347,λιβάζω,v,----------,,,,,,0
59932,λ01361,λιβανᾶς,n,----------,,,,,,0
59933,λ01348,λιβανίδιον,n,n-s---nn2-,λιβανιδίου,,,,,0
59934,λ01349,λιβανίζω,v,----------,,,,,,0
59936,,Λιβανῖτις,n,n-s---fn3d,Λιβανίτιδος,,,,,0
59937,λ01351,λιβανοειδής,a,aps---cn5s,λιβανοειδής λιβανοειδής λιβανοειδές,,,,,0
59938,λ01352,λιβανοθήκη,n,n-s---fn1e,λιβανοθήκης,,,,,0
59939,λ01353,λιβανοκαί̈α,n,n-s---fn1l,λιβανοκαί̈ας,,,,,0
59940,λ01354,λιβανομάννα,n,n-s---fn1l,λιβανομάννας,,,,,0
59941,λ01355,λιβανόμαντις,n,----------,,,,,,0
59942,λ01356,λιβανόομαι,v,----------,,,,,,0
59943,λ01357,λιβανοπώλης,n,n-s---mn1e,λιβανοπώλου,,,,,0
59945,λ01359,λιβανοφόρος,a,aps---cn2-,λιβανοφόρος λιβανοφόρος λιβανοφόρον,,,,,0
59947,λ01362,λιβανώδης,a,aps---cn3s,λιβανώδης λιβανώδης λιβανώ͂δες,,,,,0
59948,λ01363,λιβανωτίδιον,n,n-s---nn2-,λιβανωτιδίου,,,,,0
59949,λ01364,λιβανωτίζω,v,----------,,,,,,0
59950,λ01365,λιβανωτικός,a,aps---mn1-,λιβανωτικός λιβανωτική λιβανωτικόν,,,,,0
59951,λ01366,λιβανώτινος,a,aps---mn1-,λιβανώτινος λιβανωτίνη λιβανώτινον,,,,,0
59952,λ01368,λιβανωτίς,n,----------,,,,,,0
59953,λ01367,λιβανωτίς,n,n-s---fn3d,λιβανωτίδος,,,,,0
59954,λ01369,λιβανωτοπωλέω,v,----------,,,,,,0
59955,λ01370,λιβανωτοπώλης,n,n-s---mn1e,λιβανωτοπώλου,,,,,0
59956,λ01371,λιβανωτός,n,n-s---mn2-,λιβανωτοῦ,,,/li.ba.nɔː.tós/,,0
59957,λ01372,λιβανωτοφόρος,a,aps---cn2-,λιβανωτοφόρος λιβανωτοφόρος λιβανωτοφόρον,,,,,0
59958,λ01373,λιβανωτρίς,n,n-s---fn3d,λιβανωτρίδος,,,,,0
59959,λ01374,λιβάς,n,n-s---fn3d,λιβάδος,,,,,0
59960,λ01375,λίβελλος,n,n-s---mn2-,λιβέλλου,,,,,0
59961,λ01376,λίβερνος,n,n-s---mn2-,λιβέρνου,,,,,0
59962,λ01377,λιβερτῖνος,n,n-s---mn2-,λιβερτίνου,,,,,0
59963,λ01378,λίβηθρον,n,----------,,,,,,0
59964,λ01379,λιβηρός,a,aps---mn1-,λιβηρός λιβηρά λιβηρόν,,,,,0
59965,λ01380,λιβιανόν,n,----------,,,,,,0
59966,λ01381,λιβικός,a,aps---mn1-,λιβικός λιβική λιβικόν,,,,,0
59967,λ01382,λιβόνοτος,n,n-s---mn2-,λιβονότου,,,,,0
59968,λ01384,λιβός,n,----------,,,,,,0
59969,λ01383,λίβος,a,----------,,,,,,0
59970,λ01385,λιβοφοῖνιξ,n,----------,,,,,,0
59971,λ01386,λιβρός,a,aps---mn1-,λιβρός λιβρά λιβρόν,,,,,0
59972,,Λιβυάρχης,n,n-s---mn1e,Λιβυάρχου,,,,,0
59973,,Λιβυαφιγενής,a,aps---cn5s,Λιβυαφιγενής Λιβυαφιγενής Λιβυαφιγενές,,,,,0
59974,,Λιβύη,n,n-s---fn1e,Λιβύης,,,/li.bý.ɛː/,,0
59975,λ01387,λίβυον,n,n-s---nn2-,λιβύου,,,,,0
59976,λ01388,λιβυός,n,----------,,,,,,0
59977,,Λιβυρνοί,n,n-s---mn2-,Λιβυρνοῦ,,,/li.byr.nós/,,0
59978,,Λίβυς,n,n-s---mn3s,,,,/lí.bys/,,0
59979,,Λιβυστικόν,n,----------,,,,,,0
59980,,Λιβυφοῖνιξ,n,----------,,,,,,0
59981,,Λιβυφοίτης,n,n-s---mn1e,Λιβυφοίτου,,,,,0
59982,λ01389,λίβω,v,----------,,,,,,0
59983,λ01390,λίγα,r,----------,,,,,,0
59984,λ01391,λιγαίνω,v,----------,,,,,,0
59985,λ01392,λίγδα,n,----------,,,,,,0
59986,λ01393,λίγδην,r,----------,,,,,,0
59987,λ01394,λίγδος,n,n-s---mn2-,λίγδου,,,,,0
59988,λ01395,λίγειος,r,----------,,,,,,0
59990,λ01397,λιγνύς,n,n-s---fn3s,λιγνύος,,,/li.ɡny̌ːs/,,0
59991,λ01398,λιγνυώδης,a,aps---cn3s,λιγνυώδης λιγνυώδης λιγνυώ͂δες,,,,,0
