20,60427,,,
2489019,79420,22920,,,
2489020,79420,22921,,,
2489021,79420,24328,,,
2489022,79420,61569,,,
2489024,79420,24194,,,
2489025,79420,24193,,,
2489026,79420,36864,,,
2489027,79486,23471,,,
2489028,79486,23189,,,
2489029,79486,62452,,,
2489031,79486,62465,,,
2489032,79518,24221,,,
2489033,79518,24732,,,
2489034,79518,62424,,,
2489036,79518,57579,,,
2489037,79518,57065,,,
2489038,79518,62432,,,
2489040,79716,2939,,,
2489041,79716,11130,,,
2489042,79716,100600,,,
2489043,79716,47862,,,
2489044,79716,20209,,,
2489045,79716,19700,,,
2489047,79716,43761,,,
2489048,79716,20208,,,
2489049,79716,17903,,,
2489050,79716,20207,,,
2489051,79716,14057,,,
2489052,79716,39661,,,
2489054,79716,47079,,,
2489055,79716,3434,,,
2489056,79716,35428,,,
2489057,79716,41320,,,
2489058,79716,21346,,,
2489059,79716,41318,,,
2489061,79716,65891,,,
2489062,79716,29539,,,
2489063,79716,9825,,,
2489064,79716,21345,,,
2489065,79716,18912,,,
2489066,79716,20701,,,
2489068,79716,13522,,,
2489069,79716,13521,,,
2489070,79716,39505,,,
2489071,79716,44110,,,
2489072,79716,38990,,,
2489073,79716,14156,,,
2489075,79716,37831,,,
2489076,79716,37830,,,
2489077,79716,33477,,,
2489078,79716,39236,,,
2489079,79716,39491,,,
2489080,79716,26431,,,
2489082,79716,38461,,,
2489083,79716,39484,,,
2489084,79716,59451,,,
2489085,79716,39092,,,
2489086,79716,11571,,,
2489087,79716,65841,,,
2489089,79716,15023,,,
2489090,79716,39086,,,
2489091,79716,60202,,,
2489092,79716,39082,,,
2489093,79716,33834,,,
2489094,79716,45609,,,
2489096,79716,14051,,,
2489097,79716,39589,,,
2489098,79716,39588,,,
2489099,79716,14050,,,
2489100,79716,21666,,,
2489101,79716,21665,,,
2489103,79716,26525,,,
2489104,79716,14049,,,
2489105,79716,21019,,,
2489106,79716,21398,,,
2489107,79716,29846,,,
2489108,79716,25487,,,
2489110,79716,60304,,,
2489111,79716,101519,,,
2489112,79716,29580,,,
2489113,79716,14598,,,
2489114,79716,2435,,,
2489115,79716,39554,,,
2489117,79794,30769,,,
2489118,79794,504,,,
2489119,79794,1525,,,
2489120,79794,33781,,,
2489121,79794,1524,,,
