,ἀτρύμων,a,aps---cn3n,ἀτρύμων ἀτρύμων ἀτρύμον,ἀτρύμων,0
16387,α00038,αὔγειον,n,n-s---nn2-,αὐγείου,αὔγειον,0
16388,α00047,αὐγέω,v,----------,,αὐγέω,0
16389,α00048,αὐγή,n,n-s---fn1e,αὐγῆς,αὐγή,0
16390,α00049,αὐγήεις,a,aps---mn4i,αὐγήεις αὐγήεσσα αὐγήεν,αὐγήεις,0
16391,α00052,αὐγής,a,aps---cn5s,αὐγής αὐγής αὐγές,αὐγής,0
16392,α00086,αὔγιον,n,n-s---nn2-,αὐγίου,αὔγιον,0
16393,α00091,αὐγίτης,n,----------,,αὐγίτης,0
16395,α00121,αὖγος,n,n-s---nn3v,αὖγεος,αὖγος,0
16396,,Αὔγουστος,n,n-s---mn2-,Αὐγούστου,Αὔγουστος,0
16397,,Αὐγώ,n,----------,,Αὐγώ,0
16398,α00134,αὐδάζομαι,v,----------,,αὐδάζομαι,0
16399,α00135,αὐδάω,v,----------,,αὐδάω,0
16402,α16841,ἀϋδρία,n,n-s---fn1l,ἀϋδρίας,ἀϋδρία,0
16403,α16842,ἄϋδρος,a,aps---cn2-,ἄϋδρος ἄϋδρος ἄϋδρον,ἄϋδρος,0
16404,,Αὐδυναῖος,n,n-s---mn2-,Αὐδυναίου,Αὐδυναῖος,0
16350,α16822,ἀττικοπέρδιξ,n,----------,,ἀττικοπέρδιξ,0
16407,α00167,αὔερος,n,----------,,αὔερος,0
16408,α00168,αὐερύω,v,----------,,αὐερύω,0
16409,α00171,αὐετής,n,----------,,αὐετής,0
16410,α00182,αὔηρ,n,----------,,αὔηρ,0
16412,α00186,αὐθάγιος,r,----------,,αὐθάγιος,0
16413,α00187,αὐθάδεια,n,----------,,αὐθάδεια,0
16414,α00189,αὐθαδία,n,n-s---fn1l,αὐθαδίας,αὐθαδία,0
16416,α00190,αὐθαδιάζομαι,v,----------,,αὐθαδιάζομαι,0
16417,α00191,αὐθαδίζομαι,v,----------,,αὐθαδίζομαι,0
16418,α00192,αὐθαδικός,a,aps---mn1-,αὐθαδικός αὐθαδική αὐθαδικόν,αὐθαδικός,0
16419,α00193,αὐθάδισμα,n,n-s---nn3t,αὐθαδίσματος,αὐθάδισμα,0
16423,α00209,αὖθε,n,----------,,αὖθε,0
16424,α00210,αὐθέδραστος,a,aps---cn2-,αὐθέδραστος αὐθέδραστος αὐθέδραστον,αὐθέδραστος,0
16425,α00211,αὐθέκαστος,a,aps---cn2-,αὐθέκαστος αὐθέκαστος αὐθέκαστον,αὐθέκαστος,0
16426,α00212,αὐθεκαστότης,n,n-s---fn3t,αὐθεκαστότητος,αὐθεκαστότης,0
16427,α00213,αὐθεντέω,v,----------,,αὐθεντέω,0
16428,α00214,αὐθέντης,n,n-s---mn1e,αὐθέντου,αὐθέντης,0
16429,α00215,αὐθεντία,n,n-s---fn1l,αὐθεντίας,αὐθεντία,0
16430,α00216,αὐθεντίζω,v,----------,,αὐθεντίζω,0
16432,α00218,αὐθέντρια,n,n-s---fn1s,αὐθέντριας,αὐθέντρια,0
16434,α00235,αὐθέψης,n,n-s---mn1e,αὐθέψου,αὐθέψης,0
16435,α00237,αὐθημερεί,r,----------,,αὐθημερεί,0
16436,α00238,αὐθημερίζω,v,----------,,αὐθημερίζω,0
16438,α00240,αὐθήμερος,a,aps---cn2-,αὐθήμερος αὐθήμερος αὐθήμερον,αὐθήμερος,0
16439,α00243,αὖθι,r,----------,,αὖθι,0
16440,α00244,αὐθιγενής,a,aps---cn5s,αὐθιγενής αὐθιγενής αὐθιγενές,αὐθιγενής,0
16441,α00246,αὖθις,r,rp--------,αὖθις,αὖθις,0
16442,α00247,αὐθιτελής,a,aps---cn5s,αὐθιτελής αὐθιτελής αὐθιτελές,αὐθιτελής,0
16443,α00249,αὐθόμαιμος,n,----------,,αὐθόμαιμος,0
16444,α00250,αὐθομολογέομαι,v,----------,,αὐθομολογέομαι,0
16446,α00283,αὐθύπαρκτος,a,aps---cn2-,αὐθύπαρκτος αὐθύπαρκτος αὐθύπαρκτον,αὐθύπαρκτος,0
16448,α00285,αὐθυπότακτος,n,n-s---mn2-,αὐθυποτάκτου,αὐθυπότακτος,0
16449,α00290,αὐθωρός,a,aps---cn2-,αὐθωρός αὐθωρός αὐθυπόστατον,αὐθωρός,0
16450,α00291,αὐί̈αχος,v,----------,,αὐί̈αχος,0
16451,α00292,αὐίδετος,a,----------,,αὐίδετος,0
16452,α00318,αὐλαϝυδός,n,----------,,αὐλαϝυδός,0
16453,α00307,αὐλαία,n,n-s---fn1l,αὐλαίας,αὐλαία,0
16454,α00316,αὐλαῖος,a,aps---mn1-,αὐλαῖος αὐλαῖα αὐλαῖον,αὐλαῖος,0
16455,α00308,αὐλακεργάτης,n,n-s---mn1e,αὐλακεργάτου,αὐλακεργάτης,0
16406,α00166,αὐεοῦλλαι,n,----------,,αὐεοῦλλαι,0
16459,α00312,αὐλακόεις,a,aps---mn4i,αὐλακόεις αὐλακόεσσα αὐλακόεν,αὐλακόεις,0
16460,α00313,αὐλακοτομέω,v,----------,,αὐλακοτομέω,0
16461,α00314,αὐλακώδης,a,aps---cn3s,αὐλακώδης αὐλακώδης αὐλακώ͂δες,αὐλακώδης,0
16462,α00315,αὖλαξ,n,n-s---fn3v,,αὖλαξ,0
16463,α00317,αὐλάρχης,n,n-s---cn1e,αὐλάρχου,αὐλάρχης,0
16464,α00323,αὐλεία,n,n-s---fn1l,αὐλείας,αὐλεία,0
16466,α00325,αὐλείτης,n,n-s---mn1e,αὐλείτου,αὐλείτης,0
16467,α00326,αὐλέω,v,----------,,αὐλέω,0
16468,α00327,αὐλή,n,n-s---fn1e,αὐλῆς,αὐλή,0
16469,α00328,αὔλημα,n,n-s---nn3t,αὐλήματος,αὔλημα,0
16470,α00329,αὔληρα,n,n-p---nn2-,αὐλήρων,αὔληρα,0
16471,α00330,αὔλησις,n,n-s---fn3v,αὐλησέως,αὔλησις,0
16472,α00331,αὐλητήρ,n,n-s---mn3r,αὐλητῆρος,αὐλητήρ,0
16475,α00333,αὐλήτης,n,n-s---mn1e,αὐλήτου,αὐλήτης,0
16476,α00335,αὐλητικός,a,aps---mn1-,αὐλητικός αὐλητική αὐλητικόν,αὐλητικός,0
16477,α00336,αὐλήτρια,n,n-s---fn1s,αὐλήτριας,αὐλήτρια,0
16478,α00337,αὐλητρίδιον,n,n-s---nn2-,αὐλητριδίου,αὐλητρίδιον,0
16479,α00338,αὐλητρίς,n,n-s---fn3d,αὐλητρίδος,αὐλητρίς,0
16480,α16843,ἀϋλία,n,n-s---fn1l,ἀϋλίας,ἀϋλία,0
16481,α00339,αὐλιάδες,n,----------,,αὐλιάδες,0
16482,α00340,αὐλίδιον,n,n-s---nn2-,αὐλιδίου,αὐλίδιον,0
16484,α00342,αὐλίζομαι,v,----------,,αὐλίζομαι,0
16486,α00347,αὔλιον,n,n-s---nn2-,αὐλίου,αὔλιον,0
16487,α00348,αὔλιος,a,aps---mn1-,αὔλιος αὔλια αὔλιον,αὔλιος,0
16488,α00349,αὖλις,n,n-s---fn3d,αὔλιδος,αὖλις,0
16489,α00350,αὔλισις,n,n-s---fn3v,αὐλισέως,αὔλισις,0
16490,α00351,αὐλίσκος,n,n-s---mn2-,αὐλίσκου,αὐλίσκος,0
16491,α00352,αὔλισμα,n,n-s---nn3t,αὐλίσματος,αὔλισμα,0
16492,α00353,αὐλισμός,n,----------,,αὐλισμός,0
16494,α00355,αὐλιστήριον,n,n-s---nn2-,αὐλιστηρίου,αὐλιστήριον,0
16495,α00356,αὐλίτης,n,n-s---mn1e,αὐλίτου,αὐλίτης,0
16496,α00362,αὐλοβόας,n,----------,,αὐλοβόας,0
16497,α00363,αὐλοδόκη,n,n-s---fn1e,αὐλοδόκης,αὐλοδόκη,0
16498,α00364,αὐλοθετέω,v,----------,,αὐλοθετέω,0
16500,α00366,αὐλομανέω,v,----------,,αὐλομανέω,0
16503,α00369,αὐλοποιί̈α,n,n-s---fn1l,αὐλοποιί̈ας,αὐλοποιί̈α,0
16504,α00370,αὐλοποιϊκή,r,----------,,αὐλοποιϊκή,0
