id,uri,lemma,pos,morpho,principal_parts,prosody,validated
15419,α15920,ἀσκοθύλακος,n,n-s---mn2-,ἀσκοθυλάκου,ἀσκοθύλακος,0
15453,α15948,ἄσμενος,a,aps---mn1-,ἄσμενος ἀσμένη ἄσμενον,ἄσμενος,0
15454,α15949,ἄσμηκτος,a,aps---cn2-,ἄσμηκτος ἄσμηκτος ἄσμηκτον,ἄσμηκτος,0
15494,α15988,ἀσπιδηστρόφος,a,aps---cn2-,ἀσπιδηστρόφος ἀσπιδηστρόφος ἀσπιδηστρόφον,ἀσπιδηστρόφος,0
15505,α15999,ἀσπιδοθρέμμων,a,aps---cn3n,ἀσπιδοθρέμμων ἀσπιδοθρέμμων ἀσπιδοθρέμμον,ἀσπιδοθρέμμων,0
15523,α16017,ἀσπιστικός,a,aps---mn1-,ἀσπιστικός ἀσπιστική ἀσπιστικόν,ἀσπιστικός,0
15551,α16043,ἀστάθμευτος,a,aps---cn2-,ἀστάθμευτος ἀστάθμευτος ἀστάθμευτον,ἀστάθμευτος,0
15556,α16048,ἄστακτος,a,aps---cn2-,ἄστακτος ἄστακτος ἄστακτον,ἄστακτος,0
15573,α16065,ἀστέγαστος,a,aps---cn2-,ἀστέγαστος ἀστέγαστος ἀστέγαστον,ἀστέγαστος,0
15599,α16090,ἀστερικός,a,aps---mn1-,ἀστερικός ἀστερική ἀστερικόν,ἀστερικός,0
15606,α16097,ἀστεροβλής,n,----------,,ἀστεροβλής,0
15632,α16123,ἀστεφάνωτος,a,aps---cn2-,ἀστεφάνωτος ἀστεφάνωτος ἀστεφάνωτον,ἀστεφάνωτος,0
15653,α16141,ἄστιπτος,a,aps---cn2-,ἄστιπτος ἄστιπτος ἄστιπτον,ἄστιπτος,0
15058,α15573,ἀρχιβουλευτής,n,n-s---mn1e,ἀρχιβουλευτού,ἀρχιβουλευτής,0
11324,α11931,ἄπεφθος,a,aps---cn2-,ἄπεφθος ἄπεφθος ἄπεφθον,ἄπεφθος,0
12018,α12621,ἀποκαίριος,a,aps---cn2-,ἀποκαίριος ἀποκαίριος ἀποκαίριον,ἀποκαίριος,0
15092,α15607,ἀρχιθεώρησις,n,n-s---fn3v,ἀρχιθεωρησέως,ἀρχιθεώρησις,0
15750,α16240,ἀστροειδής,a,aps---cn5s,ἀστροειδής ἀστροειδής ἀστροειδές,ἀστροειδής,0
5739,α06369,ἄμφωτος,a,aps---cn2-,ἄμφωτος ἄμφωτος ἄμφωτον,ἄμφωτος,0
15762,α16252,ἀστρολόγημα,n,n-s---nn3t,ἀστρολογήματος,ἀστρολόγημα,0
15797,α16287,ἀστυγειτονικός,a,aps---mn1-,ἀστυγειτονικός ἀστυγειτονική ἀστυγειτονικόν,ἀστυγειτονικός,0
15819,α16309,ἄστυτος,a,aps---cn2-,ἄστυτος ἄστυτος ἄστυτον,ἄστυτος,0
15832,α16322,ἀσυγκατάθετος,a,aps---cn2-,ἀσυγκατάθετος ἀσυγκατάθετος ἀσυγκατάθετον,ἀσυγκατάθετος,0
15843,α16333,ἀσύγκτητος,a,aps---cn2-,ἀσύγκτητος ἀσύγκτητος ἀσύγκτητον,ἀσύγκτητος,0
15847,α16337,ἀσυγχώρητος,a,aps---cn2-,ἀσυγχώρητος ἀσυγχώρητος ἀσυγχώρητον,ἀσυγχώρητος,0
15886,α16377,ἀσύμφθαρτος,a,aps---cn2-,ἀσύμφθαρτος ἀσύμφθαρτος ἀσύμφθαρτον,ἀσύμφθαρτος,0
15889,α16380,ἀσύμφυλος,a,aps---cn2-,ἀσύμφυλος ἀσύμφυλος ἀσύμφυλον,ἀσύμφυλος,0
15929,α16420,ἀσύνθηκος,a,aps---cn2-,ἀσύνθηκος ἀσύνθηκος ἀσύνθηκον,ἀσύνθηκος,0
15933,α16424,ἀσύννοος,a,aps---cn2-,ἀσύννοος ἀσύννοος ἀσύννοον,ἀσύννοος,0
