κοπική,n,n-s---fn1e,ὑδροσκοπικῆς,ὑδροσκοπική,0
102115,υ00320,ὑδροσκοπικόν,n,----------,,ὑδροσκοπικόν,0
102117,υ00322,ὑδρόσκοπος,n,n-s---mn2-,ὑδροσκόπου,ὑδρόσκοπος,0
102118,υ00323,ὑδροσπάταλος,n,n-s---mn2-,ὑδροσπατάλου,ὑδροσπάταλος,0
102119,υ00324,ὑδρόσπονδα,n,n-p---nn2-,ὑδροσπόνδων,ὑδρόσπονδα,0
102121,υ00326,ὑδροστάσιον,n,n-s---nn2-,ὑδροστασίου,ὑδροστάσιον,0
102122,υ00327,ὑδροστατέομαι,v,----------,,ὑδροστατέομαι,0
102123,υ00328,ὑδροστάτης,n,n-s---mn1e,ὑδροστάτου,ὑδροστάτης,0
102124,υ00329,ὑδροστόλος,n,n-s---mn2-,ὑδροστόλου,ὑδροστόλος,0
102125,υ00330,ὑδρότης,n,n-s---fn3t,ὑδρότητος,ὑδρότης,0
102127,υ00332,ὑδροφόβας,n,n-s---mn1a,ὑδροφόβου,ὑδροφόβας,0
102128,υ00333,ὑδροφοβία,n,n-s---fn1l,ὑδροφοβίας,ὑδροφοβία,0
102129,υ00334,ὑδροφοβιάω,v,----------,,ὑδροφοβιάω,0
102132,υ00337,ὑδροφορέω,v,----------,,ὑδροφορέω,0
102133,υ00338,ὑδροφόρησις,n,n-s---fn3v,ὑδροφορησέως,ὑδροφόρησις,0
102134,υ00340,ὑδροφορία,n,n-s---fn1l,ὑδροφορίας,ὑδροφορία,0
102135,υ00339,ὑδροφόρια,n,n-p---nn2-,ὑδροφορίων,ὑδροφόρια,0
19235,β01289,βόσπορος,n,n-s---mn2-,βοσπόρου,βόσπορος,0
19245,β01295,βόστρυχος,n,n-s---mn2-,βοστρύχου,βόστρυχος,0
102138,υ00343,ὑδροφυλακέω,v,----------,,ὑδροφυλακέω,0
102139,υ00344,ὑδροφυλακία,n,n-s---fn1l,ὑδροφυλακίας,ὑδροφυλακία,0
102140,υ00345,ὑδροφύλαξ,n,n-s---mn3e,ὑδροφύλακος,ὑδροφύλαξ,0
102142,υ00347,ὑδροχαρής,a,aps---cn5s,ὑδροχαρής ὑδροχαρής ὑδροχαρές,ὑδροχαρής,0
102143,υ00348,ὑδρόχαρις,n,----------,,ὑδρόχαρις,0
102144,υ00349,ὑδροχόα,n,n-s---fn1l,ὑδροχόας,ὑδροχόα,0
102150,υ00355,ὑδροψύκτιον,n,n-s---nn2-,ὑδροψυκτίου,ὑδροψύκτιον,0
102151,υ00356,ὕδρω,v,----------,,ὕδρω,0
102152,υ00357,ὑδρώδης,a,aps---cn3s,ὑδρώδης ὑδρώδης ὑδρώ͂δες,ὑδρώδης,0
102153,υ00358,ὕδρωμα,n,n-s---nn3t,ὑδρώματος,ὕδρωμα,0
102154,υ00359,ὑδρών,n,n-s---mn3n,ὑδρῶνος,ὑδρών,0
102155,υ00360,ὑδρωπία,n,n-s---fn1l,ὑδρωπίας,ὑδρωπία,0
102156,υ00361,ὑδρωπιάω,v,----------,,ὑδρωπιάω,0
102158,υ00363,ὑδρωπισμός,n,----------,,ὑδρωπισμός,0
102160,υ00365,ὕδρωψ,n,n-s---mn3l,ὕδρωπος,ὕδρωψ,0
102161,υ00366,ὕδω,v,----------,,ὕδω,0
102163,υ00368,ὑεικός,a,aps---mn1-,ὑεικός ὑεική ὑεικόν,ὑεικός,0
102164,υ00369,ὕεινα,n,----------,,ὕεινα,0
102165,υ00370,ὕειος,a,aps---mn1-,ὕειος ὕεια ὕειον,ὕειος,0
102166,υ03538,υεἱός,n,----------,,υεἱός,0
102167,υ00371,ὑελακυκάδες,n,----------,,ὑελακυκάδες,0
102168,υ00372,ὑελέψης,n,n-s---mn1e,ὑελέψου,ὑελέψης,0
102169,,Ὑέλη,n,n-s---fn1e,Ὑέλης,Ὑέλη,0
102170,υ00373,ὑελιάριος,n,n-s---mn2-,ὑελιαρίου,ὑελιάριος,0
