ν,κεδρωτός,0
53722,κ04583,κέεσθαι,n,----------,,κέεσθαι,0
53723,κ04526,κεῖ,r,----------,,κεῖ,0
53724,κ04694,κεῖλος,n,n-s---mn2-,κείλου,κεῖλος,0
53725,κ04704,κεῖμαι,v,----------,,κεῖμαι,0
53727,κ04587,κειμηλιάρχιον,n,n-s---nn2-,κειμηλιαρχίου,κειμηλιάρχιον,0
53730,κ04590,κειμηλιοφυλάκιον,n,n-s---nn2-,κειμηλιοφυλακίου,κειμηλιοφυλάκιον,0
53731,κ04591,κειμηλιόω,v,----------,,κειμηλιόω,0
53732,κ04753,κεῖνος,n,----------,,κεῖνος,0
53733,κ04592,κειράς,n,n-s---fn3d,κειράδος,κειράς,0
53734,κ04593,κειρία,n,n-s---fn1l,κειρίας,κειρία,0
53735,κ04594,κειριάτης,n,----------,,κειριάτης,0
53737,κ05004,κεῖρις,n,n-s---fn3v,κείρεως,κεῖρις,0
53738,κ04596,κείρω,v,----------,,κείρω,0
53739,κ05088,κεῖσε,r,----------,,κεῖσε,0
53740,,Κειτούκειτος,n,n-s---mn2-,Κειτουκείτου,Κειτούκειτος,0
53741,κ04598,κείω,v,----------,,κείω,0
53742,κ04597,κείω,n,----------,,κείω,0
53743,κ04599,κειώδης,n,----------,,κειώδης,0
53744,κ04600,κεκαδήσω,v,----------,,κεκαδήσω,0
53746,κ04602,κεκαφηώς,v,----------,,κεκαφηώς,0
53747,κ04603,κεκηρυγμένως,r,----------,,κεκηρυγμένως,0
53749,κ04605,κεκλέαται,n,----------,,κεκλέαται,0
53750,κ04606,κεκμηκότως,r,----------,,κεκμηκότως,0
53751,κ04607,κεκμηώς,n,----------,,κεκμηώς,0
53754,κ04610,κεκόρημαι,v,----------,,κεκόρημαι,0
53755,κ04611,κεκοσμημένως,r,----------,,κεκοσμημένως,0
53756,κ04612,κεκοτηώς,n,----------,,κεκοτηώς,0
53757,κ04613,κέκραγμα,n,n-s---nn3t,κεκράγματος,κέκραγμα,0
53758,κ04614,κεκραγμός,n,----------,,κεκραγμός,0
53759,κ04615,κεκράκτης,n,n-s---mn1e,κεκράκτου,κεκράκτης,0
53760,κ04616,κεκραμένως,r,----------,,κεκραμένως,0
53763,κ04619,κέκραχθι,n,----------,,κέκραχθι,0
53764,κ04620,κεκριμένως,r,----------,,κεκριμένως,0
53765,κ04621,κεκροτημένως,r,----------,,κεκροτημένως,0
53766,,Κέκροψ,n,----------,,Κέκροψ,0
53768,κ04623,κεκρυφάλιον,n,n-s---nn2-,κεκρυφαλίου,κεκρυφάλιον,0
53770,κ04625,κεκρύφαλος,n,n-s---mn2-,κεκρυφάλου,κεκρύφαλος,0
53771,κ04626,κεκρύφαται,n,----------,,κεκρύφαται,0
53772,,Κεκυπώσιος,n,n-s---mn2-,Κεκυπωσίου,Κεκυπώσιος,0
53717,κ04578,κέδρος,n,n-s---fn2-,κέδρου,κέδρος,0
53775,κ04629,κελάδημα,n,n-s---nn3t,κελαδήματος,κελάδημα,0
53776,κ04632,κελαδῆτις,n,n-s---fn3d,κελαδήτιδος,κελαδῆτις,0
53778,κ04631,κέλαδος,n,n-s---mn2-,κελάδου,κέλαδος,0
53779,κ04633,κελάδω,v,----------,,κελάδω,0
53781,κ04635,κελαινεφής,a,aps---cn5s,κελαινεφής κελαινεφής κελαινεφές,κελαινεφής,0
53782,κ04636,κελαινιάω,v,----------,,κελαινιάω,0
53784,κ04638,κελαινόομαι,v,----------,,κελαινόομαι,0
53785,κ04639,κελαινόρρινος,a,aps---cn2-,κελαινόρρινος κελαινόρρινος κελαινόρρινον,κελαινόρρινος,0
53786,κ04640,κελαινός,a,aps---mn1-,κελαινός κελαινή κελαινόν,κελαινός,0
53787,κ04641,κελαινοφαής,a,aps---cn5s,κελαινοφαής κελαινοφαής κελαινοφαές,κελαινοφαής,0
53789,κ04643,κελαινόχρως,n,n-s---cn3d,κελαινόχρωτος,κελαινόχρως,0
53790,κ04644,κελαινώπας,n,n-s---mn1a,κελαινώπου,κελαινώπας,0
53791,κ04645,κελαινώψ,n,----------,,κελαινώψ,0
53792,κ04646,κελαρύζω,v,----------,,κελαρύζω,0
53793,κ04647,κελάρυξις,n,n-s---fn3v,κελαρυξέως,κελάρυξις,0
53794,κ04648,κελάρυσμα,n,n-s---nn3t,κελαρύσματος,κελάρυσμα,0
53795,κ04649,κελέβειον,n,n-s---nn2-,κελεβείου,κελέβειον,0
53796,κ04650,κελέβη,n,n-s---fn1s,,κελέβη,0
53797,κ04651,κελέοντες,n,----------,,κελέοντες,0
53798,κ04652,κελεός,n,----------,,κελεός,0
53801,κ04655,κελευθήτης,n,n-s---mn1e,κελευθήτου,κελευθήτης,0
53802,κ04656,κελευθοποιός,a,aps---cn2-,κελευθοποιός κελευθοποιός κελευθοποιόν,κελευθοποιός,0
53803,κ04657,κελευθοπόρος,n,n-s---mn2-,κελευθοπόρου,κελευθοπόρος,0
53804,κ04658,κέλευθος,n,----------,,κέλευθος,0
53805,κ04659,κέλευμα,n,n-s---nn3t,κελεύματος,κέλευμα,0
53806,κ04660,κέλευσις,n,n-s---fn3v,κελευσέως,κέλευσις,0
53807,κ04662,κέλευσμα,n,n-s---nn3t,κελεύσματος,κέλευσμα,0
53809,κ04664,κελευσμός,n,----------,,κελευσμός,0
53811,κ04666,κελευστέον,n,----------,,κελευστέον,0
53812,κ04667,κελευστής,n,n-s---mn1e,κελευστού,κελευστής,0
53814,κ04661,κελευσκή,n,----------,,κελευσκή,0
53815,κ04669,κελευστός,a,aps---mn1-,κελευστός κελευστή κελευστόν,κελευστός,0
53816,κ04670,κέλευστρα,n,----------,,κέλευστρα,0
53817,κ04671,κελεύστωρ,n,n-s---mn3r,κελεύστορος,κελεύστωρ,0
53818,κ04672,κελευτιάω,v,----------,,κελευτιάω,0
53819,κ04673,κελεύω,v,----------,,κελεύω,0
53820,κ04674,κελεφος,n,----------,,κελεφος,0
53821,κ04675,κελέων,n,----------,,κελέων,0
53822,κ04676,κέληξ,n,----------,,κέληξ,0
53824,κ04678,κελητιάω,v,----------,,κελητιάω,0
53825,κ04679,κελητίζω,v,----------,,κελητίζω,0
53774,κ04628,κελαδέω,v,----------,,κελαδέω,0
53829,κ04683,κελλαρικά,n,n-p---nn2-,κελλαρικῶν,κελλαρικά,0
53830,κ04684,κελλαρικόν,n,----------,,κελλαρικόν,0
53831,κ04685,κελλάριον,n,n-s---nn2-,κελλαρίου,κελλάριον,0
53832,κ04686,κελλάριος,n,n-s---mn2-,κελλαρίου,κελλάριος,0
53833,κ04687,κελλαρίτης,n,n-s---mn1e,κελλαρίτου,κελλαρίτης,0
53834,κ04688,κελλίβας,n,----------,,κελλίβας,0
53836,κ04690,κελλίον,n,n-s---nn2-,κελλίου,κελλίον,0
53837,κ04691,κέλλω,v,v1spia--1-,,κέλλω,0
53839,κ04693,κέλομαι,v,----------,,κέλομαι,0
53840,,Κελτίβηρες,n,----------,,Κελτίβηρες,0
53841,,Κελτιστί,r,----------,,Κελτιστί,0
53842,,Κελτοί,n,----------,,Κελτοί,0
53844,,Κελτοσκύθαι,n,----------,,Κελτοσκύθαι,0
53846,κ04696,κελυφανώδης,a,aps---cn3s,κελυφανώδης κελυφανώδης κελυφανώ͂δες,κελυφανώδης,0
53847,κ04697,κελύφιον,n,n-s---nn2-,κελυφίου,κελύφιον,0
53848,κ04698,κελυφοκομῖον,n,n-s---nn2-,κελυφοκομίου,κελυφοκομῖον,0
53849,κ04699,κέλυφος,n,n-s---nn3v,κέλυφεος,κέλυφος,0
53850,κ04700,κέλωρ,n,n-s---mn3r,κέλωρος,κέλωρ,0
53851,κ04701,κελώριον,n,n-s---nn2-,κελωρίου,κελώριον,0
53852,κ04702,κεμάδειον,n,n-s---nn2-,κεμαδείου,κεμάδειον,0
53854,κ04705,κεμάς,n,n-s---fn3d,κεμάδος,κεμάς,0
53855,κ04706,κεμασῖνας,n,----------,,κεμασῖνας,0
53856,κ04707,κεμέλει,n,----------,,κεμέλει,0
53859,κ04711,κεναγγής,a,aps---cn5s,κεναγγής κεναγγής κεναγγές,κεναγγής,0
53860,κ04712,κεναγγία,n,n-s---fn1l,κεναγγίας,κεναγγία,0
53861,κ04713,κενανδρία,n,n-s---fn1l,κενανδρίας,κενανδρία,0
53863,κ04715,κεναυχής,a,aps---cn5s,κεναυχής κεναυχής κεναυχές,κεναυχής,0
53864,κ04716,κένδυλα,n,----------,,κένδυλα,0
53865,κ04717,κενεαγγέω,v,----------,,κενεαγγέω,0
53866,κ04718,κενεαγγητέον,a,----------,,κενεαγγητέον,0
53867,κ04719,κενεαγγίη,n,----------,,κενεαγγίη,0
53869,κ04721,κενεαγορία,n,n-s---fn1l,κενεαγορίας,κενεαγορία,0
53871,κ04723,κενέβρειος,a,aps---cn2-,κενέβρειος κενέβρειος κενέβρειον,κενέβρειος,0
53872,κ04724,κενεγκράνιος,a,----------,,κενεγκράνιος,0
53873,κ04725,κενεμβατέω,v,----------,,κενεμβατέω,0
53874,κ04726,κενεμβάτησις,n,n-s---fn3v,κενεμβατησέως,κενεμβάτησις,0
53875,κ04727,κενεολογία,n,----------,,κενεολογία,0
53876,κ04728,κενεός,a,aps---mn1-,κενεός κενεή κενεόν,κενεός,0
53877,κ04729,κενεότης,n,n-s---fn3t,κενεότητος,κενεότης,0
53879,κ04731,κενεόφρων,a,aps---cn3n,κενεόφρων κενεόφρων κενεόφρον,κενεόφρων,0
53880,κ04732,κενέφας,n,----------,,κενέφας,0
53827,κ04681,κέλλα,n,n-s---fn1l,κέλλας,κέλλα,0
53883,κ04735,κενέωσις,n,n-s---fn3v,κενεωσέως,κενέωσις,0
53884,κ04736,κενήριον,n,n-s---nn2-,κενηρίου,κενήριον,0
53885,κ04737,κενογάμιον,v,----------,,κενογάμιον,0
53887,κ04739,κενοδοξέω,v,----------,,κενοδοξέω,0
53889,κ04741,κενόδοξος,a,aps---cn2-,κενόδοξος κενόδοξος κενόδοξον,κενόδοξος,0
53890,κ04742,κενοδρομέω,v,----------,,κενοδρομέω,0
53891,κ04743,κενοκοπέω,v,----------,,κενοκοπέω,0
53892,κ04744,κενολογέω,v,----------,,κενολογέω,0
53894,κ04746,κενόλογος,a,aps---cn2-,κενόλογος κενόλογος κενόλογον,κενόλογος,0
53895,κ04747,κενοπάθεια,n,n-s---fn1s,κενοπάθειας,κενοπάθεια,0
53896,κ04748,κενοπαθέω,v,----------,,κενοπαθέω,0
53897,κ04749,κενοπάθημα,n,n-s---nn3t,κενοπαθήματος,κενοπάθημα,0
53898,κ04750,κενοπονέω,v,----------,,κενοπονέω,0
53899,κ04751,κενόπρησις,n,n-s---fn3v,κενοπρησέως,κενόπρησις,0
53901,κ04754,κενός,a,aps---mn1-,κενός κενή κενόν,κενός,0
53903,κ04756,κενοσπουδέω,v,----------,,κενοσπουδέω,0
53905,κ04758,κενόσπουδος,a,aps---cn2-,κενόσπουδος κενόσπουδος κενόσπουδον,κενόσπουδος,0
53906,κ04759,κενοταφέω,v,----------,,κενοταφέω,0
53907,κ04760,κενοτάφιον,n,n-s---nn2-,κενοταφίου,κενοτάφιον,0
53908,κ04761,κενότης,n,n-s---fn3t,κενότητος,κενότης,0
53909,κ04762,κενοφροσύνη,n,----------,,κενοφροσύνη,0
53910,κ04763,κενοφωνέω,v,----------,,κενοφωνέω,0
53912,κ04765,κενόω,v,----------,,κενόω,0
53913,κ04766,κένσαι,n,----------,,κένσαι,0
53914,κ04767,κενταύρειον,n,n-s---nn2-,κενταυρείου,κενταύρειον,0
53916,,Κενταυρίδης,n,n-s---mn1e,Κενταυρίδου,Κενταυρίδης,0
53918,κ04768,κενταυρίς,n,n-s---fn3d,κενταυρίδος,κενταυρίς,0
53919,κ04769,κενταυροκτόνος,a,aps---cn2-,κενταυροκτόνος κενταυροκτόνος κενταυροκτόνον,κενταυροκτόνος,0
53920,κ04770,κενταυρομαχία,n,n-s---fn1l,κενταυρομαχίας,κενταυρομαχία,0
53922,,Κένταυρος,n,n-s---cn2-,Κενταύρου,Κένταυρος,0
53923,,Κενταυροφόνος,n,n-s---mn2-,Κενταυροφόνου,Κενταυροφόνος,0
53924,κ04772,κεντάω,v,v1spia--2a,,κεντάω,0
53925,κ04773,κεντέω,v,----------,,κεντέω,0
53926,κ04774,κέντημα,n,n-s---nn3t,κεντήματος,κέντημα,0
53927,κ04777,κεντηνάριος,n,n-s---mn2-,κεντηναρίου,κεντηνάριος,0
53929,κ04776,κεντηνάριον,n,n-s---nn2-,κεντηναρίου,κεντηνάριον,0
53930,κ04778,κέντησις,n,n-s---fn3v,κεντησέως,κέντησις,0
53932,κ04780,κεντητής,n,n-s---mn1e,κεντητού,κεντητής,0
53986,κ04834,κεραίνω,v,----------,,κεραίνω,0
53882,κ04734,κενεών,n,n-s---mn3n,κενεῶνος,κενεών,0
53935,κ04783,κέντιον,n,----------,,κέντιον,0
53936,κ04784,κέντο,n,----------,,κέντο,0
53937,κ04785,κεντορίων,n,n-s---mn3n,κεντορίωνος,κεντορίων,0
53938,κ04786,κεντόω,v,----------,,κεντόω,0
53940,κ04788,κεντρηνεκής,a,aps---cn5s,κεντρηνεκής κεντρηνεκής κεντρηνεκές,κεντρηνεκής,0
53941,κ04789,κεντριάδαι,n,----------,,κεντριάδαι,0
