f limestone districts,"2158,2172"
5903,00953090,n,9,an order in the subclass Acnidosporidia,"2158,2172,2188"
5901,00952784,n,9,chief genus of the order Sarcosporidia,"2158,2172"
5902,00952938,n,9,parasite of the muscles of vertebrates,"2158,2172"
5906,00953629,n,9,parasites of worms,"2158,2172,2188"
5904,00953249,n,9,parasite in invertebrates and lower vertebrates of no known economic importance,"2158,2172"
5905,00953408,n,9,single-host parasites of lower vertebrates and invertebrates,"2158,2172"
5908,00953865,n,9,an order in the subclass Cnidosporidia,"2158,2172,2188"
5907,00953767,n,9,parasites of worms,"2158,2172"
5910,00954171,n,9,an order in the subclass Cnidosporidia,"2158,2172,2188"
5909,00954023,n,9,parasite of arthropods and fishes that invade and destroy host cells,"2158,2172"
5913,00954627,n,9,multinucleate sheet of cytoplasm characteristic of some stages of such organisms as slime molds,2158
5911,00954327,n,9,mostly parasitic in fishes and including various serious pathogens,"2158,2172"
5912,00954472,n,9,temporary outgrowth used by some microorganisms as an organ of feeding or locomotion,2233
5914,00954779,n,9,an extensive group of teleost fishes having fins supported by flexible cartilaginous rays,"2158,2188"
5915,00955204,n,9,any fish of the superorder Malacopterygii,"2158,2188"
5916,00955796,n,9,in some classifications considered a superorder comprising the Cypriniformes and the Siluriformes,"2158,2188"
5917,00955973,n,9,any of various families of fish,"2158,2188"
5918,00959105,n,9,any of various genus of fish,"2158,2188"
5920,00964742,n,9,a soft-finned fish of the order Cypriniformes,"2158,2188"
5921,00964995,n,9,loaches,"2158,2188"
5922,00965115,n,9,slender freshwater fishes of Eurasia and Africa resembling catfishes,"2158,2188"
5923,00965254,n,9,a family of fish including: carp; tench; roach; rudd; dace,"2158,2188"
5924,00965655,n,9,soft-finned mainly freshwater fishes typically having toothless jaws and cycloid scales,"2158,2188"
5871,00947634,n,9,a phylum in the kingdom Protoctista,"2158,2172,2188"
5926,00966173,n,9,type genus of the family Cyprinidae: carp,"2158,2188"
5928,00966676,n,9,scaleless domestic carp,"2158,2188"
5929,00966758,n,9,domestic carp with some large large shining scales,"2158,2188"
5930,00966866,n,9,European fishes,"2158,2188"
5931,00966989,n,9,European freshwater fish having a flattened body and silvery scales; of little value as food,"2158,2188"
5932,00967177,n,9,tench,"2158,2188"
5933,00967286,n,9,freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water,"2158,2188"
5934,00967471,n,9,"a genus of fish including: dace, chub","2158,2188"
5935,00967639,n,9,small European freshwater fish with a slender bluish-green body,"2158,2188"
5936,00967794,n,9,European freshwater game fish with a thick spindle-shaped body,"2158,2188"
5937,00967947,n,9,any of numerous small silvery North American cyprinid fishes especially of the genus Notropis,"2158,2188"
5938,00968147,n,9,shiners,"2158,2188"
5939,00968264,n,9,small blunt-nosed fish of Great Lakes and Mississippi valley with a greenish luster,"2158,2188"
5940,00968432,n,9,the common North American shiner,"2158,2188"
5941,00968577,n,9,golden shiners,"2158,2188"
5956,00970686,n,9,type genus of the family Electrophoridae; electric eels,"2158,2188"
5943,00968857,n,9,roaches,"2158,2188"
5944,00968972,n,9,European freshwater food fish having a greenish back,"2158,2188"
5945,00969113,n,9,rudds,"2158,2188"
5946,00969232,n,9,European freshwater fish resembling the roach,"2158,2188"
5947,00969377,n,9,minnows,"2158,2188"
5948,00969494,n,9,very small European freshwater fish common in gravelly streams,"2158,2188"
5949,00969648,n,9,true gudgeons,"2158,2188"
5950,00969765,n,9,small slender European freshwater fish often used as bait by anglers,"2158,2188"
5951,00969920,n,9,goldfish,"2158,2188"
5952,00970059,n,9,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,"2158,2188"
5953,00970258,n,9,a silvery variety of Carassius auratus,"2158,2188"
5954,00970353,n,9,European carp closely resembling wild goldfish,"2158,2188"
5955,00970520,n,9,small family comprising the electric eels,"2158,2188"
5957,00970861,n,9,eel-shaped freshwater fish of South America having electric organs in its body,"2158,2188"
5958,00971042,n,9,suckers; closely related to the family Cyprinidae,"2158,2188"
5959,00971305,n,9,a cypriniform fish of the family Catostomidae,"2158,2188"
5960,00971444,n,9,mostly North American freshwater fishes with a thick-lipped mouth for feeding by suction; related to carps,"2158,2188"
5961,00971695,n,9,type genus of the family Catostomidae,"2158,2188"
5962,00971827,n,9,buffalo fishes,"2158,2188"
5963,00971951,n,9,any of several large suckers of the Mississippi valley,"2158,2188"
5964,00972115,n,9,fish of the lower Mississippi,"2158,2188"
5965,00972240,n,9,a genus of fish in the family Catostomidae,"2158,2188"
5966,00972379,n,9,widely distributed in warm clear shallow streams,"2158,2188"
5967,00972521,n,9,a genus of fish in the family Catostomidae,"2158,2188"
5968,00972675,n,9,North American sucker with reddish fins,"2158,2188"
5969,00972806,n,9,large family of small soft-finned fishes; killifishes; flagfishes; swordtails; guppies,"2158,2188"
5970,00973112,n,9,any member of the family Cyprinodontidae,"2158,2188"
5971,00973283,n,9,small mostly marine warm-water carp-like schooling fishes; used as bait or aquarium fishes or in mosquito control,"2158,2188"
5972,00973524,n,9,killifish,"2158,2188"
5973,00973662,n,9,silver-and-black killifish of saltwater marshes along the United States Atlantic coast,"2158,2188"
5974,00973847,n,9,black-barred fish of bays and coastal marshes of United States Atlantic and Gulf coasts,"2158,2188"
5975,00974046,n,9,killifish,"2158,2188"
5976,00974153,n,9,found in small streams of tropical America; often kept in aquariums; usually hermaphroditic,"2158,2188"
5977,00974317,n,9,flagfishes,"2158,2188"
5978,00974441,n,9,flagfish with a dark-blue back and whitish sides with red stripes; found in swamps and streams of Florida,"2158,2188"
5979,00974662,n,9,swordtails,"2158,2188"
5980,00974788,n,9,freshwater fish of Central America having a long swordlike tail; popular aquarium fish,"2158,2188"
5981,00974993,n,9,guppies,"2158,2188"
5982,00975091,n,9,small freshwater fish of South America and West Indies; often kept in aquariums,"2158,2188"
5983,00975260,n,9,topminnows,"2158,2188"
5942,00968688,n,9,"shiner of eastern North America having golden glints; sometimes also called ""bream""","2158,2188"
5985,00975745,n,9,mosquitofish,"2158,2188"
5986,00975867,n,9,silvery topminnow with rows of black spots of tropical North America and West Indies; important in mosquito control,"2158,2188"
5987,00976079,n,9,platys,"2158,2188"
5988,00976205,n,9,small stocky Mexican fish; popular aquarium fish,"2158,2188"
5989,00976350,n,9,mollies,"2158,2188"
5990,00976473,n,9,popular aquarium fish,"2158,2188"
5991,00976574,n,9,an order of spiny-finned fish in the superorder Acanthopterygii,"2158,2188"
5992,00976774,n,9,squirrelfishes and soldierfishes,"2158,2188"
5993,00976946,n,9,type genus of the family Holocentridae; squirrelfishes,"2158,2188"
5994,00977154,n,9,very small brightly colored (esp. red) nocturnal fishes of shallow waters of tropical reefs; they make sounds like a squirrel's bark,"2158,2188"
5995,00977436,n,9,on reefs from Bermuda and Florida to northern South America,"2158,2188"
5996,00977601,n,9,a squirrelfish found from South Carolina to Bermuda and Gulf of Mexico,"2158,2188"
5997,00977781,n,9,bright red fish of West Indies and Bermuda,"2158,2188"
5998,00977912,n,9,the larger squirrelfishes,"2158,2188"
5999,00977995,n,9,a family of fish including: flashlight fishes,"2158,2188"
6000,00978197,n,9,type genus of the family Anomalopidae,"2158,2188"
6001,00978334,n,9,fish having a luminous organ beneath eye; of warm waters of the western Pacific and Puerto Rico,"2158,2188"
6002,00978522,n,9,a genus of fish in the family Anomalopidae,"2158,2188"
6003,00978671,n,9,a genus of fish in the family Anomalopidae,"2158,2188"
6004,00978816,n,9,fish of deep dark waters having a light organ below each eye,"2158,2188"
6005,00978967,n,9,dories,"2158,2188"
6006,00979104,n,9,a family of fish in the order Zeomorphi,"2158,2188"
6007,00979269,n,9,marine fishes widely distributed in mid-waters and deep slope waters,"2158,2188"
6008,00979425,n,9,type genus of the family Zeidae,"2158,2188"
6009,00979558,n,9,European dory,"2158,2188"
6010,00979659,n,9,boarfishes,"2158,2188"
6011,00979801,n,9,a genus of fish in the family Caproidae,"2158,2188"
6012,00979946,n,9,fish with a projecting snout,"2158,2188"
6013,00980062,n,9,a genus of fish in the family Caproidae,"2158,2188"
6014,00980213,n,9,long-snouted fishes with large eyes,"2158,2188"
6016,00980730,n,9,cornetfishes,"2158,2188"
6017,00980863,n,9,type genus of the family Fistulariidae,"2158,2188"
6018,00981015,n,9,slender tropical fish with a long tubular snout and bony plates instead of scales,"2158,2188"
6019,00981172,n,9,sticklebacks,"2158,2188"
6020,00981326,n,9,small (2-4 inches) pugnacious mostly scaleless spiny-backed fishes of northern fresh and littoral waters having elaborate courtship; subjects of much research,"2158,2188"
6021,00981611,n,9,type genus of the family Gasterosteidae,"2158,2188"
6022,00981787,n,9,of rivers and coastal regions,"2158,2188"
6023,00981931,n,9,confined to rivers,"2158,2188"
6024,00982062,n,9,pipefishes,"2158,2188"
6025,00982248,n,9,fish with long tubular snout and slim body covered with bony plates,"2158,2188"
6040,00984538,n,9,hairlike projection from the surface of a cell; provides locomotion in free unicellular organisms,2233
6027,00982607,n,9,small (4 inches) fish found off Florida gulf coast,"2158,2188"
6028,00982762,n,9,a genus of fish in the family Syngnathidae,"2158,2188"
6029,00982920,n,9,8 inches; from eastern Florida to western Caribbean,"2158,2188"
6030,00983079,n,9,seahorses,"2158,2188"
6031,00983204,n,9,small fish with horselike heads bent sharply downward and curled tails; swim in upright position,"2158,2188"
6032,00983386,n,9,bellows fishes,"2158,2188"
6033,00983529,n,9,small bottom-dwelling fish of warm seas having a compressed body and a long snout with a toothless mouth,"2158,2188"
6034,00983723,n,9,shrimpfishes,"2158,2188"
6035,00983854,n,9,slender tropical shallow-water East Indian fish covered with transparent plates,"2158,2188"
6036,00984009,n,9,trumpetfishes,"2158,2188"
6037,00984141,n,9,type genus of the Aulostomidae,"2158,2188"
6038,00984285,n,9,tropical Atlantic fish with a long snout; swims snout down,"2158,2188"
6041,00984688,n,9,"long lash-like appendage used for locomotion (e.g., in sperm cells and some protozoa)",2233
6039,00984443,n,9,mouth of a protozoan,2233
6042,00984867,n,9,organ of excretion in flatworms,"2188,2233"
6026,00982456,n,9,type genus of the family Syngnathidae,"2158,2188"
6047,00985654,n,9,a layer of cells on the inside of the blastula,2233
6046,00985510,n,9,the cavity inside a blastula,"2188,2233"
6048,00985802,n,9,any cell resulting from cleavage of a fertilized egg,2158
6049,00985911,n,9,an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal,2233
6053,00986828,n,9,egg-laying tubular structure at the end of the abdomen in many female insects and some fishes,2233
6050,00986174,n,9,(medicine) a grossly malformed and usually nonviable fetus,"2232,2233"
6080,00990967,n,9,a flexible rodlike structure that forms the supporting axis of the body in the lowest chordates and lowest vertebrates and in embryos of higher vertebrates,2233
6054,00986978,n,9,one of two spiral bands of tissue connecting the egg yolk to the enclosing membrane at either end of the shell,2233
6056,00987330,n,9,the mass of eggs deposited by fish or amphibians or molluscs,2158
6044,00985104,n,9,thin protective membrane in some protozoa,2233
6057,00987460,n,9,the eggs or egg-laden ovary of a fish,2158
6058,00987547,n,9,the egg mass or spawn of certain crustaceans such as the lobster,2158
6062,00988197,n,9,the opening into the archenteron,2233
6059,00987661,n,9,early stage of an embryo produced by cleavage of an ovum; a hollow sphere whose wall is composed of a single layer of cells,"2158,2188"
6060,00987896,n,9,double-walled stage of the embryo succeeding the blastula,"2158,2188"
6061,00988027,n,9,central cavity of the gastrula; becomes the intestinal or digestive cavity,"2188,2233"
6076,00990236,n,9,canine tooth of a carnivorous animal; used to seize and tear its prey,2233
6071,00989531,n,9,eggs of a silkworm,2158
6064,00988447,n,9,tissue in an embryo,
6065,00988547,n,9,(embryology) any of the 3 layers of cells differentiated in embryos following gastrulation,
6066,00988748,n,9,the outer germ layer that develops into skin and nervous tissue,
6067,00988878,n,9,the middle germ layer that develops into muscle and bone and cartilage and blood and connective tissue,
6068,00989083,n,9,the area of mesoderm that forms the notochord,
6069,00989206,n,9,mesodermal tissue that forms connective tissue and blood and smooth muscles,
6070,00989338,n,9,the inner germ layer that develops into the lining of the digestive and respiratory systems,
6074,00989949,n,9,membranous structure that functions as the circulatory system in mammal embryos until the heart becomes functional,2233
6072,00989609,n,9,nutritive material of an ovum esp. the yellow mass of a bird or reptile egg,"2158,2354"
6077,00990356,n,9,a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog,2233
6081,00991196,n,9,a notochord of a larval tunicate typically confined to the caudal region,2233
6073,00989754,n,9,membranous structure enclosing the yolk of eggs in birds reptiles marsupials and some fishes; circulates nutrients to the developing embryo,2233
6063,00988305,n,9,thin structure composed of a single thickness of cells,2233
6051,00986324,n,9,a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body,2233
6078,00990507,n,9,comprises true vertebrates and animals having a notochord,"2158,2188"
6079,00990770,n,9,any animal of the phylum Chordata having a notochord or spinal column,"2158,2188"
6075,00990118,n,9,hollow or grooved tooth a venomous snake; used to inject its poison,2233
6082,00991323,n,9,any family in the phylum Chordata,"2158,2188"
6083,00991491,n,9,any genus in the phylum Chordata,"2158,2188"
6084,00991675,n,9,lancelets,"2158,2188"
6085,00991831,n,9,fishlike animals having a notochord rather than a true spinal column,"2158,2188"
6086,00991999,n,9,lancelets,"2158,2188"
6087,00992170,n,9,type genus of the Amphioxidae,"2158,2188"
6088,00992299,n,9,small translucent lancet-shaped burrowing marine animal; primitive forerunner of the vertebrates,"2158,2188"
6089,00992481,n,9,tunicates,"2158,2188"
6090,00992733,n,9,primitive marine animal having a saclike unsegmented body and a urochord (a notochord) conspicuous in the larva,"2158,2188"
6055,00987161,n,9,egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing,2158
6092,00993213,n,9,minute sedentary marine invertebrate having a saclike body with siphons through which water enters and leaves,"2158,2188"
6424,01064647,n,9,towhees,"2158,2188"
6091,00993033,n,9,sometimes classified as an order: sea squirts,"2158,2188"
6094,00993533,n,9,small class of free-swimming tunicates; sometimes classified as an order,"2158,2188"
6095,00993736,n,9,a small family of tunicates in the class Thaliacea,"2158,2188"
6096,00993897,n,9,type (perhaps sole) genus of the Salpidae,"2158,2188"
6098,00994197,n,9,oceanic tunicates,"2158,2188"
6099,00994329,n,9,type genus of the Doliolidae,"2158,2188"
6100,00994456,n,9,free-swimming oceanic tunicate with a barrel-shaped transparent body,"2158,2188"
