id,type,source,target
92199,\,67935,20689
92200,\,20779,20780
92201,\,20854,20857
92202,\,20858,20857
92203,\,20855,20857
92204,\,20859,20857
92205,\,20856,20857
92206,\,20860,21284
92207,\,20861,21284
92208,\,20865,21284
92209,\,36870,19444
92210,\,21289,21286
92211,\,21290,21286
92212,\,21291,21286
92213,\,21292,21286
92214,\,21293,21286
92215,\,21295,21286
92216,\,21296,21286
92217,\,21211,21298
92218,\,21671,21704
92219,\,21672,21704
92220,\,21673,21704
92221,\,21674,21704
92222,\,21675,21704
92223,\,21676,21704
92224,\,21677,21704
92225,\,21678,21704
92226,\,21679,21704
92227,\,21705,21713
92228,\,21706,21713
92229,\,21707,21713
92230,\,21708,21713
92231,\,21709,21713
92232,\,21710,21713
92233,\,21711,21713
92234,\,21712,21713
92235,\,21714,21713
92236,\,21716,21713
92237,\,21717,21713
92238,\,21718,21713
92239,\,20206,20208
92240,\,20209,20208
92241,\,20211,20208
92242,\,20216,20208
92243,\,20236,20208
92244,\,20237,20208
92245,\,20206,20211
92246,\,20209,20211
92247,\,20211,20211
92248,\,20216,20211
92249,\,20236,20211
92250,\,20237,20211
92251,\,20133,20130
92252,\,20134,20130
92253,\,20135,20130
92254,\,20138,20130
92255,\,20143,20130
92256,\,20146,20130
92257,\,20147,20130
92258,\,20152,20130
92259,\,20454,20458
92260,\,20469,20557
92261,\,20751,111914
92262,\,20752,111914
92263,\,20432,20435
92264,\,20433,20435
92265,\,20434,20435
92266,\,20437,20435
92267,\,20438,20435
92268,\,20439,20435
92269,\,20943,20942
92270,\,100574,20942
92271,\,20943,20949
92272,\,20938,111916
92273,\,524,21065
92274,\,4142,21065
92275,\,17958,21065
92276,\,19322,21065
92277,\,19570,21065
92278,\,21069,21065
92279,\,21071,21065
92280,\,21073,21065
92281,\,21078,21065
92282,\,21083,21065
92283,\,21091,21065
92284,\,24818,21065
92285,\,36955,21065
92286,\,36956,21065
92287,\,40892,21065
92288,\,41316,21065
92289,\,1921,21092
92290,\,21095,21092
92291,\,21096,21092
92292,\,21098,21092
92293,\,21099,21092
92294,\,21100,21092
92295,\,21101,21092
92296,\,46623,21092
92297,\,51183,21092
92298,\,110918,21092
92299,\,79838,21106
92300,\,79838,21170
92301,\,19324,21263
92302,\,21373,21358
92303,\,111918,21358
92304,\,21375,21358
92305,\,21393,21390
92306,\,21556,21557
92307,\,21566,21557
92308,\,21573,21557
92309,\,21288,21286
92310,\,21601,21557
92311,\,21556,21666
92312,\,21566,21666
92313,\,21574,21666
92314,\,21573,21666
92315,\,21582,21666
92316,\,21598,21666
92317,\,21601,21666
92318,\,21642,21643
92319,\,21682,21683
92320,\,112092,21724
92321,\,20130,20767
92322,\,111914,20767
92323,\,20756,20767
92324,\,20732,20767
92325,\,20719,20767
92326,\,20130,21699
92327,\,111914,21699
92328,\,20756,21699
92329,\,20732,21699
92330,\,20719,21699
92331,\,21882,21865
92332,\,19639,21910
92333,\,22122,22111
92334,\,22124,22111
92335,\,22489,22491
92336,\,22496,22503
92337,\,22496,22502
92338,\,22547,22564
92339,\,1064,22624
92340,\,1063,22624
92341,\,45955,22624
92342,\,22625,22626
92343,\,22627,22626
92344,\,22628,22626
92345,\,106662,22626
92346,\,22306,111919
92347,\,22312,111919
92348,\,22632,111919
92349,\,22641,111919
92350,\,23336,23334
92351,\,23339,23334
92352,\,23341,23334
92353,\,23342,23334
92354,\,23344,23334
92355,\,23345,23334
92356,\,23346,23334
92357,\,23347,23334
92358,\,23348,23334
92359,\,1290,25354
92360,\,25273,25354
92361,\,25301,25354
92362,\,30101,25354
92363,\,25501,25500
92364,\,25502,25500
92365,\,25503,25500
92366,\,25511,25500
92367,\,25513,25500
92368,\,25998,26012
92369,\,26002,26012
92370,\,33326,26012
92371,\,37175,26012
92372,\,26117,26116
92373,\,26118,26116
92374,\,26119,26116
92375,\,26120,26116
92376,\,26121,26116
92377,\,26122,26116
92378,\,26123,26116
92379,\,26124,26116
92380,\,26125,26116
92381,\,26126,26116
92382,\,26128,26116
92383,\,26130,26116
92384,\,26208,26205
92385,\,26283,26359
92386,\,26364,26377
92387,\,26376,26377
92388,\,26375,26377
92389,\,26366,26377
92390,\,26365,26377
92391,\,26382,26380
92392,\,26399,26380
92393,\,26408,26380
92394,\,74302,26380
92395,\,26382,26391
92396,\,26399,26391
92397,\,26408,26391
92398,\,74302,26391
92399,\,26469,26475
92400,\,26471,26475
92401,\,26520,26513
92402,\,26908,26909
92403,\,26922,26909
92404,\,27985,27428
92405,\,21813,21823
92406,\,22325,21823
92407,\,41355,21823
92408,\,21930,21928
92409,\,21598,21557
92410,\,21930,22006
92411,\,21931,22006
92412,\,21934,22006
92413,\,21930,22088
92414,\,21931,22088
92415,\,21934,22088
92416,\,22099,22100
92417,\,22525,22527
92418,\,22717,22715
92419,\,22714,22715
92420,\,22710,22715
92421,\,106664,22715
92422,\,68860,22715
92423,\,22177,22176
92424,\,22177,22274
92425,\,111927,111926
92426,\,23460,23470
92427,\,23461,23470
92428,\,23462,23470
92429,\,23463,23470
92430,\,23464,23470
92431,\,23465,23470
92432,\,23466,23470
92433,\,23467,23470
92434,\,23468,23470
92435,\,23469,23470
92436,\,23461,23589
92437,\,23462,23589
92438,\,23463,23589
92439,\,23464,23589
92440,\,23465,23589
92441,\,23466,23589
92442,\,23467,23589
92443,\,23468,23589
92444,\,23469,23589
92445,\,24207,24204
92446,\,24207,25182
92447,\,24207,23319
92448,\,25334,25334
92449,\,25467,25466
92450,\,11793,26194
92451,\,30109,26194
92452,\,95626,26194
92453,\,103029,26194
92454,\,11793,26189
92455,\,30109,26189
92456,\,95626,26189
92457,\,103029,26189
92458,\,103944,26189
92459,\,26215,26214
92460,\,26568,26563
92461,\,26568,26562
92462,\,18305,26575
92463,\,26573,26575
92464,\,26574,26575
92465,\,62761,26575
92466,\,26628,26665
92467,\,26640,26665
92468,\,14428,26786
92469,\,48277,26786
92470,\,73301,26786
92471,\,95643,26786
92472,\,26793,26809
92473,\,26794,26809
92474,\,26795,26809
92475,\,26796,26809
92476,\,26797,26809
92477,\,26798,26809
92478,\,26799,26809
92479,\,26800,26809
92480,\,26801,26809
92481,\,26802,26809
92482,\,26803,26809
92483,\,26804,26809
92484,\,26805,26809
92485,\,26806,26809
92486,\,26807,26809
92487,\,26808,26809
92488,\,26810,26809
92489,\,26727,26724
92490,\,26825,26828
92491,\,26826,26828
92492,\,26831,26828
92493,\,26832,26828
92494,\,26824,26699
92495,\,26825,26699
92496,\,26826,26699
92497,\,26831,26699
92498,\,26832,26699
92499,\,26813,26856
92500,\,26818,26856
92501,\,26917,26922
92502,\,26918,26922
92503,\,26920,26922
92504,\,26921,26922
92505,\,26923,26922
92506,\,26924,26922
92507,\,1407,27415
92508,\,1143,111945
92509,\,21934,21928
92510,\,16541,111945
92511,\,28081,28080
92512,\,28082,28080
92513,\,28083,28080
92514,\,28084,28080
92515,\,28085,28080
92516,\,28086,28080
92517,\,28087,28080
92518,\,28093,28134
92519,\,29125,29124
92520,\,29411,29419
92521,\,29453,29452
92522,\,1497,29296
92523,\,29293,29296
92524,\,29299,29296
92525,\,29298,29296
92526,\,41481,29296
92527,\,85169,29296
92528,\,29353,29349
92529,\,29116,29109
92530,\,29127,29109
92531,\,28687,28692
92532,\,8978,31022
92533,\,24958,31022
92534,\,75635,31022
92535,\,83423,31022
92536,\,102722,31022
92537,\,8978,31451
92538,\,24958,31451
92539,\,75635,31451
92540,\,83423,31451
92541,\,95829,31451
92542,\,102722,31451
92543,\,8978,112152
92544,\,24958,112152
92545,\,75635,112152
92546,\,83423,112152
92547,\,95829,112152
92548,\,102722,112152
92549,\,31486,31473
92550,\,5257,31793
92551,\,7649,31793
92552,\,9022,33660
92553,\,36552,33660
92554,\,75717,33660
92555,\,95912,33660
92556,\,102769,33660
92557,\,33679,33678
92558,\,33680,33678
92559,\,35235,35494
92560,\,35239,35494
92561,\,35240,35494
92562,\,36610,35494
92563,\,36562,36561
92564,\,36993,36992
92565,\,37375,37381
92566,\,37376,37381
92567,\,37377,37381
92568,\,37378,37381
92569,\,37379,37381
92570,\,37380,37381
92571,\,9088,38013
92572,\,96115,38013
92573,\,40061,40067
92574,\,40063,40067
92575,\,40064,40067
92576,\,40065,40067
92577,\,40066,40067
92578,\,40068,40067
92579,\,40069,40067
92580,\,72960,39962
92581,\,40094,40095
92582,\,40097,40095
92583,\,40098,40095
92584,\,40099,40095
92585,\,40100,40095
92586,\,40101,40095
92587,\,40802,40795
92588,\,41066,41065
92589,\,7884,43439
92590,\,53253,43439
92591,\,83657,43439
92592,\,96331,43439
92593,\,7884,43442
92594,\,9147,43442
92595,\,53253,43442
92596,\,83657,43442
92597,\,96331,43442
92598,\,43462,43463
92599,\,43464,43463
92600,\,43465,43463
92601,\,29815,31304
92602,\,29824,31304
92603,\,29905,31304
92604,\,40423,40417
92605,\,40423,40456
92606,\,40699,40698
92607,\,40778,40755
92608,\,40773,40755
92609,\,11748,111945
92610,\,40758,40755
92611,\,40769,40755
92612,\,43384,40755
92613,\,7967,40755
92614,\,96271,40755
92615,\,69945,40755
92616,\,40756,40755
92617,\,111974,40839
92618,\,40841,40857
92619,\,40844,40857
92620,\,40843,40857
92621,\,40850,40857
92622,\,40851,40857
92623,\,43713,43712
92624,\,69949,43712
92625,\,106519,43712
92626,\,28217,28219
92627,\,28220,28219
92628,\,28429,28407
92629,\,28500,28407
92630,\,28510,28407
92631,\,28429,28594
92632,\,28500,28594
92633,\,28510,28594
92634,\,28939,28938
92635,\,29054,29059
92636,\,29056,29059
92637,\,29057,29059
92638,\,29058,29059
92639,\,29060,29059
92640,\,29047,29061
92641,\,44448,29061
92642,\,29044,30021
92643,\,29046,30021
92644,\,29061,30021
92645,\,29048,30021
92646,\,29059,30021
92647,\,44448,30021
92648,\,29044,31513
92649,\,29046,31513
92650,\,29061,31513
92651,\,29048,31513
92652,\,29059,31513
92653,\,44448,31513
92654,\,31696,31694
92655,\,31696,31749
92656,\,31696,31954
92657,\,32005,32015
92658,\,32592,32604
92659,\,32778,32784
92660,\,32779,32784
92661,\,32780,32784
92662,\,32781,32784
92663,\,32782,32784
92664,\,32783,32784
92665,\,29385,34027
92666,\,112153,34027
92667,\,107597,39748
92668,\,105993,39748
92669,\,105992,39748
92670,\,39664,39697
92671,\,14027,40041
92672,\,59765,40041
92673,\,111914,40041
92674,\,20756,40041
92675,\,59763,40041
92676,\,33496,40041
92677,\,33493,40041
92678,\,33494,40041
92679,\,39989,40041
92680,\,39991,40041
92681,\,40006,40041
92682,\,40013,40041
92683,\,40052,40041
92684,\,40349,40335
92685,\,40349,40334
92686,\,40438,40442
92687,\,40439,40442
92688,\,40440,40442
92689,\,40441,40442
92690,\,40444,40442
92691,\,41605,40442
92692,\,31782,40862
92693,\,85571,40862
92694,\,11274,40862
92695,\,25103,40862
92696,\,29576,40862
92697,\,36648,40862
92698,\,53197,40862
92699,\,75824,40862
92700,\,77648,40862
92701,\,85509,40862
92702,\,96253,40862
92703,\,41032,41036
92704,\,41033,41036
92705,\,41034,41036
92706,\,41035,41036
92707,\,99132,41055
92708,\,95679,28955
92709,\,40762,40755
92710,\,17214,31896
92711,\,27244,31896
92712,\,31879,31896
92713,\,31888,31896
92714,\,31895,31896
92715,\,31897,31896
92716,\,31901,31896
92717,\,31916,31896
92718,\,31918,31896
92719,\,31919,31896
92720,\,31920,31896
92721,\,35089,31896
92722,\,35093,31896
92723,\,43354,31896
92724,\,43361,31896
92725,\,49225,31896
92726,\,49544,31896
92727,\,49646,31896
92728,\,81056,31896
92729,\,83452,31896
92730,\,83543,31896
92731,\,31720,32035
92732,\,31745,32035
92733,\,31714,32035
92734,\,31715,32035
92735,\,31716,32035
92736,\,31718,32035
92737,\,31719,32035
92738,\,31722,32035
92739,\,31723,32035
92740,\,31724,32035
92741,\,31877,32035
92742,\,31720,35361
92743,\,31745,35361
92744,\,31714,35361
92745,\,31715,35361
92746,\,31716,35361
92747,\,31717,35361
92748,\,31718,35361
92749,\,31719,35361
92750,\,31722,35361
92751,\,31723,35361
92752,\,31724,35361
92753,\,31877,35361
92754,\,40375,40381
92755,\,40377,40381
92756,\,40425,40388
92757,\,40514,40513
92758,\,43843,43854
92759,\,43854,43854
92760,\,43858,43854
92761,\,43863,43854
92762,\,43864,43854
92763,\,43868,43854
92764,\,43873,43854
92765,\,43970,43854
92766,\,43972,43854
92767,\,43979,43854
92768,\,43980,43854
92769,\,43838,43858
92770,\,44021,44003
92771,\,44028,44003
92772,\,44028,44097
92773,\,44066,44070
92774,\,44067,44070
92775,\,44068,44070
92776,\,44069,44070
92777,\,44070,44070
92778,\,44071,44070
92779,\,44072,44070
92780,\,43897,43894
92781,\,43898,43894
92782,\,43899,43894
92783,\,43903,43894
92784,\,44046,44031
92785,\,44047,44031
92786,\,44049,44031
92787,\,44030,44031
92788,\,44050,44031
92789,\,44051,44031
92790,\,44087,44091
92791,\,44091,44159
92792,\,44087,44159
92793,\,45336,45341
92794,\,8070,44474
92795,\,25703,44474
92796,\,27359,44474
92797,\,41652,44474
92798,\,44472,44474
92799,\,44473,44474
92800,\,81090,44474
92801,\,93064,44474
92802,\,106532,44474
92803,\,110300,44474
92804,\,44269,44281
92805,\,44270,44281
92806,\,44271,44281
92807,\,44273,44281
92808,\,44277,44281
92809,\,7659,31896
92810,\,44280,44281
92811,\,16438,44629
92812,\,43445,44629
92813,\,43441,44629
92814,\,43442,44629
92815,\,41656,44629
92816,\,41657,44629
92817,\,41658,44629
92818,\,25202,44629
92819,\,44636,44629
92820,\,44637,44629
92821,\,44651,44629
92822,\,44674,44629
92823,\,48468,44629
92824,\,48469,44629
92825,\,49288,44629
92826,\,62397,44629
92827,\,71952,44629
92828,\,44865,44872
92829,\,44867,44872
92830,\,44868,44872
92831,\,44869,44872
92832,\,44870,44872
92833,\,44871,44872
92834,\,110303,45058
92835,\,110303,45057
92836,\,44488,44486
92837,\,44490,44486
92838,\,37287,45178
92839,\,43418,44252
92840,\,44300,44292
92841,\,44384,44383
92842,\,44385,44383
92843,\,45234,45249
92844,\,45237,45249
92845,\,45239,45249
92846,\,45241,45249
92847,\,45247,45249
92848,\,44433,44448
92849,\,44629,44619
92850,\,62147,45291
92851,\,37290,45380
92852,\,45382,45381
92853,\,45383,45381
92854,\,45385,45381
92855,\,45386,45381
92856,\,45387,45381
92857,\,45388,45381
92858,\,45389,45381
92859,\,45390,45381
92860,\,45391,45381
92861,\,45392,45381
92862,\,45393,45381
92863,\,45394,45381
92864,\,45395,45381
92865,\,45396,45381
92866,\,45397,45381
92867,\,45398,45381
92868,\,45399,45381
92869,\,1749,45518
92870,\,1750,45518
92871,\,27387,45518
92872,\,45513,45518
92873,\,45515,45518
92874,\,45516,45518
92875,\,45521,45518
92876,\,45523,45518
92877,\,41697,45544
92878,\,45535,45544
92879,\,45537,45544
92880,\,45538,45544
92881,\,45543,45544
92882,\,45547,45544
92883,\,46217,45590
92884,\,112125,45628
92885,\,5412,45628
92886,\,46036,46121
92887,\,6076,46126
92888,\,9027,46126
92889,\,9079,46126
92890,\,9643,46126
92891,\,9336,46126
92892,\,11898,46126
92893,\,23270,46126
92894,\,29595,46126
92895,\,30217,46126
92896,\,33002,46126
92897,\,33652,46126
92898,\,36435,46126
92899,\,36482,46126
92900,\,36561,46126
92901,\,38516,46126
92902,\,37324,46126
92903,\,39007,46126
92904,\,44951,46126
92905,\,6076,46178
92906,\,9027,46178
92907,\,9079,46178
92908,\,9643,46178
92909,\,44279,44281
92910,\,23270,46178
92911,\,29595,46178
92912,\,30217,46178
92913,\,33002,46178
92914,\,33652,46178
92915,\,36435,46178
92916,\,36482,46178
92917,\,36561,46178
92918,\,37324,46178
92919,\,39007,46178
92920,\,44951,46178
92921,\,46376,46318
92922,\,46338,46320
92923,\,46351,46320
92924,\,46338,46428
92925,\,46351,46428
92926,\,11922,46490
92927,\,89239,46548
92928,\,46544,46548
92929,\,46545,46548
92930,\,46554,46548
92931,\,46571,46577
92932,\,46572,46577
92933,\,46574,46577
92934,\,46576,46577
92935,\,46578,46577
92936,\,46864,111955
92937,\,46865,111955
92938,\,46866,111955
92939,\,46867,111955
92940,\,46868,111955
92941,\,46869,111955
92942,\,47044,47039
92943,\,47064,47039
92944,\,74536,47039
92945,\,47044,47204
92946,\,47064,47204
92947,\,74536,47204
92948,\,45557,45556
92949,\,45583,45556
92950,\,45557,45589
92951,\,45583,45589
92952,\,1789,45832
92953,\,1788,45832
92954,\,9332,45832
92955,\,11888,45832
92956,\,27391,45832
92957,\,30209,45832
92958,\,33647,45832
92959,\,33646,45832
92960,\,44265,45832
92961,\,44760,45832
92962,\,43757,45832
92963,\,45589,45832
92964,\,45775,45832
92965,\,1789,45888
92966,\,1788,45888
92967,\,1790,45888
92968,\,9332,45888
92969,\,11888,45888
92970,\,27391,45888
92971,\,30209,45888
92972,\,33646,45888
92973,\,44265,45888
92974,\,44760,45888
92975,\,43757,45888
92976,\,45589,45888
92977,\,45775,45888
92978,\,1789,45931
92979,\,1788,45931
92980,\,1790,45931
92981,\,9332,45931
92982,\,11888,45931
92983,\,27391,45931
92984,\,30209,45931
92985,\,33647,45931
92986,\,33646,45931
92987,\,44265,45931
92988,\,44760,45931
92989,\,43757,45931
92990,\,45775,45931
92991,\,46008,46020
92992,\,46074,111957
92993,\,46166,46171
92994,\,46169,46171
92995,\,46198,46217
92996,\,46210,46217
92997,\,46380,46376
92998,\,46528,46536
92999,\,46529,46536
93000,\,46531,46536
93001,\,46533,46536
93002,\,46534,46536
93003,\,46535,46536
93004,\,19050,46618
93005,\,81739,46618
93006,\,111514,46618
93007,\,57879,46618
93008,\,46779,46781
93009,\,11898,46178
93010,\,46783,46781
93011,\,14060,46790
93012,\,80531,46790
93013,\,110343,46790
93014,\,46801,111958
93015,\,46802,111958
93016,\,46815,111958
93017,\,46816,111958
93018,\,46818,111958
93019,\,46820,111958
93020,\,46821,111958
93021,\,46822,111958
93022,\,46831,111958
93023,\,55727,46667
93024,\,46619,46613
93025,\,46595,46613
93026,\,46599,46613
93027,\,46619,46619
93028,\,46595,46619
93029,\,46599,46619
93030,\,46732,46721
93031,\,46893,46888
93032,\,46894,46888
93033,\,46852,46848
93034,\,46853,46848
93035,\,46854,46848
93036,\,46861,46860
93037,\,1913,46993
93038,\,13662,46993
93039,\,16749,46993
93040,\,18331,46993
93041,\,21008,46993
93042,\,25222,46993
93043,\,27415,46993
93044,\,30257,46993
93045,\,33712,46993
93046,\,37381,46993
93047,\,41802,46993
93048,\,49680,46993
93049,\,61468,46993
93050,\,64443,46993
93051,\,70757,46993
93052,\,83588,46993
93053,\,83747,46993
93054,\,47225,47220
93055,\,47224,47220
93056,\,47223,47220
93057,\,47222,47220
93058,\,47225,47218
93059,\,47224,47218
93060,\,47223,47218
93061,\,47222,47218
93062,\,47338,48135
93063,\,48109,48135
93064,\,48115,48135
93065,\,48144,48135
93066,\,48160,48135
93067,\,47299,47325
93068,\,47305,47325
93069,\,47308,47325
93070,\,47314,47325
93071,\,47316,47325
93072,\,27423,47818
93073,\,33757,47818
93074,\,47812,47818
93075,\,47813,47818
93076,\,47814,47818
93077,\,47815,47818
93078,\,47816,47818
93079,\,47819,47818
93080,\,47821,47818
93081,\,47820,47818
93082,\,47823,47818
93083,\,47824,47818
93084,\,47825,47818
93085,\,47826,47818
93086,\,48042,48046
93087,\,48042,48146
93088,\,48170,48175
93089,\,48173,48175
93090,\,48176,48175
93091,\,48167,48175
93092,\,48166,48175
93093,\,48163,48175
93094,\,48456,48455
93095,\,48456,48731
93096,\,48891,48890
93097,\,8531,112172
93098,\,11450,112172
93099,\,41883,112172
93100,\,48936,112172
93101,\,48937,112172
93102,\,48938,112172
93103,\,48939,112172
93104,\,48940,112172
93105,\,112171,112172
93106,\,48943,112172
93107,\,48944,112172
93108,\,48946,112172
93109,\,46782,46781
93110,\,48949,112172
93111,\,48951,112172
93112,\,48952,112172
93113,\,8531,48964
93114,\,11450,48964
93115,\,41883,48964
93116,\,48936,48964
93117,\,48937,48964
93118,\,48939,48964
93119,\,48940,48964
93120,\,112171,48964
93121,\,48943,48964
93122,\,48944,48964
93123,\,48945,48964
93124,\,48946,48964
93125,\,48947,48964
93126,\,48948,48964
93127,\,48949,48964
93128,\,48951,48964
93129,\,48952,48964
93130,\,8531,48966
93131,\,11450,48966
93132,\,41883,48966
93133,\,48936,48966
93134,\,48937,48966
93135,\,48938,48966
93136,\,48940,48966
93137,\,112171,48966
93138,\,48943,48966
93139,\,48944,48966
93140,\,48945,48966
93141,\,48946,48966
93142,\,48947,48966
93143,\,48948,48966
93144,\,48949,48966
93145,\,48951,48966
93146,\,48952,48966
93147,\,8531,112173
93148,\,11450,112173
93149,\,41883,112173
93150,\,48936,112173
93151,\,48937,112173
93152,\,48938,112173
93153,\,48939,112173
93154,\,112171,112173
93155,\,48943,112173
93156,\,48944,112173
93157,\,48945,112173
93158,\,48946,112173
93159,\,48947,112173
93160,\,48948,112173
93161,\,48949,112173
93162,\,48951,112173
93163,\,48952,112173
93164,\,8531,48965
93165,\,11450,48965
93166,\,41883,48965
93167,\,48936,48965
93168,\,48937,48965
93169,\,48938,48965
93170,\,48939,48965
93171,\,48940,48965
93172,\,48943,48965
93173,\,48944,48965
93174,\,48945,48965
93175,\,48946,48965
93176,\,48947,48965
93177,\,48948,48965
93178,\,48949,48965
93179,\,48951,48965
93180,\,48952,48965
93181,\,8531,48972
93182,\,11450,48972
93183,\,41883,48972
93184,\,48936,48972
93185,\,48937,48972
93186,\,48938,48972
93187,\,48939,48972
93188,\,48940,48972
93189,\,112171,48972
93190,\,48944,48972
93191,\,48945,48972
93192,\,48946,48972
93193,\,48947,48972
93194,\,48948,48972
93195,\,48949,48972
93196,\,48951,48972
93197,\,48952,48972
93198,\,8531,48977
93199,\,11450,48977
93200,\,41883,48977
93201,\,48936,48977
93202,\,48937,48977
93203,\,48938,48977
93204,\,48939,48977
93205,\,48940,48977
93206,\,112171,48977
93207,\,48943,48977
93208,\,48945,48977
93209,\,48948,112172
93210,\,48948,48977
93211,\,48949,48977
93212,\,48951,48977
93213,\,48952,48977
93214,\,8531,48986
93215,\,11450,48986
93216,\,41883,48986
93217,\,48936,48986
93218,\,48938,48986
93219,\,48939,48986
93220,\,48940,48986
93221,\,112171,48986
93222,\,48943,48986
93223,\,48944,48986
93224,\,48945,48986
93225,\,48946,48986
93226,\,48947,48986
93227,\,48948,48986
93228,\,48949,48986
93229,\,48951,48986
93230,\,48952,48986
93231,\,47280,47279
93232,\,47280,47553
93233,\,112175,47544
93234,\,47559,112175
93235,\,47624,112175
93236,\,47544,112175
93237,\,112175,112175
93238,\,47581,112175
93239,\,47559,47559
93240,\,47624,47559
93241,\,47590,47559
93242,\,47544,47559
93243,\,112175,47559
93244,\,47581,47559
93245,\,47559,47804
93246,\,47624,47804
93247,\,47590,47804
93248,\,47544,47804
93249,\,112175,47804
93250,\,47581,47804
93251,\,17345,48359
93252,\,35339,48359
93253,\,83783,48359
93254,\,35339,48358
93255,\,83783,48358
93256,\,48756,48780
93257,\,48746,48780
93258,\,48751,48780
93259,\,48760,48780
93260,\,48761,48780
93261,\,48762,48780
93262,\,48763,48780
93263,\,48764,48780
93264,\,48766,48780
93265,\,48781,48780
93266,\,48787,48780
93267,\,112176,48770
93268,\,48772,48770
93269,\,47289,47291
93270,\,47290,47291
93271,\,47292,47291
93272,\,47363,47362
93273,\,57485,47860
93274,\,59610,48126
93275,\,48903,48902
93276,\,48904,48902
93277,\,49054,49050
93278,\,48028,48426
93279,\,48057,48426
93280,\,48062,48426
93281,\,48066,48426
93282,\,48325,48345
93283,\,17385,48345
93284,\,48228,48345
93285,\,48247,48345
93286,\,48277,48345
93287,\,48343,48345
93288,\,48767,112177
93289,\,48770,112177
93290,\,49968,49989
93291,\,49969,49989
93292,\,50135,50218
93293,\,77775,50218
93294,\,50160,50218
93295,\,50302,50304
93296,\,50301,50304
93297,\,50303,50304
93298,\,50302,50323
93299,\,50301,50323
93300,\,50303,50323
93301,\,50351,50354
93302,\,50352,50354
93303,\,50353,50354
93304,\,50379,50393
93305,\,50380,50393
93306,\,50381,50393
93307,\,50382,50393
93308,\,50384,50393
93309,\,48947,48977
93310,\,50387,50393
93311,\,50388,50393
93312,\,50389,50393
93313,\,50390,50393
93314,\,50391,50393
93315,\,50392,50393
93316,\,50394,50393
93317,\,50395,50393
93318,\,50397,50393
93319,\,2703,50435
93320,\,3044,50435
93321,\,50375,50435
93322,\,55338,50435
93323,\,2707,50480
93324,\,2712,50480
93325,\,6198,50480
93326,\,12033,50480
93327,\,15443,50480
93328,\,17969,50480
93329,\,23370,50480
93330,\,25312,50480
93331,\,27436,50480
93332,\,27437,50480
93333,\,27496,50480
93334,\,28390,50480
93335,\,37451,50480
93336,\,41900,50480
93337,\,41902,50480
93338,\,49060,50480
93339,\,51479,50480
93340,\,50532,50533
93341,\,50534,50533
93342,\,50531,50533
93343,\,50530,50533
93344,\,50572,50582
93345,\,50573,50582
93346,\,50574,50582
93347,\,50575,50582
93348,\,50577,50582
93349,\,50578,50582
93350,\,50580,50582
93351,\,50581,50582
93352,\,50753,50663
93353,\,49132,50663
93354,\,50694,50697
93355,\,50695,50697
93356,\,50696,50697
93357,\,50699,50697
93358,\,50700,50697
93359,\,50914,50935
93360,\,112044,50935
93361,\,53427,53431
93362,\,53428,53431
93363,\,53427,53487
93364,\,53428,53487
93365,\,53645,53650
93366,\,53647,53650
93367,\,53648,53650
93368,\,53649,53650
93369,\,53652,53650
93370,\,53645,53662
93371,\,53647,53662
93372,\,53649,53662
93373,\,53652,53662
93374,\,53675,53691
93375,\,53678,53691
93376,\,53680,53691
93377,\,53681,53691
93378,\,53685,53691
93379,\,53683,53691
93380,\,53686,53691
93381,\,53687,53691
93382,\,53688,53691
93383,\,53682,53691
93384,\,53693,53691
93385,\,53694,53691
93386,\,53696,53691
93387,\,53709,53717
93388,\,53845,53849
93389,\,53846,53849
93390,\,53848,53849
93391,\,53845,53957
93392,\,53846,53957
93393,\,53847,53957
93394,\,53848,53957
93395,\,54014,54028
93396,\,54015,54028
93397,\,54006,54028
93398,\,54018,54028
93399,\,2031,54043
93400,\,19354,54043
93401,\,88627,54043
93402,\,54151,54149
93403,\,54138,54149
93404,\,54150,54149
93405,\,54153,54149
93406,\,54143,54149
93407,\,54134,54149
93408,\,54183,54180
93409,\,50386,50393
93410,\,54231,54237
93411,\,54233,54237
93412,\,54239,54237
93413,\,54241,54237
93414,\,54243,54237
93415,\,2284,54236
93416,\,2905,54236
93417,\,54231,54236
93418,\,54239,54236
93419,\,54241,54236
93420,\,54243,54236
93421,\,2967,54597
93422,\,54593,54597
93423,\,54592,54597
93424,\,54594,54597
93425,\,2978,54723
93426,\,37608,54723
93427,\,54722,54723
93428,\,88683,54723
93429,\,104165,54723
93430,\,106766,54723
93431,\,2978,54731
93432,\,37608,54731
93433,\,54722,54731
93434,\,88683,54731
93435,\,104165,54731
93436,\,2978,55502
93437,\,37608,55502
93438,\,54722,55502
93439,\,88683,55502
93440,\,104165,55502
93441,\,106766,55502
93442,\,55720,55733
93443,\,55727,55733
93444,\,55758,55768
93445,\,55763,55768
93446,\,55764,55768
93447,\,55767,55768
93448,\,55820,55823
93449,\,55821,55823
93450,\,55822,55823
93451,\,55972,55983
93452,\,56002,56001
93453,\,56003,56001
93454,\,56002,56098
93455,\,56003,56098
93456,\,56004,56098
93457,\,56131,56130
93458,\,56132,56130
93459,\,56256,56285
93460,\,56369,56368
93461,\,56370,56368
93462,\,56371,56368
93463,\,56372,56368
93464,\,56377,56386
93465,\,56378,56386
93466,\,56381,56386
93467,\,56382,56386
93468,\,56383,56386
93469,\,56384,56386
93470,\,56385,56386
