id,type,source,target
6444,\,79274,79268
6445,\,79645,80474
6446,\,80661,80682
6447,\,32604,82042
6448,\,42749,82042
6449,\,87514,87513
6450,\,75102,75109
6451,\,75925,112031
6452,\,32392,79113
6453,\,81426,78450
6454,\,76681,76689
6455,\,79207,79209
6456,\,30846,79828
6457,\,24001,79827
6458,\,79948,79956
6459,\,80155,80163
6460,\,80175,80163
6461,\,69422,80243
6462,\,80306,80486
6463,\,81283,81877
6464,\,15142,86860
6465,\,94656,82403
6466,\,13824,87719
6467,\,66936,87719
6468,\,88075,87719
6469,\,88075,87718
6470,\,12862,88336
6471,\,88354,88358
6472,\,89305,89306
6473,\,89313,89315
6474,\,89687,89688
6475,\,90038,90082
6476,\,90058,90082
6477,\,90075,90082
6478,\,90093,90082
6479,\,42836,90082
6480,\,69785,90082
6481,\,91528,91529
6482,\,95675,96426
6483,\,95678,96604
6484,\,89321,89322
6485,\,89865,89864
6486,\,90131,90132
6487,\,90304,90306
6488,\,90687,90690
6489,\,91366,91376
6490,\,42853,90808
6491,\,90922,90923
6492,\,91481,91482
6493,\,91445,91449
6494,\,26408,91588
6495,\,9865,91631
6496,\,91766,91754
6497,\,92042,92047
6498,\,9721,92183
6499,\,9721,92295
6500,\,10248,92295
6501,\,2310,92308
6502,\,92526,92524
6503,\,93278,93282
6504,\,86328,92205
6505,\,92778,92779
6506,\,7035,92835
6507,\,25906,92835
6508,\,93098,93100
6509,\,13149,93167
6510,\,93271,93267
6511,\,81625,93251
6512,\,39010,96440
6513,\,97423,97425
6514,\,97502,97497
6515,\,97595,97589
6516,\,97716,97738
6517,\,97735,97738
6518,\,97710,97659
6519,\,97729,97659
6520,\,97731,97659
6521,\,97742,97659
6522,\,93980,97165
6523,\,75740,98174
6524,\,98194,98223
6525,\,48690,98791
6526,\,67016,98791
6527,\,31154,98813
6528,\,99476,99453
6529,\,100063,100090
6530,\,101529,101525
6531,\,27877,101767
6532,\,100104,99931
6533,\,100105,99931
6534,\,100264,100259
6535,\,100436,100519
6536,\,101815,101822
6537,\,101841,101843
6538,\,102352,102376
6539,\,103695,103702
6540,\,103704,103702
6541,\,103712,103702
6542,\,13438,105958
6543,\,105991,105983
6544,\,107659,107655
6545,\,105629,105628
6546,\,105631,105628
6547,\,105827,105825
6548,\,10021,106208
6549,\,14653,106292
6550,\,107206,107201
6551,\,107414,107409
6552,\,64733,107607
6553,\,75374,107607
6554,\,94524,107607
6555,\,107901,107994
6556,\,108468,108453
6557,\,109317,109347
6558,\,112103,109517
6559,\,109954,109992
6560,\,109968,109992
6561,\,108568,108671
6562,\,109614,109621
6563,\,17068,110222
6564,\,17068,110535
6565,\,24749,110440
6566,\,39524,110440
6567,\,105200,110440
6568,\,110108,110189
6569,\,110735,110738
6570,\,7328,111112
6571,\,7328,111174
6572,\,70402,111110
6573,\,27968,111467
6574,\,111774,111691
6575,/,2467,2464
6576,/,3721,112116
6577,/,17847,85307
6578,/,14739,84936
6579,/,18583,18586
6580,/,18583,18588
6581,/,111908,19042
6582,/,27428,51335
6583,/,41055,89950
6584,/,48426,48926
6585,/,56124,56119
6586,/,59978,59974
6587,/,60436,3956
6588,/,60436,51777
6589,/,60436,60382
6590,/,60945,60938
6591,/,61075,57986
6592,/,61075,84162
6593,/,65728,65700
6594,/,66778,112012
6595,/,68899,68836
6596,/,72429,72413
6597,/,80243,80226
6598,/,87452,24116
6599,/,79257,79259
6600,/,88668,88622
6601,/,88829,88457
6602,/,91588,89804
6603,/,91601,91596
6604,/,92068,22239
6605,/,92068,92062
6606,/,99476,99474
6607,/,110799,4951
6608,/,111088,111082
6609,!,7381,22217
6610,!,80357,109060
6611,\,112242,26665
6612,\,1788,112263
6613,\,34248,112277
6614,\,79341,112333
7010,/,12177,11910
7011,/,86208,87452
7012,/,57168,84069
7013,/,88668,41830
7014,\,34576,2467
7015,\,3641,3645
7016,\,18452,18449
7017,\,21670,21704
7018,\,1407,28112
7019,\,44021,44097
7020,\,46858,46848
7021,\,50385,50393
7022,\,53262,53271
7023,\,28543,54071
7024,\,55171,55172
7025,\,94078,61063
7026,\,65782,65790
7027,\,66496,66493
7028,\,76481,76478
7029,\,63227,80243
7030,\,43787,80242
7031,\,88729,88738
7032,\,91219,91220
7033,\,7037,92835
7034,\,98174,98450
7035,\,32710,105957
7036,\,108518,108522
7685,!,31954,103395
7686,!,106564,43633
7687,/,4968,4985
7688,/,77493,19932
7689,/,23121,21170
7690,/,36968,21170
7691,/,51191,21170
7692,/,63362,21170
7693,/,74802,21170
7694,/,83120,21170
7695,/,83171,21170
7696,/,93391,21170
7697,/,63400,26513
7698,/,5954,22274
7699,/,88411,40041
7700,/,83258,44292
7701,/,67578,46178
7702,/,69246,46178
7703,/,70620,46178
7704,/,71736,46178
7705,/,74360,46178
7706,/,75679,46178
7707,/,46133,46178
7708,/,92630,46178
7709,/,96087,46178
7710,/,96428,46178
7711,/,102367,46178
7712,/,111097,46178
7713,/,9410,54731
7714,/,37746,56812
7715,/,60967,60960
7716,/,65081,65087
7717,/,33959,68824
7718,/,35439,68824
7719,/,53348,68824
7720,/,63387,68824
7721,/,63921,68824
7722,/,76024,68824
7723,/,83270,68824
7724,/,83503,68824
7725,/,86001,68824
7726,/,96619,68824
7727,/,69491,69492
7728,/,17437,71188
7729,/,80012,79999
7730,/,91271,91292
7731,/,13241,98303
7732,/,13308,99726
7733,/,24576,101241
7734,/,31265,101241
7735,/,39303,101241
7736,/,96918,101241
7737,/,102731,101241
7738,/,105033,101241
7739,/,7107,99619
7740,/,13296,99619
7741,/,31172,99619
7742,/,78670,99619
7743,/,86356,99619
7744,/,103613,103625
7745,/,68926,106292
7746,/,53014,110706
7747,\,112244,41077
7748,\,27391,112263
7749,\,112292,112291
7791,!,22088,111174
7792,!,65449,63095
7793,!,94938,23319
7794,!,111174,22088
90513,!,400,20552
90514,!,404,20552
90515,!,5775,51054
90516,!,6458,96426
90517,!,8110,21666
90518,!,7125,27428
90519,!,15266,42815
90520,!,16057,98226
90521,!,7964,76082
90522,!,14914,61307
90523,!,19689,64088
90524,!,21390,90808
90525,!,21666,8110
90526,!,22006,85992
90527,!,23319,94894
90528,!,31954,102974
90529,!,39697,40041
90530,!,39697,62745
90531,!,35361,97649
90532,!,35361,26909
90533,!,54731,92183
90534,!,51054,5775
90535,!,67507,2490
90536,!,72901,82403
90537,!,79312,44003
90538,!,88377,5144
90539,!,88840,91580
90540,!,96426,6458
90541,!,89864,98630
90542,!,91195,44629
90543,!,92835,44003
90544,!,94938,16534
90545,!,97914,17525
90546,!,100232,58369
90547,!,102810,103713
90548,!,103713,102810
90549,!,106564,64815
90550,!,109568,47988
90551,!,109568,77250
90552,!,111174,100361
90553,/,23329,2490
90554,/,35828,2490
90555,/,74420,2490
90556,/,82675,2490
90557,/,94947,2490
90558,/,96024,2490
90559,/,2462,2467
90560,/,2464,2467
90561,/,2468,2467
90562,/,2470,2467
90563,/,2473,2467
90564,/,2474,2467
90565,/,2477,2467
90566,/,3723,3721
90567,/,48191,3721
90568,/,11910,12177
90569,/,14490,14191
90570,/,14494,14191
90571,/,14510,14191
90572,/,88474,14191
90573,/,34927,14739
90574,/,36250,14739
90575,/,53146,14739
90576,/,63668,14739
90577,/,84936,14739
90578,/,15672,15791
90579,/,15816,15791
90580,/,1877,1876
90581,/,19125,18646
90582,/,18646,19125
90583,/,19446,19444
90584,/,5837,19932
90585,/,23081,19932
90586,/,20262,20291
90587,/,20267,20291
90588,/,607,20477
90589,/,20552,20587
90590,/,20598,21284
90591,/,20208,20211
90592,/,5904,21170
90593,/,11654,21170
90594,/,16687,21170
90595,/,23335,23334
90596,/,6005,26513
90597,/,6592,26513
90598,/,8886,26513
90599,/,9302,26513
90600,/,9537,26513
90601,/,9642,26513
90602,/,11094,26513
90603,/,11813,26513
90604,/,34735,26513
90605,/,29550,26513
90606,/,30119,26513
90607,/,33367,26513
90608,/,35987,26513
90609,/,37198,26513
90610,/,51312,26513
90611,/,59836,26513
90612,/,63590,26513
90613,/,74305,26513
90614,/,76402,26513
90615,/,77592,26513
90616,/,83299,26513
