id,lemma,synset,period,genre,notes
2,2,34427,,,
3,2,59768,,,
4,2,24946,,,
6,2,65902,,,
7,2,62442,,,
8,2,69225,,,
9,2,62440,,,
10,2,87266,,,
11,2,87265,,,
13,2,5085,,,
14,2,69207,,,
15,2,39253,,,
16,2,77908,,,
17,2,42194,,,
18,2,77904,,,
20,2,77514,,,
21,2,77513,,,
22,2,60359,,,
23,2,27455,,,
24,2,71105,,,
25,2,71103,,,
27,2,74041,,,
28,2,77496,,,
29,2,62258,,,
30,2,69810,,,
31,2,69809,,,
32,2,69811,,,
34,2,60849,,,
35,2,74031,,,
36,2,30510,,,
37,2,74029,,,
38,2,74025,,,
39,2,74022,,,
41,2,74020,,,
42,2,69024,,,
43,2,69023,,,
44,2,24724,,,
45,2,19,,,
46,2,60690,,,
48,2,23946,,,
49,2,59013,,,
50,5,29207,,,
51,5,29286,,,
52,5,60043,,,
53,40316,78506,,,
55,8,69978,,,
56,8,71887,,,
57,8,69973,,,
58,8,70388,,,
59,8,76627,,,
60,8,72306,,,
62,8,75440,,,
63,8,70575,,,
64,8,68398,,,
65,8,68397,,,
66,8,71883,,,
67,8,72967,,,
69,8,77449,,,
70,8,69319,,,
71,8,76231,,,
72,8,66502,,,
73,8,69923,,,
74,8,76385,,,
76,7,82144,,,
77,7,92396,,,
78,7,79866,,,
79,7,79864,,,
80,7,79863,,,
81,7,88559,,,
83,7,85482,,,
84,7,90081,,,
85,7,90077,,,
86,7,88540,,,
87,7,91098,,,
88,7,90073,,,
90,7,88532,,,
91,7,88528,,,
92,7,88527,,,
93,7,88526,,,
94,7,82364,,,
95,7,82368,,,
97,7,80832,,,
98,7,82367,,,
99,7,82366,,,
100,7,82365,,,
101,7,80828,,,
102,7,82363,,,
104,7,81337,,,
105,7,91576,,,
106,7,82359,,,
107,7,84918,,,
109,7,82356,,,
110,7,82355,,,
111,7,82354,,,
113,7,82352,,,
114,7,82351,,,
115,7,82350,,,
116,7,82850,,,
117,7,86432,,,
118,7,81822,,,
120,7,84882,,,
121,7,84879,,,
122,7,82829,,,
123,7,82827,,,
124,7,89483,,,
125,7,82823,,,
127,7,82824,,,
128,7,82822,,,
129,7,84870,,,
130,7,84643,,,
131,7,78723,,,
132,7,84865,,,
134,7,90998,,,
135,7,84132,,,
136,7,84641,,,
137,7,84857,,,
138,7,86393,,,
139,7,84855,,,
141,7,81781,,,
142,7,90997,,,
143,7,85364,,,
144,7,84639,,,
145,7,92016,,,
146,7,90990,,,
148,7,92010,,,
149,7,84637,,,
150,7,84830,,,
151,7,84636,,,
152,7,92513,,,
153,7,80733,,,
155,7,91998,,,
156,7,82358,,,
157,7,92508,,,
158,7,84634,,,
159,7,79190,,,
160,7,84633,,,
162,7,92496,,,
163,7,84632,,,
164,7,84631,,,
165,7,92477,,,
166,7,84629,,,
167,7,90941,,,
169,7,92472,,,
170,7,90919,,,
171,7,96038,,,
172,7,88865,,,
173,7,89873,,,
174,7,84751,,,
176,7,88332,,,
177,7,92414,,,
178,7,89852,,,
179,7,89336,,,
180,7,92405,,,
181,7,88309,,,
183,7,80627,,,
184,7,82671,,,
185,7,89329,,,
186,7,81648,,,
187,7,84207,,,
188,7,92394,,,
190,7,82666,,,
191,7,83176,,,
192,7,82136,,,
193,7,86740,,,
194,7,86739,,,
195,7,84690,,,
197,7,84678,,,
198,7,84677,,,
199,7,84676,,,
200,7,83651,,,
201,7,90306,,,
202,7,86720,,,
204,7,84666,,,
205,7,80569,,,
206,7,84664,,,
207,7,84663,,,
208,7,84662,,,
209,7,84661,,,
211,7,91823,,,
212,7,91821,,,
213,7,84644,,,
214,7,82360,,,
216,7,84138,,,
217,7,84133,,,
218,7,91295,,,
220,7,91302,,,
221,7,91301,,,
222,7,91300,,,
223,7,91299,,,
224,7,91298,,,
225,7,91297,,,
227,7,84127,,,
228,7,91293,,,
229,7,84125,,,
230,7,91292,,,
231,7,91291,,,
232,7,91290,,,
234,7,91288,,,
235,7,83095,,,
236,7,84630,,,
237,7,91285,,,
238,7,91796,,,
239,7,91276,,,
241,7,82043,,,
242,7,82544,,,
243,7,84591,,,
244,7,84074,,,
245,7,91750,,,
