,5101,74119,,,
85697,5101,75141,,,
85698,5101,68982,,,
85699,5101,67947,,,
85700,5101,70507,,,
85701,5101,69994,,,
85702,5101,77671,,,
85704,5101,77667,,,
85705,5101,74080,,,
85706,5101,66394,,,
85707,5101,72538,,,
85709,5101,73552,,,
85710,5101,71486,,,
85711,5101,71996,,,
85713,5101,68407,,,
85714,5101,71473,,,
85715,5101,71472,,,
85716,5101,76078,,,
85717,5101,71468,,,
85718,5101,67883,,,
85720,5101,76577,,,
85721,5101,75040,,,
85722,5101,76566,,,
85723,5101,66835,,,
85724,5101,66834,,,
85725,5101,66833,,,
85727,5101,77070,,,
85728,5101,66830,,,
85729,5101,76554,,,
85730,5101,70304,,,
85731,5101,71325,,,
85732,5101,68249,,,
85734,5101,72855,,,
85735,5101,66190,,,
85736,5101,77452,,,
85737,5101,73347,,,
85738,5101,66176,,,
85739,5101,71291,,,
85741,5101,68714,,,
85742,5101,74343,,,
85743,5101,73317,,,
85744,5101,69723,,,
85745,5101,71763,,,
85746,5101,73299,,,
85748,5101,73797,,,
85749,5101,71751,,,
85750,5101,74822,,,
85751,5101,71749,,,
85752,5101,73277,,,
85753,5101,72764,,,
85755,5101,72762,,,
85756,5101,72761,,,
85757,5101,66612,,,
85758,5101,72749,,,
85759,5101,73258,,,
85760,5101,73257,,,
85762,5101,73247,,,
85763,5101,77853,,,
85764,5101,71197,,,
85765,5101,72726,,,
85766,5101,69143,,,
85767,5101,76312,,,
85769,5101,76310,,,
85770,5101,66060,,,
85771,5101,76289,,,
85772,5102,48797,,,
85773,5102,22428,,,
85774,5102,2426,,,
85776,5102,18612,,,
85777,5102,22440,,,
85778,5102,27300,,,
85779,5106,3398,,,
85780,5106,4332,,,
85781,5113,96461,,,
85783,5113,96459,,,
85784,5113,96458,,,
85785,5113,96457,,,
85786,5113,96456,,,
85787,5113,96455,,,
85788,5113,96453,,,
85790,5113,96097,,,
85791,5117,75774,,,
85792,5117,77821,,,
85793,5117,77820,,,
85794,5117,77819,,,
85795,5117,71673,,,
85797,5117,71666,,,
85798,5117,77804,,,
85799,5117,71659,,,
85800,5117,77801,,,
85801,5117,75748,,,
85802,5117,77796,,,
85804,5117,69601,,,
85805,5117,69597,,,
85806,5117,77789,,,
85807,5117,77787,,,
85808,5117,67546,,,
85809,5117,77785,,,
85811,5117,73685,,,
85812,5117,67538,,,
85813,5117,69585,,,
85814,5117,73681,,,
85816,5117,73670,,,
85817,5117,73668,,,
85818,5117,75714,,,
85820,5117,69565,,,
85821,5117,75707,,,
85822,5117,75702,,,
85823,5117,77748,,,
85824,5117,67505,,,
85825,5117,77743,,,
85827,5117,77734,,,
85828,5117,67494,,,
85829,5117,77732,,,
85830,5117,67492,,,
85831,5117,71584,,,
85832,5117,69533,,,
85834,5117,67477,,,
85835,5117,77717,,,
85836,5117,77716,,,
