δατισμός,n,----------,,,,,,0
101959,υ00166,ὑδατοδόχος,a,aps---cn2-,ὑδατοδόχος ὑδατοδόχος ὑδατοδόχον,,,,,0
101960,υ00167,ὑδατοειδής,a,aps---cn5s,ὑδατοειδής ὑδατοειδής ὑδατοειδές,,,,,0
101961,υ00168,ὑδατόεις,a,aps---mn4i,ὑδατόεις ὑδατόεσσα ὑδατόεν,,,,,0
101963,υ00170,ὑδατόκλυστος,a,aps---cn2-,ὑδατόκλυστος ὑδατόκλυστος ὑδατόκλυστον,,,,,0
101964,υ00171,ὑδατοπλήξ,n,----------,,,,,,0
101965,υ00172,ὑδατοποσία,n,n-s---fn1l,ὑδατοποσίας,,,,,0
101966,υ00173,ὑδατοποτέω,v,----------,,,,,,0
101967,υ00174,ὑδατοπότης,n,n-s---mn1e,ὑδατοπότου,,,,,0
101968,υ00175,ὑδατοπωτέω,v,----------,,,,,,0
23783,δ01815,διαμυκτηρίζω,v,----------,,,,,,0
101970,υ00177,ὑδατόρρυτος,a,aps---cn2-,ὑδατόρρυτος ὑδατόρρυτος ὑδατόρρυτον,,,,,0
101971,,Ὑδατοσύδνη,n,n-s---fn1e,Ὑδατοσύδνης,,,,,0
101972,υ00178,ὑδατοτρεφής,a,aps---cn5s,ὑδατοτρεφής ὑδατοτρεφής ὑδατοτρεφές,,,,,0
101973,υ00179,ὑδατόχλοος,a,aps---cn2-,ὑδατόχλοος ὑδατόχλοος ὑδατόχλοον,,,,,0
101974,υ00180,ὑδατόχλωρος,a,aps---cn2-,ὑδατόχλωρος ὑδατόχλωρος ὑδατόχλωρον,,,,,0
101975,υ00181,ὑδατόχολος,a,aps---cn2-,ὑδατόχολος ὑδατόχολος ὑδατόχολον,,,,,0
101977,υ00183,ὑδατόω,v,----------,,,,,,0
101978,υ00184,ὑδατώδης,a,aps---cn3s,ὑδατώδης ὑδατώδης ὑδατώ͂δες,,,,,0
101979,υ00185,ὑδατώλενος,a,aps---cn2-,ὑδατώλενος ὑδατώλενος ὑδατώλενον,,,,,0
101980,υ00186,ὑδείω,v,----------,,,,,,0
101981,υ00187,ὑδεραίνω,v,----------,,,,,,0
101982,υ00188,ὑδερίασις,n,n-s---fn3v,ὑδεριασέως,,,,,0
101983,υ00189,ὑδεριάω,v,----------,,,,,,0
101985,υ00191,ὑδεριώδης,a,aps---cn3s,ὑδεριώδης ὑδεριώδης ὑδεριώ͂δες,,,,,0
101992,υ00198,ὕδιον,n,n-s---nn2-,ὑδίου,,,,,0
101993,υ00199,ὑδνέω,v,----------,,,,,,0
101994,υ00200,ὕδνης,n,----------,,,,,,0
101995,υ00201,ὑδνοβόλοισι,n,----------,,,,,,0
101996,υ00202,ὕδνον,n,n-s---nn2-,ὕδνου,,,,,0
101997,υ00203,ὑδνόφυλλον,n,n-s---nn2-,ὑδνοφύλλου,,,,,0
101999,υ00205,ὕδος,n,----------,,,,,,0
102000,υ00206,ὕδρα,n,n-s---fn1l,ὕδρας,,,/hý.draː/,,0
102001,υ00207,ὑδραγέω,v,----------,,,,,,0
102002,υ00208,ὑδραγωγεῖον,n,n-s---nn2-,ὑδραγωγείου,,,,,0
102003,υ00209,ὑδραγωγέω,v,----------,,,,,,0
102004,υ00210,ὑδραγωγία,n,n-s---fn1l,ὑδραγωγίας,,,,,0
102005,υ00211,ὑδραγώγιον,n,n-s---nn2-,ὑδραγωγίου,,,,,0
102006,υ00212,ὑδραγωγός,a,----------,,,,,,0
102007,υ00213,ὑδραίνω,v,----------,,,,,,0
102009,υ00214,ὑδραλέτης,n,n-s---cn1e,ὑδραλέτου,,,,,0
102011,υ00216,ὑδραλής,n,----------,,,,,,0
102012,υ00217,ὑδράλμη,n,n-s---fn1e,ὑδράλμης,,,,,0
102013,υ00218,ὑδράνα,n,----------,,,,,,0
102014,υ00219,ὑδραντικός,a,aps---mn1-,ὑδραντικός ὑδραντική ὑδραντικόν,,,,,0
102015,υ00221,ὑδραργυρίζω,v,----------,,,,,,0
102016,υ00222,ὑδράργυρος,n,n-s---fn2-,,,,,,0
102017,υ00223,ὑδράρπαξ,n,----------,,,,,,0
102018,υ00224,ὕδρας,n,n-s---mn1a,ὕδρου,,,,,0
102020,υ00226,ὑδραύλης,n,n-s---mn1e,ὑδραύλου,,,,,0
102021,υ00228,ὕδραυλις,n,n-s---fn3v,ὑδραυλέως,,,,,0
102022,υ00227,ὑδραυλικὸν,n,----------,,,,,,0
102023,υ00229,ὕδραυλος,n,n-s---mn2-,ὑδραύλου,,,,,0
102024,υ00230,ὑδρεία,n,n-s---fn1l,ὑδρείας,,,,,0
102025,υ00234,ὑδρεῖον,n,n-s---nn2-,ὑδρείου,,,,,0
102027,υ00232,ὑδρέλαιον,n,n-s---nn2-,ὑδρελαίου,,,,,0
23788,δ01820,διαμφίδιος,a,aps---cn2-,διαμφίδιος διαμφίδιος διαμφίδιον,,,,,0
23800,δ01832,διαναγκάζω,v,----------,,,,,,0
102029,,Ὕδρεος,n,n-s---mn2-,Ὑδρέου,,,,,0
102030,υ00235,ὕδρευμα,n,n-s---nn3t,ὑδρεύματος,,,,,0
102031,υ00236,ὑδρεύς,n,n-s---mn3v,ὑδρέως,,,,,0
102033,υ00238,ὑδρευτής,n,n-s---mn1e,ὑδρευτού,,,,,0
102035,υ00240,ὑδρεύω,v,----------,,,,,,0
102036,υ00241,ὑδρηγός,n,----------,,,,,,0
102037,υ00242,ὑδρήϊον,n,n-s---nn2-,ὑδρηΐου,,,,,0
102038,υ00243,ὑδρηλός,a,aps---mn1-,ὑδρηλός ὑδρηλή ὑδρηλόν,,,,,0
102039,υ00244,ὑδρηρόν,n,----------,,,,,,0
102040,υ00245,ὑδρηρός,a,aps---mn1-,ὑδρηρός ὑδρηρά ὑδρηρόν,,,,,0
102042,υ00247,ὑδρία,n,n-s---fn1l,ὑδρίας,,,,,0
102043,υ00248,ὑδριάς,n,n-s---fn3d,ὑδριάδος,,,,,0
102046,υ00251,ὑδρινεῖον,n,n-s---nn2-,ὑδρινείου,,,,,0
102047,υ00252,ὑδρίον,n,n-s---nn2-,ὑδρίου,,,,,0
102048,υ00253,ὕδριος,a,aps---mn1-,ὕδριος ὕδρια ὕδριον,,,,,0
102049,υ00254,ὑδρίσκη,n,n-s---fn1e,ὑδρίσκης,,,,,0
102051,υ00256,ὑδροβόλος,a,aps---cn2-,ὑδροβόλος ὑδροβόλος ὑδροβόλον,,,,,0
102052,υ00257,ὑδρόγαρον,n,n-s---nn2-,ὑδρογάρου,,,,,0
102053,υ00258,ὑδρογάστωρ,n,n-s---cn3r,ὑδρογάστορος,,,,,0
102054,υ00259,ὑδρογνώμων,n,n-s---mn3n,ὑδρογνώμονος,,,,,0
102056,υ00261,ὑδροδόκος,n,n-s---mn2-,ὑδροδόκου,,,,,0
102057,υ00262,ὑδροδοχεῖον,n,n-s---nn2-,ὑδροδοχείου,,,,,0
102058,υ00263,ὑδροδόχος,a,aps---cn2-,ὑδροδόχος ὑδροδόχος ὑδροδόχον,,,,,0
102059,υ00264,ὑδροδρόμος,a,aps---cn2-,ὑδροδρόμος ὑδροδρόμος ὑδροδρόμον,,,,,0
102060,υ00265,ὑδροειδής,a,aps---cn5s,ὑδροειδής ὑδροειδής ὑδροειδές,,,,,0
102061,υ00266,ὑδρόεις,a,aps---mn4i,ὑδρόεις ὑδρόεσσα ὑδρόεν,,,,,0
102062,υ00267,ὑδροθήκη,n,n-s---fn1e,ὑδροθήκης,,,,,0
102063,υ00268,ὑδροθήρας,n,n-s---mn1a,ὑδροθήρου,,,,,0
102064,υ00269,ὑδροθηρία,n,n-s---fn1l,ὑδροθηρίας,,,,,0
102066,υ00271,ὑδροκέλευθος,n,----------,,,,,,0
102067,υ00272,ὑδροκέφαλον,n,n-s---nn2-,ὑδροκεφάλου,,,,,0
102068,υ00273,ὑδροκήλη,n,n-s---fn1e,ὑδροκήλης,,,,,0
102070,υ00275,ὑδροκιρνάω,v,----------,,,,,,0
102071,υ00276,ὑδροκιρσοκήλη,n,n-s---fn1e,ὑδροκιρσοκήλης,,,,,0
102072,υ00277,ὑδρόκοιλος,n,----------,,,,,,0
102073,υ00278,ὑδροκόμιον,n,n-s---nn2-,ὑδροκομίου,,,,,0
102074,υ00279,ὑδροκόμος,n,n-s---mn2-,ὑδροκόμου,,,,,0
102075,υ00280,ὑδροκύων,n,----------,,,,,,0
102077,υ00282,ὑδρολόγιον,n,n-s---nn2-,ὑδρολογίου,,,,,0
102078,υ00283,ὑδρομαντεία,n,n-s---fn1l,ὑδρομαντείας,,,,,0
102079,υ00284,ὑδρόμαντις,n,----------,,,,,,0
102080,υ00285,ὑδρομαστευτική,n,n-s---fn1e,ὑδρομαστευτικῆς,,,,,0
102081,υ00286,ὑδρομέδουσα,n,n-s---fn1s,ὑδρομέδουσας,,,,,0
23807,δ01839,διανακύπτω,v,----------,,,,,,0
102083,υ00288,ὑδρόμελι,n,n-s---nn3d,,,,,,0
102085,υ00290,ὑδρόμηλον,n,n-s---nn2-,ὑδρομήλου,,,,,0
102086,υ00291,ὑδρομιγής,a,aps---cn5s,ὑδρομιγής ὑδρομιγής ὑδρομιγές,,,,,0
102087,υ00292,ὑδρομύλη,n,----------,,,,,,0
102088,υ00293,ὑδρόμυρον,n,----------,,,,,,0
102089,υ00294,ὑδρόμφαλον,n,n-s---nn2-,ὑδρομφάλου,,,,,0
102091,υ00296,ὑδρονομέομαι,v,----------,,,,,,0
102092,υ00297,ὑδροπαγής,a,aps---cn5s,ὑδροπαγής ὑδροπαγής ὑδροπαγές,,,,,0
102093,υ00298,ὑδροπάροχος,n,n-s---mn2-,ὑδροπαρόχου,,,,,0
102096,υ00301,ὑδροποιός,a,aps---cn2-,ὑδροποιός ὑδροποιός ὑδροποιόν,,,,,0
102097,υ00302,ὑδρόπορος,a,aps---cn2-,ὑδρόπορος ὑδρόπορος ὑδρόπορον,,,,,0
102098,υ00303,ὑδροποσία,n,n-s---fn1l,ὑδροποσίας,,,,,0
